Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
CID5330286 PALBOCICLIB AE-04-SN76 BAID7 1UM	68/551	6.155111991521451E-23	2.5038995581509263E-19	0	0	4.8833627747070105	249.74578962861395	ARHGAP11A;TOP2A;ERCC6L;LRR1;HJURP;NRM;BUB1B;MCM10;MKI67;KIF15;CDC20;NUF2;PCLAF;OIP5;TK1;GTSE1;DLGAP5;CEP55;TCF19;CKAP2L;KIF23;ESCO2;CDC25C;SGO1;ESPL1;MTHFD2;KIFC1;FANCD2;CKS2;DEPDC1;KIF2C;MTFR2;KIF20A;PRR11;DTL;ASF1B;CDCA2;TROAP;CDCA7;CDCA8;HMMR;SKA3;TYMS;CENPA;NCAPH;SKA1;AURKB;AURKA;CCNB2;CDC45;ORC1;E2F2;BUB1;GINS2;RRM2;DDIAS;UBE2C;CBX2;NDC80;TPX2;RAD51;KIF18B;CENPI;CDK2;CDK1;CENPM;APOBEC3B;SPC25
CID71678945 NA-16-OJ70 BAID30 0.1UM	55/396	4.0478875411835415E-21	8.233403258767323E-18	0	0	5.505260723783096	258.50552794322857	ARHGAP11A;TOP2A;LRR1;HJURP;BUB1B;YBX1;MKI67;CDC20;NUF2;PCLAF;OIP5;TK1;GTSE1;DLGAP5;CEP55;TCF19;CKAP2L;KIF23;CDC25C;ESPL1;MTHFD2;KIFC1;FANCD2;KIF2C;KIF20A;ASF1B;CDCA2;TROAP;CDCA8;HMMR;TYMS;CENPA;NCAPH;SKA1;AURKB;AURKA;BCL2L12;CCNB2;CDC45;ORC1;SERPINH1;BUB1;GINS2;RRM2;UBE2C;CBX2;TPX2;RAD51;KIF18B;CDK1;CENPM;SPC24;EZH2;APOBEC3B;SPC25
CID44819306 CA-90-RU33 BAID12 10UM	47/300	2.236445043455738E-20	3.032619478925981E-17	0	0	6.280101677397729	284.1545943123622	TOP2A;CDCA2;TROAP;HJURP;CDCA8;BUB1B;MKI67;SKA3;TYMS;CENPA;SKA1;AURKB;AURKA;CDC20;BCL2L12;CCNB2;CDC45;PCLAF;TK1;BUB1;DLGAP5;CEP55;TCF19;GINS2;RRM2;UBE2C;CKAP2L;KIF23;ESCO2;CDC25C;NDC80;TPX2;KIF18B;RAD51;ESPL1;MTHFD2;KIFC1;FANCD2;CKS2;CDK1;CENPM;KIF2C;KIF20A;SPC24;ASF1B;APOBEC3B;SPC25
CID53378674 BB-86-UL91 BAID24 10UM	49/360	1.4980932460171607E-18	1.5235608311994525E-15	0	0	5.328977674397391	218.71370580458398	TOP2A;LRR1;HJURP;NRM;BUB1B;MKI67;CDC20;PCLAF;TK1;GTSE1;DLGAP5;TCF19;CKAP2L;KIF23;ESCO2;CDC25C;ESPL1;MTHFD2;KIFC1;FANCD2;KIF2C;KIF20A;MTFR2;PRR11;DTL;ASF1B;CDCA2;TROAP;CDCA8;TYMS;CENPA;NCAPH;SKA1;AURKB;AURKA;BCL2L12;CCNB2;CDC45;ORC1;GINS2;RRM2;UBE2C;TPX2;KIF18B;CDK1;CENPM;SPC24;EZH2;SPC25
CID53358942 IDASANUTLIN GD-82-CS38 BAID19 1UM	61/579	3.058873876142289E-17	2.4886997856293666E-14	0	0	4.025407783559958	153.0697528184483	ARHGAP11A;TOP2A;ERCC6L;LRR1;HJURP;NRM;BUB1B;MCM10;YBX1;MKI67;CDC20;EME1;MDK;PCLAF;OIP5;TK1;GTSE1;DLGAP5;CEP55;TCF19;CKAP2L;ACTL6A;GPX8;KIF23;ESCO2;CDC25C;ESPL1;KIFC1;FANCD2;CKS2;KIF2C;KIF20A;PRR11;ASF1B;CDCA2;TROAP;CDCA7;CDCA8;CENPA;NCAPH;SKA1;AURKB;AURKA;BCL2L12;CCNB2;CDC45;ORC1;SERPINH1;E2F2;BUB1;GINS2;RRM2;UBE2C;CBX2;TPX2;RAD51;KIF18B;MFAP2;CENPM;APOBEC3B;SPC25
CID9907182 GB-94-XG34 BAID16 10UM	59/550	4.5225787870635614E-17	3.066308417629095E-14	0	0	4.09855375090988	154.248513920556	ARHGAP11A;TOP2A;LRR1;RPLP0;HJURP;BUB1B;MCM10;YBX1;MKI67;CDC20;NUF2;PCLAF;OIP5;TK1;GTSE1;DLGAP5;CEP55;TCF19;FOXD1;CKAP2L;KIF23;ESCO2;ESPL1;MTHFD2;KIFC1;FANCD2;CKS2;KIF2C;MTFR2;KIF20A;PRR11;ASF1B;CDCA2;TROAP;CDCA7;CDCA8;HMMR;CENPA;NCAPH;SKA1;AURKB;AURKA;BCL2L12;CCNB2;CDC45;SERPINH1;EIF4EBP1;GINS2;RRM2;UBE2C;CBX2;TPX2;RAD51;KIF18B;MFAP2;CDK1;CENPM;APOBEC3B;SPC25
CID71678945 NA-16-OJ70 BAID32 10UM	44/328	1.5650016210509865E-16	9.094895134907732E-14	0	0	5.201440629718557	189.2984975872195	TOP2A;CDCA2;LRR1;TROAP;HJURP;NRM;CDCA8;BUB1B;MCM10;MKI67;TYMS;CENPA;AURKB;AURKA;CDC20;BCL2L12;CCNB2;CDC45;EME1;ORC1;PCLAF;SERPINH1;OIP5;TK1;GTSE1;DLGAP5;GINS2;RRM2;UBE2C;CBX2;ESCO2;NDC80;TPX2;KIF18B;ESPL1;KIFC1;FANCD2;MFAP2;CKS2;CENPM;KIF2C;KIF20A;PRR11;ASF1B
CID44818584 AA-42-XZ05 BAID32 10UM	21/74	3.881765880638196E-15	1.973877950304523E-12	0	0	12.9402728199898	429.3904245444789	TOP2A;RRM2;CKAP2L;UBE2C;TROAP;HJURP;CDCA8;ESCO2;MKI67;TYMS;AURKB;AURKA;CDC20;TPX2;KIFC1;PCLAF;CENPM;KIF2C;TK1;KIF20A;PRR11
BE-04-AN21 BAID11 1UM	35/240	1.6629123363770324E-14	7.166668326863826E-12	0	0	5.6660477677441135	179.77021510735543	TOP2A;CDCA2;LRR1;TROAP;HJURP;CDCA8;MKI67;CENPA;NCAPH;AURKB;AURKA;CDC20;BCL2L12;CCNB2;PCLAF;TK1;GTSE1;DLGAP5;TCF19;GINS2;RRM2;UBE2C;CBX2;TPX2;KIF18B;ESPL1;KIFC1;FANCD2;CDK1;CENPM;KIF2C;KIF20A;PRR11;ASF1B;APOBEC3B
CID101476432 RC-52-AC88 BAID28 10UM	70/834	1.7617178777934675E-14	7.166668326863826E-12	0	0	3.1423495608072276	99.5179023325013	ARHGAP11A;TOP2A;LRR1;RPLP0;HJURP;NRM;BUB1B;MCM10;YBX1;MKI67;KIF15;CDC20;EME1;PCLAF;RCC1;OIP5;TK1;GTSE1;CEP55;DLGAP5;TCF19;CKAP2L;KIF23;ESCO2;CDC25C;SGO1;ZNF90;ESPL1;MTHFD2;KIFC1;FANCD2;CKS2;DEPDC1;KIF2C;MTFR2;KIF20A;PRR11;DTL;CDCA2;TROAP;CDCA8;HMMR;CENPA;NCAPH;SKA1;AURKB;AURKA;BCL2L12;CCNB2;CDC45;ORC1;SERPINH1;EIF4EBP1;E2F2;BUB1;GINS2;RRM2;UBE2C;CBX2;NDC80;TPX2;RAD51;KIF18B;CENPI;MFAP2;CDK1;CENPM;EZH2;APOBEC3B;SPC25
