Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
CID9852519 AVATROMBOPAG IA-23-DB04 BAID7 1UM	2/40	0.1429799648524762	0.9999959791213119	0	0	3.1211639370329145	6.070822301745592	COL4A2;COL4A1
CID10316032 SD-208 AA-86-YV75 BAID3 1UM	2/46	0.1781881276666873	0.9999959791213119	0	0	2.69472672342763	4.648175596568854	COL4A2;COL4A1
CID89655253 AB-43-XJ34 BAID27 1UM	3/98	0.2237999581007324	0.9999959791213119	0	0	1.8729186602870813	2.80376423574527	COL4A2;COL4A1;FN1
JC-63-BE61 BAID34 0.1UM	2/66	0.30091464598617457	0.9999959791213119	0	0	1.8507364048338368	2.222602321450103	COL4A2;COL8A1
CID301929 LL-Z1271ALPHA YA-92-YO01 BAID3 1UM	4/174	0.32940811620995886	0.9999959791213119	0	0	1.3943858394421598	1.5484066625283457	TMEM37;COL4A2;S100A4;MMP9
CID11249248 GD-96-AK08 BAID39 1UM	2/72	0.3376564410811113	0.9999959791213119	0	0	1.6915839447561503	1.8365972568769935	COL4A2;COL4A1
CID11617407 RF-36-EI47 BAID11 1UM	2/78	0.3737979532702876	0.9999959791213119	0	0	1.5575608204802036	1.5327019308593575	COL4A2;S100A11
JA-88-IO52 BAID52 10UM	2/80	0.3856718784505193	0.9999959791213119	0	0	1.517468432876288	1.4457958598351515	COL4A2;COL8A1
CID9915936 SD-51-LL22 BAID7 1UM	2/81	0.3915722200733579	0.9999959791213119	0	0	1.498183486940227	1.4046748296228337	COL4A2;FN1
CID44195094 GB-06-BA49 BAID27 1UM	5/254	0.41646025608684484	0.9999959791213119	0	0	1.1887795082770105	1.0413283450210769	COL4A2;COL4A1;NACA2;IGFBP7;S100A11
CID16071549 JB-91-QG66 BAID20 10UM	2/86	0.4206759101099722	0.9999959791213119	0	0	1.408646237951374	1.2197362850989484	COL8A1;S100A4
CID411885 LE-94-HL75 BAID39 1UM	2/89	0.43779428943313026	0.9999959791213119	0	0	1.3598638747091711	1.1232559070257127	COL4A2;COL4A1
CID86488 (R)-AMINOGLUTETHIMIDE AC-91-ME22 BAID52 10UM	1/37	0.46302276671322257	0.9999959791213119	0	0	1.6424866131191433	1.264680288475352	FN1
EA-93-KT88 BAID50 0.1UM	2/95	0.47118241870184063	0.9999959791213119	0	0	1.2717408959490628	0.9569976895890128	TMEM37;S100A4
CID1103147 CF-83-HM41 BAID17 0.01UM	1/38	0.47197998933503876	0.9999959791213119	0	0	1.5980136763269293	1.199818534697375	COL4A2
LB-67-JK40 BAID36 10UM	3/157	0.4869747793562295	0.9999959791213119	0	0	1.1518890200708383	0.828833617826603	COL4A2;FN1;COL8A1
AE-56-RB57 BAID36 10UM	1/41	0.4979676592377845	0.9999959791213119	0	0	1.4779367469879519	1.0304472735616923	COL4A2
CID146680902 AC-78-GT35 BAID13 0.01UM	1/42	0.5063436488636931	0.9999959791213119	0	0	1.4418160446664707	0.9812130473318631	FN1
CID101891769 ID-30-NC19 BAID18 0.1UM	1/42	0.5063436488636931	0.9999959791213119	0	0	1.4418160446664707	0.9812130473318631	NACA2
