Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
CID71678945 NA-16-OJ70 BAID30 0.1UM	25/396	1.1734862625527062E-9	3.860769803798403E-6	0	0	4.825296995108316	99.22396603982511	TOP2A;ARHGAP11A;TROAP;BUB1B;YBX1;MKI67;AURKB;ORC1;NUSAP1;CDKN2C;CKAP2L;CBX2;PIMREG;CDC25C;KIF18B;RAD51;ESPL1;MTHFD2;TMSB15A;FANCD2;KIFC1;CDK1;SPC24;EZH2;SPC25
CID53378674 BB-86-UL91 BAID24 10UM	22/360	2.165586688921534E-8	3.5623901032759235E-5	0	0	4.617487049439712	81.48936264746425	TOP2A;CDKN2C;CKAP2L;TROAP;BUB1B;PIMREG;MKI67;CDC25C;AURKB;LMNB1;KIF18B;ESPL1;ORC1;MTHFD2;TMSB15A;FANCD2;KIFC1;NUSAP1;CDK1;SPC24;EZH2;SPC25
CID5330286 PALBOCICLIB AE-04-SN76 BAID7 1UM	27/551	5.482807941624554E-8	6.0128127093149275E-5	0	0	3.6878133189016746	61.65678459800493	TOP2A;ARHGAP11A;TROAP;BUB1B;MCM10;MKI67;AURKB;KIF15;LMNB1;ORC1;E2F2;CDKN2C;CKAP2L;CBX2;PIMREG;CDC25C;ASPM;KIF18B;RAD51;ESPL1;MTHFD2;TMSB15A;FANCD2;KIFC1;CDK4;CDK1;SPC25
CID53358942 IDASANUTLIN GD-82-CS38 BAID19 1UM	27/579	1.4908489690117194E-7	1.2262232770121392E-4	0	0	3.4956400064892925	54.947091056281195	TOP2A;ARHGAP11A;UHRF1;TROAP;BUB1B;MCM10;YBX1;MKI67;AURKB;LMNB1;ORC1;E2F2;CDKN2C;CKAP2L;CBX2;PIMREG;CDC25C;ASPM;KIF18B;RAD51;ESPL1;TMSB15A;FANCD2;KIFC1;CDK4;MFAP2;SPC25
CID9907182 GB-94-XG34 BAID16 10UM	26/550	1.9698512485738087E-7	1.2961621215615662E-4	0	0	3.5380260506824825	54.627609123550926	TOP2A;ARHGAP11A;TROAP;RPLP0;BUB1B;MCM10;YBX1;MKI67;AURKB;EIF5AL1;FOXD1;CDKN2C;CKAP2L;CBX2;PIMREG;ASPM;KIF18B;RAD51;ESPL1;MTHFD2;FANCD2;KIFC1;CDK4;MFAP2;CDK1;SPC25
CID101476432 RC-52-AC88 BAID28 10UM	33/834	2.7140480650624626E-7	1.4882030223425837E-4	0	0	2.972581982445607	44.94441218977422	TOP2A;ARHGAP11A;TROAP;RPLP0;BUB1B;MCM10;YBX1;MKI67;AURKB;KIF15;LMNB1;ORC1;E2F2;RCC1;EIF5AL1;CDKN2C;CKAP2L;CBX2;PIMREG;CDC25C;ZNF90;KIF18B;RAD51;ESPL1;MTHFD2;TMSB15A;FANCD2;KIFC1;CDK4;MFAP2;CDK1;EZH2;SPC25
CID44819306 CA-90-RU33 BAID12 10UM	18/300	5.58949151833589E-7	2.6270610136178683E-4	0	0	4.475689377064291	64.43742790922389	TOP2A;CDKN2C;CKAP2L;TROAP;BUB1B;PIMREG;MKI67;CDC25C;AURKB;KIF18B;RAD51;ESPL1;MTHFD2;FANCD2;KIFC1;CDK1;SPC24;SPC25
BE-04-AN21 BAID12 10UM	31/874	6.1282873501505604E-6	0.002520258172749418	0	0	2.627350012581329	31.535018742427397	TOP2A;TROAP;BUB1B;MCM10;MKI67;AURKB;KIF15;LMNB1;ORC1;RCC1;EIF5AL1;POLQ;CDKN2C;CKAP2L;CBX2;PIMREG;CDC25C;MEX3A;KIF18B;RAD51;ESPL1;TMSB15A;FANCD2;KIFC1;CDK4;MFAP2;CDK1;NOX4;SPC24;EZH2;SPC25
CID151345176 AC-45-YY00 BAID36 10UM	9/92	8.708449206908857E-6	0.003183421987858904	0	0	7.439464150307524	86.67880991706731	TOP2A;CDKN2C;ESPL1;KIFC1;BUB1B;MKI67;PIMREG;CDC25C;AURKB
CID446654 5-METHYL-10H-INDOLO[3,2-B]QUINOLIN-5-IUM IB-33-TE51 BAID43 1UM	20/466	2.1571511811038362E-5	0.00616612496848467	0	0	3.140481043620057	33.74175861442823	TOP2A;EIF5AL1;CDKN2C;CKAP2L;TROAP;CBX2;RPLP0;BUB1B;MKI67;CDC25C;AURKB;LMNB1;ZNF90;KIF18B;ESPL1;ORC1;MTHFD2;KIFC1;MFAP2;RCC1
CID9820526 VC-19-YG34 BAID27 1UM	21/506	2.2064707705845753E-5	0.00616612496848467	0	0	3.0372488524343444	32.5639582190034	TOP2A;EIF5AL1;TROAP;CBX2;BUB1B;YBX1;PIMREG;MKI67;AURKB;KIF15;LMNB1;KIF18B;RAD51;ESPL1;ORC1;MTHFD2;KIFC1;CDK4;MFAP2;CDK1;SPC25
CID53358942 IDASANUTLIN GD-82-CS38 BAID18 0.1UM	13/218	2.2709915452054937E-5	0.00616612496848467	0	0	4.385054488842761	46.88811126855152	TOP2A;CDKN2C;CKAP2L;TROAP;CBX2;BUB1B;MKI67;PIMREG;CDC25C;AURKB;TMSB15A;KIFC1;E2F2
TF-29-QU48 BAID52 10UM	25/674	2.436462753504581E-5	0.00616612496848467	0	0	2.718712549221024	28.879192829736464	TOP2A;TROAP;BUB1B;MKI67;AURKB;LMNB1;ORC1;E2F2;EIF5AL1;CDKN2C;CKAP2L;CBX2;PIMREG;CDC25C;MEX3A;KIF18B;RAD51;ESPL1;TMSB15A;FANCD2;KIFC1;MFAP2;CDK1;SPC24;SPC25
