Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
CID138510 2-NITROBENZENESULFONAMIDE ND-54-FY31 BAID52 10UM	7/129	0.0031188271313603287	0.9999824623199888	0	0	3.8877417890975097	22.433429709230158	STEAP3;ANXA1;COL4A2;CMTM3;NPC2;CAV1;FSTL1
CID132471728 LA-44-KW22 BAID44 10UM	4/48	0.005484813361287735	0.9999824623199888	0	0	6.12079701120797	31.863475002031922	CMTM3;NPC2;IGFBP7;FSTL1
CID16666652 BC-33-BM51 BAID27 1UM	4/58	0.010662949540630389	0.9999824623199888	0	0	4.984779299847793	22.63578413263451	COL4A2;MTHFD2;CAV1;HMGA2
CID121271792 BB-10-PR06 BAID12 10UM	10/288	0.010996645979194475	0.9999824623199888	0	0	2.4432761483121195	11.019578480665654	CA12;TMEM37;ANXA1;COL4A2;CAV1;S100A4;CLIC1;FSTL1;EDA2R;CTSC
CID121499143 XMU-MP-1 BA-88-HT15 BAID24 10UM	15/525	0.01193279986224248	0.9999824623199888	0	0	2.0090014653548254	8.896791427735796	APOBEC3C;STEAP3;ANXA1;CMTM3;CAV1;EMP3;ADAMTS12;FSTL1;CNN2;SYDE1;COL4A2;S100A4;CLIC1;S100A11;CTSC
EA-93-KT88 BAID50 0.1UM	5/95	0.013489790172087254	0.9999824623199888	0	0	3.7445589919816724	16.123405099135162	TMEM37;STEAP3;MTHFD2;KRT16;S100A4
CID9852519 AVATROMBOPAG IA-23-DB04 BAID7 1UM	3/40	0.021181388343192088	0.9999824623199888	0	0	5.442394613043077	20.97843056129903	CMTM3;COL4A2;COL4A1
CID59259130 FD-20-DQ38 BAID27 1UM	4/72	0.0220422330452873	0.9999824623199888	0	0	3.9556809024979853	15.090111657185103	CMTM3;MTHFD2;CAV1;FN1
CID285033 OMACETAXINEMEPESUCCINATE EA-18-FP00 BAID16 10UM	6/147	0.022334444904331223	0.9999824623199888	0	0	2.8705796038151137	10.91286769634692	TMEM37;NPC2;CAV1;S100A4;VIM;FSTL1
AE-56-RB57 BAID36 10UM	3/41	0.02260930905043729	0.9999824623199888	0	0	5.298904257230106	20.079633628334577	CNN2;COL4A2;CAV1
