Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
CID86294693 NVS-BET-1 CB-55-AK76 BAID23 1UM	18/664	8.167945659526399E-4	0.9994647119620443	0	0	2.478061775505796	17.61932388663674	STEAP3;SPARC;CMTM3;F2R;GPX8;AQP1;TMEM37;MMP14;ESPL1;ID3;COL8A1;HOXA7;HOXC9;HOXB7;NES;MDFI;HOXB5;TMEM45A
CID44193969 QE-98-XD90 BAID47 1UM	7/150	0.001914720342104405	0.9994647119620443	0	0	4.250510551395507	26.60047585991317	STEAP3;MMP14;SPARC;COL4A2;CMTM3;COL4A1;GPX8
CID60182393 S0-EE-Y97N BAID27 1UM	6/111	0.00191945130313289	0.9994647119620443	0	0	4.949528005034613	30.962841104931353	COL4A2;COL4A1;ID3;ADAMTS12;CD44;LOXL2
LB-67-JK40 BAID36 10UM	7/157	0.002477138120138876	0.9994647119620443	0	0	4.05070796460177	24.306886293094315	SPARC;COL4A2;FN1;GPX8;COL8A1;ID3;NES
CID11364421 BI-2536 AB-30-CR11 BAID3 1UM	11/355	0.0031048696516333507	0.9994647119620443	0	0	2.797677037502619	16.155979319354227	TMEM37;MMP14;F2R;GPX8;ID3;COL8A1;HOXA7;HOXB7;AQP1;HOXC6;TMEM45A
EA-17-BY69 BAID36 10UM	11/357	0.003239894367808944	0.9994647119620443	0	0	2.7812190803520283	15.942544485354428	TMEM37;STEAP3;SPARC;NNMT;COL4A2;F2R;ID3;ADAMTS12;AQP1;HOXC6;LOXL2
CID121499143 XMU-MP-1 BA-88-HT15 BAID24 10UM	14/525	0.0035415591670269636	0.9994647119620443	0	0	2.408957277788203	13.59419929910919	STEAP3;SPARC;CMTM3;F2R;GPX8;ADAMTS12;AQP1;COL4A2;ID3;COL8A1;HOXC9;HOXB7;MDFI;TMEM45A
CID4858 OC-40-XI13 BAID27 1UM	8/226	0.005126663122938283	0.9994647119620443	0	0	3.18841997961264	16.813496018461116	SPARC;CMTM3;MTHFD2;GPX8;COL8A1;ID3;AQP1;TMEM45A
BC-61-ZY95 BAID51 1UM	7/180	0.005250047775231367	0.9994647119620443	0	0	3.508056678090951	18.41560703579925	TMEM37;STEAP3;SPARC;KIF18B;ESPL1;NES;AQP1
BD-11-DV28 BAID9 10UM	9/278	0.005464150590661781	0.9994647119620443	0	0	2.9122742963356347	15.171628648773986	TMEM37;STEAP3;SPARC;KIF18B;CMTM3;F2R;VIM;NES;AQP1
CID72201027 SGC-CBP30 ED-33-YZ72 BAID4 10UM	9/280	0.005719433783765024	0.9994647119620443	0	0	2.890484976278334	14.926133362575284	TMEM37;SPARC;CMTM3;F2R;ID3;COL8A1;ADAMTS12;AQP1;TMEM45A
CID11249248 GD-96-AK08 BAID39 1UM	4/72	0.009954451585759545	0.9994647119620443	0	0	5.060107885949139	23.325758613168276	COL4A2;COL4A1;ID3;GATA4
CID44195094 GB-06-BA49 BAID27 1UM	8/254	0.010060715378054261	0.9994647119620443	0	0	2.821463414634146	12.97624037120493	STEAP3;SPARC;COL4A2;MTHFD2;COL4A1;VIM;HOXC8;AQP1
CID9852519 AVATROMBOPAG IA-23-DB04 BAID7 1UM	3/40	0.011229548979826531	0.9994647119620443	0	0	6.955346650998825	31.223988599524297	CMTM3;COL4A2;COL4A1
CID146673503 AD-72-OW33 BAID36 10UM	3/44	0.014551320143868516	0.9994647119620443	0	0	6.275503711558855	26.545842313039135	SPARC;MTHFD2;HOXC6
CID145986542 SMARCA2-IN-7 BC-20-WA90 BAID34 0.1UM	5/123	0.01464596889363025	0.9994647119620443	0	0	3.651687481415403	15.423231249000215	STEAP3;SPARC;F2R;FN1;COL8A1
CID71478195 SR9238 AF-16-GB72 BAID8 10UM	3/45	0.01545932863116118	0.9994647119620443	0	0	6.125776397515528	25.541686033145503	CMTM3;COL4A2;LOXL2
CID50925411 EB-33-ZP53 BAID20 10UM	10/390	0.0164736008717785	0.9994647119620443	0	0	2.287821571866887	9.393786512260844	STEAP3;SPARC;NNMT;COL4A1;F2R;ID3;COL8A1;HOXC9;NES;AQP1
CID139600315 CD-97-ZV62 BAID28 10UM	12/510	0.016830568536596414	0.9994647119620443	0	0	2.1009649457558743	8.581514206819458	TMEM37;SPARC;NNMT;COL4A2;CMTM3;F2R;CHI3L2;ID3;ADAMTS12;NES;AQP1;HOXC6
CID9875516 DENUFOSOL FE-94-WT30 BAID4 10UM	4/85	0.017440387207910607	0.9994647119620443	0	0	4.245188419860909	17.18862637089442	SPARC;MTHFD2;TNC;LOXL2
CID23630211 DB-18-UF01 BAID11 1UM	9/339	0.018279530498343986	0.9994647119620443	0	0	2.366517857142857	9.470741508246604	TMEM37;MMP14;STEAP3;CMTM3;F2R;ID3;NES;AQP1;TMEM45A
