Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
CID5330286 PALBOCICLIB AE-04-SN76 BAID7 1UM	86/551	5.308623236682745E-41	2.1059308379920447E-37	0	0	7.738003884230969	717.5966065716331	ARHGAP11A;TOP2A;ERCC6L;LRR1;HJURP;NRM;BUB1B;MCM10;FOXM1;MKI67;KIF15;LMNB1;CDC20;PTTG1;NUF2;PBK;PCLAF;MYBL2;OIP5;TK1;GTSE1;CEP55;DLGAP5;GAS2L3;CKAP2L;KIF23;ESCO2;CDC25C;PIMREG;WDR76;SGO1;CCNA2;ASPM;MELK;ESPL1;KIFC1;FANCD2;CKS2;DEPDC1;BIRC5;KIF2C;MTFR2;KIF20A;PRR11;DTL;ASF1B;CDCA2;PCNA;SLC43A3;TROAP;CDCA7;CDCA8;HMMR;SKA3;TYMS;CENPA;NCAPH;SKA1;AURKB;AURKA;CCNB2;CDC45;ORC1;E2F2;BUB1;E2F8;CENPU;GINS2;CDKN2C;RRM2;DDIAS;UBE2C;CBX2;PLK1;NDC80;TPX2;RAD51;KIF18B;CENPH;CENPI;CDK4;KIF4A;CDK2;CDK1;CENPM;SPC25
CID53378674 BB-86-UL91 BAID24 10UM	61/360	3.8179203675518044E-31	7.5728450490390045E-28	0	0	8.160961032250857	571.5972363551242	TOP2A;LRR1;HJURP;NRM;BUB1B;MKI67;FOXM1;LMNB1;CDC20;PTTG1;PCLAF;PBK;NUSAP1;MYBL2;TK1;GTSE1;DLGAP5;CKAP2L;KIF23;ESCO2;PIMREG;CDC25C;WDR76;CCNA2;MELK;ESPL1;KIFC1;FANCD2;BIRC5;KIF2C;KIF20A;MTFR2;PRR11;DTL;ASF1B;CDCA2;PCNA;TROAP;CDCA8;TYMS;CENPA;NCAPH;SKA1;AURKB;AURKA;CCNB2;CDC45;ORC1;GINS2;CDKN2C;RRM2;UBE2C;PLK1;TPX2;KIF18B;KIF4A;CDK1;CENPM;SPC24;EZH2;SPC25
CID71678945 NA-16-OJ70 BAID30 0.1UM	63/396	1.598292245913478E-30	2.1134751131795888E-27	0	0	7.586208850359794	520.4792980797205	ARHGAP11A;TOP2A;LRR1;HJURP;BUB1B;YBX1;FOXM1;MKI67;CDC20;PTTG1;NUF2;PBK;PCLAF;NUSAP1;OIP5;MYBL2;TK1;GTSE1;DLGAP5;CEP55;CKAP2L;KIF23;CDC25C;PIMREG;WDR76;CCNA2;MELK;ESPL1;KIFC1;FANCD2;BIRC5;KIF2C;KIF20A;ASF1B;CDCA2;TROAP;CDCA8;HMMR;TYMS;CENPA;NCAPH;SKA1;AURKB;AURKA;CCNB2;CDC45;ORC1;BUB1;GINS2;CDKN2C;RRM2;UBE2C;CBX2;PLK1;TPX2;RAD51;KIF18B;KIF4A;CDK1;CENPM;SPC24;EZH2;SPC25
CID44819306 CA-90-RU33 BAID12 10UM	55/300	6.0173282918061924E-30	5.9676853333987915E-27	0	0	8.893961708394698	598.411620138579	TOP2A;HJURP;BUB1B;MKI67;FOXM1;CDC20;PTTG1;PCLAF;PBK;MYBL2;TK1;DLGAP5;CEP55;CKAP2L;KIF23;ESCO2;PIMREG;CDC25C;WDR76;CCNA2;MELK;ESPL1;KIFC1;FANCD2;CKS2;BIRC5;KIF2C;KIF20A;ASF1B;CDCA2;TROAP;CDCA8;SKA3;TYMS;CENPA;SKA1;AURKB;AURKA;CCNB2;CDC45;BUB1;GINS2;CDKN2C;RRM2;UBE2C;PLK1;NDC80;TPX2;KIF18B;RAD51;KIF4A;CDK1;CENPM;SPC24;SPC25
CID53358942 IDASANUTLIN GD-82-CS38 BAID19 1UM	72/579	7.3246606065713655E-28	5.8113857252537215E-25	0	0	5.751175845850402	359.3399989398099	ARHGAP11A;TOP2A;ERCC6L;LRR1;HJURP;NRM;BUB1B;MCM10;YBX1;FOXM1;MKI67;LMNB1;CDC20;PTTG1;EME1;PBK;PCLAF;MYBL2;OIP5;TK1;GTSE1;CEP55;DLGAP5;CKAP2L;ACTL6A;KIF23;ESCO2;CDC25C;PIMREG;WDR76;CCNA2;ASPM;NEIL3;MELK;ESPL1;KIFC1;FANCD2;CKS2;BIRC5;KIF2C;KIF20A;PRR11;ASF1B;CDCA2;UHRF1;TROAP;CDCA7;CDCA8;CENPA;NCAPH;SKA1;AURKB;AURKA;CCNB2;CDC45;ORC1;E2F2;BUB1;GINS2;CDKN2C;RRM2;UBE2C;CBX2;PLK1;TPX2;RAD51;KIF18B;CENPH;CDK4;KIF4A;CENPM;SPC25
CID9907182 GB-94-XG34 BAID16 10UM	70/550	1.0298485599425359E-27	6.809015395486733E-25	0	0	5.88918439716312	365.9561901842911	ARHGAP11A;TOP2A;LRR1;RPLP0;HJURP;BUB1B;MCM10;YBX1;FOXM1;MKI67;CDC20;PTTG1;NUF2;PBK;PCLAF;MYBL2;OIP5;TK1;GTSE1;CEP55;DLGAP5;EIF5AL1;CKAP2L;KIF23;ESCO2;PIMREG;WDR76;CCNA2;ASPM;MELK;ESPL1;KIFC1;FANCD2;CKS2;BIRC5;KIF2C;MTFR2;KIF20A;PRR11;ASF1B;CDCA2;TROAP;CDCA7;CDCA8;HMMR;CENPA;NCAPH;SKA1;AURKB;AURKA;CCNB2;CDC45;EIF4EBP1;CENPU;GINS2;PPP1R14B;CDKN2C;RRM2;UBE2C;CBX2;PLK1;TPX2;RAD51;KIF18B;CENPH;CDK4;KIF4A;CDK1;CENPM;SPC25
CID5330286 PALBOCICLIB AE-04-SN76 BAID8 10UM	77/703	3.804480315593899E-26	2.1560533445658567E-23	0	0	5.0035468089070445	292.8627634652564	ARHGAP11A;TOP2A;LRR1;HJURP;NRM;BUB1B;MCM10;FOXM1;MKI67;KIF15;LMNB1;CDC20;PTTG1;EME1;NUF2;PBK;PCLAF;MYBL2;OIP5;TK1;GTSE1;CEP55;DLGAP5;CKAP2L;F2R;KIF23;ESCO2;CDC25C;PIMREG;WDR76;SGO1;CCNA2;MELK;ESPL1;KIFC1;FANCD2;BIRC5;KIF2C;KIF20A;PRR11;DTL;ASF1B;CDCA2;PCNA;TROAP;CDCA8;TYMS;CENPA;NCAPH;SKA1;AURKB;AURKA;CCNB2;CDC45;ORC1;E2F2;BUB1;CENPU;GINS2;POLQ;CDKN2C;RRM2;UBE2C;CBX2;PLK1;NDC80;TPX2;WEE1;RAD51;KIF18B;CENPH;CENPI;KIF4A;CDK2;CDK1;CENPM;SPC25
CID101476432 RC-52-AC88 BAID28 10UM	84/834	5.502895987783966E-26	2.728748547942374E-23	0	0	4.595438596491228	267.27961436865377	ARHGAP11A;TOP2A;CDCA7L;LRR1;RPLP0;HJURP;NRM;BUB1B;MCM10;YBX1;FOXM1;MKI67;KIF15;LMNB1;CDC20;PTTG1;EME1;PBK;PCLAF;RCC1;MYBL2;OIP5;TK1;GTSE1;CEP55;DLGAP5;EIF5AL1;CKAP2L;KIF23;ESCO2;CDC25C;PIMREG;WDR76;SGO1;CCNA2;ZNF90;NEIL3;MELK;ESPL1;KIFC1;FANCD2;CKS2;DEPDC1;BIRC5;KIF2C;MTFR2;KIF20A;PRR11;DTL;CDCA2;TROAP;CDCA8;HMMR;CENPA;NCAPH;SKA1;AURKB;AURKA;CCNB2;CDC45;ORC1;EIF4EBP1;E2F2;BUB1;GINS2;PPP1R14B;CDKN2C;RRM2;UBE2C;CBX2;PLK1;NDC80;TPX2;RAD51;KIF18B;CENPH;CENPI;CDK4;KIF4A;CDK1;CENPM;ID3;EZH2;SPC25
CID44818584 AA-42-XZ05 BAID32 10UM	28/74	3.718541629150023E-25	1.6390505158709044E-22	0	0	23.080502717391305	1298.3081848441086	TOP2A;TROAP;HJURP;CDCA8;MKI67;FOXM1;TYMS;AURKB;AURKA;CDC20;PTTG1;PCLAF;MYBL2;TK1;RRM2;CKAP2L;UBE2C;PLK1;ESCO2;PIMREG;TPX2;KIFC1;KIF4A;BIRC5;CENPM;KIF2C;KIF20A;PRR11
CID71678945 NA-16-OJ70 BAID32 10UM	50/328	1.6551609999037184E-23	6.566023686618051E-21	0	0	7.040816326530612	369.32995519552315	TOP2A;LRR1;HJURP;NRM;BUB1B;MCM10;MKI67;FOXM1;CDC20;EME1;PCLAF;OIP5;MYBL2;TK1;GTSE1;DLGAP5;ESCO2;PIMREG;WDR76;MELK;ESPL1;KIFC1;FANCD2;CKS2;BIRC5;KIF2C;KIF20A;PRR11;ASF1B;CDCA2;TROAP;CDCA8;TYMS;CENPA;AURKB;AURKA;CCNB2;CDC45;ORC1;GINS2;CDKN2C;RRM2;UBE2C;CBX2;PLK1;NDC80;TPX2;KIF18B;KIF4A;CENPM
