Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
CID44195094 GB-06-BA49 BAID27 1UM	14/254	8.427135894633417E-4	0.9999907025944591	0	0	2.8357621440536014	20.074029594027603	STEAP3;FOXD1;ANXA2;MMP2;ANXA5;CCDC80;COL4A2;MTHFD2;COL4A1;TAGLN2;IGFBP7;TGFBI;VIM;S100A11
CID988563 GD-71-OU80 BAID12 10UM	8/106	0.0015763674183204852	0.9999907025944591	0	0	3.9381693271367952	25.41155813555655	TUBA1C;FOXD1;COL4A2;ANXA2;CMTM3;ANXA5;ID3;TGFBI
CID118695109 BROMODOMAININHIBITOR-9 BC-34-IH52 BAID44 10UM	9/133	0.0017630694784959255	0.9999907025944591	0	0	3.505483070519491	22.227212884428194	PPP1R14B;CCDC80;PLAU;TGFB1I1;EIF4EBP1;SERPINH1;ID3;HOXC13;EMP3
CID4877 IC-91-IX22 BAID27 1UM	8/110	0.0019950117853102843	0.9999907025944591	0	0	3.782954766064842	23.519028206089466	FOXD1;COL4A2;CMTM3;COL4A1;MMP2;SERPINH1;TAGLN2;TGFBI
CID60182393 S0-EE-Y97N BAID27 1UM	8/111	0.002112229256286146	0.9999907025944591	0	0	3.7460347976545227	23.075616944661153	COL4A2;COL4A1;ID3;TAGLN2;TGFBI;NID1;CD44;LOXL2
CID132010322 DA-27-BW40 BAID26 0.1UM	10/166	0.0023781296895649525	0.9999907025944591	0	0	3.0986095165199643	18.720066405537704	CCDC80;CMTM3;TGFB1I1;MMP2;PDPN;EIF4EBP1;SERPINH1;ID3;TGFBI;EMP3
CID10316032 SD-208 AA-86-YV75 BAID3 1UM	5/46	0.002478627153635525	0.9999907025944591	0	0	5.8569545154911005	35.14202251282729	ANXA2;COL4A2;COL4A1;MMP2;TGFBI
CID16119710 JE-04-LS32 BAID51 1UM	11/197	0.002665801880723635	0.9999907025944591	0	0	2.861421714530877	16.96036292560457	STEAP3;CCDC80;FOXD1;GNG5;ANXA5;ID3;TGFBI;YBX1;VIM;PDIA4;TMEM45A
CID121499143 XMU-MP-1 BA-88-HT15 BAID24 10UM	21/525	0.0030853802934595917	0.9999907025944591	0	0	2.0336743393009376	11.75683477635469	APOBEC3C;PPP1R14B;STEAP3;ANXA2;CMTM3;SLC43A3;MMP2;GPX8;EMP3;SYDE1;CCDC80;COL4A2;SERPINH1;ID3;TAGLN2;PLP2;TGFBI;HOXB7;CLIC1;S100A11;TMEM45A
CID52912189 AF-30-GH67 BAID27 1UM	20/493	0.0032765247665991312	0.9999907025944591	0	0	2.0618501100228674	11.795786625277286	APOBEC3C;CMTM3;SLC43A3;TGFB1I1;MMP2;TNC;EMP3;SPOCD1;TMEM37;SYDE1;CCDC80;PLAU;PDPN;SERPINH1;EIF4EBP1;ID3;PLP2;TGFBI;CLIC1;TMEM45A
CID59259130 FD-20-DQ38 BAID27 1UM	6/72	0.0036642764697900282	0.9999907025944591	0	0	4.3712494402149575	24.5188818030595	CMTM3;MTHFD2;MMP2;ANXA5;SERPINH1;FN1
CID5381 TAZAROTENE IA-14-WP20 BAID11 1UM	5/51	0.0039064838524786455	0.9999907025944591	0	0	5.218993697254567	28.93993370074829	STEAP3;NNMT;SERPINH1;VIM;PDIA4
CID44193969 QE-98-XD90 BAID47 1UM	9/150	0.003966724402820706	0.9999907025944591	0	0	3.0801436038223957	17.032623108417145	STEAP3;MMP14;FOXD1;COL4A2;CMTM3;COL4A1;MMP2;GPX8;TGFBI
CID51039095 AZD-4547 BD-81-LB65 BAID39 1UM	5/52	0.004250417044669628	0.9999907025944591	0	0	5.107689894923937	27.89175718353799	FOXD1;CMTM3;MTHFD2;SLC43A3;EIF4EBP1
CA-48-CT20 BAID36 10UM	10/182	0.004587917435424088	0.9999907025944591	0	0	2.8080527594585214	15.119480118692822	TUBA1C;FOXD1;ANXA2;MTHFD2;EIF4EBP1;ID3;TAGLN2;YBX1;VIM;CLIC1
CID118958122 FD-86-NE74 BAID16 10UM	18/442	0.004943960750656499	0.9999907025944591	0	0	2.064888420649363	10.963707807192632	EIF5AL1;PPP1R14B;STEAP3;ANXA2;MMP2;ANXA5;RPLP0;EMP3;TUBA1C;CCDC80;MTHFD2;SERPINH1;EIF4EBP1;TAGLN2;VIM;TGFBI;S100A11;TMEM45A
CID4877 IC-91-IX22 BAID28 10UM	8/129	0.005306219277196337	0.9999907025944591	0	0	3.1858276736764584	16.690155177158545	ABCC3;FOXD1;COL4A2;COL4A1;ANXA5;TAGLN2;TGFBI;YBX1
CID4858 OC-40-XI13 BAID27 1UM	11/226	0.0074178390753679236	0.9999907025944591	0	0	2.471762454329293	12.121195552559508	COL3A1;CCDC80;CMTM3;MTHFD2;SERPINH1;GPX8;ID3;EMP3;PLP2;TGFBI;TMEM45A
CID46943432 MOLIBRESIB EF-73-IP33 BAID16 10UM	12/260	0.007949779051632131	0.9999907025944591	0	0	2.339516129032258	11.310650746529758	APOBEC3C;TMEM37;CCDC80;PLAU;TGFB1I1;SERPINH1;HOXB3;ID3;EMP3;PLP2;TGFBI;NKX2-5
CID9852519 AVATROMBOPAG IA-23-DB04 BAID7 1UM	4/40	0.009034871022007824	0.9999907025944591	0	0	5.324618736383442	25.061189352349018	FOXD1;CMTM3;COL4A2;COL4A1
CID11238078 FA-16-KA99 BAID45 0.01UM	4/41	0.009852292131698408	0.9999907025944591	0	0	5.180445151033386	23.933921562746946	TUBA1C;CMTM3;YBX1;VIM
CID9961435 TEGLARINAD OB-78-PA58 BAID7 1UM	9/182	0.013382234175985294	0.9999907025944591	0	0	2.506275190407206	10.811638236057501	TMEM37;FOXD1;CMTM3;MMP2;PDPN;SERPINH1;TGFBI;VGLL2;PDIA4
CID71478195 SR9238 AF-16-GB72 BAID8 10UM	4/45	0.013596115378339206	0.9999907025944591	0	0	4.674079387852702	20.08905841315432	CMTM3;COL4A2;LOX;LOXL2
CID71727020 DE-11-PO61 BAID16 10UM	9/186	0.01523071932366365	0.9999907025944591	0	0	2.4491315136476426	10.248246032286287	EIF5AL1;CCDC80;FOXD1;ANXA2;MTHFD2;EIF4EBP1;SERPINH1;TAGLN2;TGFBI
CID447700 PD-166326 HF-91-IU60 BAID19 1UM	16/427	0.016194752917136655	0.9999907025944591	0	0	1.8852269655189364	7.77291894262036	FOXD1;ANXA2;CMTM3;MMP2;YBX1;BCL2L12;TUBA1C;CCDC80;MTHFD2;COL4A1;SERPINH1;EIF4EBP1;TAGLN2;VIM;TGFBI;TMEM45A
CID24888322 BJB-432 PA-25-OV46 BAID48 10UM	9/188	0.016222419159488282	0.9999907025944591	0	0	2.4215173905208145	9.979947563468887	MMP14;PPP1R14B;CCDC80;NNMT;CMTM3;TGFB1I1;MMP2;SERPINH1;EMP3
LB-67-JK40 BAID36 10UM	8/157	0.016272274521915642	0.9999907025944591	0	0	2.5834274702638047	10.639310153344057	CCDC80;COL4A2;SERPINH1;FN1;GPX8;ID3;TGFBI;EMP3
CID132471728 LA-44-KW22 BAID44 10UM	4/48	0.016925384057959646	0.9999907025944591	0	0	4.354723707664884	17.76266006755724	NNMT;CMTM3;ANXA2;IGFBP7
CID68487333 AB-86-GB42 BAID8 10UM	4/48	0.016925384057959646	0.9999907025944591	0	0	4.354723707664884	17.76266006755724	COL4A2;MMP2;TGFBI;SERINC2
CID86294693 NVS-BET-1 CB-55-AK76 BAID22 0.1UM	15/399	0.01900885260462411	0.9999907025944591	0	0	1.8895623425692696	7.488053039578671	APOBEC3C;PPP1R14B;STEAP3;TGFB1I1;MMP2;FN1;EMP3;TMEM37;CCDC80;SERPINH1;ID3;PLP2;TGFBI;CLIC1;TMEM45A
CID134823928 NVS-ZP7-4 GA-81-DL34 BAID35 1UM	5/75	0.019267340675217744	0.9999907025944591	0	0	3.4254124254124254	13.528131357084916	FOXD1;ANXA2;COL4A2;ID3;TGFBI
CID86294693 NVS-BET-1 CB-55-AK76 BAID23 1UM	22/664	0.020092853077568827	0.9999907025944591	0	0	1.6647176292036105	6.504702840749959	APOBEC3C;PPP1R14B;STEAP3;CMTM3;TGFB1I1;MMP2;GPX8;EMP3;HOXC13;TMEM37;SYDE1;MMP14;CCDC80;SERPINH1;HOXB3;ID3;PLP2;TGFBI;HOXB7;CLIC1;HOXB5;TMEM45A
CID46901383 BPKDI CC-09-YG11 BAID27 1UM	4/51	0.02072303676673867	0.9999907025944591	0	0	4.0761368377138085	15.801182401163926	COL4A2;CMTM3;MMP2;SERPINH1
CID11617407 RF-36-EI47 BAID11 1UM	5/78	0.022430732474708	0.9999907025944591	0	0	3.284137188246777	12.470930583075473	BCL2L12;COL4A2;MMP2;TGFBI;S100A11
DE-20-VX20 BAID36 10UM	12/303	0.023817652936299175	0.9999907025944591	0	0	1.9893814432989692	7.434971474493674	TUBA1C;FOXD1;ANXA2;COL4A2;CMTM3;ANXA5;HOXB3;TAGLN2;PLP2;TGFBI;VIM;CLIC1
CID294677 13H-BENZO[G]INDENO[1,2-B]QUINOXALIN-13-ONE IE-28-SY71 BAID49 0.01UM	6/108	0.024345258365775592	0.9999907025944591	0	0	2.82323964068386	10.489515878234553	TUBA1C;FOXD1;CMTM3;ANXA5;FN1;VIM
CID91758287 DC-08-CM08 BAID23 1UM	7/139	0.025209310012495677	0.9999907025944591	0	0	2.547549569771792	9.376362953621761	CCDC80;MMP2;EIF4EBP1;SERPINH1;TGFBI;HOXD11;PDIA4
CID11035592 AE-39-DG66 BAID17 0.01UM	8/171	0.02563731045807	0.9999907025944591	0	0	2.3598372107149364	8.645751042910442	STEAP3;CCDC80;ANXA2;MTHFD2;TGFB1I1;MMP2;SERPINH1;YBX1
XB-53-OZ95 BAID51 1UM	8/174	0.028050263038985116	0.9999907025944591	0	0	2.3168316831683167	8.279794070054585	FOXD1;COL4A2;ANXA2;MMP2;FN1;TAGLN2;TGFBI;S100A11
CID11416123 GSK983 RD-64-KA33 BAID26 0.1UM	4/56	0.028133214603409337	0.9999907025944591	0	0	3.683257918552036	13.152193531495815	COL4A2;CMTM3;MMP2;SERPINH1
CID10316032 SD-208 AA-86-YV75 BAID4 10UM	9/209	0.02966058989430775	0.9999907025944591	0	0	2.164913151364764	7.616026028798164	IKBIP;FOXD1;ANXA2;COL4A2;COL4A1;MMP2;TNC;TAGLN2;TGFBI
CID118693659 AZD-5153 HE-16-PO98 BAID16 10UM	16/460	0.029732790190882156	0.9999907025944591	0	0	1.7421057421057422	6.124381090386347	APOBEC3C;CMTM3;TGFB1I1;GPX8;EMP3;HOXC10;MMP14;CCDC80;LOX;PLAU;SERPINH1;EIF4EBP1;ID3;PLP2;TGFBI;TMEM45A
CID54764565 URMC-099 GF-90-DG49 BAID31 1UM	8/177	0.030616057857701124	0.9999907025944591	0	0	2.2753529790848908	7.932405274944979	EIF5AL1;CCDC80;FOXD1;ANXA2;ID3;TAGLN2;TGFBI;CLIC1
CID118694876 XB-35-TO54 BAID44 10UM	9/211	0.0312541580300984	0.9999907025944591	0	0	2.143257253765079	7.427678456978743	APOBEC3C;PPP1R14B;CCDC80;TGFB1I1;SERPINH1;ID3;EMP3;TGFBI;CLIC1
CID67347910 SC-25-HE80 BAID26 0.1UM	4/58	0.031484834784795634	0.9999907025944591	0	0	3.546477850399419	12.264604488571846	TMEM37;MMP2;SERPINH1;ID3
AA-70-VU13 BAID51 1UM	4/58	0.031484834784795634	0.9999907025944591	0	0	3.546477850399419	12.264604488571846	PLAU;MTHFD2;SLC43A3;VIM
CID51000408 VE-821 OD-77-AG95 BAID4 10UM	6/115	0.03182293096856213	0.9999907025944591	0	0	2.640981606182492	9.104964068687055	COL4A2;ANXA2;ID3;TAGLN2;TGFBI;LOXL2
CID135496218 CA-00-AR16 BAID7 1UM	4/59	0.03324480018251634	0.9999907025944591	0	0	3.481818181818182	11.851610876145728	MTHFD2;VIM;VGLL2;TMEM45A
CID11364421 BI-2536 AB-30-CR11 BAID3 1UM	13/355	0.03330297782150008	0.9999907025944591	0	0	1.8335165398877311	6.237822135431059	APOBEC3C;TGFB1I1;GPX8;HOXC10;TMEM37;MMP14;CCDC80;SERPINH1;HOXB3;ID3;TGFBI;HOXB7;TMEM45A
CID132010322 DA-27-BW40 BAID25 0.01UM	7/148	0.03384842530697867	0.9999907025944591	0	0	2.383836791874617	8.07134431593012	PPP1R14B;CMTM3;MMP2;EIF4EBP1;SERPINH1;EMP3;HOXD11
CID86294693 NVS-BET-1 CB-55-AK76 BAID24 10UM	21/663	0.034689246801816814	0.9999907025944591	0	0	1.5849845830245954	5.3276491443581255	APOBEC3C;PPP1R14B;CMTM3;TGFB1I1;MMP2;GPX8;EMP3;TMEM37;SYDE1;MMP14;CCDC80;COL4A2;PLAU;SERPINH1;ID3;PLP2;TGFBI;HOXB7;CLIC1;S100A11;TMEM45A
