Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
CID44818584 AA-42-XZ05 BAID32 10UM	18/74	4.3627027525879345E-10	1.296190941379916E-6	0	0	7.942811059907834	171.18949388519485	RRM2;CKAP2L;PLK1;HJURP;CDCA8;MKI67;FOXM1;PIMREG;TYMS;CDC20;KIFC1;KIF4A;PCLAF;MYBL2;KIF2C;TK1;KIF20A;PRR11
CID71678945 NA-16-OJ70 BAID30 0.1UM	44/396	7.41089267093977E-10	1.296190941379916E-6	0	0	3.1466955941255006	66.1526668984907	ARHGAP11A;HJURP;CDCA8;BUB1B;YBX1;FOXM1;MKI67;TYMS;CENPA;NCAPH;SKA1;CDC20;CCNB2;CDC45;ORC1;SERPINH1;PBK;PCLAF;NUSAP1;OIP5;MYBL2;TK1;BUB1;DLGAP5;CEP55;RRM2;CKAP2L;PLK1;KIF23;CDC25C;PIMREG;CCNA2;TMEM37;MELK;RAD51;KIFC1;KIF4A;KIF2C;KIF20A;NES;SPC24;ASF1B;APOBEC3B;SPC25
CID44819306 CA-90-RU33 BAID12 10UM	37/300	9.70687175272029E-10	1.296190941379916E-6	0	0	3.525298247731708	73.16057399684833	HJURP;CDCA8;BUB1B;MKI67;SKA3;TYMS;FOXM1;CENPA;SKA1;CDC20;CCNB2;CDC45;PCLAF;PBK;MYBL2;TK1;BUB1;DLGAP5;CEP55;RRM2;CKAP2L;PLK1;KIF23;PIMREG;CDC25C;NDC80;CCNA2;MELK;RAD51;KIFC1;KIF4A;KIF2C;KIF20A;SPC24;ASF1B;APOBEC3B;SPC25
CID151345176 AC-45-YY00 BAID36 10UM	19/92	2.811888787544108E-9	2.3126758411742184E-6	0	0	6.434214718063077	126.68588783520754	RRM2;PLK1;HJURP;BUB1B;CDCA8;KIF23;MKI67;PIMREG;CDC25C;CENPA;CDC20;CCNA2;KIFC1;KIF4A;KIF2C;TK1;KIF20A;PRR11;DLGAP5
CID53358942 IDASANUTLIN GD-82-CS38 BAID18 0.1UM	30/218	2.886515028924386E-9	2.3126758411742184E-6	0	0	3.9776498145617802	78.21338721680775	HJURP;CDCA8;BUB1B;MKI67;CENPA;NCAPH;SKA1;CDC20;CDC45;MDK;PCLAF;SERPINH1;E2F2;MYBL2;TK1;RRM2;CKAP2L;PLK1;PIMREG;CDC25C;MELK;CENPH;KIFC1;KIF4A;KIF2C;KIF20A;PRR11;NES;ASF1B;APOBEC3B
CID5330286 PALBOCICLIB AE-04-SN76 BAID7 1UM	52/551	6.8978766961594934E-9	4.6054823408024884E-6	0	0	2.6309461027317793	49.440876492382934	ARHGAP11A;HJURP;BUB1B;MCM10;FOXM1;MKI67;KIF15;LMNB1;CDC20;PBK;PCLAF;OIP5;MYBL2;TK1;DLGAP5;CEP55;CKAP2L;KIF23;CDC25C;PIMREG;CCNA2;ASPM;MELK;KIFC1;KIF2C;MTFR2;KIF20A;PRR11;ASF1B;PCNA;CDCA8;SKA3;TYMS;CENPA;NCAPH;SKA1;CCNB2;CDC45;ORC1;E2F2;BUB1;CENPU;RRM2;DDIAS;PLK1;NDC80;RAD51;CENPH;CENPI;KIF4A;APOBEC3B;SPC25
CID53378674 BB-86-UL91 BAID24 10UM	38/360	4.302113508181549E-8	2.4620381019678985E-5	0	0	2.951873637448069	50.06842410984266	PCNA;HJURP;CDCA8;BUB1B;MKI67;TYMS;FOXM1;CENPA;NCAPH;SKA1;LMNB1;CDC20;CCNB2;CDC45;ORC1;PCLAF;PBK;NUSAP1;MYBL2;TK1;DLGAP5;RRM2;CKAP2L;PLK1;KIF23;PIMREG;CDC25C;CCNA2;MELK;KIFC1;KIF4A;KIF2C;KIF20A;MTFR2;PRR11;SPC24;ASF1B;SPC25
CID53358942 IDASANUTLIN GD-82-CS38 BAID19 1UM	51/579	9.00137001365124E-8	4.507436034335858E-5	0	0	2.431565486400392	39.448025971052736	ARHGAP11A;HJURP;BUB1B;MCM10;YBX1;FOXM1;MKI67;AQP1;LMNB1;CDC20;MDK;PBK;PCLAF;OIP5;MYBL2;TK1;DLGAP5;CEP55;CKAP2L;KIF23;CDC25C;PIMREG;CCNA2;TMEM37;ASPM;MELK;KIFC1;KIF2C;KIF20A;PRR11;ASF1B;UHRF1;CDCA8;CENPA;NCAPH;SKA1;CCNB2;CDC45;ORC1;SERPINH1;E2F2;BUB1;CA12;RRM2;PLK1;RAD51;CENPH;KIF4A;NES;APOBEC3B;SPC25
CID9907182 GB-94-XG34 BAID16 10UM	49/550	1.1442127987408628E-7	5.0930183019509956E-5	0	0	2.4590442770373233	39.30383607343305	ARHGAP11A;STEAP3;HJURP;BUB1B;MCM10;YBX1;FOXM1;MKI67;CDC20;PBK;PCLAF;OIP5;MYBL2;TK1;DLGAP5;CEP55;FOXD1;ANXA2;CKAP2L;KIF23;PIMREG;CCNA2;ASPM;MELK;KIFC1;TAGLN2;KIF2C;MTFR2;KIF20A;PRR11;ASF1B;CDCA8;CENPA;NCAPH;SKA1;CCNB2;CDC45;GNG5;SERPINH1;CENPU;RRM2;PLK1;RAD51;CENPH;KIF4A;VIM;NES;APOBEC3B;SPC25
CID58144 INDOLOPHENANTHRIDINE BD-46-RY02 BAID16 10UM	21/139	1.3632077523033266E-7	5.461010255727127E-5	0	0	4.400511548256784	69.5644090683057	ARHGAP11A;RRM2;CDCA7L;PLK1;BUB1B;CDCA8;YBX1;MKI67;LMNB1;CDC20;ASPM;LOX;CENPH;KIF4A;PDPN;SERPINH1;PBK;KIF2C;KIF20A;TK1;DLGAP5
CID53378674 BB-86-UL91 BAID23 1UM	18/107	2.0394359121175023E-7	7.427254785402468E-5	0	0	4.989111997100399	76.85937769132877	RRM2;PLK1;CDCA8;MKI67;PIMREG;TYMS;CDC20;CCNB2;MELK;CDC45;KIFC1;KIF4A;PCLAF;MYBL2;KIF2C;KIF20A;TK1;DLGAP5
CID219077 OSANETANT SB-75-UH17 BAID32 10UM	26/217	5.314604938413287E-7	1.7567509446403035E-4	0	0	3.3749223533587718	48.759652968268384	HJURP;CDCA8;BUB1B;MKI67;FOXM1;CENPA;NCAPH;AQP1;CDC20;CDC45;PCLAF;SERPINH1;MYBL2;TK1;DLGAP5;RRM2;PLK1;MELK;CENPH;KIF4A;TAGLN2;KIF2C;KIF20A;NES;ASF1B;SPC25
EA-73-UC67 BAID36 10UM	23/177	5.700889236226647E-7	1.7567509446403035E-4	0	0	3.6955557429583403	53.13275469537762	RRM2;CKAP2L;PLK1;HJURP;BUB1B;CDCA8;MKI67;PIMREG;CENPA;CDC20;MELK;KIFC1;KIF4A;PCLAF;PBK;KIF2C;KIF20A;TGFBI;TK1;NES;BUB1;DLGAP5;APOBEC3B
CID5330286 PALBOCICLIB AE-04-SN76 BAID6 0.1UM	11/44	8.220140121728063E-7	2.264606088607959E-4	0	0	8.17306052855925	114.51690621362697	CDC20;CCNB2;RRM2;HJURP;PBK;PCLAF;MYBL2;KIF2C;KIF20A;PIMREG;DLGAP5
CID72710839 BLU-9931 HF-79-EC41 BAID4 10UM	45/520	8.479553502026806E-7	2.264606088607959E-4	0	0	2.37247396566282	33.168224840986504	STEAP3;HJURP;CDCA8;BUB1B;YBX1;FOXM1;MKI67;CENPA;SKA1;KIF15;LMNB1;CDC20;CCNB2;CDC45;SERPINH1;PBK;PCLAF;MYBL2;TK1;DLGAP5;CEP55;CA12;RRM2;ANXA2;CMTM3;CKAP2L;PLK1;KIF23;CDC25C;PIMREG;CCNA2;TMEM37;MELK;CENPH;KIFC1;KIF4A;KIF2C;KIF20A;TGFBI;VIM;PRR11;NES;ASF1B;APOBEC3B;SPC25
CID71678945 NA-16-OJ70 BAID32 10UM	33/328	9.88430620310426E-7	2.474783165602229E-4	0	0	2.783657448706512	38.49004180882436	HJURP;CDCA8;BUB1B;MCM10;MKI67;TYMS;FOXM1;CENPA;CDC20;CCNB2;CDC45;ORC1;PCLAF;SERPINH1;OIP5;MYBL2;TK1;DLGAP5;RRM2;PLK1;PIMREG;NDC80;TMEM37;MELK;KIFC1;KIF4A;TAGLN2;KIF2C;KIF20A;TGFBI;PRR11;NES;ASF1B
CID71481097 SELINEXOR OB-17-DQ74 BAID6 0.1UM	23/198	4.041453212137345E-6	9.523565628130709E-4	0	0	3.248504638218924	40.34287447252858	CA12;RRM2;PLK1;HJURP;CDCA8;MKI67;NCAPH;KIF15;CDC20;TMEM37;CCNB2;MELK;CDC45;KIFC1;KIF4A;PCLAF;PBK;E2F2;KIF2C;MYBL2;KIF20A;DLGAP5;CEP55
BB-84-DG64 BAID52 10UM	35/390	6.348184555380004E-6	0.001412823740491794	0	0	2.452042067709688	29.344425244701032	STEAP3;HJURP;CDCA8;BUB1B;YBX1;FOXM1;MKI67;CENPA;NCAPH;SKA1;CDC20;CCNB2;CDC45;MDK;SERPINH1;PCLAF;OIP5;MYBL2;TK1;RRM2;CKAP2L;PLK1;CDC25C;PIMREG;MELK;CENPH;KIFC1;KIF4A;KIF2C;KIF20A;PRR11;NES;ASF1B;APOBEC3B;SPC25
JD-02-GA59 BAID32 10UM	15/101	1.0238457079895101E-5	0.0021586978453715672	0	0	4.286707120224786	49.251519713441795	RRM2;ANXA2;BUB1B;TYMS;AQP1;CDC20;CCNA2;CDC45;CENPH;PCLAF;SERPINH1;TAGLN2;MYBL2;TK1;NES
BE-04-AN21 BAID11 1UM	25/240	1.0973029186684363E-5	0.002197897746092878	0	0	2.875484496124031	32.83823477051671	HJURP;CDCA8;MKI67;FOXM1;CENPA;NCAPH;LMNB1;CDC20;CCNB2;PCLAF;MYBL2;TK1;DLGAP5;RRM2;PLK1;PIMREG;MELK;KIFC1;KIF4A;KIF2C;KIF20A;PRR11;NES;ASF1B;APOBEC3B
PB-63-WH18 BAID36 10UM	24/226	1.1839575629313654E-5	0.0022585399986205	0	0	2.9363066345646267	33.30964677819633	CA12;SPARC;RRM2;ANXA2;PLK1;HJURP;CDCA8;BUB1B;KIF23;SKA1;AQP1;CDC20;MELK;COL4A2;KIF4A;PCLAF;SERPINH1;PBK;TAGLN2;KIF2C;TK1;NES;DLGAP5;APOBEC3B
TF-29-QU48 BAID52 10UM	50/674	1.6785658493973714E-5	0.002952186628620041	0	0	2.0040678814231976	22.034697692474314	STEAP3;CDCA7L;HJURP;BUB1B;FOXM1;MKI67;AQP1;LMNB1;CDC20;MDK;PBK;PCLAF;MYBL2;TK1;DLGAP5;CEP55;CKAP2L;KIF23;CDC25C;PIMREG;CCNA2;TMEM37;MELK;KIFC1;TAGLN2;KIF2C;MTFR2;KIF20A;PRR11;ASF1B;CDCA8;CENPA;NCAPH;SKA1;CCNB2;CDC45;ORC1;SERPINH1;E2F2;CA12;RRM2;DDIAS;PLK1;RAD51;CENPH;KIF4A;NES;SPC24;APOBEC3B;SPC25
CID378811 MR16728 ND-68-CU31 BAID27 1UM	17/131	1.6949648641602832E-5	0.002952186628620041	0	0	3.6690744257551096	40.30574919727837	RRM2;CKAP2L;HJURP;BUB1B;CDCA8;KIF23;CDC25C;PIMREG;NCAPH;CCNA2;TMEM37;MELK;KIFC1;KIF4A;PCLAF;KIF20A;CEP55
CID101476432 RC-52-AC88 BAID28 10UM	58/834	2.4077417887594425E-5	0.004018922335737636	0	0	1.874251350024546	19.931231505327393	ARHGAP11A;STEAP3;CDCA7L;TNC;HJURP;BUB1B;MCM10;YBX1;FOXM1;MKI67;KIF15;LMNB1;CDC20;PBK;PCLAF;RCC1;MYBL2;OIP5;TK1;DLGAP5;CEP55;ANXA2;CKAP2L;KIF23;CDC25C;PIMREG;CCNA2;TMEM37;MELK;KIFC1;TAGLN2;KIF2C;KIF20A;MTFR2;PRR11;CDCA8;CENPA;NCAPH;SKA1;CCNB2;CDC45;ORC1;SERPINH1;E2F2;BUB1;CA12;RRM2;PLK1;NDC80;RAD51;CENPH;CENPI;KIF4A;VIM;TGFBI;NES;APOBEC3B;SPC25
CID5330286 PALBOCICLIB AE-04-SN76 BAID8 10UM	51/703	2.5094029374306905E-5	0.0040210672669389385	0	0	1.956048567129132	20.720188946112803	ARHGAP11A;HJURP;BUB1B;MCM10;FOXM1;MKI67;KIF15;LMNB1;CDC20;PBK;PCLAF;OIP5;MYBL2;TK1;DLGAP5;CEP55;CKAP2L;F2R;KIF23;CDC25C;PIMREG;CCNA2;MELK;KIFC1;KIF2C;KIF20A;PRR11;ASF1B;PCNA;CDCA8;TYMS;CENPA;NCAPH;SKA1;CCNB2;CDC45;ORC1;E2F2;BUB1;CA12;CENPU;RRM2;PLK1;NDC80;RAD51;CENPH;CENPI;KIF4A;NES;APOBEC3B;SPC25
CID5327655 AB-80-CK34 BAID11 1UM	22/209	3.0993061961324634E-5	0.004775315623733326	0	0	2.9022659647516593	30.130591513242965	RRM2;CKAP2L;PLK1;HJURP;CDCA8;MKI67;PIMREG;CDC25C;CDC20;TMEM37;MAGED4B;KIFC1;MDK;KIF4A;SERPINH1;KIF2C;MYBL2;KIF20A;TK1;MTFR2;PRR11;NES
CB-25-VR83 BAID36 10UM	32/378	4.9369526472432186E-5	0.007324974927724569	0	0	2.29220754559334	22.729936194730737	ARHGAP11A;STEAP3;SPARC;HJURP;CDCA8;BUB1B;MCM10;YBX1;TYMS;CDC20;CDC45;EXO1;PCLAF;PBK;NUSAP1;OIP5;MYBL2;TK1;BUB1;DLGAP5;RRM2;ANXA2;KIF23;CDC25C;CCNA2;TMEM37;MELK;KIF4A;TAGLN2;KIF2C;VIM;NES
ID-69-QF93 BAID52 10UM	30/346	5.4426332340784E-5	0.007786853119899312	0	0	2.350523416892015	23.078996060256276	TGFB1I1;CDCA8;BUB1B;YBX1;MKI67;SKA1;AQP1;CDC20;CCNB2;MAGED4B;PCLAF;SERPINH1;MYBL2;TK1;RRM2;ANXA2;CMTM3;PIMREG;MELK;CENPH;COL4A2;TAGLN2;KIF2C;KIF20A;TGFBI;VIM;PRR11;NES;ASF1B;APOBEC3B
CID448013 EPOTHILONEB AD-58-PW17 BAID21 0.01UM	25/265	5.824056703395742E-5	0.00804523143234598	0	0	2.5725640190972223	25.084887600844876	STEAP3;SPARC;HJURP;CDCA8;BUB1B;MKI67;NCAPH;LOXL2;MDK;TK1;DLGAP5;RRM2;CKAP2L;PLK1;KIF23;PIMREG;CDC25C;TMEM37;MELK;KIFC1;KIF4A;TAGLN2;KIF2C;KIF20A;ASF1B
CID16007391 AZD-1152HQPA BA-34-BQ43 BAID38 0.1UM	17/145	6.33688713205254E-5	0.008461856617000824	0	0	3.2653733086340204	31.564854537734792	RRM2;PLK1;HJURP;CDCA8;KIF23;PIMREG;CCNB2;TMEM37;MELK;KIF4A;PCLAF;SERPINH1;KIF2C;TK1;VIM;DLGAP5;CEP55
CID71678945 NA-16-OJ70 BAID31 1UM	46/636	6.699842556940364E-5	0.008657925575194547	0	0	1.9430989494701971	18.67481590134012	HJURP;CDCA8;BUB1B;FOXM1;MKI67;CENPA;NCAPH;SKA1;LMNB1;CDC20;CCNB2;CDC45;ORC1;MDK;SERPINH1;PBK;PCLAF;E2F2;RCC1;OIP5;MYBL2;TK1;BUB1;DLGAP5;CEP55;CENPU;RRM2;CKAP2L;PLK1;KIF23;CDC25C;PIMREG;CCNA2;TMEM37;MELK;RAD51;CENPH;KIFC1;KIF4A;KIF2C;MTFR2;KIF20A;NES;ASF1B;APOBEC3B;SPC25
CID11290018 AC-33-YJ09 BAID7 1UM	22/227	1.0729197736481395E-4	0.013431614416357646	0	0	2.6449273986903292	24.174521844164428	RRM2;CMTM3;PLK1;HJURP;CDCA8;PIMREG;CDC25C;CENPA;NCAPH;PDIA4;CDC20;TMEM37;MAGED4B;MELK;KIFC1;KIF4A;PCLAF;SERPINH1;KIF2C;KIF20A;TK1;PRR11
CID9820526 VC-19-YG34 BAID27 1UM	38/506	1.3293921465389567E-4	0.015850373858191217	0	0	2.0152883907850794	17.987695478431718	STEAP3;HJURP;CDCA8;BUB1B;YBX1;FOXM1;MKI67;CENPA;NCAPH;SKA1;KIF15;LMNB1;CDC20;CCNB2;ORC1;SERPINH1;PBK;PCLAF;MYBL2;TK1;DLGAP5;CEP55;CA12;RRM2;CMTM3;PIMREG;TMEM37;MELK;RAD51;CENPH;KIFC1;CENPI;KIF4A;KIF2C;KIF20A;NES;APOBEC3B;SPC25
TF-29-QU48 BAID51 1UM	9/50	1.3452638821230688E-4	0.015850373858191217	0	0	5.366289198606272	47.83376132760499	CDC20;RRM2;PLK1;SERPINH1;CDCA8;MYBL2;KIF2C;TK1;MKI67
PF-84-RH50 BAID36 10UM	22/237	1.9999181047057304E-4	0.022890491221289017	0	0	2.5205803396374384	21.46837292112514	CA12;SPARC;RRM2;ANXA2;CDCA8;BUB1B;TYMS;CENPA;AQP1;CDC20;TMEM37;MELK;KIF4A;PCLAF;PBK;TAGLN2;KIF2C;KIF20A;TK1;PRR11;NES;APOBEC3B
CID16038120 BE-05-KR03 BAID16 10UM	19/196	3.082315240908451E-4	0.034299319041886815	0	0	2.6392356092789675	21.337320860673337	RRM2;CKAP2L;HJURP;KIF23;MCM10;YBX1;MKI67;FOXM1;NCAPH;CDC20;MELK;CDC45;CENPH;KIFC1;KIF4A;PCLAF;KIF2C;MYBL2;TK1
BD-11-DV28 BAID35 10UM	24/279	3.3005418789487916E-4	0.03489676317594245	0	0	2.3195287998164154	18.59393134986099	STEAP3;SPARC;RRM2;ANXA2;CMTM3;F2R;CDCA8;BUB1B;MKI67;TYMS;LMNB1;CDC20;TMEM37;MAGED4B;MELK;KIFC1;MDK;KIF4A;PCLAF;SERPINH1;KIF20A;TK1;VIM;S100A11
YE-80-LN04 BAID52 10UM	37/511	3.3102271609730736E-4	0.03489676317594245	0	0	1.9342335856048936	15.499639554816204	STEAP3;CDCA8;BUB1B;MKI67;TYMS;CENPA;NCAPH;AQP1;CDC20;CCNB2;PBK;PCLAF;E2F2;MYBL2;TK1;DLGAP5;RRM2;ANXA2;CKAP2L;PLK1;CDC25C;CCNA2;TMEM37;MELK;CENPH;KIFC1;KIF4A;TAGLN2;KIF2C;KIF20A;TGFBI;VIM;PRR11;NES;ASF1B;APOBEC3B;SPC25
