Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
CID5330286 PALBOCICLIB AE-04-SN76 BAID7 1UM	69/551	6.910734222969627E-29	2.6281522249953493E-25	0	0	6.30173755186722	408.61658455041163	TOP2A;LRR1;NRM;BUB1B;MCM10;FOXM1;MKI67;KIF15;LMNB1;NUF2;PBK;PCLAF;MYBL2;OIP5;TK1;GTSE1;CEP55;DLGAP5;GAS2L3;CKAP2L;KIF23;ESCO2;CDC25C;PIMREG;WDR76;SGO1;CCNA2;MELK;ESPL1;MTHFD2;TMSB15A;KIFC1;FANCD2;CKS2;BIRC5;KIF2C;MTFR2;KIF20A;PRR11;PCNA;TROAP;CDCA7;HMMR;SKA3;TYMS;CENPA;NCAPH;SKA1;AURKB;AURKA;CCNB2;CDC45;ORC1;E2F2;E2F8;CENPU;CDKN2C;DDIAS;UBE2C;CBX2;NDC80;TPX2;RAD51;KIF18B;KIF4A;CDK2;CDK1;CENPM;APOBEC3B
CID53378674 BB-86-UL91 BAID24 10UM	52/360	8.098663072959779E-25	1.5399607833233021E-21	0	0	7.216122407659156	400.2994411370941	TOP2A;LRR1;NRM;BUB1B;MKI67;FOXM1;LMNB1;PCLAF;PBK;NUSAP1;MYBL2;TK1;GTSE1;DLGAP5;CKAP2L;KIF23;ESCO2;PIMREG;CDC25C;WDR76;CCNA2;MELK;ESPL1;MTHFD2;TMSB15A;KIFC1;FANCD2;BIRC5;KIF2C;KIF20A;MTFR2;PRR11;PCNA;TROAP;TYMS;CENPA;NCAPH;SKA1;AURKB;AURKA;CCNB2;CDC45;ORC1;CDKN2C;UBE2C;TPX2;KIF18B;KIF4A;CDK1;CENPM;SPC24;EZH2
CID71678945 NA-16-OJ70 BAID30 0.1UM	54/396	1.6511498999804147E-24	2.0931076898751723E-21	0	0	6.766866831508301	370.5574866859297	TOP2A;LRR1;BUB1B;YBX1;FOXM1;MKI67;NUF2;PBK;PCLAF;NUSAP1;OIP5;MYBL2;TK1;GTSE1;DLGAP5;CEP55;CKAP2L;KIF23;CDC25C;PIMREG;WDR76;CCNA2;MELK;ESPL1;MTHFD2;TMSB15A;KIFC1;FANCD2;BIRC5;KIF2C;KIF20A;TROAP;HMMR;TYMS;CENPA;NCAPH;SKA1;AURKB;AURKA;CCNB2;CDC45;ORC1;CDKN2C;UBE2C;CBX2;TPX2;RAD51;KIF18B;KIF4A;CDK1;CENPM;SPC24;EZH2;APOBEC3B
CID44819306 CA-90-RU33 BAID12 10UM	46/300	3.6831972152459867E-23	3.501799752395122E-20	0	0	7.660032880505321	395.6841762829933	TOP2A;TROAP;BUB1B;MKI67;SKA3;TYMS;FOXM1;CENPA;SKA1;AURKB;AURKA;CCNB2;CDC45;PCLAF;PBK;MYBL2;TK1;DLGAP5;CEP55;CDKN2C;UBE2C;CKAP2L;KIF23;ESCO2;PIMREG;CDC25C;WDR76;NDC80;CCNA2;TPX2;MELK;KIF18B;RAD51;ESPL1;MTHFD2;KIFC1;FANCD2;KIF4A;CKS2;CDK1;CENPM;BIRC5;KIF2C;KIF20A;SPC24;APOBEC3B
CID9907182 GB-94-XG34 BAID16 10UM	60/550	4.874307143015072E-22	3.707398012977264E-19	0	0	5.278078578370123	259.0105910013178	TOP2A;LRR1;RPLP0;BUB1B;MCM10;YBX1;FOXM1;MKI67;NUF2;PBK;PCLAF;MYBL2;OIP5;TK1;GTSE1;CEP55;DLGAP5;FOXD1;CKAP2L;KIF23;ESCO2;PIMREG;WDR76;CCNA2;MELK;ESPL1;MTHFD2;KIFC1;FANCD2;CKS2;BIRC5;KIF2C;MTFR2;KIF20A;PRR11;TROAP;CDCA7;HMMR;CENPA;NCAPH;SKA1;AURKB;AURKA;CCNB2;CDC45;GNG5;EIF4EBP1;CENPU;PPP1R14B;CDKN2C;UBE2C;CBX2;TPX2;RAD51;KIF18B;KIF4A;MFAP2;CDK1;CENPM;APOBEC3B
CID53358942 IDASANUTLIN GD-82-CS38 BAID19 1UM	60/579	6.595217210320019E-21	4.1802685084745054E-18	0	0	4.975554769113812	231.20379158155285	TOP2A;LRR1;NRM;BUB1B;MCM10;YBX1;FOXM1;MKI67;LMNB1;EME1;PBK;PCLAF;MYBL2;OIP5;TK1;GTSE1;CEP55;DLGAP5;CKAP2L;ACTL6A;KIF23;ESCO2;CDC25C;PIMREG;WDR76;CCNA2;NEIL3;MELK;ESPL1;TMSB15A;KIFC1;FANCD2;CKS2;BIRC5;KIF2C;KIF20A;PRR11;UHRF1;TROAP;CDCA7;CENPA;NCAPH;SKA1;AURKB;AURKA;CCNB2;CDC45;ORC1;E2F2;CA12;CDKN2C;UBE2C;CBX2;TPX2;RAD51;KIF18B;KIF4A;MFAP2;CENPM;APOBEC3B
CID71678945 NA-16-OJ70 BAID32 10UM	44/328	7.532469212949878E-20	4.0922829166926267E-17	0	0	6.514161555767868	286.8346816144417	TOP2A;LRR1;TROAP;NRM;BUB1B;MCM10;MKI67;TYMS;FOXM1;CENPA;AURKB;AURKA;CCNB2;CDC45;EME1;ORC1;PCLAF;OIP5;MYBL2;TK1;GTSE1;DLGAP5;CDKN2C;UBE2C;CBX2;ESCO2;PIMREG;WDR76;NDC80;TPX2;MELK;KIF18B;ESPL1;TMSB15A;KIFC1;FANCD2;KIF4A;MFAP2;CKS2;CENPM;BIRC5;KIF2C;KIF20A;PRR11
CID101476432 RC-52-AC88 BAID28 10UM	71/834	9.904700548531486E-20	4.708447023258155E-17	0	0	4.054546008717121	177.42163166795078	TOP2A;LRR1;RPLP0;NRM;BUB1B;MCM10;YBX1;FOXM1;MKI67;KIF15;LMNB1;EME1;PBK;PCLAF;RCC1;MYBL2;OIP5;TK1;GTSE1;CEP55;DLGAP5;CKAP2L;KIF23;ESCO2;CDC25C;PIMREG;WDR76;SGO1;CCNA2;ZNF90;NEIL3;MELK;ESPL1;MTHFD2;TMSB15A;KIFC1;FANCD2;CKS2;BIRC5;KIF2C;MTFR2;KIF20A;PRR11;TROAP;HMMR;CENPA;NCAPH;SKA1;AURKB;AURKA;CCNB2;CDC45;ORC1;EIF4EBP1;E2F2;CA12;PPP1R14B;CDKN2C;UBE2C;CBX2;NDC80;TPX2;RAD51;KIF18B;KIF4A;MFAP2;CDK1;CENPM;ID3;EZH2;APOBEC3B
CID5330286 PALBOCICLIB AE-04-SN76 BAID8 10UM	63/703	1.1304080677533333E-18	4.776602090739918E-16	0	0	4.238431078767123	175.14872662681188	TOP2A;LRR1;NRM;BUB1B;MCM10;FOXM1;MKI67;KIF15;LMNB1;EME1;NUF2;PBK;PCLAF;MYBL2;OIP5;TK1;GTSE1;CEP55;DLGAP5;CKAP2L;KIF23;ESCO2;CDC25C;PIMREG;WDR76;SGO1;CCNA2;MELK;ESPL1;TMSB15A;KIFC1;FANCD2;BIRC5;KIF2C;KIF20A;PRR11;PCNA;TROAP;TYMS;CENPA;NCAPH;SKA1;AURKB;AURKA;CCNB2;CDC45;ORC1;E2F2;CA12;CENPU;CDKN2C;UBE2C;CBX2;NDC80;TPX2;WEE1;RAD51;KIF18B;KIF4A;CDK2;CDK1;CENPM;APOBEC3B
CID44818584 AA-42-XZ05 BAID32 10UM	22/74	4.1061498430466846E-18	1.5615687853106543E-15	0	0	17.176569776778546	687.6475822002527	TOP2A;CKAP2L;UBE2C;TROAP;ESCO2;MKI67;FOXM1;PIMREG;TYMS;AURKB;AURKA;TPX2;KIFC1;KIF4A;PCLAF;BIRC5;CENPM;MYBL2;KIF2C;TK1;KIF20A;PRR11
TF-29-QU48 BAID52 10UM	59/674	4.692109659386142E-17	1.620838910022723E-14	0	0	4.098723466872678	154.10406836856637	TOP2A;LRR1;NRM;BUB1B;FOXM1;MKI67;LMNB1;EME1;NUF2;PBK;PCLAF;MYBL2;TK1;GTSE1;PITX1;CEP55;DLGAP5;CKAP2L;KIF23;CDC25C;PIMREG;WDR76;CCNA2;MELK;ESPL1;TMSB15A;KIFC1;FANCD2;BIRC5;KIF2C;MTFR2;KIF20A;PRR11;TROAP;CENPA;NCAPH;SKA1;AURKB;AURKA;CCNB2;CDC45;ORC1;E2F2;CA12;CDKN2C;DDIAS;UBE2C;CBX2;TPX2;MEX3A;RAD51;KIF18B;KIF4A;MFAP2;CDK2;CDK1;CENPM;SPC24;APOBEC3B
CID151345176 AC-45-YY00 BAID36 10UM	23/92	5.114400978246825E-17	1.620838910022723E-14	0	0	13.549511854951186	508.26774811198675	TOP2A;CDKN2C;UBE2C;BUB1B;KIF23;MKI67;PIMREG;CDC25C;CENPA;AURKB;AURKA;CCNA2;TPX2;ESPL1;KIFC1;KIF4A;BIRC5;CENPM;KIF2C;TK1;KIF20A;PRR11;DLGAP5
CID71678945 NA-16-OJ70 BAID31 1UM	57/636	5.785913590251451E-17	1.692602260286636E-14	0	0	4.195024039583625	156.8457414996128	TOP2A;LRR1;NRM;BUB1B;FOXM1;MKI67;LMNB1;PBK;PCLAF;RCC1;MYBL2;OIP5;TK1;GTSE1;CEP55;DLGAP5;CKAP2L;ACTL6A;KIF23;ESCO2;CDC25C;PIMREG;WDR76;CCNA2;DEPDC1B;MELK;ESPL1;KIFC1;FANCD2;BIRC5;KIF2C;MTFR2;KIF20A;TROAP;HMMR;CENPA;NCAPH;SKA1;AURKB;AURKA;CCNB2;CDC45;ORC1;E2F2;E2F8;CENPU;CDKN2C;UBE2C;CBX2;TPX2;RAD51;KIF18B;KIF4A;MFAP2;CDK1;CENPM;APOBEC3B
