Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
CID71678945 NA-16-OJ70 BAID30 0.1UM	57/396	1.6528142355036826E-20	6.364987620924682E-17	0	0	5.139825858948599	234.1150712882397	ARHGAP11A;TOP2A;LRR1;HJURP;YBX1;CDC20;PTTG1;PBK;PCLAF;NUSAP1;OIP5;MYBL2;TK1;GTSE1;DLGAP5;CKAP2L;CDC25C;PIMREG;WDR76;CCNA2;TMEM37;ESPL1;MTHFD2;TMSB15A;KIFC1;BIRC5;KIF2C;KIF20A;ASF1B;CDCA2;TROAP;CDCA8;HMMR;TYMS;CENPA;NCAPH;SKA1;AURKB;AURKA;CCNB2;CDC45;ORC1;BUB1;GINS2;CDKN2C;RRM2;UBE2C;CBX2;PLK1;TPX2;RAD51;CDK1;CENPM;SPC24;EZH2;APOBEC3B;SPC25
CID53378674 BB-86-UL91 BAID24 10UM	53/360	1.376100479042079E-19	2.6496814723955233E-16	0	0	5.252351791530945	228.10891877329203	TOP2A;LRR1;HJURP;NRM;LMNB1;CDC20;PTTG1;PCLAF;PBK;NUSAP1;MYBL2;TK1;GTSE1;DLGAP5;CKAP2L;ESCO2;PIMREG;CDC25C;WDR76;CCNA2;ESPL1;MTHFD2;TMSB15A;KIFC1;BIRC5;KIF2C;KIF20A;DTL;ASF1B;CDCA2;PCNA;TROAP;CDCA8;TYMS;CENPA;NCAPH;SKA1;AURKB;AURKA;CCNB2;CDC45;ORC1;GINS2;CDKN2C;RRM2;UBE2C;PLK1;TPX2;CDK1;CENPM;SPC24;EZH2;SPC25
CID44819306 CA-90-RU33 BAID12 10UM	48/300	2.297318229879102E-19	2.948990834421474E-16	0	0	5.765684051398337	247.4480205942816	TOP2A;CDCA2;TROAP;HJURP;CDCA8;SKA3;TYMS;CENPA;SKA1;AURKB;AURKA;CDC20;CCNB2;CDC45;PTTG1;PCLAF;PBK;MYBL2;TK1;BUB1;DLGAP5;GINS2;CDKN2C;RRM2;UBE2C;CKAP2L;PLK1;ESCO2;PIMREG;CDC25C;WDR76;NDC80;CCNA2;TPX2;RAD51;ESPL1;MTHFD2;KIFC1;CKS2;CDK1;CENPM;BIRC5;KIF2C;KIF20A;SPC24;ASF1B;APOBEC3B;SPC25
CID5330286 PALBOCICLIB AE-04-SN76 BAID7 1UM	66/551	3.179718831833956E-19	3.0612743053481414E-16	0	0	4.18853850818678	178.39958919226126	ARHGAP11A;TOP2A;LRR1;HJURP;NRM;LMNB1;CDC20;PTTG1;PBK;PCLAF;OIP5;MYBL2;TK1;GTSE1;DLGAP5;GAS2L3;CKAP2L;ESCO2;CDC25C;PIMREG;WDR76;SGO1;CCNA2;ESPL1;MTHFD2;TMSB15A;KIFC1;CKS2;BIRC5;KIF2C;KIF20A;DTL;ASF1B;CDCA2;PCNA;TROAP;CDCA7;CDCA8;HMMR;SKA3;TYMS;CENPA;NCAPH;SKA1;AURKB;AURKA;CCNB2;CDC45;ORC1;BUB1;CENPU;GINS2;CDKN2C;RRM2;UBE2C;CBX2;PLK1;NDC80;TPX2;RAD51;CENPH;CDK4;CDK1;CENPM;APOBEC3B;SPC25
CID44818584 AA-42-XZ05 BAID32 10UM	24/74	1.2648279870385726E-17	9.741705156171087E-15	0	0	14.144587155963302	550.351889414091	TOP2A;RRM2;CKAP2L;UBE2C;TROAP;PLK1;HJURP;CDCA8;ESCO2;PIMREG;TYMS;AURKB;AURKA;CDC20;TPX2;PTTG1;KIFC1;PCLAF;BIRC5;CENPM;MYBL2;KIF2C;TK1;KIF20A
CID5330286 PALBOCICLIB AE-04-SN76 BAID6 0.1UM	19/44	5.88912812474066E-17	3.7798387347293805E-14	0	0	22.254506828528072	831.669583268897	TOP2A;RRM2;UBE2C;TROAP;LRR1;HJURP;PIMREG;AURKB;CDC20;CCNB2;PTTG1;PBK;PCLAF;BIRC5;CENPM;MYBL2;KIF2C;KIF20A;DLGAP5
CID53358942 IDASANUTLIN GD-82-CS38 BAID19 1UM	62/579	9.42757246943909E-16	5.186511654258561E-13	0	0	3.660949785224447	126.66052603973651	ARHGAP11A;TOP2A;LRR1;HJURP;NRM;YBX1;AQP1;LMNB1;CDC20;PTTG1;MDK;PBK;PCLAF;OIP5;MYBL2;TK1;GTSE1;DLGAP5;CKAP2L;ACTL6A;ESCO2;CDC25C;PIMREG;WDR76;CCNA2;TMEM37;NEIL3;ESPL1;TMSB15A;KIFC1;CKS2;BIRC5;KIF2C;KIF20A;ASF1B;CDCA2;UHRF1;TROAP;CDCA7;CDCA8;CENPA;NCAPH;SKA1;AURKB;AURKA;CCNB2;CDC45;ORC1;BUB1;GINS2;CDKN2C;RRM2;UBE2C;CBX2;PLK1;TPX2;RAD51;CENPH;CDK4;CENPM;APOBEC3B;SPC25
CID151345176 AC-45-YY00 BAID36 10UM	24/92	3.284160189353406E-15	1.5809126111499957E-12	0	0	10.390717754991906	346.52696066268055	TOP2A;RRM2;CDKN2C;UBE2C;PLK1;HJURP;CDCA8;PIMREG;CDC25C;CENPA;AURKB;AURKA;CDC20;CCNA2;TPX2;PTTG1;ESPL1;KIFC1;BIRC5;CENPM;KIF2C;TK1;KIF20A;DLGAP5
CID53378674 BB-86-UL91 BAID23 1UM	25/107	1.414289666435659E-14	6.051588339381914E-12	0	0	8.982930564374556	286.46173823636866	TROAP;CDCA8;TYMS;AURKB;AURKA;CDC20;CCNB2;CDC45;PTTG1;PCLAF;MYBL2;TK1;GTSE1;DLGAP5;GINS2;RRM2;UBE2C;PLK1;PIMREG;TPX2;KIFC1;BIRC5;CENPM;KIF2C;KIF20A
CID9907182 GB-94-XG34 BAID16 10UM	57/550	5.932824474317047E-14	2.126205702715479E-11	0	0	3.505609940127975	106.7657727515239	ARHGAP11A;TOP2A;LRR1;RPLP0;HJURP;YBX1;CDC20;PTTG1;PBK;PCLAF;OIP5;MYBL2;TK1;GTSE1;DLGAP5;CKAP2L;ESCO2;PIMREG;WDR76;CCNA2;ESPL1;MTHFD2;KIFC1;CKS2;BIRC5;KIF2C;KIF20A;ASF1B;CDCA2;TROAP;CDCA7;CDCA8;HMMR;CENPA;NCAPH;SKA1;AURKB;AURKA;CCNB2;CDC45;EIF4EBP1;CENPU;GINS2;PPP1R14B;CDKN2C;RRM2;UBE2C;CBX2;PLK1;TPX2;RAD51;CENPH;CDK4;CDK1;CENPM;APOBEC3B;SPC25
BE-04-AN21 BAID11 1UM	36/240	6.073295956860626E-14	2.126205702715479E-11	0	0	5.255085211654755	159.92427636311302	TOP2A;CDCA2;LRR1;TROAP;HJURP;CDCA8;CENPA;NCAPH;AURKB;LMNB1;AURKA;CDC20;CCNB2;PTTG1;PCLAF;MYBL2;TK1;GTSE1;DLGAP5;GINS2;CDKN2C;RRM2;UBE2C;CBX2;PLK1;PIMREG;TPX2;ESPL1;KIFC1;CDK1;CENPM;BIRC5;KIF2C;KIF20A;ASF1B;APOBEC3B
CID53358942 IDASANUTLIN GD-82-CS38 BAID18 0.1UM	34/218	9.607895806488739E-14	3.083333895899011E-11	0	0	5.491257088846881	164.5927767643475	TOP2A;TROAP;HJURP;CDCA8;CENPA;NCAPH;SKA1;AURKB;AURKA;CDC20;CDC45;MDK;PCLAF;MYBL2;TK1;GINS2;CDKN2C;RRM2;UBE2C;CKAP2L;CBX2;PLK1;PIMREG;CDC25C;TPX2;CENPH;TMSB15A;KIFC1;CENPM;BIRC5;KIF2C;KIF20A;ASF1B;APOBEC3B
CID71678945 NA-16-OJ70 BAID32 10UM	42/328	1.28097373963727E-13	3.794638362571636E-11	0	0	4.39543475392532	130.48281318926172	TOP2A;CDCA2;LRR1;TROAP;HJURP;NRM;CDCA8;TYMS;CENPA;AURKB;AURKA;CDC20;CCNB2;CDC45;ORC1;PCLAF;OIP5;MYBL2;TK1;GTSE1;DLGAP5;GINS2;CDKN2C;RRM2;UBE2C;CBX2;PLK1;ESCO2;PIMREG;WDR76;NDC80;TPX2;TMEM37;ESPL1;TMSB15A;KIFC1;CKS2;CENPM;BIRC5;KIF2C;KIF20A;ASF1B
CID71481097 SELINEXOR OB-17-DQ74 BAID6 0.1UM	31/198	1.0791375033333583E-12	2.968398946669116E-10	0	0	5.4957010245351645	151.4332668475229	TOP2A;CDCA2;TROAP;HJURP;CDCA8;NCAPH;AURKB;AURKA;CDC20;CCNB2;CDC45;PTTG1;PCLAF;PBK;EIF4EBP1;MYBL2;DLGAP5;CDKN2C;RRM2;UBE2C;PLK1;ESCO2;TMEM37;MTHFD2;KIFC1;CDK4;ID3;CENPM;BIRC5;KIF2C;KIF20A
CID219077 OSANETANT SB-75-UH17 BAID32 10UM	32/217	2.465086460479772E-12	6.328698639538402E-10	0	0	5.124123504309263	136.9616427752793	TOP2A;CDCA2;TROAP;HJURP;CDCA8;CENPA;NCAPH;AURKB;AQP1;CDC20;CDC45;PTTG1;PCLAF;MYBL2;TK1;DLGAP5;GINS2;CDKN2C;RRM2;UBE2C;PLK1;WDR76;TPX2;DEPDC1B;MEX3A;CENPH;CENPM;BIRC5;KIF2C;KIF20A;ASF1B;SPC25
