Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
CID5330286 PALBOCICLIB AE-04-SN76 BAID7 1UM	47/551	1.4560058614283594E-14	5.0537963450178354E-11	0	0	4.245732702969545	135.27114269455876	ARHGAP11A;TOP2A;ERCC6L;TROAP;CDCA7;HJURP;CDCA8;BUB1B;MCM10;FOXM1;MKI67;NCAPH;KIF15;AURKA;CDC20;CDC45;ORC1;NUF2;E2F2;MYBL2;OIP5;GTSE1;BUB1;CKAP2L;DDIAS;CBX2;PLK1;KIF23;ESCO2;SGO1;CCNA2;ASPM;TPX2;RAD51;KIF18B;ESPL1;MTHFD2;TMSB15A;KIFC1;FANCD2;KIF4A;CDK2;CKS2;CENPM;KIF2C;MTFR2;PRR11
CID9907182 GB-94-XG34 BAID16 10UM	46/550	5.805739976904675E-14	7.210272405040275E-11	0	0	4.14548054703186	126.34323759979847	ARHGAP11A;TOP2A;TROAP;RPLP0;CDCA7;HJURP;CDCA8;BUB1B;MCM10;YBX1;FOXM1;MKI67;NCAPH;AURKA;BCL2L12;CDC20;CDC45;GNG5;NUF2;EIF4EBP1;MYBL2;OIP5;GTSE1;EIF5AL1;PPP1R14B;FOXD1;CKAP2L;CBX2;PLK1;KIF23;ESCO2;CCNA2;ASPM;TPX2;RAD51;KIF18B;ESPL1;MTHFD2;KIFC1;FANCD2;KIF4A;CKS2;CENPM;KIF2C;MTFR2;PRR11
CID44818584 AA-42-XZ05 BAID32 10UM	18/74	6.231868975834291E-14	7.210272405040275E-11	0	0	14.006951102588687	425.90256905705905	TOP2A;CKAP2L;TROAP;PLK1;HJURP;CDCA8;ESCO2;MKI67;FOXM1;AURKA;CDC20;TPX2;KIFC1;KIF4A;CENPM;MYBL2;KIF2C;PRR11
CID71678945 NA-16-OJ70 BAID30 0.1UM	37/396	7.029025499911326E-13	6.099436877548053E-10	0	0	4.617655481217296	129.21843059644297	ARHGAP11A;TOP2A;TROAP;HJURP;CDCA8;BUB1B;YBX1;FOXM1;MKI67;NCAPH;AURKA;BCL2L12;CDC20;CDC45;ORC1;NUF2;NUSAP1;OIP5;MYBL2;GTSE1;BUB1;CKAP2L;CBX2;PLK1;KIF23;CCNA2;TPX2;RAD51;KIF18B;ESPL1;MTHFD2;TMSB15A;KIFC1;FANCD2;KIF4A;CENPM;KIF2C
CID53358942 IDASANUTLIN GD-82-CS38 BAID19 1UM	44/579	5.556593734721143E-12	3.857387370643418E-9	0	0	3.7116789131351697	96.19200371356955	ARHGAP11A;TOP2A;ERCC6L;TROAP;CDCA7;HJURP;CDCA8;BUB1B;MCM10;YBX1;FOXM1;MKI67;NCAPH;AURKA;BCL2L12;CDC20;CDC45;ORC1;EME1;E2F2;MYBL2;OIP5;GTSE1;BUB1;CKAP2L;CBX2;PLK1;KIF23;ESCO2;CCNA2;ASPM;TPX2;NEIL3;RAD51;KIF18B;ESPL1;TMSB15A;KIFC1;FANCD2;KIF4A;CKS2;CENPM;KIF2C;PRR11
CID53378674 BB-86-UL91 BAID24 10UM	33/360	2.1530094533695126E-11	1.245515968774263E-8	0	0	4.487088005436629	110.20992351123796	TOP2A;TROAP;HJURP;CDCA8;BUB1B;MKI67;FOXM1;NCAPH;AURKA;CDC20;BCL2L12;CDC45;ORC1;NUSAP1;MYBL2;GTSE1;CKAP2L;PLK1;KIF23;ESCO2;CCNA2;TPX2;KIF18B;ESPL1;MTHFD2;TMSB15A;KIFC1;FANCD2;KIF4A;CENPM;KIF2C;MTFR2;PRR11
CID151345176 AC-45-YY00 BAID36 10UM	17/92	3.598286308267032E-11	1.7740766561108057E-8	0	0	9.845833333333333	236.77238650580446	TOP2A;PLK1;HJURP;BUB1B;CDCA8;KIF23;MKI67;AURKA;CDC20;CCNA2;TPX2;ESPL1;KIFC1;KIF4A;CENPM;KIF2C;PRR11
CID71678945 NA-16-OJ70 BAID32 10UM	31/328	4.088911912672557E-11	1.7740766561108057E-8	0	0	4.626743626743627	110.6724345255382	TOP2A;TROAP;HJURP;CDCA8;BUB1B;MCM10;MKI67;FOXM1;AURKA;CDC20;BCL2L12;CDC45;EME1;ORC1;OIP5;MYBL2;GTSE1;CBX2;PLK1;ESCO2;TPX2;KIF18B;ESPL1;TMSB15A;KIFC1;FANCD2;KIF4A;CKS2;CENPM;KIF2C;PRR11
CID44819306 CA-90-RU33 BAID12 10UM	29/300	1.0301783398551067E-10	3.9730544640411946E-8	0	0	4.7281221436067575	108.72845944766064	TOP2A;TROAP;HJURP;CDCA8;BUB1B;MKI67;FOXM1;AURKA;CDC20;BCL2L12;CDC45;MYBL2;BUB1;CKAP2L;PLK1;KIF23;ESCO2;CCNA2;TPX2;KIF18B;RAD51;ESPL1;MTHFD2;KIFC1;FANCD2;KIF4A;CKS2;CENPM;KIF2C
CID101476432 RC-52-AC88 BAID28 10UM	51/834	3.065959567924714E-10	1.0641945660266684E-7	0	0	2.950228589408999	64.62620385669995	ARHGAP11A;TOP2A;RPLP0;HJURP;BUB1B;MCM10;YBX1;FOXM1;MKI67;KIF15;CDC20;EME1;RCC1;MYBL2;OIP5;GTSE1;EIF5AL1;CKAP2L;KIF23;ESCO2;SGO1;CCNA2;NEIL3;ESPL1;MTHFD2;TMSB15A;KIFC1;FANCD2;CKS2;KIF2C;MTFR2;PRR11;TROAP;CDCA8;NCAPH;AURKA;BCL2L12;CDC45;ORC1;EIF4EBP1;E2F2;BUB1;PPP1R14B;CBX2;PLK1;TPX2;RAD51;KIF18B;KIF4A;CENPM;ID3
CID71481097 SELINEXOR OB-17-DQ74 BAID6 0.1UM	22/198	1.4385010577222493E-9	4.5391247012308435E-7	0	0	5.462471783295711	111.21409119699503	TOP2A;TROAP;PLK1;HJURP;CDCA8;ESCO2;MKI67;NCAPH;KIF15;AURKA;CDC20;CDC45;MTHFD2;KIFC1;FANCD2;KIF4A;EIF4EBP1;ID3;CENPM;E2F2;KIF2C;MYBL2
CID5330286 PALBOCICLIB AE-04-SN76 BAID8 10UM	43/703	8.279746876340235E-9	2.331545819799857E-6	0	0	2.9140636220020104	54.22913129340707	ARHGAP11A;TOP2A;TROAP;HJURP;CDCA8;BUB1B;MCM10;FOXM1;MKI67;NCAPH;KIF15;AURKA;BCL2L12;CDC20;CDC45;ORC1;EME1;NUF2;E2F2;MYBL2;OIP5;GTSE1;BUB1;POLQ;CKAP2L;CBX2;PLK1;KIF23;ESCO2;SGO1;CCNA2;TPX2;RAD51;KIF18B;ESPL1;TMSB15A;KIFC1;FANCD2;KIF4A;CDK2;CENPM;KIF2C;PRR11
CID53358942 IDASANUTLIN GD-82-CS38 BAID18 0.1UM	22/218	8.732381347565007E-9	2.331545819799857E-6	0	0	4.900009213617727	90.92568683127473	TOP2A;CKAP2L;TROAP;CBX2;PLK1;HJURP;CDCA8;BUB1B;MKI67;NCAPH;AURKA;CDC20;TPX2;CDC45;TMSB15A;KIFC1;KIF4A;CENPM;E2F2;KIF2C;MYBL2;PRR11
BE-04-AN21 BAID11 1UM	23/240	1.07559161624308E-8	2.6666989285569506E-6	0	0	4.632420710219572	84.99477453579846	TOP2A;TROAP;CBX2;PLK1;HJURP;CDCA8;MKI67;FOXM1;NCAPH;AURKA;CDC20;BCL2L12;TPX2;KIF18B;ESPL1;KIFC1;FANCD2;KIF4A;CENPM;KIF2C;MYBL2;GTSE1;PRR11
CB-25-VR83 BAID36 10UM	29/378	2.117292058217913E-8	4.899413822716251E-6	0	0	3.6565416261402173	64.61307531485882	TOP2A;ARHGAP11A;HJURP;CDCA8;NCAPG;BUB1B;MCM10;YBX1;AURKA;CDC20;CDC45;NUF2;NUSAP1;OIP5;MYBL2;GTSE1;BUB1;CBX2;KIF23;ESCO2;CCNA2;TPX2;ESPL1;MTHFD2;TMSB15A;FANCD2;KIF4A;CENPM;KIF2C
BB-84-DG64 BAID52 10UM	28/390	1.4957743793010633E-7	3.244895544096244E-5	0	0	3.3935800346410105	53.33164278090257	TOP2A;TROAP;HJURP;CDCA8;BUB1B;YBX1;FOXM1;MKI67;NCAPH;AURKA;BCL2L12;CDC20;CDC45;NUF2;OIP5;MYBL2;GTSE1;CKAP2L;CBX2;PLK1;TPX2;ESPL1;KIFC1;FANCD2;KIF4A;CENPM;KIF2C;PRR11
TF-29-QU48 BAID52 10UM	39/674	1.8105307231608985E-7	3.4299274694949124E-5	0	0	2.7248530553399135	42.301914856891266	TOP2A;TROAP;HJURP;CDCA8;BUB1B;FOXM1;MKI67;NCAPH;AURKA;BCL2L12;CDC20;CDC45;ORC1;EME1;NUF2;E2F2;MYBL2;GTSE1;EIF5AL1;CKAP2L;DDIAS;CBX2;PLK1;KIF23;CCNA2;TPX2;MEX3A;RAD51;KIF18B;ESPL1;TMSB15A;KIFC1;FANCD2;KIF4A;CDK2;CENPM;KIF2C;MTFR2;PRR11
CID219077 OSANETANT SB-75-UH17 BAID32 10UM	20/217	1.8651368032732355E-7	3.4299274694949124E-5	0	0	4.411794901043746	68.35970866501316	TOP2A;EIF5AL1;TROAP;PLK1;HJURP;CDCA8;BUB1B;MKI67;FOXM1;NCAPH;CDC20;BCL2L12;TPX2;MEX3A;KIF18B;CDC45;KIF4A;CENPM;KIF2C;MYBL2
CID53378674 BB-86-UL91 BAID23 1UM	14/107	1.8775171973610873E-7	3.4299274694949124E-5	0	0	6.4894738096941085	100.50991384727752	TROAP;PLK1;CDCA8;MKI67;AURKA;CDC20;TPX2;CDC45;KIFC1;KIF4A;CENPM;MYBL2;KIF2C;GTSE1
CID60148924 BB-11-JI42 BAID32 10UM	34/546	2.1255400700932052E-7	3.688874791646758E-5	0	0	2.9309654147331785	45.03155700888424	TOP2A;TROAP;HJURP;CDCA8;MCM10;FOXM1;MKI67;NCAPH;AURKA;RAD51AP1;BCL2L12;CDC20;CDC45;ORC1;EME1;EIF4EBP1;MYBL2;GTSE1;EIF5AL1;PPP1R14B;CBX2;PLK1;CCNA2;TPX2;KIF18B;MTHFD2;TMSB15A;FANCD2;KIF4A;CKS2;CENPM;KIF2C;MTFR2;PRR11
CID9576789 SARDOMOZIDE CB-30-KN11 BAID8 10UM	20/221	2.509209808108762E-7	4.147365354259768E-5	0	0	4.3231035832075575	65.70308059834107	TOP2A;TROAP;CBX2;PLK1;CDCA8;BUB1B;ESCO2;MKI67;AURKA;BCL2L12;CCNA2;TPX2;RAD51;MTHFD2;KIFC1;EIF4EBP1;CENPM;KIF2C;MYBL2;GTSE1
CID6474906 FD-20-OG99 BAID3 1UM	46/890	3.6734606247109503E-7	5.795719012896231E-5	0	0	2.4312739653202726	36.02409270041697	ARHGAP11A;TOP2A;TROAP;CDCA7;HJURP;CDCA8;BUB1B;MCM10;TTK;MKI67;NCAPH;KIF15;AURKA;RAD51AP1;BCL2L12;CDC20;BRIP1;CDC45;GNG5;ORC1;EIF4EBP1;NUSAP1;RCC1;MYBL2;OIP5;GTSE1;EIF5AL1;FOXD1;CKAP2L;CBX2;PLK1;KIF23;ESCO2;CCNA2;ASPM;TPX2;KIF18B;ESPL1;MTHFD2;KIFC1;FANCD2;KIF4A;CENPM;ID3;KIF2C;PRR11
CID5327655 AB-80-CK34 BAID11 1UM	19/209	4.667838288583312E-7	7.044376825944642E-5	0	0	4.3374439461883405	63.22865355806292	CKAP2L;TROAP;CBX2;PLK1;HJURP;CDCA8;MKI67;CDC20;TPX2;CCDC80;KIF18B;ESPL1;KIFC1;KIF4A;CENPM;KIF2C;MYBL2;MTFR2;PRR11
CID2733526 TAMOXIFEN AE-37-MC27 BAID23 1UM	24/326	7.469853676573956E-7	1.0803275879745084E-4	0	0	3.4658737667252333	48.893844551744735	TOP2A;EIF5AL1;PLK1;RPLP0;CDCA8;BUB1B;YBX1;MKI67;AURKA;BCL2L12;TPX2;CCDC80;KIF18B;EME1;ESPL1;MTHFD2;KIFC1;KIF4A;NUF2;EIF4EBP1;CENPM;KIF2C;OIP5;MYBL2
CID16038120 BE-05-KR03 BAID16 10UM	18/196	8.055743436072223E-7	1.1184594186642675E-4	0	0	4.379081517230978	61.446003420829335	CKAP2L;HJURP;KIF23;MCM10;YBX1;MKI67;FOXM1;NCAPH;AURKA;CDC20;CDC45;MTHFD2;KIFC1;KIF4A;EIF4EBP1;CENPM;KIF2C;MYBL2
CID71678945 NA-16-OJ70 BAID31 1UM	36/636	9.184250838392159E-7	1.2260974869253533E-4	0	0	2.6482517482517482	36.812302815044426	TOP2A;ERCC6L;TROAP;HJURP;CDCA8;BUB1B;FOXM1;MKI67;NCAPH;AURKA;BCL2L12;CDC20;CDC45;ORC1;E2F2;RCC1;MYBL2;OIP5;GTSE1;BUB1;CKAP2L;CBX2;PLK1;KIF23;ESCO2;CCNA2;TPX2;RAD51;KIF18B;ESPL1;KIFC1;FANCD2;KIF4A;CENPM;KIF2C;MTFR2
