Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
CID5330286 PALBOCICLIB AE-04-SN76 BAID7 1UM	52/551	9.51473959107233E-22	3.843954794793221E-18	0	0	6.056124406868448	293.1408269514425	ARHGAP11A;ERCC6L;HJURP;NRM;BUB1B;MCM10;MKI67;FOXM1;KIF15;LMNB1;CDC20;TUBA1C;MYBL2;TK1;CEP55;DLGAP5;TCF19;KIF23;ESCO2;PIMREG;CCNA2;ESPL1;MTHFD2;FANCD2;KIF2C;KIF20A;MTFR2;ASF1B;CDCA2;PCNA;SLC43A3;CDCA7;CDCA8;SKA3;NCAPH;AURKB;AURKA;CCNB2;CDC45;BUB1;E2F8;CDKN2C;RRM2;DDIAS;UBE2C;PLK1;TPX2;RAD51;CENPI;CDK2;CENPM;PLP2
CID9907182 GB-94-XG34 BAID16 10UM	51/550	5.3154662346664254E-21	1.0737241794026179E-17	0	0	5.921661504827838	276.4448691851956	ARHGAP11A;STEAP3;RPLP0;HJURP;BUB1B;MCM10;YBX1;MKI67;FOXM1;CDC20;TUBA1C;MYBL2;TK1;CEP55;DLGAP5;TCF19;EIF5AL1;ANXA2;KIF23;ESCO2;PIMREG;CCNA2;ESPL1;MTHFD2;FANCD2;TAGLN2;KIF2C;KIF20A;MTFR2;ASF1B;CDCA2;CDCA7;CDCA8;NCAPH;AURKB;AURKA;BCL2L12;CCNB2;CDC45;SERPINH1;EIF4EBP1;PPP1R14B;CDKN2C;RRM2;UBE2C;PLK1;TPX2;RAD51;CENPM;VIM;NES
CID44819306 CA-90-RU33 BAID12 10UM	38/300	1.7398698971161086E-20	2.3430247947830263E-17	0	0	8.185142323014265	372.4067174982692	CDCA2;HJURP;CDCA8;BUB1B;MKI67;SKA3;FOXM1;AURKB;AURKA;CDC20;BCL2L12;TUBA1C;CCNB2;CDC45;MYBL2;TK1;BUB1;DLGAP5;CEP55;TCF19;CDKN2C;RRM2;UBE2C;PLK1;KIF23;ESCO2;PIMREG;CCNA2;TPX2;RAD51;ESPL1;MTHFD2;FANCD2;CENPM;KIF2C;KIF20A;SPC24;ASF1B
CID101476432 RC-52-AC88 BAID28 10UM	61/834	9.505414539786424E-20	9.600468685184289E-17	0	0	4.647501617076326	203.55982849217034	ARHGAP11A;STEAP3;CDCA7L;RPLP0;TNC;HJURP;NRM;BUB1B;MCM10;YBX1;MKI67;FOXM1;KIF15;LMNB1;CDC20;TUBA1C;RCC1;MYBL2;TK1;CEP55;DLGAP5;TCF19;EIF5AL1;ANXA2;KIF23;ESCO2;PIMREG;CCNA2;ZNF90;ESPL1;MTHFD2;FANCD2;TAGLN2;KIF2C;KIF20A;MTFR2;CDCA2;CDCA8;NCAPH;AURKB;AURKA;BCL2L12;CCNB2;CDC45;SERPINH1;EIF4EBP1;BUB1;CA12;PPP1R14B;CDKN2C;RRM2;UBE2C;PLK1;TPX2;RAD51;CENPI;ID3;CENPM;VIM;TGFBI;NES
CID53358942 IDASANUTLIN GD-82-CS38 BAID19 1UM	50/579	2.8457168373678577E-19	2.299339204593229E-16	0	0	5.45120189150138	232.7843193662827	ARHGAP11A;ERCC6L;HJURP;NRM;BUB1B;MCM10;YBX1;MKI67;FOXM1;LMNB1;CDC20;TUBA1C;MDK;MYBL2;TK1;CEP55;DLGAP5;TCF19;ACTL6A;KIF23;ESCO2;PIMREG;CCNA2;ESPL1;FANCD2;KIF2C;KIF20A;ASF1B;CDCA2;UHRF1;CDCA7;CDCA8;NCAPH;AURKB;AURKA;BCL2L12;CCNB2;CDC45;SERPINH1;BUB1;CA12;CDKN2C;RRM2;UBE2C;PLK1;TPX2;RAD51;CENPM;PLP2;NES
CID71678945 NA-16-OJ70 BAID30 0.1UM	41/396	9.326378017852084E-19	6.27976119868707E-16	0	0	6.543695111847556	271.66981329384714	ARHGAP11A;CDCA2;HJURP;CDCA8;BUB1B;YBX1;MKI67;FOXM1;NCAPH;AURKB;AURKA;CDC20;BCL2L12;TUBA1C;CCNB2;CDC45;SERPINH1;MYBL2;TK1;BUB1;CEP55;DLGAP5;TCF19;CDKN2C;RRM2;UBE2C;PLK1;KIF23;PIMREG;CCNA2;TPX2;RAD51;ESPL1;MTHFD2;FANCD2;CENPM;KIF2C;KIF20A;NES;SPC24;ASF1B
CID53378674 BB-86-UL91 BAID24 10UM	39/360	1.4221532812194382E-18	8.207856080180757E-16	0	0	6.8556047439470955	281.72668631898273	CDCA2;PCNA;HJURP;NRM;CDCA8;BUB1B;MKI67;FOXM1;NCAPH;AURKB;LMNB1;AURKA;CDC20;BCL2L12;TUBA1C;CCNB2;CDC45;MYBL2;TK1;DLGAP5;TCF19;CDKN2C;RRM2;UBE2C;PLK1;KIF23;ESCO2;PIMREG;CCNA2;TPX2;ESPL1;MTHFD2;FANCD2;CENPM;KIF2C;KIF20A;MTFR2;SPC24;ASF1B
CID151345176 AC-45-YY00 BAID36 10UM	22/92	2.148872120917249E-18	1.0851804210632107E-15	0	0	17.114126541981694	696.2298546186681	RRM2;CDKN2C;UBE2C;PLK1;HJURP;BUB1B;CDCA8;KIF23;MKI67;PIMREG;AURKB;AURKA;CDC20;CCNA2;TUBA1C;TPX2;ESPL1;CENPM;KIF2C;TK1;KIF20A;DLGAP5
CID219077 OSANETANT SB-75-UH17 BAID32 10UM	30/217	1.8067885933195484E-17	8.110473241123306E-15	0	0	8.88157594039947	342.4060289331934	CDCA2;HJURP;CDCA8;BUB1B;MKI67;FOXM1;NCAPH;AURKB;CDC20;BCL2L12;TUBA1C;CDC45;SERPINH1;MYBL2;TK1;DLGAP5;EIF5AL1;TCF19;CDKN2C;RRM2;UBE2C;PLK1;TPX2;CENPM;TAGLN2;KIF2C;KIF20A;PLP2;NES;ASF1B
CID44818584 AA-42-XZ05 BAID32 10UM	19/74	1.0948083510566404E-16	4.423025738268827E-14	0	0	18.669814163736817	686.130273333162	RRM2;UBE2C;PLK1;HJURP;CDCA8;ESCO2;MKI67;FOXM1;PIMREG;AURKB;AURKA;CDC20;TUBA1C;TPX2;CENPM;MYBL2;KIF2C;TK1;KIF20A
CID71481097 SELINEXOR OB-17-DQ74 BAID6 0.1UM	28/198	1.2072231923573863E-16	4.433801542839855E-14	0	0	9.074687552074653	332.61487356402205	CDCA2;HJURP;CDCA8;MKI67;NCAPH;AURKB;KIF15;AURKA;CDC20;TUBA1C;CCNB2;CDC45;EIF4EBP1;MYBL2;DLGAP5;CEP55;CA12;CDKN2C;RRM2;UBE2C;PLK1;ESCO2;MTHFD2;FANCD2;ID3;CENPM;KIF2C;KIF20A
