Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
CID121499143 XMU-MP-1 BA-88-HT15 BAID24 10UM	17/525	5.6512924255219495E-5	0.1169641649596515	0	0	3.2580629125904714	31.867247574018762	STEAP3;SPARC;ANXA1;ANXA2;CMTM3;NRM;GPX8;EMP3;SYDE1;C6ORF15;CCDC80;MDK;TAGLN2;PLP2;IGF2BP2;HOXB7;S100A11
CID86294693 NVS-BET-1 CB-55-AK76 BAID23 1UM	19/664	1.0710254453477368E-4	0.1169641649596515	0	0	2.8766018035121026	26.297099234432498	STEAP3;SPARC;ANXA1;CMTM3;TGFB1I1;NRM;GPX8;EMP3;SYDE1;MMP14;C6ORF15;CCDC80;SMO;MDK;HOXB3;PLP2;HOXB7;NES;HOXB5
DE-20-VX20 BAID36 10UM	12/303	1.1388915770170546E-4	0.1169641649596515	0	0	3.95998171753593	35.9577621283734	C6ORF15;SPARC;ANXA1;FOXD1;CSRP2;ANXA2;CMTM3;HOXB3;TAGLN2;VIM;PLP2;NES
BD-11-DV28 BAID9 10UM	11/278	2.2099906592888062E-4	0.1702245305317203	0	0	3.9417272526988323	33.178906101207545	TCF19;STEAP3;C6ORF15;CCDC80;SPARC;ANXA2;CMTM3;MDK;VIM;NES;S100A11
CID42646698 CC-44-MG29 BAID44 10UM	15/545	8.536700872624308E-4	0.52603150777111	0	0	2.7247641509433964	19.253090176918114	TCF19;STEAP3;SPARC;ANXA1;ANXA2;UHRF1;NRM;SYDE1;MMP14;CCDC80;MDK;TAGLN2;VIM;AJUBA;NES
CID44193969 QE-98-XD90 BAID47 1UM	7/150	0.0012096608714036328	0.5447098323364085	0	0	4.6225793437331895	31.051784886512877	STEAP3;C6ORF15;MMP14;SPARC;FOXD1;CMTM3;GPX8
CID71291068 CPI-203 AE-32-DP61 BAID27 1UM	17/698	0.001494677954936104	0.5447098323364085	0	0	2.4085791839095805	15.669841660786599	STEAP3;SPARC;ANXA1;CMTM3;TGFB1I1;NRM;GPX8;EMP3;ABCA13;SPOCD1;SYDE1;C6ORF15;CCDC80;PLAU;MDK;PLP2;NES
BD-11-DV28 BAID10 10UM	13/464	0.001602275574808793	0.5447098323364085	0	0	2.7589075980768807	17.75724091574374	STEAP3;SPARC;ANXA2;CMTM3;NRM;LMNB1;C6ORF15;CCDC80;MDK;TAGLN2;VIM;NES;S100A11
CID5327655 AB-80-CK34 BAID47 1UM	11/356	0.0016996169124050345	0.5447098323364085	0	0	3.0383631713554986	19.37671265975026	TCF19;TGIF1;STEAP3;CCDC80;CSRP2;ANXA2;MDK;NRM;NES;ASF1B;PDIA4
CID44195094 GB-06-BA49 BAID27 1UM	9/254	0.0017679644022603326	0.5447098323364085	0	0	3.4844462056667327	22.084163768537408	STEAP3;CCDC80;SPARC;FOXD1;ANXA2;TAGLN2;IGFBP7;VIM;S100A11
