Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
CID151345176 AC-45-YY00 BAID36 10UM	14/92	1.9396913721434834E-5	0.07642384006245324	0	0	4.303863848405881	46.69862962919226	RRM2;PLK1;HJURP;BUB1B;KIF23;CDC25C;AURKA;CDC20;TUBA1C;PTTG1;TK1;KIF20A;PRR11;DLGAP5
CID44818584 AA-42-XZ05 BAID32 10UM	11/74	1.8455060305363403E-4	0.36356468801565905	0	0	4.174325396825397	35.88912518443215	CDC20;TUBA1C;RRM2;PTTG1;PLK1;HJURP;TK1;KIF20A;TYMS;PRR11;AURKA
CID9907182 GB-94-XG34 BAID16 10UM	39/550	5.414924404381606E-4	0.5488454676307623	0	0	1.8465317420885594	13.888100289181766	STEAP3;CDCA2;RPLP0;HJURP;BUB1B;HMMR;YBX1;SKA1;AURKA;BCL2L12;CDC20;TUBA1C;CCNB2;CDC45;PTTG1;GNG5;SERPINH1;TK1;GTSE1;DLGAP5;CEP55;TCF19;EIF5AL1;CENPU;PPP1R14B;FOXD1;RRM2;ANXA2;PLK1;KIF23;ASPM;TAGLN2;MTFR2;KIF20A;VIM;PRR11;NES;APOBEC3B;SPC25
CID219077 OSANETANT SB-75-UH17 BAID32 10UM	20/217	5.572035204373221E-4	0.5488454676307623	0	0	2.437575003048252	18.263725711446906	EIF5AL1;TCF19;CDCA2;RRM2;PLK1;HJURP;BUB1B;CDC20;BCL2L12;TUBA1C;CDC45;PTTG1;SERPINH1;TAGLN2;KIF20A;TK1;PLP2;NES;DLGAP5;SPC25
CID44819306 CA-90-RU33 BAID12 10UM	24/300	0.0012586934997402233	0.7948915572948039	0	0	2.0897188000662945	13.954475528519628	TCF19;CDCA2;RRM2;PLK1;HJURP;BUB1B;KIF23;TYMS;CDC25C;SKA1;NDC80;AURKA;CDC20;BCL2L12;TUBA1C;CCNB2;CDC45;PTTG1;KIF20A;TK1;DLGAP5;CEP55;APOBEC3B;SPC25
CID53378674 BB-86-UL91 BAID23 1UM	12/107	0.0013223268797176312	0.7948915572948039	0	0	3.0186153744812594	20.00847636635192	CDC20;CCNB2;CDC45;RRM2;PTTG1;PLK1;KIF20A;TK1;TYMS;GTSE1;DLGAP5;AURKA
CID58144 INDOLOPHENANTHRIDINE BD-46-RY02 BAID16 10UM	14/139	0.0015661431174174615	0.7948915572948039	0	0	2.6790062735257214	17.304074693301494	RRM2;CDCA7L;PLK1;BUB1B;YBX1;AURKA;CDC20;ASPM;LOX;PDPN;SERPINH1;KIF20A;TK1;DLGAP5
CID71678945 NA-16-OJ70 BAID30 0.1UM	29/396	0.0016531671301187269	0.7948915572948039	0	0	1.9019143257350328	12.18187985610491	CDCA2;HJURP;BUB1B;HMMR;YBX1;TYMS;SKA1;AURKA;BCL2L12;CDC20;TUBA1C;CCNB2;CSRP2;CDC45;PTTG1;SERPINH1;TK1;GTSE1;DLGAP5;CEP55;TCF19;RRM2;PLK1;KIF23;CDC25C;KIF20A;NES;APOBEC3B;SPC25
CID5330286 PALBOCICLIB AE-04-SN76 BAID6 0.1UM	7/44	0.0018157421359525977	0.7948915572948039	0	0	4.506655909640984	28.442681703244492	CDC20;CCNB2;RRM2;PTTG1;HJURP;KIF20A;DLGAP5
PB-63-WH18 BAID36 10UM	19/226	0.0022252317282069056	0.8767413009135208	0	0	2.1998853266969207	13.436666874406798	CA12;SPARC;RRM2;ANXA2;PLK1;HJURP;BUB1B;KIF23;SKA1;AURKA;CDC20;TUBA1C;COL4A2;SERPINH1;TAGLN2;TK1;NES;DLGAP5;APOBEC3B
JD-02-GA59 BAID32 10UM	11/101	0.0026150428633461716	0.9366608074167196	0	0	2.917902777777778	17.351235308492825	CDC20;TUBA1C;CDC45;RRM2;ANXA2;SERPINH1;BUB1B;TAGLN2;TK1;TYMS;NES
CID72710839 BLU-9931 HF-79-EC41 BAID4 10UM	34/520	0.004407259952580397	0.9999958553969626	0	0	1.6839643876680914	9.134668371665427	STEAP3;CDCA2;HJURP;BUB1B;YBX1;SKA1;AURKA;BCL2L12;CDC20;TUBA1C;CCNB2;CDC45;PTTG1;SERPINH1;TK1;GTSE1;DLGAP5;CEP55;TCF19;EIF5AL1;CA12;RRM2;ANXA2;CMTM3;PLK1;KIF23;CDC25C;KIF20A;TGFBI;VIM;PRR11;NES;APOBEC3B;SPC25
CID3000706 VALINOMYCIN EC-89-AJ93 BAID22 0.1UM	18/226	0.005062073420761456	0.9999958553969626	0	0	2.0713575516538945	10.949152752904244	EIF5AL1;STEAP3;RRM2;ANXA2;PLK1;F2R;HJURP;BUB1B;AURKA;CCNB2;MAGED4B;TAGLN2;S100A4;KIF20A;TK1;TGFBI;NES;DLGAP5
CID11238078 FA-16-KA99 BAID45 0.01UM	6/41	0.0058379312451239795	0.9999958553969626	0	0	4.078935226264419	20.979508903050913	CDC20;TUBA1C;RRM2;CMTM3;YBX1;VIM
CID53378674 BB-86-UL91 BAID24 10UM	25/360	0.006531869879473313	0.9999958553969626	0	0	1.7900953249022065	9.006080609430823	CDCA2;HJURP;NRM;BUB1B;TYMS;SKA1;AURKA;CDC20;BCL2L12;TUBA1C;CCNB2;CDC45;PTTG1;TK1;GTSE1;DLGAP5;TCF19;RRM2;PLK1;KIF23;CDC25C;KIF20A;MTFR2;PRR11;SPC25
CID104758 IB-06-YD91 BAID23 1UM	10/100	0.0073472783359730285	0.9999958553969626	0	0	2.649327229851574	13.017271515322953	CDC20;CCNB2;CDCA2;PTTG1;ANXA2;PLK1;KIF20A;CDC25C;DLGAP5;AURKA
CID53358942 IDASANUTLIN GD-82-CS38 BAID19 1UM	36/579	0.007555521364918706	0.9999958553969626	0	0	1.595095348422741	7.792801121327651	ERCC6L;CDCA2;UHRF1;HJURP;NRM;BUB1B;YBX1;SKA1;AURKA;BCL2L12;CDC20;TUBA1C;CCNB2;CSRP2;CDC45;PTTG1;MDK;SERPINH1;TK1;GTSE1;DLGAP5;CEP55;TCF19;CA12;RRM2;PLK1;GPX8;KIF23;CDC25C;ASPM;PLP2;KIF20A;PRR11;NES;APOBEC3B;SPC25
CID71678945 NA-16-OJ70 BAID32 10UM	23/328	0.007915149661836473	0.9999958553969626	0	0	1.8071565282516435	8.744788292248826	CDCA2;RRM2;PLK1;HJURP;NRM;BUB1B;TYMS;NDC80;AURKA;CDC20;BCL2L12;TUBA1C;CCNB2;CDC45;SERPINH1;TAGLN2;KIF20A;TK1;TGFBI;GTSE1;PRR11;NES;DLGAP5
BE-04-AN21 BAID11 1UM	18/240	0.009238848267974427	0.9999958553969626	0	0	1.9392999556933983	9.08433656781578	TCF19;CDCA2;RRM2;PLK1;HJURP;AURKA;CDC20;BCL2L12;TUBA1C;CCNB2;PTTG1;KIF20A;TK1;GTSE1;PRR11;NES;DLGAP5;APOBEC3B
BB-84-DG64 BAID52 10UM	26/390	0.009330080294172347	0.9999958553969626	0	0	1.7129208371246587	8.007068422608947	STEAP3;CDCA2;HJURP;NRM;BUB1B;YBX1;SKA1;AURKA;BCL2L12;CDC20;TUBA1C;CCNB2;CDC45;MDK;SERPINH1;TK1;GTSE1;TCF19;RRM2;PLK1;CDC25C;KIF20A;PRR11;NES;APOBEC3B;SPC25
CID12000240 EMRICASAN CF-03-QN99 BAID27 1UM	17/223	0.00962689982614726	0.9999958553969626	0	0	1.972995280134993	9.160999913342222	CA12;STEAP3;SPARC;RRM2;HJURP;NRM;CDC25C;MRC2;MAGED4B;CDC45;COL4A2;MDK;SERPINH1;TK1;NES;APOBEC3B;PPIC
CID137636547 GD-39-YG36 BAID52 10UM	10/108	0.012341448126431764	0.9999958553969626	0	0	2.4320364850059875	10.688294281695805	TUBA1C;MAGED4B;RRM2;ANXA2;SERPINH1;BUB1B;TK1;PRR11;SKA1;DLGAP5
CID132471728 LA-44-KW22 BAID44 10UM	6/48	0.012555677009525224	0.9999958553969626	0	0	3.3978704525288377	14.874457769260708	NNMT;RRM2;CMTM3;ANXA2;IGFBP7;APOBEC3B
CID46872626 A-971432 XC-61-SE50 BAID43 1UM	8/77	0.012633857423430404	0.9999958553969626	0	0	2.7606620102153157	12.06788881682815	TCF19;C6ORF15;SPARC;MAGED4B;RRM2;SERPINH1;TGFBI;PDIA4
CID46173038 JF-55-EN33 BAID12 10UM	18/248	0.012652123957962624	0.9999958553969626	0	0	1.871056527221887	8.176386379472056	SPARC;CDCA2;RRM2;PLK1;HJURP;CDC25C;AURKA;BCL2L12;CCNB2;C6ORF15;COL4A1;SERPINH1;TAGLN2;KIF20A;TK1;TGFBI;NES;APOBEC3B
EA-73-UC67 BAID36 10UM	14/177	0.013223829751368	0.9999958553969626	0	0	2.050357552478235	8.86930300235797	CDCA2;RRM2;PLK1;HJURP;BUB1B;AURKA;CDC20;TUBA1C;KIF20A;TGFBI;TK1;NES;DLGAP5;APOBEC3B
BD-11-DV28 BAID32 10UM	13/161	0.01417026285307769	0.9999958553969626	0	0	2.095890062995326	8.921385920891225	STEAP3;SPARC;RRM2;ANXA2;F2R;TYMS;CDC20;MAGED4B;MDK;SERPINH1;S100A4;TK1;VIM
ID-69-QF93 BAID52 10UM	23/346	0.014336369384665834	0.9999958553969626	0	0	1.7048215492448648	7.236891879390223	PPP1R14B;RRM2;ANXA2;CMTM3;TGFB1I1;BUB1B;YBX1;SKA1;AURKA;CDC20;CCNB2;MAGED4B;COL4A2;SERPINH1;TAGLN2;KIF20A;TK1;PLP2;TGFBI;VIM;PRR11;NES;APOBEC3B
CID53358942 IDASANUTLIN GD-82-CS38 BAID18 0.1UM	16/218	0.016394034547934724	0.9999958553969626	0	0	1.8917242667662992	7.77657154241491	RRM2;PLK1;HJURP;BUB1B;CDC25C;SKA1;AURKA;CDC20;CDC45;MDK;SERPINH1;KIF20A;TK1;PRR11;NES;APOBEC3B
CID5381 TAZAROTENE IA-14-WP20 BAID11 1UM	6/51	0.016646435331830772	0.9999958553969626	0	0	3.170848861283644	12.986399161149293	SRPX;STEAP3;NNMT;SERPINH1;VIM;PDIA4
CID5081913 IMD-0354 LB-65-SM65 BAID32 10UM	23/351	0.01671106769531645	0.9999958553969626	0	0	1.6783884796335273	6.867435359778856	TCF19;PPP1R14B;SPARC;RRM2;ANXA2;PLK1;BUB1B;TYMS;CDC25C;AURKA;CDC20;MMP14;MAGED4B;CDC45;SERPINH1;TAGLN2;S100A4;KIF20A;TK1;TGFBI;AJUBA;NES;DLGAP5
CID104758 IB-06-YD91 BAID22 0.1UM	9/97	0.016912730915981555	0.9999958553969626	0	0	2.435799705282249	9.937304367492533	CDC20;CCNB2;PTTG1;TNFRSF12A;PLK1;BUB1B;KIF20A;DLGAP5;AURKA
CID5330286 PALBOCICLIB AE-04-SN76 BAID7 1UM	33/551	0.016940080332960447	0.9999958553969626	0	0	1.5288756439142044	6.2348662507484685	ERCC6L;CDCA2;SLC43A3;HJURP;NRM;BUB1B;HMMR;TYMS;SKA1;AURKA;CDC20;TUBA1C;CCNB2;CDC45;PTTG1;TK1;GTSE1;DLGAP5;CEP55;TCF19;CENPU;RRM2;PLK1;KIF23;CDC25C;NDC80;ASPM;PLP2;MTFR2;KIF20A;PRR11;APOBEC3B;SPC25
BB-84-DG64 BAID51 1UM	8/84	0.0204972828087998	0.9999958553969626	0	0	2.505472897686308	9.739933055808587	CDC20;RRM2;SERPINH1;YBX1;TK1;KIF20A;PRR11;AURKA
BD-11-DV28 BAID33 10UM	17/248	0.024809633755632138	0.9999958553969626	0	0	1.7571504901479713	6.495347628901163	STEAP3;SPARC;RRM2;ANXA2;CMTM3;F2R;BUB1B;TYMS;AURKA;CDC20;MAGED4B;MDK;SERPINH1;KIF20A;TK1;TGFBI;VIM
CID134149230 FB-98-HM88 BAID4 10UM	23/366	0.025729624398589467	0.9999958553969626	0	0	1.6037131313729263	5.869770078579199	EIF5AL1;TCF19;CDCA2;ANXA1;RRM2;CDCA7L;PLK1;HJURP;BUB1B;CDC25C;SKA1;CDC20;BCL2L12;CCNB2;CDC45;SERPINH1;COL8A1;KIF20A;TK1;GTSE1;NES;DLGAP5;SPC25
