Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
CID5330286 PALBOCICLIB AE-04-SN76 BAID7 1UM	81/551	1.8048900801922279E-59	6.7105813181547035E-56	0	0	16.42097113966716	2221.1337397532807	TOP2A;ARHGAP11A;ERCC6L;HJURP;NRM;BUB1B;MCM10;MKI67;FOXM1;KIF15;LMNB1;CDC20;PTTG1;NUF2;PCLAF;PBK;MYBL2;OIP5;TK1;GTSE1;CEP55;DLGAP5;TCF19;GAS2L3;CKAP2L;KIF23;ESCO2;PIMREG;CDC25C;WDR76;SGO1;CCNA2;ASPM;MELK;ESPL1;TMSB15A;FANCD2;KIFC1;DEPDC1;BIRC5;KIF2C;KIF20A;MTFR2;PRR11;DTL;ASF1B;CDCA2;TROAP;CDCA7;CDCA8;HMMR;SKA3;TYMS;CENPA;NCAPH;SKA1;AURKB;AURKA;CCNB2;CDC45;ORC1;E2F2;BUB1;E2F8;CENPU;GINS2;RRM2;DDIAS;UBE2C;CBX2;PLK1;NDC80;TPX2;KIF18B;RAD51;CENPH;CENPI;KIF4A;CDK1;CENPM;SPC25
CID53378674 BB-86-UL91 BAID24 10UM	60/360	7.851457053776694E-47	1.2753863251681895E-43	0	0	17.414349775784753	1848.7213079297755	TOP2A;HJURP;NRM;BUB1B;MKI67;FOXM1;LMNB1;CDC20;PTTG1;PCLAF;PBK;NUSAP1;MYBL2;TK1;GTSE1;DLGAP5;TCF19;CKAP2L;KIF23;ESCO2;PIMREG;CDC25C;WDR76;CCNA2;MELK;ESPL1;TMSB15A;FANCD2;KIFC1;BIRC5;KIF2C;KIF20A;MTFR2;PRR11;DTL;ASF1B;CDCA2;TROAP;CDCA8;TYMS;CENPA;NCAPH;SKA1;AURKB;AURKA;CCNB2;CDC45;ORC1;GINS2;RRM2;UBE2C;PLK1;TPX2;KIF18B;KIF4A;CDK1;CENPM;SPC24;EZH2;SPC25
CID71678945 NA-16-OJ70 BAID30 0.1UM	62/396	1.0290906335407662E-46	1.2753863251681895E-43	0	0	16.280732652342373	1723.9706675083576	TOP2A;ARHGAP11A;HJURP;BUB1B;MKI67;FOXM1;CDC20;PTTG1;NUF2;PCLAF;PBK;NUSAP1;MYBL2;OIP5;TK1;GTSE1;CEP55;DLGAP5;TCF19;CKAP2L;KIF23;PIMREG;CDC25C;WDR76;CCNA2;MELK;ESPL1;TMSB15A;FANCD2;KIFC1;BIRC5;KIF2C;KIF20A;ASF1B;CDCA2;TROAP;CDCA8;HMMR;TYMS;CENPA;NCAPH;SKA1;AURKB;AURKA;CCNB2;CDC45;ORC1;BUB1;GINS2;RRM2;UBE2C;CBX2;PLK1;TPX2;KIF18B;RAD51;KIF4A;CDK1;CENPM;SPC24;EZH2;SPC25
CID44819306 CA-90-RU33 BAID12 10UM	54/300	6.265456234048756E-44	5.823741569548319E-41	0	0	18.664287996591757	1856.6989697668262	TOP2A;HJURP;BUB1B;MKI67;FOXM1;CDC20;PTTG1;PCLAF;PBK;MYBL2;TK1;CEP55;DLGAP5;TCF19;CKAP2L;KIF23;ESCO2;PIMREG;CDC25C;WDR76;CCNA2;MELK;ESPL1;FANCD2;KIFC1;BIRC5;KIF2C;KIF20A;ASF1B;CDCA2;TROAP;CDCA8;SKA3;TYMS;CENPA;SKA1;AURKB;AURKA;CCNB2;CDC45;BUB1;GINS2;RRM2;UBE2C;PLK1;NDC80;TPX2;KIF18B;RAD51;KIF4A;CDK1;CENPM;SPC24;SPC25
CID53358942 IDASANUTLIN GD-82-CS38 BAID19 1UM	68/579	5.943413560624251E-43	4.419522323680193E-40	0	0	11.887389068402129	1155.7974700509462	TOP2A;ARHGAP11A;ERCC6L;HJURP;NRM;BUB1B;MCM10;MKI67;FOXM1;LMNB1;CDC20;PTTG1;EME1;PCLAF;PBK;MYBL2;OIP5;TK1;GTSE1;CEP55;DLGAP5;TCF19;CKAP2L;KIF23;ESCO2;PIMREG;CDC25C;WDR76;CCNA2;ASPM;NEIL3;MELK;ESPL1;TMSB15A;FANCD2;KIFC1;BIRC5;KIF2C;KIF20A;PRR11;ASF1B;CDCA2;UHRF1;TROAP;CDCA7;CDCA8;CENPA;NCAPH;SKA1;AURKB;AURKA;CCNB2;CDC45;ORC1;E2F2;BUB1;GINS2;RRM2;UBE2C;CBX2;PLK1;TPX2;KIF18B;RAD51;CENPH;KIF4A;CENPM;SPC25
CID5330286 PALBOCICLIB AE-04-SN76 BAID8 10UM	73/703	1.6701171052599105E-42	1.0349158995593911E-39	0	0	10.53175359032502	1013.1091998869324	TOP2A;ARHGAP11A;HJURP;NRM;BUB1B;MCM10;MKI67;FOXM1;KIF15;LMNB1;CDC20;PTTG1;EME1;NUF2;PCLAF;PBK;MYBL2;OIP5;TK1;GTSE1;CEP55;DLGAP5;TCF19;CKAP2L;KIF23;ESCO2;PIMREG;CDC25C;WDR76;SGO1;CCNA2;MELK;ESPL1;TMSB15A;FANCD2;KIFC1;BIRC5;KIF2C;KIF20A;PRR11;DTL;ASF1B;CDCA2;TROAP;CDCA8;TYMS;CENPA;NCAPH;SKA1;AURKB;AURKA;CCNB2;CDC45;ORC1;E2F2;BUB1;CENPU;GINS2;POLQ;RRM2;UBE2C;CBX2;PLK1;NDC80;TPX2;KIF18B;RAD51;CENPH;CENPI;KIF4A;CDK1;CENPM;SPC25
CID101476432 RC-52-AC88 BAID28 10UM	76/834	2.748683862581417E-40	1.4599438001539583E-37	0	0	9.183103259276255	836.5098273035137	TOP2A;ARHGAP11A;CDCA7L;HJURP;NRM;BUB1B;MCM10;MKI67;FOXM1;KIF15;LMNB1;CDC20;PTTG1;EME1;PCLAF;PBK;MYBL2;OIP5;TK1;GTSE1;CEP55;DLGAP5;TCF19;CKAP2L;KIF23;ESCO2;PIMREG;CDC25C;WDR76;SGO1;CCNA2;ZNF90;NEIL3;MELK;ESPL1;TMSB15A;FANCD2;KIFC1;DEPDC1;BIRC5;KIF2C;KIF20A;MTFR2;PRR11;DTL;CDCA2;TROAP;CDCA8;HMMR;CENPA;NCAPH;SKA1;AURKB;AURKA;CCNB2;CDC45;ORC1;EIF4EBP1;E2F2;BUB1;GINS2;RRM2;UBE2C;CBX2;PLK1;NDC80;TPX2;KIF18B;RAD51;CENPH;CENPI;KIF4A;CDK1;CENPM;EZH2;SPC25
CID9907182 GB-94-XG34 BAID16 10UM	63/550	4.9829208797767955E-39	2.3158124788762658E-36	0	0	11.307541534440919	997.2663910972582	TOP2A;ARHGAP11A;HJURP;BUB1B;MCM10;MKI67;FOXM1;CDC20;PTTG1;NUF2;PCLAF;PBK;MYBL2;OIP5;TK1;GTSE1;CEP55;DLGAP5;TCF19;CKAP2L;KIF23;ESCO2;PIMREG;WDR76;CCNA2;ASPM;MELK;ESPL1;FANCD2;KIFC1;BIRC5;KIF2C;KIF20A;MTFR2;PRR11;ASF1B;CDCA2;TROAP;CDCA7;CDCA8;HMMR;CENPA;NCAPH;SKA1;AURKB;AURKA;CCNB2;CDC45;EIF4EBP1;CENPU;GINS2;RRM2;UBE2C;CBX2;PLK1;TPX2;KIF18B;RAD51;CENPH;KIF4A;CDK1;CENPM;SPC25
TF-29-QU48 BAID52 10UM	67/674	1.162291897902856E-37	4.801556973780909E-35	0	0	9.765467691744464	830.5066862387467	TOP2A;CDCA7L;HJURP;NRM;BUB1B;MKI67;FOXM1;LMNB1;CDC20;PTTG1;EME1;NUF2;PCLAF;PBK;MYBL2;TK1;GTSE1;PITX1;CEP55;DLGAP5;TCF19;CKAP2L;KIF23;PIMREG;CDC25C;WDR76;CCNA2;MELK;ESPL1;TMSB15A;FANCD2;KIFC1;BIRC5;KIF2C;KIF20A;MTFR2;PRR11;DTL;ASF1B;CDCA2;TROAP;CDCA8;CENPA;NCAPH;SKA1;AURKB;AURKA;CCNB2;CDC45;ORC1;E2F2;GINS2;RRM2;DDIAS;UBE2C;CBX2;PLK1;TPX2;MEX3A;KIF18B;RAD51;CENPH;KIF4A;CDK1;CENPM;SPC24;SPC25
BE-04-AN21 BAID12 10UM	74/874	5.4938096198228E-37	2.0425984166501173E-34	0	0	8.372356459330144	699.0250074208035	TOP2A;HJURP;NRM;BUB1B;MCM10;MKI67;FOXM1;HOXC11;KIF15;LMNB1;CDC20;MAGED4B;PTTG1;EME1;PCLAF;PBK;MYBL2;OIP5;TK1;GTSE1;CEP55;DLGAP5;TCF19;CKAP2L;KIF23;ESCO2;PIMREG;CDC25C;WDR76;CCNA2;DEPDC1B;MELK;ESPL1;TMSB15A;FANCD2;KIFC1;DEPDC1;BIRC5;KIF2C;KIF20A;MTFR2;PRR11;ASF1B;CDCA2;TROAP;NCAPG;CDCA8;SKA3;CENPA;NCAPH;SKA1;AURKB;AURKA;CCNB2;CDC45;ORC1;CENPU;GINS2;POLQ;RRM2;UBE2C;CBX2;PLK1;TPX2;MEX3A;KIF18B;RAD51;CENPH;KIF4A;CDK1;CENPM;SPC24;EZH2;SPC25
