Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
CID9852519 AVATROMBOPAG IA-23-DB04 BAID7 1UM	4/40	0.058950641347167966	0.9999960334970529	0	0	2.910384498940357	8.239457925672	FOXD1;CMTM3;COL4A2;COL4A1
CID71478195 SR9238 AF-16-GB72 BAID8 10UM	4/45	0.08346075838957771	0.9999960334970529	0	0	2.554794975742673	6.344523469050515	CMTM3;COL4A2;LOX;LOXL2
CID10316032 SD-208 AA-86-YV75 BAID3 1UM	4/46	0.0888784379747514	0.9999960334970529	0	0	2.493836771765927	6.036296265008891	ANXA2;COL4A2;COL4A1;TGFBI
AB-57-IZ37 BAID33 0.01UM	5/66	0.09621738456439782	0.9999960334970529	0	0	2.1471384161205913	5.026762850120311	STEAP3;COL4A2;SLC43A3;SERPINH1;NES
CID4877 IC-91-IX22 BAID27 1UM	7/110	0.1123906140889406	0.9999960334970529	0	0	1.7812147211560172	3.893334339161792	TGIF1;FOXD1;COL4A2;CMTM3;COL4A1;SERPINH1;TGFBI
CID5381 TAZAROTENE IA-14-WP20 BAID11 1UM	4/51	0.11836508913558812	0.9999960334970529	0	0	2.2279552437822483	4.754415173434827	STEAP3;SERPINH1;VIM;PDIA4
CID25181410 YA-52-FO46 BAID20 10UM	4/51	0.11836508913558812	0.9999960334970529	0	0	2.2279552437822483	4.754415173434827	TMEM37;SERPINH1;TGFBI;NES
CID11238078 FA-16-KA99 BAID45 0.01UM	3/41	0.19189210470513654	0.9999960334970529	0	0	2.064876476906552	3.4087435557711165	TUBA1C;CMTM3;VIM
CID988563 GD-71-OU80 BAID12 10UM	6/106	0.19754732599820965	0.9999960334970529	0	0	1.570655737704918	2.5472535043135878	TUBA1C;FOXD1;COL4A2;ANXA2;CMTM3;TGFBI
CID9883705 NS1652 JA-01-GQ75 BAID32 10UM	4/64	0.21052691649130903	0.9999960334970529	0	0	1.7440508628519529	2.717478489200179	ARHGAP11A;TUBA1C;SERPINH1;NACA2
CID78357767 QA-81-IM40 BAID30 0.1UM	4/64	0.21052691649130903	0.9999960334970529	0	0	1.7440508628519529	2.717478489200179	FOXD1;CMTM3;SLC43A3;SERPINH1
CID10477021 BA-90-AA10 BAID47 1UM	4/64	0.21052691649130903	0.9999960334970529	0	0	1.7440508628519529	2.717478489200179	ANXA2;CMTM3;SERPINH1;VIM
CID60182393 S0-EE-Y97N BAID27 1UM	6/111	0.22684465489344785	0.9999960334970529	0	0	1.495472287275566	2.218517937362175	COL4A2;COL4A1;TGFBI;NID1;CD44;LOXL2
CID97297 5-IODOTUBERCIDIN BD-69-GX17 BAID30 0.1UM	3/45	0.2305491054378592	0.9999960334970529	0	0	1.8678328474246841	2.7406550745211042	TGIF1;CMTM3;COL4A1
CID59568656 UD-49-HQ53 BAID41 0.01UM	3/45	0.2305491054378592	0.9999960334970529	0	0	1.8678328474246841	2.7406550745211042	CYTL1;CHST14;PDIA4
CID9961435 TEGLARINAD OB-78-PA58 BAID7 1UM	9/182	0.230873495604544	0.9999960334970529	0	0	1.3622350674373795	1.996880437527743	TMEM37;FOXD1;CMTM3;PDPN;SERPINH1;TGFBI;NES;E2F7;PDIA4
CID11472829 GSK984 RB-48-AN54 BAID52 10UM	5/90	0.2385615894755684	0.9999960334970529	0	0	1.5389615600674103	2.205528541302399	ARHGAP11A;COL4A2;SERPINH1;HOXA7;CLIC1
CID1550579 D-AP4 AD-55-EA62 BAID45 0.01UM	3/46	0.24043310627998454	0.9999960334970529	0	0	1.8242999525391552	2.6001991177898645	TUBA1C;NACA2;VIM
