Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
CID44818584 AA-42-XZ05 BAID32 10UM	11/74	1.000281014349455E-6	0.002870938944082953	0	0	7.5396825396825395	104.1624452693441	CDC20;KIFC1;UBE2C;PLK1;BIRC5;CDCA8;MYBL2;KIF2C;PIMREG;AURKB;AURKA
TF-29-QU48 BAID51 1UM	9/50	1.8727586067077317E-6	0.002870938944082953	0	0	9.44774672912292	124.59780996364584	CDC20;ESPL1;UBE2C;PLK1;BIRC5;CDCA8;MYBL2;KIF2C;AURKB
CID53378674 BB-86-UL91 BAID23 1UM	12/107	6.81957348400347E-6	0.006790608971661721	0	0	5.457684210526316	64.92304843538614	CDC20;UBE2C;KIFC1;PLK1;CDCA8;BIRC5;MYBL2;KIF2C;PIMREG;GTSE1;AURKB;AURKA
CID151345176 AC-45-YY00 BAID36 10UM	11/92	8.85924197216141E-6	0.006790608971661721	0	0	5.858777476663655	68.16130631290325	CDC20;ESPL1;KIFC1;UBE2C;PLK1;BIRC5;CDCA8;KIF2C;PIMREG;AURKB;AURKA
CID5330286 PALBOCICLIB AE-04-SN76 BAID6 0.1UM	7/44	6.135128394314401E-5	0.03762060731393591	0	0	8.108523908523908	78.64371760589803	CDC20;UBE2C;BIRC5;MYBL2;KIF2C;PIMREG;AURKB
CID104758 IB-06-YD91 BAID22 0.1UM	10/97	8.208282201366218E-5	0.041944322048981374	0	0	4.946343200081375	46.53411751387451	CDC20;KIF18B;UBE2C;PLK1;CKS2;CDCA8;BIRC5;KIF2C;PIMREG;AURKA
CID53358942 IDASANUTLIN GD-82-CS38 BAID18 0.1UM	15/218	1.7574556803288447E-4	0.0769765587984034	0	0	3.1961847455946044	27.635725888998465	UBE2C;CBX2;PLK1;CDCA8;PIMREG;AURKB;AURKA;CDC20;TMSB15A;KIFC1;MDK;BIRC5;E2F2;KIF2C;MYBL2
CID30751 FLUDARABINEPHOSPHATE CB-42-EI79 BAID40 10UM	8/73	2.755261615862423E-4	0.10559540142792735	0	0	5.2790240596408	43.27125208481222	CDC20;PLK1;CKS2;BIRC5;CDCA8;E2F2;KIF2C;AURKA
CID5327655 AB-80-CK34 BAID11 1UM	14/209	3.7641742545571074E-4	0.12823286960524546	0	0	3.099839743589744	24.441653162816863	UBE2C;CBX2;PLK1;CDCA8;PIMREG;AURKB;CDC20;KIF18B;ESPL1;KIFC1;MDK;BIRC5;KIF2C;MYBL2
BE-04-AN21 BAID11 1UM	15/240	4.915609778717771E-4	0.15071259581548688	0	0	2.8803877703206564	21.942576741382233	UBE2C;CBX2;PLK1;CDCA8;PIMREG;AURKB;AURKA;CDC20;KIF18B;ESPL1;KIFC1;BIRC5;KIF2C;MYBL2;GTSE1
CID71678945 NA-16-OJ70 BAID32 10UM	18/328	6.673228689973818E-4	0.1609933974118861	0	0	2.514559721011334	18.387055543652803	UBE2C;CBX2;PLK1;CDCA8;PIMREG;AURKB;AURKA;CDC20;KIF18B;EME1;ESPL1;TMSB15A;KIFC1;CKS2;BIRC5;KIF2C;MYBL2;GTSE1
BB-84-DG64 BAID51 1UM	8/84	7.168293027340689E-4	0.1609933974118861	0	0	4.5124043589149085	32.67284358184956	CDC20;UBE2C;BIRC5;CDCA8;MYBL2;YBX1;PIMREG;AURKA
CID71481097 SELINEXOR OB-17-DQ74 BAID6 0.1UM	13/198	7.272031050542453E-4	0.1609933974118861	0	0	3.0288208029856136	21.88718214107702	UBE2C;PLK1;CDCA8;AURKB;AURKA;CDC20;KIFC1;CDK4;EIF4EBP1;BIRC5;E2F2;KIF2C;MYBL2
CB-45-VH79 BAID36 10UM	7/65	7.35129668547425E-4	0.1609933974118861	0	0	5.16710875331565	37.2830854084969	CDC20;KIFC1;UBE2C;BIRC5;CDCA8;KIF2C;AURKA
CID53378674 BB-86-UL91 BAID24 10UM	18/360	0.0019012878704154133	0.3886232407129105	0	0	2.2754860123281175	14.256429111666536	PCNA;UBE2C;PLK1;CDCA8;PIMREG;AURKB;AURKA;CDC20;KIF18B;ESPL1;TMSB15A;KIFC1;BIRC5;KIF2C;MYBL2;GTSE1;SPC24;EZH2
CID104758 IB-06-YD91 BAID23 1UM	8/100	0.002223486859581572	0.4140664047909906	0	0	3.7245738364298027	22.752224704077776	CDC20;UBE2C;PLK1;CKS2;CDCA8;BIRC5;PIMREG;AURKA
CID71678945 NA-16-OJ70 BAID30 0.1UM	19/396	0.0022958672150837707	0.4140664047909906	0	0	2.179850429013658	13.246176415328813	UBE2C;CBX2;PLK1;CDCA8;YBX1;PIMREG;AURKB;AURKA;CDC20;KIF18B;ESPL1;TMSB15A;KIFC1;BIRC5;KIF2C;MYBL2;GTSE1;SPC24;EZH2
CID18521907 WE-43-PZ45 BAID51 1UM	10/161	0.004301698180691169	0.7087037053741142	0	0	2.8405028424075485	15.477176820408229	CDC20;KIF18B;UBE2C;PLK1;CDCA8;BIRC5;MYBL2;KIF2C;AURKB;AURKA
