Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
CID219077 OSANETANT SB-75-UH17 BAID32 10UM	19/217	0.0016724653919366625	0.999996038394273	0	0	2.2622623753058537	14.463675994425572	EIF5AL1;TCF19;CDKN2C;CDCA8;BUB1B;FOXM1;WDR76;NCAPH;CDC20;BCL2L12;TUBA1C;MELK;MFAP2;PCLAF;TAGLN2;KIF20A;TK1;PLP2;ASF1B
CID44818584 AA-42-XZ05 BAID32 10UM	9/74	0.0032923086922980343	0.999996038394273	0	0	3.246795658329401	18.55922369824465	CDC20;TUBA1C;KIFC1;PCLAF;CDCA8;TK1;KIF20A;FOXM1;TYMS
CID53378674 BB-86-UL91 BAID24 10UM	25/360	0.007912840059763913	0.999996038394273	0	0	1.7597556647301664	8.515930182242178	PCNA;LRR1;NRM;CDCA8;BUB1B;TYMS;FOXM1;NCAPH;LMNB1;CDC20;BCL2L12;TUBA1C;ORC1;PCLAF;NUSAP1;TK1;TCF19;CDKN2C;KIF23;WDR76;MELK;KIFC1;KIF20A;DTL;ASF1B
CID71678945 NA-16-OJ70 BAID32 10UM	23/328	0.009467989191543496	0.999996038394273	0	0	1.7766030167209022	8.278683543211963	CDKN2C;LRR1;NRM;CDCA8;BUB1B;TYMS;FOXM1;WDR76;CDC20;BCL2L12;TUBA1C;TMEM37;MELK;ORC1;KIFC1;MFAP2;PCLAF;TAGLN2;OIP5;KIF20A;TK1;TGFBI;ASF1B
BD-11-DV28 BAID35 10UM	20/279	0.011901558844273751	0.999996038394273	0	0	1.816880846731593	8.050755087627518	STEAP3;CDKN2C;ANXA2;CDCA8;BUB1B;TYMS;LMNB1;CDC20;TMEM37;MAGED4B;MELK;KIFC1;MFAP2;PCLAF;S100A4;KIF20A;TK1;VIM;S100A11;PPIC
CID151345176 AC-45-YY00 BAID36 10UM	9/92	0.013497720652682716	0.999996038394273	0	0	2.540276443196097	10.9364856515416	CDC20;TUBA1C;CDKN2C;KIFC1;BUB1B;CDCA8;KIF23;TK1;KIF20A
CID378811 MR16728 ND-68-CU31 BAID27 1UM	11/131	0.019603636757589357	0.999996038394273	0	0	2.1485854858548588	8.44832446291199	TCF19;TMEM37;MELK;CDKN2C;KIFC1;PCLAF;BUB1B;CDCA8;KIF23;KIF20A;NCAPH
CID327044 MITONAFIDE AC-35-CK01 BAID7 1UM	9/99	0.020919827994040397	0.999996038394273	0	0	2.341840490797546	9.05603268125772	CDC20;MELK;CDKN2C;KIFC1;PCLAF;CDCA8;KIF20A;TK1;WDR76
BE-04-AN21 BAID11 1UM	17/240	0.021458977011376668	0.999996038394273	0	0	1.7903934741416196	6.877997435388244	TCF19;CDKN2C;LRR1;CDCA8;FOXM1;NCAPH;LMNB1;CDC20;BCL2L12;TUBA1C;MELK;KIFC1;PCLAF;KIF20A;TK1;ASF1B;APOBEC3B
CID71678945 NA-16-OJ70 BAID30 0.1UM	25/396	0.023379542824780393	0.999996038394273	0	0	1.5859615624652108	5.956703322008786	LRR1;CDCA8;BUB1B;FOXM1;TYMS;NCAPH;BCL2L12;CDC20;TUBA1C;ORC1;PCLAF;NUSAP1;OIP5;TK1;TCF19;CDKN2C;KIF23;WDR76;TMEM37;MELK;RAD51;KIFC1;KIF20A;ASF1B;APOBEC3B
JD-02-GA59 BAID32 10UM	9/101	0.023494460720006615	0.999996038394273	0	0	2.2906908508935717	8.59235984842716	CDC20;TUBA1C;ANXA2;PCLAF;DEPDC1;BUB1B;TAGLN2;TK1;TYMS
EA-73-UC67 BAID36 10UM	13/177	0.03177174769572288	0.999996038394273	0	0	1.8582599019578359	6.409468840102988	CDKN2C;BUB1B;CDCA8;CDC20;TUBA1C;MELK;KIFC1;PCLAF;DEPDC1;KIF20A;TGFBI;TK1;APOBEC3B
CID5330286 PALBOCICLIB AE-04-SN76 BAID7 1UM	32/551	0.03268354494310729	0.999996038394273	0	0	1.4524435102469784	4.968640097683742	PCNA;SLC43A3;LRR1;CDCA7;NRM;CDCA8;BUB1B;FOXM1;TYMS;NCAPH;LMNB1;CDC20;TUBA1C;ORC1;PCLAF;OIP5;TK1;E2F8;TCF19;CDKN2C;KIF23;WDR76;MELK;RAD51;KIFC1;CDK2;DEPDC1;PLP2;KIF20A;DTL;ASF1B;APOBEC3B
BD-11-DV28 BAID32 10UM	12/161	0.034606687530652686	0.999996038394273	0	0	1.8871623632095744	6.347863769422585	CDC20;TMEM37;STEAP3;MAGED4B;CDKN2C;ANXA2;MFAP2;PCLAF;S100A4;TK1;VIM;TYMS
BC-61-ZY95 BAID51 1UM	13/180	0.03568347903606912	0.999996038394273	0	0	1.824590030789223	6.081481676628793	STEAP3;CDKN2C;ANXA2;CDCA8;TMEM37;MELK;KIFC1;MFAP2;NUSAP1;PCLAF;KIF20A;TK1;ASF1B
PF-84-RH50 BAID36 10UM	16/237	0.03678858733265377	0.999996038394273	0	0	1.6984006092916983	5.609082838905239	ANXA2;CDCA8;BUB1B;TYMS;CDC20;TUBA1C;TMEM37;CCDC80;MELK;MFAP2;PCLAF;TAGLN2;S100A4;KIF20A;TK1;APOBEC3B
CID1550579 D-AP4 AD-55-EA62 BAID45 0.01UM	5/46	0.039939521553520804	0.999996038394273	0	0	2.8492510199827272	9.175696444104585	TUBA1C;MELK;NACA2;OIP5;VIM
CID9576789 SARDOMOZIDE CB-30-KN11 BAID8 10UM	15/221	0.04059550590450164	0.999996038394273	0	0	1.7074297646621144	5.47077214129409	TCF19;CDKN2C;NRM;CDCA8;BUB1B;LMNB1;BCL2L12;TMEM37;MELK;RAD51;KIFC1;PCLAF;EIF4EBP1;TK1;ASF1B
CID44819306 CA-90-RU33 BAID12 10UM	19/300	0.042674644024134824	0.999996038394273	0	0	1.5870780928803518	5.0058829251379375	TCF19;CDKN2C;CDCA8;BUB1B;KIF23;TYMS;FOXM1;WDR76;CDC20;BCL2L12;TUBA1C;MELK;RAD51;KIFC1;PCLAF;KIF20A;TK1;ASF1B;APOBEC3B
CID9907182 GB-94-XG34 BAID16 10UM	31/550	0.04894448534464936	0.999996038394273	0	0	1.4052803067301314	4.239827052919163	STEAP3;LRR1;RPLP0;CDCA7;CDCA8;BUB1B;FOXM1;NCAPH;BCL2L12;CDC20;TUBA1C;GNG5;EIF4EBP1;PCLAF;OIP5;TK1;TCF19;EIF5AL1;CDKN2C;ANXA2;KIF23;WDR76;MELK;RAD51;KIFC1;MFAP2;TAGLN2;KIF20A;VIM;ASF1B;APOBEC3B
CID57930109 CA-06-FY97 BAID43 1UM	5/50	0.05409286677477085	0.999996038394273	0	0	2.5954415954415953	7.571040573994628	CDC20;PCLAF;BUB1B;TK1;APOBEC3B
CID78357767 QA-81-IM40 BAID32 10UM	19/311	0.05723510416388328	0.999996038394273	0	0	1.526401769760912	4.36640637157219	EIF5AL1;CDKN2C;RPLP0;BUB1B;WDR76;PDIA4;LMNB1;CDC20;BCL2L12;TUBA1C;MAGED4B;MELK;KIFC1;MFAP2;PCLAF;EIF4EBP1;KIF20A;TK1;PLP2
CID90644096 FE-06-GR60 BAID44 10UM	10/139	0.06165540064423433	0.999996038394273	0	0	1.8138963487800697	5.053867942599507	TUBA1C;TMEM37;MELK;LOX;ANXA2;LRR1;PCLAF;VIM;TYMS;APOBEC3B
CID5327654 YB-83-AS93 BAID47 1UM	10/139	0.06165540064423433	0.999996038394273	0	0	1.8138963487800697	5.053867942599507	TUBA1C;TMEM37;MELK;ANXA2;MFAP2;PCLAF;CDCA8;TK1;ASF1B;LMNB1
CID18191179 MK6-83 EC-37-MB09 BAID12 10UM	9/122	0.06509923540921762	0.999996038394273	0	0	1.8629350127585644	5.089244995464614	TMEM37;MAGED4B;MELK;KIFC1;MFAP2;PCLAF;KIF20A;TK1;APOBEC3B
UB-62-DF90 BAID36 10UM	8/104	0.06528534416505204	0.999996038394273	0	0	1.9485294117647058	5.317512810271711	TUBA1C;MELK;KIFC1;PCLAF;BUB1B;CDCA8;TYMS;APOBEC3B
CID9862831 SB-28-EJ14 BAID19 1UM	8/106	0.07130145444228078	0.999996038394273	0	0	1.908563425370148	5.040207874295975	TUBA1C;TMEM37;MELK;PCLAF;GPX8;CDCA8;KIF23;APOBEC3B
CID53378674 BB-86-UL91 BAID23 1UM	8/107	0.07443196225784691	0.999996038394273	0	0	1.8891859774212716	4.907859252405375	CDC20;MELK;KIFC1;PCLAF;CDCA8;KIF20A;TK1;TYMS
CID137636547 GD-39-YG36 BAID52 10UM	8/108	0.07764420534292449	0.999996038394273	0	0	1.8701960784313725	4.7795074301724	TUBA1C;MAGED4B;CCDC80;MELK;ANXA2;MFAP2;BUB1B;TK1
XA-12-UL84 BAID35 1UM	6/73	0.0800507256447776	0.999996038394273	0	0	2.0919972265810314	5.2824912654980745	TUBA1C;MELK;MFAP2;PCLAF;CDCA8;WDR76
CID285033 OMACETAXINEMEPESUCCINATE EA-18-FP00 BAID16 10UM	10/147	0.0827126068007223	0.999996038394273	0	0	1.7072580211266342	4.255141292580682	TMEM37;CCDC80;CDKN2C;ANXA2;MFAP2;PCLAF;S100A4;TK1;VIM;TYMS
BD-11-DV28 BAID33 10UM	15/248	0.08945441907579842	0.999996038394273	0	0	1.5074245213451674	3.6389620893156405	STEAP3;CDKN2C;ANXA2;CDCA8;BUB1B;TYMS;CDC20;TMEM37;MAGED4B;MFAP2;PCLAF;KIF20A;TK1;TGFBI;VIM
CID5081913 IMD-0354 LB-65-SM65 BAID32 10UM	20/351	0.09046868089232624	0.999996038394273	0	0	1.4162570831642392	3.402913909786713	TCF19;PCNA;CDKN2C;ANXA2;CDCA8;BUB1B;TYMS;CDC20;TMEM37;MMP14;CCDC80;MAGED4B;MELK;PCLAF;TAGLN2;S100A4;KIF20A;TK1;TGFBI;ASF1B
CID341768 HE-11-PK61 BAID44 10UM	7/96	0.10114489220941061	0.999996038394273	0	0	1.8374843563049248	4.210046387562489	MELK;CDKN2C;ANXA2;MFAP2;PCLAF;TK1;KIF20A
CID5330286 PALBOCICLIB AE-04-SN76 BAID6 0.1UM	4/44	0.10645140199078612	0.999996038394273	0	0	2.3336585365853657	5.227550817379057	CDC20;LRR1;PCLAF;KIF20A
CID51039247 MOMIPP UC-80-UO92 BAID20 10UM	14/235	0.10757067504826812	0.999996038394273	0	0	1.4824311490978157	3.3052391711309173	TCF19;ANXA2;CDCA8;TYMS;TUBA1C;TMEM37;MAGED4B;MELK;ORC1;PCLAF;OIP5;TK1;VIM;APOBEC3B
CID5497124 GA-79-DW49 BAID44 10UM	5/63	0.11741649415920032	0.999996038394273	0	0	2.01233632268115	4.310480519320827	TUBA1C;MAGED4B;MELK;NRM;TK1
