Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
CID5330286 PALBOCICLIB AE-04-SN76 BAID7 1UM	81/551	1.1123114124152691E-25	4.287960494860862E-22	0	0	4.685411655874191	269.2152596625676	ARHGAP11A;TOP2A;ERCC6L;LRR1;HJURP;BUB1B;MCM10;FOXM1;MKI67;CDC20;TUBA1C;PTTG1;NUF2;PBK;OIP5;MYBL2;TK1;GTSE1;DLGAP5;CEP55;TCF19;GAS2L3;CKAP2L;KIF23;ESCO2;CDC25C;PIMREG;SGO1;CCNA2;ASPM;MELK;ESPL1;TMSB15A;KIFC1;CKS2;DEPDC1;BIRC5;KIF2C;MTFR2;KIF20A;PRR11;DTL;ASF1B;CDCA2;PCNA;SLC43A3;TROAP;CDCA7;CDCA8;HMMR;SKA3;CENPA;NCAPH;SKA1;AURKB;AURKA;CCNB2;CDC45;ORC1;BUB1;E2F8;CENPU;GINS2;CDKN2C;RRM2;DDIAS;UBE2C;CBX2;PLK1;NDC80;TPX2;KIF18B;CENPH;CENPI;KIF4A;CDK2;CDK1;CENPM;PLP2;APOBEC3B;SPC25
CID44819306 CA-90-RU33 BAID12 10UM	53/300	8.97243407859518E-21	1.729436668649221E-17	0	0	5.672786530285431	261.8565634501236	TOP2A;HJURP;BUB1B;MKI67;FOXM1;CDC20;TUBA1C;PTTG1;PBK;MYBL2;TK1;DLGAP5;CEP55;TCF19;CKAP2L;KIF23;ESCO2;PIMREG;CDC25C;CCNA2;MELK;ESPL1;KIFC1;CKS2;BIRC5;KIF2C;KIF20A;ASF1B;CDCA2;TROAP;CDCA8;SKA3;CENPA;SKA1;AURKB;AURKA;CCNB2;CDC45;BUB1;GINS2;CDKN2C;RRM2;UBE2C;PLK1;NDC80;TPX2;KIF18B;KIF4A;CDK1;CENPM;SPC24;APOBEC3B;SPC25
CID71678945 NA-16-OJ70 BAID30 0.1UM	61/396	1.3848666270723416E-20	1.779553615787959E-17	0	0	4.845633802816901	221.57192625127104	ARHGAP11A;TOP2A;LRR1;HJURP;BUB1B;YBX1;FOXM1;MKI67;CDC20;TUBA1C;PTTG1;NUF2;PBK;OIP5;MYBL2;TK1;GTSE1;DLGAP5;CEP55;TCF19;CKAP2L;KIF23;CDC25C;PIMREG;CCNA2;MELK;ESPL1;TMSB15A;KIFC1;BIRC5;KIF2C;KIF20A;ASF1B;CDCA2;TROAP;CDCA8;HMMR;CENPA;NCAPH;SKA1;AURKB;AURKA;CCNB2;CDC45;ORC1;BUB1;GINS2;CDKN2C;RRM2;UBE2C;CBX2;PLK1;TPX2;KIF18B;KIF4A;CDK1;CENPM;SPC24;EZH2;APOBEC3B;SPC25
CID151345176 AC-45-YY00 BAID36 10UM	30/92	3.3872087257961254E-20	3.2644224094860155E-17	0	0	12.515998432806581	561.1134326503703	TOP2A;HJURP;BUB1B;CDCA8;MKI67;CENPA;AURKB;AURKA;CDC20;TUBA1C;PTTG1;TK1;DLGAP5;RRM2;CDKN2C;UBE2C;PLK1;KIF23;PIMREG;CDC25C;CCNA2;TPX2;ESPL1;KIFC1;KIF4A;BIRC5;CENPM;KIF2C;KIF20A;PRR11
CID53378674 BB-86-UL91 BAID24 10UM	57/360	6.954622742747066E-20	5.362014134657988E-17	0	0	4.986465873478104	219.9644550073904	TOP2A;LRR1;HJURP;BUB1B;MKI67;FOXM1;CDC20;TUBA1C;PTTG1;PBK;MYBL2;TK1;GTSE1;DLGAP5;TCF19;CKAP2L;KIF23;ESCO2;PIMREG;CDC25C;CCNA2;MELK;ESPL1;TMSB15A;KIFC1;BIRC5;KIF2C;KIF20A;MTFR2;PRR11;DTL;ASF1B;CDCA2;PCNA;TROAP;CDCA8;CENPA;NCAPH;SKA1;AURKB;AURKA;CCNB2;CDC45;ORC1;GINS2;CDKN2C;RRM2;UBE2C;PLK1;TPX2;KIF18B;KIF4A;CDK1;CENPM;SPC24;EZH2;SPC25
CID44818584 AA-42-XZ05 BAID32 10UM	27/74	8.976341010798304E-20	5.76729909943791E-17	0	0	14.81108442004118	649.5713515259787	TOP2A;TROAP;HJURP;CDCA8;MKI67;FOXM1;AURKB;AURKA;CDC20;TUBA1C;PTTG1;MYBL2;TK1;RRM2;CKAP2L;UBE2C;PLK1;ESCO2;PIMREG;TPX2;KIFC1;KIF4A;BIRC5;CENPM;KIF2C;KIF20A;PRR11
CID9907182 GB-94-XG34 BAID16 10UM	70/550	9.850494964620363E-19	5.424808298373071E-16	0	0	3.9004695672848313	161.7196897533438	ARHGAP11A;TOP2A;LRR1;RPLP0;HJURP;BUB1B;MCM10;YBX1;FOXM1;MKI67;CDC20;TUBA1C;PTTG1;NUF2;PBK;OIP5;MYBL2;TK1;GTSE1;DLGAP5;CEP55;TCF19;EIF5AL1;FOXD1;CKAP2L;KIF23;ESCO2;PIMREG;CCNA2;ASPM;MELK;ESPL1;KIFC1;CKS2;BIRC5;TAGLN2;KIF2C;MTFR2;KIF20A;PRR11;ASF1B;CDCA2;TROAP;CDCA7;CDCA8;HMMR;CENPA;NCAPH;SKA1;AURKB;AURKA;CCNB2;CDC45;EIF4EBP1;CENPU;GINS2;PPP1R14B;CDKN2C;RRM2;UBE2C;CBX2;PLK1;TPX2;KIF18B;CENPH;KIF4A;CDK1;CENPM;APOBEC3B;SPC25
CID53358942 IDASANUTLIN GD-82-CS38 BAID19 1UM	69/579	5.922561911786872E-17	2.853934521242299E-14	0	0	3.607650410591587	134.8004978423571	ARHGAP11A;TOP2A;ERCC6L;LRR1;HJURP;BUB1B;MCM10;YBX1;FOXM1;MKI67;CDC20;TUBA1C;EME1;PTTG1;MDK;PBK;OIP5;MYBL2;TK1;GTSE1;DLGAP5;CEP55;TCF19;CKAP2L;ACTL6A;KIF23;ESCO2;CDC25C;PIMREG;CCNA2;ASPM;NEIL3;MELK;ESPL1;TMSB15A;KIFC1;CKS2;BIRC5;KIF2C;KIF20A;PRR11;ASF1B;CDCA2;TROAP;CDCA7;CDCA8;CENPA;NCAPH;SKA1;AURKB;AURKA;CCNB2;CDC45;ORC1;BUB1;GINS2;CDKN2C;RRM2;UBE2C;CBX2;PLK1;TPX2;KIF18B;CENPH;KIF4A;CENPM;PLP2;APOBEC3B;SPC25
CID219077 OSANETANT SB-75-UH17 BAID32 10UM	40/217	1.227257030569397E-16	5.256750947605584E-14	0	0	5.889927117871193	215.78678525437164	TOP2A;CDCA2;TROAP;HJURP;CDCA8;BUB1B;MKI67;FOXM1;CENPA;NCAPH;AURKB;CDC20;TUBA1C;CDC45;PTTG1;MYBL2;TK1;DLGAP5;EIF5AL1;TCF19;GINS2;CDKN2C;RRM2;UBE2C;PLK1;TPX2;DEPDC1B;MEX3A;MELK;KIF18B;CENPH;KIF4A;CENPM;BIRC5;TAGLN2;KIF2C;KIF20A;PLP2;ASF1B;SPC25
BE-04-AN21 BAID11 1UM	42/240	1.4789904973842254E-16	5.70150836741619E-14	0	0	5.537556636322068	201.84394896961675	TOP2A;CDCA2;LRR1;TROAP;HJURP;CDCA8;MKI67;FOXM1;CENPA;NCAPH;AURKB;AURKA;CDC20;TUBA1C;CCNB2;PTTG1;MYBL2;TK1;GTSE1;DLGAP5;TCF19;GINS2;CDKN2C;RRM2;UBE2C;CBX2;PLK1;PIMREG;TPX2;MELK;KIF18B;ESPL1;KIFC1;KIF4A;CDK1;CENPM;BIRC5;KIF2C;KIF20A;PRR11;ASF1B;APOBEC3B
CID71678945 NA-16-OJ70 BAID32 10UM	48/328	1.536848183623612E-15	5.385954316244567E-13	0	0	4.492946058091286	153.25008898787306	TOP2A;CDCA2;LRR1;TROAP;HJURP;CDCA8;BUB1B;MCM10;MKI67;FOXM1;CENPA;AURKB;AURKA;CDC20;TUBA1C;CCNB2;CDC45;EME1;ORC1;OIP5;MYBL2;TK1;GTSE1;DLGAP5;GINS2;CDKN2C;RRM2;UBE2C;CBX2;PLK1;ESCO2;PIMREG;NDC80;TPX2;MELK;KIF18B;ESPL1;TMSB15A;KIFC1;KIF4A;CKS2;CENPM;BIRC5;TAGLN2;KIF2C;KIF20A;PRR11;ASF1B
CID53358942 IDASANUTLIN GD-82-CS38 BAID18 0.1UM	38/218	4.808681667581714E-15	1.5447889857106257E-12	0	0	5.486296801576474	180.874171975945	TOP2A;TROAP;HJURP;CDCA8;BUB1B;MKI67;CENPA;NCAPH;SKA1;AURKB;AURKA;CDC20;CDC45;MDK;MYBL2;TK1;GINS2;CDKN2C;RRM2;UBE2C;CKAP2L;CBX2;PLK1;PIMREG;CDC25C;TPX2;MELK;CENPH;TMSB15A;KIFC1;KIF4A;CENPM;BIRC5;KIF2C;KIF20A;PRR11;ASF1B;APOBEC3B
CID5330286 PALBOCICLIB AE-04-SN76 BAID6 0.1UM	18/44	1.1672338486526257E-14	3.461297297350671E-12	0	0	17.655225252834814	566.4070726458187	TOP2A;RRM2;UBE2C;TROAP;LRR1;HJURP;PIMREG;AURKB;CDC20;CCNB2;PTTG1;PBK;BIRC5;CENPM;MYBL2;KIF2C;KIF20A;DLGAP5
