Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
CID5330286 PALBOCICLIB AE-04-SN76 BAID7 1UM	73/551	6.868183178399574E-37	2.661420981629835E-33	0	0	8.23780228352599	685.9514892318729	ARHGAP11A;TOP2A;ERCC6L;LRR1;HJURP;BUB1B;MCM10;FOXM1;MKI67;KIF15;LMNB1;CDC20;PTTG1;NUF2;PBK;PCLAF;OIP5;GTSE1;CEP55;DLGAP5;TCF19;GAS2L3;CKAP2L;KIF23;ESCO2;WDR76;SGO1;CCNA2;ASPM;MELK;ESPL1;KIFC1;FANCD2;CKS2;DEPDC1;BIRC5;KIF2C;MTFR2;KIF20A;PRR11;DTL;ASF1B;CDCA2;TROAP;CDCA7;CDCA8;HMMR;SKA3;TYMS;CENPA;NCAPH;SKA1;AURKA;CCNB2;CDC45;BUB1;E2F8;CDKN2C;RRM2;DDIAS;PLK1;NDC80;TPX2;RAD51;KIF18B;CENPI;KIF4A;CDK2;CDK1;CENPM;PLP2;APOBEC3B;SPC25
CID71678945 NA-16-OJ70 BAID30 0.1UM	56/396	8.734819133128029E-30	1.6923712070435558E-26	0	0	8.538512763596005	571.31390027977	ARHGAP11A;TOP2A;LRR1;HJURP;BUB1B;FOXM1;MKI67;CDC20;PTTG1;NUF2;PBK;PCLAF;NUSAP1;OIP5;GTSE1;DLGAP5;CEP55;TCF19;CKAP2L;KIF23;WDR76;CCNA2;MELK;ESPL1;KIFC1;FANCD2;BIRC5;KIF2C;KIF20A;ASF1B;CDCA2;TROAP;CDCA8;HMMR;TYMS;CENPA;NCAPH;SKA1;AURKA;CCNB2;CDC45;SERPINH1;BUB1;CDKN2C;RRM2;PLK1;TPX2;RAD51;KIF18B;KIF4A;CDK1;CENPM;NES;EZH2;APOBEC3B;SPC25
CID44819306 CA-90-RU33 BAID12 10UM	49/300	4.5687083614401966E-29	5.901248300193587E-26	0	0	9.978899217943043	651.180424573371	TOP2A;HJURP;BUB1B;MKI67;FOXM1;CDC20;PTTG1;PCLAF;PBK;DLGAP5;CEP55;TCF19;CKAP2L;KIF23;ESCO2;WDR76;CCNA2;MELK;ESPL1;KIFC1;FANCD2;CKS2;BIRC5;KIF2C;KIF20A;ASF1B;CDCA2;TROAP;CDCA8;SKA3;TYMS;CENPA;SKA1;AURKA;CCNB2;CDC45;BUB1;CDKN2C;RRM2;PLK1;NDC80;TPX2;KIF18B;RAD51;KIF4A;CDK1;CENPM;APOBEC3B;SPC25
CID9907182 GB-94-XG34 BAID16 10UM	63/550	3.681623952393795E-28	3.5665732038814887E-25	0	0	6.783051650608119	428.4787841031198	ARHGAP11A;TOP2A;STEAP3;LRR1;HJURP;BUB1B;MCM10;FOXM1;MKI67;CDC20;PTTG1;NUF2;PBK;PCLAF;OIP5;GTSE1;CEP55;DLGAP5;TCF19;EIF5AL1;ANXA2;CKAP2L;KIF23;ESCO2;WDR76;CCNA2;ASPM;MELK;ESPL1;KIFC1;FANCD2;CKS2;BIRC5;KIF2C;MTFR2;KIF20A;PRR11;ASF1B;CDCA2;TROAP;CDCA7;CDCA8;HMMR;CENPA;NCAPH;SKA1;AURKA;CCNB2;CDC45;SERPINH1;CDKN2C;RRM2;PLK1;TPX2;RAD51;KIF18B;KIF4A;CDK1;CENPM;VIM;NES;APOBEC3B;SPC25
CID53358942 IDASANUTLIN GD-82-CS38 BAID19 1UM	64/579	1.0179996554604075E-27	7.8894973298181585E-25	0	0	6.524443017999946	405.50690797897346	ARHGAP11A;TOP2A;ERCC6L;LRR1;HJURP;BUB1B;MCM10;FOXM1;MKI67;LMNB1;CDC20;PTTG1;EME1;PBK;PCLAF;OIP5;GTSE1;CEP55;DLGAP5;TCF19;CKAP2L;GPX8;KIF23;ESCO2;WDR76;CCNA2;ASPM;NEIL3;MELK;ESPL1;KIFC1;FANCD2;CKS2;BIRC5;KIF2C;KIF20A;PRR11;ASF1B;CDCA2;UHRF1;TROAP;CDCA7;CDCA8;CENPA;NCAPH;SKA1;AURKA;CCNB2;CDC45;SERPINH1;BUB1;CA12;CDKN2C;RRM2;PLK1;TPX2;RAD51;KIF18B;KIF4A;CENPM;PLP2;NES;APOBEC3B;SPC25
CID53378674 BB-86-UL91 BAID24 10UM	51/360	3.311573338479703E-27	2.1387244477681416E-24	0	0	8.456104110720926	515.5887433142489	TOP2A;LRR1;HJURP;BUB1B;MKI67;FOXM1;LMNB1;CDC20;PTTG1;PCLAF;PBK;NUSAP1;GTSE1;DLGAP5;TCF19;CKAP2L;KIF23;ESCO2;WDR76;CCNA2;MELK;ESPL1;KIFC1;FANCD2;BIRC5;KIF2C;KIF20A;MTFR2;PRR11;DTL;ASF1B;CDCA2;TROAP;CDCA8;TYMS;CENPA;NCAPH;SKA1;AURKA;CCNB2;CDC45;CDKN2C;RRM2;PLK1;TPX2;KIF18B;KIF4A;CDK1;CENPM;EZH2;SPC25
CID101476432 RC-52-AC88 BAID28 10UM	74/834	6.104663509940165E-26	3.379367300145449E-23	0	0	5.18921276278515	301.27614189241046	ARHGAP11A;TOP2A;STEAP3;CDCA7L;LRR1;TNC;HJURP;BUB1B;MCM10;FOXM1;MKI67;KIF15;LMNB1;CDC20;PTTG1;EME1;PBK;PCLAF;RCC1;OIP5;GTSE1;CEP55;DLGAP5;TCF19;EIF5AL1;ANXA2;CKAP2L;KIF23;ESCO2;WDR76;SGO1;CCNA2;NEIL3;MELK;ESPL1;KIFC1;FANCD2;CKS2;DEPDC1;BIRC5;KIF2C;MTFR2;KIF20A;PRR11;DTL;CDCA2;TROAP;CDCA8;HMMR;CENPA;NCAPH;SKA1;AURKA;CCNB2;CDC45;SERPINH1;BUB1;CA12;CDKN2C;RRM2;PLK1;NDC80;TPX2;RAD51;KIF18B;CENPI;KIF4A;CDK1;CENPM;VIM;NES;EZH2;APOBEC3B;SPC25
CID5330286 PALBOCICLIB AE-04-SN76 BAID8 10UM	67/703	3.035740001010289E-25	1.4704365629893588E-22	0	0	5.541487596086653	312.8400944818884	ARHGAP11A;TOP2A;LRR1;HJURP;BUB1B;MCM10;FOXM1;MKI67;KIF15;LMNB1;CDC20;PTTG1;EME1;NUF2;PBK;PCLAF;OIP5;GTSE1;CEP55;DLGAP5;TCF19;CKAP2L;F2R;KIF23;ESCO2;WDR76;SGO1;CCNA2;MELK;ESPL1;KIFC1;FANCD2;BIRC5;KIF2C;KIF20A;PRR11;DTL;ASF1B;CDCA2;TROAP;CDCA8;TYMS;CENPA;NCAPH;SKA1;AURKA;CCNB2;CDC45;BUB1;CA12;POLQ;CDKN2C;RRM2;PLK1;NDC80;TPX2;WEE1;RAD51;KIF18B;CENPI;KIF4A;CDK2;CDK1;CENPM;NES;APOBEC3B;SPC25
BE-04-AN21 BAID12 10UM	71/874	1.244939161702054E-22	5.360154723994955E-20	0	0	4.661836931730729	235.13273065433893	TOP2A;STEAP3;LRR1;HJURP;BUB1B;MCM10;FOXM1;MKI67;KIF15;LOXL2;LMNB1;CDC20;MAGED4B;PTTG1;EME1;PBK;PCLAF;RCC1;OIP5;GTSE1;CEP55;DLGAP5;TCF19;EIF5AL1;CKAP2L;KIF23;ESCO2;WDR76;CCNA2;MELK;ESPL1;KIFC1;FANCD2;CKS2;DEPDC1;BIRC5;KIF2C;MTFR2;KIF20A;PRR11;ASF1B;CDCA2;TROAP;NCAPG;CDCA8;SKA3;CENPA;NCAPH;SKA1;AURKA;CCNB2;CDC45;SERPINH1;POLQ;CDKN2C;RRM2;PLK1;TPX2;WEE1;RAD51;KIF18B;KIF4A;CDK2;CDK1;NOX4;CENPM;PLP2;NES;EZH2;APOBEC3B;SPC25
BE-04-AN21 BAID11 1UM	38/240	3.1090386222701137E-22	1.2047524661296692E-19	0	0	9.36773651658225	463.91427958138837	TOP2A;CDCA2;LRR1;TROAP;HJURP;CDCA8;MKI67;FOXM1;CENPA;NCAPH;LMNB1;AURKA;CDC20;CCNB2;PTTG1;PCLAF;GTSE1;DLGAP5;TCF19;CDKN2C;RRM2;PLK1;TPX2;MELK;KIF18B;ESPL1;KIFC1;FANCD2;KIF4A;CDK1;CENPM;BIRC5;KIF2C;KIF20A;PRR11;NES;ASF1B;APOBEC3B
CID71678945 NA-16-OJ70 BAID32 10UM	43/328	1.0488370801334628E-21	3.6947669868337893E-19	0	0	7.57843567251462	366.0884981348828	TOP2A;CDCA2;LRR1;TROAP;HJURP;CDCA8;BUB1B;MCM10;MKI67;TYMS;FOXM1;CENPA;AURKA;CDC20;CCNB2;CDC45;EME1;PCLAF;SERPINH1;OIP5;GTSE1;DLGAP5;CDKN2C;RRM2;PLK1;ESCO2;WDR76;NDC80;TPX2;MELK;KIF18B;ESPL1;KIFC1;FANCD2;KIF4A;CKS2;CENPM;BIRC5;KIF2C;KIF20A;PRR11;NES;ASF1B
TF-29-QU48 BAID52 10UM	60/674	3.9533484834719645E-21	1.2766021144544887E-18	0	0	5.0481498903868856	237.16068864044715	TOP2A;STEAP3;CDCA7L;LRR1;HJURP;BUB1B;FOXM1;MKI67;LMNB1;CDC20;PTTG1;EME1;NUF2;PBK;PCLAF;GTSE1;CEP55;DLGAP5;TCF19;EIF5AL1;CKAP2L;KIF23;WDR76;CCNA2;MELK;ESPL1;KIFC1;FANCD2;BIRC5;KIF2C;MTFR2;KIF20A;PRR11;DTL;ASF1B;CDCA2;TROAP;CDCA8;CENPA;NCAPH;SKA1;AURKA;CCNB2;CDC45;SERPINH1;CA12;CDKN2C;RRM2;DDIAS;PLK1;TPX2;RAD51;KIF18B;KIF4A;CDK2;CDK1;CENPM;NES;APOBEC3B;SPC25
CID44818584 AA-42-XZ05 BAID32 10UM	23/74	6.339085976841545E-21	1.889535243096999E-18	0	0	21.792176276451176	1013.5007792700924	TOP2A;RRM2;CKAP2L;TROAP;PLK1;HJURP;CDCA8;ESCO2;MKI67;FOXM1;TYMS;AURKA;CDC20;TPX2;PTTG1;KIFC1;KIF4A;PCLAF;BIRC5;CENPM;KIF2C;KIF20A;PRR11
