Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
CID5330286 PALBOCICLIB AE-04-SN76 BAID7 1UM	51/551	5.946696762603379E-19	1.9178097059395897E-15	0	0	5.230790322580646	219.51681583610656	TOP2A;ERCC6L;HJURP;MCM10;FOXM1;MKI67;KIF15;LMNB1;CDC20;NUF2;PCLAF;MYBL2;CKAP2L;KIF23;CDC25C;WDR76;SGO1;ASPM;MELK;ESPL1;FANCD2;CKS2;KIF2C;PRR11;DTL;ASF1B;CDCA2;PCNA;CDCA7;HMMR;SKA3;CENPA;NCAPH;AURKA;CCNB2;ORC1;E2F2;BUB1;E2F8;CENPU;GINS2;DDIAS;CBX2;TPX2;KIF18B;CENPH;CENPI;CDK4;KIF4A;CDK2;SPC25
CID53358942 IDASANUTLIN GD-82-CS38 BAID19 1UM	44/579	2.151010421905712E-13	3.4685043053229605E-10	0	0	4.132113530441644	120.52411771608779	TOP2A;ERCC6L;CDCA2;UHRF1;CDCA7;HJURP;MCM10;FOXM1;MKI67;CENPA;NCAPH;AURKA;LMNB1;CDC20;CCNB2;ORC1;EME1;PCLAF;E2F2;MYBL2;BUB1;GINS2;CKAP2L;CBX2;GPX8;KIF23;CDC25C;WDR76;ASPM;TPX2;NEIL3;MELK;KIF18B;CENPH;ESPL1;CDK4;FANCD2;KIF4A;CKS2;KIF2C;PRR11;NES;ASF1B;SPC25
CID53378674 BB-86-UL91 BAID24 10UM	32/360	8.308398561750228E-12	8.931528453881495E-9	0	0	4.802944295427609	122.5411403714635	TOP2A;CDCA2;PCNA;HJURP;MKI67;FOXM1;CENPA;NCAPH;LMNB1;AURKA;CDC20;CCNB2;ORC1;PCLAF;MYBL2;GINS2;CKAP2L;KIF23;CDC25C;WDR76;TPX2;MELK;KIF18B;ESPL1;FANCD2;KIF4A;KIF2C;PRR11;DTL;ASF1B;EZH2;SPC25
CID5330286 PALBOCICLIB AE-04-SN76 BAID8 10UM	46/703	1.134499690535419E-11	9.146903754941816E-9	0	0	3.5137612086124133	88.55466828756235	TOP2A;CDCA2;PCNA;HJURP;MCM10;FOXM1;MKI67;CENPA;NCAPH;KIF15;AURKA;LMNB1;CDC20;CCNB2;ORC1;EME1;NUF2;PCLAF;E2F2;MYBL2;BUB1;CENPU;GINS2;POLQ;CKAP2L;CBX2;KIF23;CDC25C;WDR76;SGO1;TPX2;WEE1;MELK;KIF18B;CENPH;ESPL1;CENPI;FANCD2;KIF4A;CDK2;KIF2C;PRR11;NES;DTL;ASF1B;SPC25
CID71678945 NA-16-OJ70 BAID30 0.1UM	33/396	2.2190956224190463E-11	1.431316676460285E-8	0	0	4.4787878787878785	109.8706516142063	TOP2A;CDCA2;HJURP;HMMR;FOXM1;MKI67;CENPA;NCAPH;AURKA;CDC20;CCNB2;ORC1;NUF2;PCLAF;MYBL2;BUB1;GINS2;CKAP2L;CBX2;KIF23;CDC25C;WDR76;TPX2;MELK;KIF18B;ESPL1;FANCD2;KIF4A;KIF2C;NES;ASF1B;EZH2;SPC25
CID44819306 CA-90-RU33 BAID12 10UM	28/300	5.572856551832093E-11	2.7001910189793617E-8	0	0	5.03108711839166	118.7866245597655	TOP2A;CDCA2;HJURP;MKI67;SKA3;FOXM1;CENPA;AURKA;CDC20;CCNB2;PCLAF;MYBL2;BUB1;GINS2;CKAP2L;KIF23;CDC25C;WDR76;TPX2;MELK;KIF18B;ESPL1;FANCD2;KIF4A;CKS2;KIF2C;ASF1B;SPC25
BE-04-AN21 BAID11 1UM	25/240	5.860879731117995E-11	2.7001910189793617E-8	0	0	5.6567722332593195	133.2743248667315	TOP2A;CDCA2;HJURP;MKI67;FOXM1;CENPA;NCAPH;LMNB1;AURKA;CDC20;CCNB2;PCLAF;MYBL2;GINS2;CBX2;TPX2;MELK;KIF18B;ESPL1;FANCD2;KIF4A;KIF2C;PRR11;NES;ASF1B
CID219077 OSANETANT SB-75-UH17 BAID32 10UM	23/217	2.4562664868087313E-10	9.901824274947698E-8	0	0	5.744961340206186	127.11995694613859	TOP2A;GINS2;CDCA2;HJURP;MKI67;FOXM1;CENPA;WDR76;NCAPH;CDC20;TPX2;DEPDC1B;MEX3A;MELK;KIF18B;CENPH;KIF4A;PCLAF;KIF2C;MYBL2;NES;ASF1B;SPC25
CID101476432 RC-52-AC88 BAID28 10UM	48/834	3.2716371084887236E-10	1.1723366305417926E-7	0	0	3.0601119592875317	66.83456015565834	TOP2A;CDCA2;CDCA7L;TNC;HJURP;MCM10;HMMR;FOXM1;MKI67;CENPA;NCAPH;KIF15;AURKA;LMNB1;CDC20;CCNB2;ORC1;EME1;PCLAF;E2F2;RCC1;MYBL2;BUB1;GINS2;CKAP2L;CBX2;KIF23;CDC25C;WDR76;SGO1;TPX2;ZNF90;NEIL3;MELK;KIF18B;CENPH;ESPL1;CENPI;CDK4;FANCD2;KIF4A;CKS2;KIF2C;PRR11;NES;DTL;EZH2;SPC25
CID71678945 NA-16-OJ70 BAID32 10UM	28/328	4.4158068353861623E-10	1.4240977044120374E-7	0	0	4.554902953586498	98.11561751377363	TOP2A;CDCA2;HJURP;MCM10;MKI67;FOXM1;CENPA;AURKA;CDC20;CCNB2;EME1;ORC1;PCLAF;MYBL2;GINS2;CBX2;WDR76;TPX2;MELK;KIF18B;ESPL1;FANCD2;KIF4A;CKS2;KIF2C;PRR11;NES;ASF1B
BE-04-AN21 BAID12 10UM	49/874	5.117402818158368E-10	1.5003294625964307E-7	0	0	2.9779549505752714	63.70799740808057	TOP2A;HJURP;MCM10;FOXM1;MKI67;HOXC11;KIF15;LMNB1;CDC20;MAGED4B;EME1;PCLAF;RCC1;MYBL2;CKAP2L;KIF23;CDC25C;WDR76;DEPDC1B;MELK;ESPL1;FANCD2;CKS2;KIF2C;PRR11;ASF1B;CDCA2;NCAPG;SKA3;CENPA;NCAPH;AURKA;CCNB2;ORC1;CENPU;GINS2;POLQ;CBX2;TPX2;WEE1;MEX3A;KIF18B;CENPH;CDK4;KIF4A;CDK2;NES;EZH2;SPC25
CID9907182 GB-94-XG34 BAID16 10UM	37/550	6.205408276372907E-10	1.6677034742752187E-7	0	0	3.562140815481421	75.51891599526883	TOP2A;CDCA2;CDCA7;HJURP;MCM10;HMMR;FOXM1;MKI67;CENPA;NCAPH;AURKA;CDC20;CCNB2;NUF2;PCLAF;MYBL2;CENPU;GINS2;CKAP2L;CBX2;KIF23;WDR76;ASPM;TPX2;MELK;KIF18B;CENPH;ESPL1;CDK4;FANCD2;KIF4A;CKS2;KIF2C;PRR11;NES;ASF1B;SPC25
