Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
CID44818584 AA-42-XZ05 BAID32 10UM	16/74	1.6520170004085866E-12	3.791382713899425E-9	0	0	13.675476982321022	371.0023453172294	RRM2;TROAP;PLK1;CDCA8;MKI67;FOXM1;PIMREG;TYMS;AURKB;CDC20;PTTG1;KIFC1;CENPM;MYBL2;TK1;KIF20A
CID71678945 NA-16-OJ70 BAID30 0.1UM	34/396	1.9923188197054256E-12	3.791382713899425E-9	0	0	4.803044551545786	129.40229067481152	ARHGAP11A;TROAP;CDCA8;YBX1;FOXM1;MKI67;TYMS;NCAPH;AURKB;CDC20;CDC45;PTTG1;SERPINH1;OIP5;MYBL2;TK1;TCF19;CDKN2C;RRM2;CBX2;PLK1;PIMREG;CCNA2;RAD51;KIF18B;ESPL1;TMSB15A;KIFC1;CENPM;KIF20A;NES;SPC24;ASF1B;SPC25
CID219077 OSANETANT SB-75-UH17 BAID32 10UM	25/217	3.235348684274079E-12	4.104579030782382E-9	0	0	6.560470779220779	173.56961707345712	TROAP;CDCA8;MKI67;FOXM1;NCAPH;AURKB;CDC20;CDC45;PTTG1;SERPINH1;MYBL2;TK1;EIF5AL1;TCF19;CDKN2C;RRM2;PLK1;MEX3A;KIF18B;MFAP2;CENPM;KIF20A;NES;ASF1B;SPC25
CID5330286 PALBOCICLIB AE-04-SN76 BAID7 1UM	40/551	4.45915370707777E-12	4.242884752284498E-9	0	0	4.036388639128365	105.49530421142151	ARHGAP11A;SLC43A3;TROAP;NRM;CDCA8;FOXM1;MKI67;TYMS;NCAPH;AURKB;KIF15;LMNB1;CDC20;CDC45;PTTG1;E2F2;MYBL2;OIP5;TK1;E2F8;TCF19;GAS2L3;CDKN2C;RRM2;CBX2;PLK1;PIMREG;CCNA2;ASPM;RAD51;KIF18B;ESPL1;TMSB15A;KIFC1;CDK4;CENPM;KIF20A;DTL;ASF1B;SPC25
CID71678945 NA-16-OJ70 BAID32 10UM	29/328	4.3962059038793034E-11	3.346391934032926E-8	0	0	4.910848936525075	117.11242344809496	TROAP;NRM;CDCA8;MKI67;TYMS;FOXM1;AURKB;CDC20;CDC45;EME1;SERPINH1;OIP5;MYBL2;TK1;CDKN2C;RRM2;CBX2;PLK1;PIMREG;KIF18B;ESPL1;TMSB15A;KIFC1;MFAP2;CENPM;KIF20A;TGFBI;NES;ASF1B
CID9907182 GB-94-XG34 BAID16 10UM	38/550	6.753823399542947E-11	4.144944796062888E-8	0	0	3.8063046034946235	89.13728681343684	ARHGAP11A;TROAP;CDCA8;YBX1;FOXM1;MKI67;NCAPH;AURKB;CDC20;CDC45;PTTG1;SERPINH1;EIF4EBP1;MYBL2;OIP5;TK1;TCF19;EIF5AL1;PPP1R14B;CDKN2C;FOXD1;RRM2;CBX2;PLK1;PIMREG;CCNA2;ASPM;RAD51;KIF18B;ESPL1;KIFC1;CDK4;MFAP2;CENPM;KIF20A;NES;ASF1B;SPC25
CID53358942 IDASANUTLIN GD-82-CS38 BAID19 1UM	39/579	7.943906839608802E-11	4.144944796062888E-8	0	0	3.7084456424079066	86.24372616673898	ARHGAP11A;TROAP;NRM;CDCA8;YBX1;FOXM1;MKI67;NCAPH;AURKB;LMNB1;CDC20;CDC45;PTTG1;EME1;SERPINH1;E2F2;MYBL2;OIP5;TK1;TCF19;CDKN2C;RRM2;CBX2;PLK1;PIMREG;CCNA2;ASPM;RAD51;KIF18B;ESPL1;TMSB15A;KIFC1;CDK4;MFAP2;CENPM;KIF20A;NES;ASF1B;SPC25
CID53378674 BB-86-UL91 BAID24 10UM	30/360	8.712443081582529E-11	4.144944796062888E-8	0	0	4.607655502392345	106.73027502380815	TROAP;NRM;CDCA8;MKI67;TYMS;FOXM1;NCAPH;AURKB;LMNB1;CDC20;CDC45;PTTG1;MYBL2;TK1;TCF19;CDKN2C;RRM2;PLK1;PIMREG;CCNA2;KIF18B;ESPL1;TMSB15A;KIFC1;CENPM;KIF20A;DTL;SPC24;ASF1B;SPC25
BE-04-AN21 BAID11 1UM	24/240	1.7637680740338963E-10	7.4587792108589E-8	0	0	5.576856649395509	125.247268776971	TCF19;CDKN2C;RRM2;TROAP;CBX2;PLK1;CDCA8;MKI67;PIMREG;FOXM1;NCAPH;AURKB;LMNB1;CDC20;KIF18B;PTTG1;ESPL1;KIFC1;CENPM;MYBL2;KIF20A;TK1;NES;ASF1B
TF-29-QU48 BAID51 1UM	12/50	2.8200545447240715E-10	1.0733127597219817E-7	0	0	15.513356254959005	341.1246598528617	CDC20;RRM2;ESPL1;PLK1;MFAP2;SERPINH1;CDCA8;CENPM;MYBL2;TK1;MKI67;AURKB
