Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
CID5330286 PALBOCICLIB AE-04-SN76 BAID7 1UM	43/551	1.0877770951717642E-15	3.998668601851405E-12	0	0	4.996445756780402	172.15074054502767	TOP2A;TROAP;NRM;CDCA8;MCM10;SKA3;MKI67;FOXM1;CENPA;NCAPH;SKA1;KIF15;LMNB1;CDC45;ORC1;E2F2;MYBL2;TK1;BUB1;E2F8;CDKN2C;DDIAS;CKAP2L;CBX2;ESCO2;CDC25C;NDC80;SGO1;TPX2;KIF18B;ESPL1;MTHFD2;TMSB15A;FANCD2;KIFC1;KIF4A;CDK2;CENPM;BIRC5;KIF2C;DTL;ASF1B;APOBEC3B
CID44819306 CA-90-RU33 BAID12 10UM	30/300	4.8892789752765984E-14	8.986494756558388E-11	0	0	6.38410814375206	195.66746550233475	TOP2A;TROAP;CDCA8;MKI67;SKA3;FOXM1;CENPA;SKA1;CDC45;MYBL2;TK1;BUB1;CDKN2C;CKAP2L;ESCO2;CDC25C;NDC80;TPX2;KIF18B;ESPL1;MTHFD2;KIFC1;FANCD2;KIF4A;CENPM;BIRC5;KIF2C;SPC24;ASF1B;APOBEC3B
CID53378674 BB-86-UL91 BAID24 10UM	32/360	1.8141200579716426E-13	2.2229017777012527E-10	0	0	5.622133236257736	164.94217679268894	TOP2A;TROAP;NRM;CDCA8;MKI67;FOXM1;CENPA;NCAPH;SKA1;LMNB1;CDC45;ORC1;MYBL2;TK1;CDKN2C;CKAP2L;ESCO2;CDC25C;TPX2;KIF18B;ESPL1;MTHFD2;TMSB15A;KIFC1;FANCD2;KIF4A;CENPM;BIRC5;KIF2C;DTL;SPC24;ASF1B
CID53358942 IDASANUTLIN GD-82-CS38 BAID18 0.1UM	24/218	2.2691671592296385E-12	1.7706586266256067E-9	0	0	7.011150852093414	187.98022997163457	TOP2A;CDKN2C;CKAP2L;TROAP;CBX2;CDCA8;MKI67;CDC25C;CENPA;NCAPH;SKA1;TPX2;CDC45;TMSB15A;KIFC1;KIF4A;CENPM;BIRC5;E2F2;KIF2C;MYBL2;TK1;ASF1B;APOBEC3B
CID71678945 NA-16-OJ70 BAID30 0.1UM	32/396	2.4084040079238394E-12	1.7706586266256067E-9	0	0	5.056650811874692	135.2758098643543	TOP2A;TROAP;CDCA8;YBX1;MKI67;FOXM1;CENPA;NCAPH;SKA1;CDC45;ORC1;MYBL2;TK1;BUB1;CDKN2C;CKAP2L;CBX2;CDC25C;TPX2;KIF18B;ESPL1;MTHFD2;TMSB15A;FANCD2;KIFC1;KIF4A;CENPM;BIRC5;KIF2C;SPC24;ASF1B;APOBEC3B
CID44818584 AA-42-XZ05 BAID32 10UM	15/74	4.6282093141144345E-12	2.83554957311411E-9	0	0	14.137615562403697	368.9755231873576	TOP2A;CKAP2L;TROAP;CDCA8;ESCO2;MKI67;FOXM1;TPX2;KIFC1;KIF4A;BIRC5;CENPM;MYBL2;KIF2C;TK1
CID53358942 IDASANUTLIN GD-82-CS38 BAID19 1UM	38/579	1.1331148212430563E-11	5.950471546984964E-9	0	0	4.076072116816208	102.73114380058	TOP2A;UHRF1;TROAP;NRM;CDCA8;MCM10;YBX1;MKI67;FOXM1;CENPA;NCAPH;SKA1;LMNB1;CDC45;EME1;ORC1;E2F2;MYBL2;TK1;BUB1;CDKN2C;CKAP2L;CBX2;ACTL6A;ESCO2;CDC25C;TPX2;KIF18B;ESPL1;TMSB15A;FANCD2;KIFC1;KIF4A;CENPM;BIRC5;KIF2C;ASF1B;APOBEC3B
CID71678945 NA-16-OJ70 BAID32 10UM	28/328	1.6399046243591722E-11	7.535361748930396E-9	0	0	5.32275319567355	132.18417733875665	TOP2A;TROAP;NRM;CDCA8;MCM10;MKI67;FOXM1;CENPA;CDC45;EME1;ORC1;MYBL2;TK1;CDKN2C;CBX2;ESCO2;NDC80;TPX2;KIF18B;ESPL1;TMSB15A;KIFC1;FANCD2;KIF4A;CENPM;BIRC5;KIF2C;ASF1B
CID5330286 PALBOCICLIB AE-04-SN76 BAID8 10UM	41/703	6.649511876607267E-11	2.7159561842675904E-8	0	0	3.604113765684948	84.45841480584053	TOP2A;TROAP;NRM;CDCA8;MCM10;MKI67;FOXM1;CENPA;NCAPH;SKA1;KIF15;LMNB1;CDC45;EME1;ORC1;E2F2;MYBL2;TK1;BUB1;POLQ;CDKN2C;CKAP2L;CBX2;ESCO2;CDC25C;NDC80;SGO1;TPX2;KIF18B;ESPL1;TMSB15A;FANCD2;KIFC1;KIF4A;CDK2;CENPM;BIRC5;KIF2C;DTL;ASF1B;APOBEC3B
CID101476432 RC-52-AC88 BAID28 10UM	45/834	9.401861186414763E-11	3.456124172126067E-8	0	0	3.3377417755000827	77.06020788253458	TOP2A;TROAP;NRM;CDCA8;MCM10;YBX1;MKI67;FOXM1;CENPA;NCAPH;SKA1;KIF15;LMNB1;CDC45;EME1;ORC1;EIF4EBP1;E2F2;RCC1;MYBL2;TK1;BUB1;PPP1R14B;CDKN2C;CKAP2L;CBX2;ESCO2;CDC25C;NDC80;SGO1;TPX2;ZNF90;KIF18B;ESPL1;MTHFD2;TMSB15A;FANCD2;KIFC1;KIF4A;ID3;CENPM;BIRC5;KIF2C;DTL;APOBEC3B
