Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
CID121499143 XMU-MP-1 BA-88-HT15 BAID24 10UM	25/525	1.7688502185889494E-7	5.573647038773779E-4	0	0	3.6666030534351144	57.00748595774877	STEAP3;SLC43A3;NRM;SYDE1;MDK;SERPINH1;HOXC9;CLIC1;S100A11;APOBEC3C;PPP1R14B;ANXA1;ANXA2;CMTM3;GDF15;EMP3;COL4A2;ID3;TAGLN2;S100A4;PLP2;TGFBI;MDFI;APOBEC3B;TMEM45A
CID52912189 AF-30-GH67 BAID27 1UM	23/493	7.975390540342139E-7	0.001256522779630904	0	0	3.566964861379755	50.086375455197256	APOBEC3C;CA12;CMTM3;SLC43A3;GDF15;TGFB1I1;NRM;EMP3;HOXA11;SPOCD1;TMEM37;SYDE1;PLAU;MDK;PDPN;SERPINH1;ID3;PLP2;TGFBI;HOXC9;CLIC1;APOBEC3B;TMEM45A
CID86294693 NVS-BET-1 CB-55-AK76 BAID23 1UM	26/664	3.936996769664005E-6	0.00413515894040376	0	0	2.9783566941712007	37.06592415937395	STEAP3;TGFB1I1;NRM;HOXA11;HOXA10;SYDE1;MDK;SERPINH1;HOXA7;HOXC9;CLIC1;APOBEC3C;CA12;PPP1R14B;ANXA1;CMTM3;GDF15;EMP3;TMEM37;ID3;S100A4;PLP2;TGFBI;MDFI;APOBEC3B;TMEM45A
CID71291068 CPI-203 AE-32-DP61 BAID27 1UM	24/698	7.527705893710439E-5	0.058823076423164845	0	0	2.5777436788482584	24.47396237077992	APOBEC3C;STEAP3;ANXA1;CMTM3;GDF15;TGFB1I1;NRM;EMP3;HOXA11;SPOCD1;SYDE1;COL4A2;PLAU;MDK;PDPN;SERPINH1;ID3;S100A4;PLP2;TGFBI;CLIC1;MDFI;APOBEC3B;TMEM45A
CID86294693 NVS-BET-1 CB-55-AK76 BAID24 10UM	23/663	9.334033072542819E-5	0.058823076423164845	0	0	2.5963482481060605	24.092185963982402	APOBEC3C;PPP1R14B;CMTM3;GDF15;TGFB1I1;NRM;EMP3;HOXA11;TMEM37;SYDE1;COL4A2;PLAU;MDK;SERPINH1;ID3;S100A4;PLP2;TGFBI;HOXC9;CLIC1;S100A11;APOBEC3B;TMEM45A
CID72943187 BROMOSPORINE RA-86-LI22 BAID16 10UM	18/464	1.4072815359730584E-4	0.07390573533085178	0	0	2.8906763132011934	25.63648470047729	CA12;PPP1R14B;CMTM3;SLC43A3;GDF15;TGFB1I1;EMP3;HOXA11;COL4A2;MDK;SERPINH1;ID3;S100A4;PLP2;TGFBI;CLIC1;APOBEC3B;TMEM45A
CID86294693 NVS-BET-1 CB-55-AK76 BAID22 0.1UM	16/399	2.2721559644719622E-4	0.0989020509432371	0	0	2.9797770562562023	24.999171045537757	APOBEC3C;STEAP3;PPP1R14B;GDF15;TGFB1I1;EMP3;TMEM37;MDK;SERPINH1;ID3;PLP2;TGFBI;CLIC1;MDFI;APOBEC3B;TMEM45A
CID71291068 CPI-203 AE-32-DP61 BAID28 10UM	26/851	2.511000976026331E-4	0.0989020509432371	0	0	2.280682688958551	18.906081557672575	SLC43A3;TGFB1I1;NRM;HOXA11;HOXA10;FAM156B;SYDE1;PLAU;MDK;SERPINH1;HOXA7;CLIC1;APOBEC3C;CA12;PPP1R14B;CMTM3;GDF15;EMP3;TMEM37;COL4A2;ID3;PLP2;TGFBI;MDFI;APOBEC3B;TMEM45A
CID46943432 MOLIBRESIB EF-73-IP33 BAID16 10UM	12/260	3.986525564044229E-4	0.12839478603774732	0	0	3.4249266862170087	26.808340691566567	APOBEC3C;CA12;TMEM37;PLAU;TGFB1I1;SERPINH1;ID3;EMP3;PLP2;TGFBI;NKX2-5;APOBEC3B
CID71291068 CPI-203 AE-32-DP61 BAID26 0.1UM	15/379	4.0747313880592606E-4	0.12839478603774732	0	0	2.931429783451842	22.88137937092948	CA12;PPP1R14B;TGFB1I1;EMP3;HOXA11;TMEM37;SYDE1;MDK;SERPINH1;ID3;PLP2;TGFBI;HOXA7;APOBEC3B;TMEM45A
TB-06-VB30 BAID23 1UM	18/527	6.466371502118962E-4	0.18523215093797135	0	0	2.524609081148984	18.540035429405002	APOBEC3C;GDF15;TGFB1I1;NRM;EMP3;HOXA11;HOXA10;TMEM37;MDK;PDPN;SERPINH1;ID3;S100A4;PLP2;TGFBI;HOXA4;APOBEC3B;TMEM45A
