Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
CID5330286 PALBOCICLIB AE-04-SN76 BAID7 1UM	56/551	2.896678423828487E-32	1.035852204361067E-28	0	0	9.798088998088998	711.528975660002	TOP2A;HJURP;MCM10;MKI67;KIF15;LMNB1;CDC20;PTTG1;NUF2;PBK;MYBL2;GTSE1;DLGAP5;GAS2L3;CKAP2L;ESCO2;CDC25C;SGO1;CCNA2;ASPM;MELK;ESPL1;TMSB15A;FANCD2;KIFC1;CKS2;KIF2C;KIF20A;PRR11;DTL;CDCA2;TROAP;CDCA7;CDCA8;SKA3;NCAPH;SKA1;AURKB;CDC45;ORC1;BUB1;E2F8;CENPU;RRM2;DDIAS;CBX2;PLK1;NDC80;TPX2;KIF18B;CENPH;CENPI;CDK4;CDK1;CENPM;SPC25
CID53358942 IDASANUTLIN GD-82-CS38 BAID19 1UM	51/579	2.0517802308769437E-26	3.668583052807975E-23	0	0	8.16725070084101	483.0806656172962	TOP2A;HJURP;MCM10;YBX1;MKI67;AQP1;LMNB1;CDC20;PTTG1;EME1;MDK;PBK;MYBL2;GTSE1;DLGAP5;CKAP2L;ACTL6A;ESCO2;CDC25C;CCNA2;ASPM;NEIL3;MELK;ESPL1;TMSB15A;FANCD2;KIFC1;CKS2;KIF2C;KIF20A;PRR11;CDCA2;UHRF1;TROAP;CDCA7;CDCA8;NCAPH;SKA1;AURKB;CDC45;ORC1;BUB1;RRM2;CBX2;PLK1;TPX2;KIF18B;CENPH;CDK4;CENPM;SPC25
CID53378674 BB-86-UL91 BAID24 10UM	40/360	1.5211657882604499E-24	1.8132296196064564E-21	0	0	10.190126050420169	558.8526525712027	TOP2A;CDCA2;TROAP;HJURP;CDCA8;MKI67;NCAPH;SKA1;AURKB;LMNB1;CDC20;CDC45;PTTG1;ORC1;PBK;MYBL2;GTSE1;DLGAP5;RRM2;CKAP2L;PLK1;ESCO2;CDC25C;CCNA2;TPX2;MELK;KIF18B;ESPL1;TMSB15A;FANCD2;KIFC1;CDK1;CENPM;KIF2C;KIF20A;PRR11;DTL;SPC24;EZH2;SPC25
CID44819306 CA-90-RU33 BAID12 10UM	36/300	2.6349889511009014E-23	2.3556801222842058E-20	0	0	10.964312546957174	570.0409483337023	TOP2A;CDCA2;TROAP;HJURP;CDCA8;SKA3;MKI67;SKA1;AURKB;CDC20;CDC45;PTTG1;PBK;MYBL2;BUB1;DLGAP5;RRM2;CKAP2L;PLK1;ESCO2;CDC25C;NDC80;CCNA2;TPX2;MELK;KIF18B;ESPL1;FANCD2;KIFC1;CKS2;CDK1;CENPM;KIF2C;KIF20A;SPC24;SPC25
CID71678945 NA-16-OJ70 BAID30 0.1UM	40/396	5.552162361773816E-23	3.9709065211406334E-20	0	0	9.142668303276366	468.51850272533704	TOP2A;CDCA2;TROAP;HJURP;CDCA8;YBX1;MKI67;NCAPH;SKA1;AURKB;CDC20;CDC45;PTTG1;ORC1;NUF2;PBK;MYBL2;GTSE1;BUB1;DLGAP5;RRM2;CKAP2L;CBX2;PLK1;CDC25C;CCNA2;TPX2;MELK;KIF18B;ESPL1;TMSB15A;FANCD2;KIFC1;CDK1;CENPM;KIF2C;KIF20A;SPC24;EZH2;SPC25
CID9907182 GB-94-XG34 BAID16 10UM	46/550	6.76014374357558E-23	4.0290456711710455E-20	0	0	7.560447454844007	385.9488440277184	TOP2A;CDCA2;TROAP;CDCA7;HJURP;CDCA8;MCM10;YBX1;MKI67;NCAPH;SKA1;AURKB;CDC20;CDC45;PTTG1;NUF2;PBK;EIF4EBP1;MYBL2;GTSE1;DLGAP5;CENPU;PPP1R14B;FOXD1;RRM2;CKAP2L;CBX2;PLK1;ESCO2;CCNA2;TPX2;ASPM;MELK;KIF18B;CENPH;ESPL1;FANCD2;KIFC1;CDK4;CKS2;CDK1;CENPM;KIF2C;KIF20A;PRR11;SPC25
CID101476432 RC-52-AC88 BAID28 10UM	55/834	2.3751496609842706E-22	1.2133621696685359E-19	0	0	5.997484414306027	298.6256140023731	TOP2A;HJURP;MCM10;YBX1;MKI67;KIF15;LMNB1;CDC20;PTTG1;EME1;PBK;MYBL2;GTSE1;DLGAP5;CKAP2L;ESCO2;CDC25C;SGO1;CCNA2;ZNF90;NEIL3;MELK;ESPL1;TMSB15A;FANCD2;KIFC1;CKS2;KIF2C;KIF20A;PRR11;DTL;CDCA2;TROAP;CDCA8;NCAPH;SKA1;AURKB;CDC45;ORC1;EIF4EBP1;BUB1;PPP1R14B;RRM2;CBX2;PLK1;NDC80;TPX2;KIF18B;CENPH;CENPI;CDK4;CDK1;CENPM;EZH2;SPC25
CID5330286 PALBOCICLIB AE-04-SN76 BAID8 10UM	50/703	9.661230645552742E-22	4.3185700985620754E-19	0	0	6.403978936621799	309.88054223580417	TOP2A;HJURP;MCM10;MKI67;KIF15;LMNB1;CDC20;PTTG1;EME1;NUF2;PBK;MYBL2;GTSE1;DLGAP5;CKAP2L;ESCO2;CDC25C;SGO1;CCNA2;MELK;ESPL1;TMSB15A;FANCD2;KIFC1;KIF2C;KIF20A;PRR11;DTL;CDCA2;TROAP;CDCA8;NCAPH;SKA1;AURKB;CDC45;ORC1;BUB1;CENPU;POLQ;RRM2;CBX2;PLK1;NDC80;TPX2;KIF18B;CENPH;CENPI;CDK1;CENPM;SPC25
BE-04-AN21 BAID12 10UM	55/874	2.1513867733708722E-21	8.548176779526932E-19	0	0	5.692521230637823	270.89669257441824	TOP2A;HJURP;MCM10;MKI67;HOXC11;AQP1;KIF15;LMNB1;CDC20;MAGED4B;PTTG1;EME1;MDK;PBK;MYBL2;GTSE1;DLGAP5;CKAP2L;ESCO2;CDC25C;CCNA2;MELK;ESPL1;TMSB15A;FANCD2;KIFC1;CKS2;KIF2C;KIF20A;PRR11;CDCA2;TROAP;NCAPG;CDCA8;SKA3;NCAPH;SKA1;AURKB;CDC45;ORC1;CENPU;POLQ;RRM2;CBX2;PLK1;TPX2;MEX3A;KIF18B;CENPH;CDK4;CDK1;CENPM;SPC24;EZH2;SPC25
TF-29-QU48 BAID52 10UM	47/674	4.232500344083201E-20	1.5135421230441528E-17	0	0	6.19637937819756	276.4137234617695	TOP2A;CDCA2;TROAP;HJURP;CDCA8;MKI67;NCAPH;SKA1;AURKB;AQP1;LMNB1;CDC20;CDC45;PTTG1;EME1;ORC1;MDK;NUF2;PBK;MYBL2;GTSE1;PITX1;DLGAP5;RRM2;DDIAS;CKAP2L;CBX2;PLK1;CDC25C;CCNA2;TPX2;MEX3A;MELK;KIF18B;CENPH;ESPL1;TMSB15A;FANCD2;KIFC1;CDK1;CENPM;KIF2C;KIF20A;PRR11;DTL;SPC24;SPC25
