Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
CID44819306 CA-90-RU33 BAID12 10UM	25/300	8.33322487594479E-5	0.2721987456571428	0	0	2.504611330698287	23.525000089660747	SKA3;CENPA;BCL2L12;TUBA1C;CDC45;PTTG1;PCLAF;PBK;BUB1;DLGAP5;GINS2;CDKN2C;RRM2;ESCO2;CCNA2;RAD51;MTHFD2;FANCD2;CKS2;CDK1;CENPM;BIRC5;SPC24;APOBEC3B;SPC25
CID5330286 PALBOCICLIB AE-04-SN76 BAID6 0.1UM	8/44	1.4532768054305542E-4	0.2721987456571428	0	0	6.05029074336005	53.463512130654145	RRM2;PTTG1;LRR1;PBK;PCLAF;BIRC5;CENPM;DLGAP5
CID71678945 NA-16-OJ70 BAID30 0.1UM	29/396	2.271207431257168E-4	0.2835981012496451	0	0	2.1791294953170057	18.282959167661456	LRR1;HMMR;CENPA;BCL2L12;TUBA1C;CSRP2;CDC45;PTTG1;NUF2;PBK;PCLAF;OIP5;BUB1;DLGAP5;GINS2;CDKN2C;RRM2;CCNA2;TMEM37;RAD51;MTHFD2;FANCD2;CDK1;CENPM;BIRC5;SPC24;EZH2;APOBEC3B;SPC25
CID9907182 GB-94-XG34 BAID16 10UM	35/550	7.569201019601462E-4	0.7088556754856769	0	0	1.8759280411193604	13.48089324262756	LRR1;RPLP0;CDCA7;HMMR;CENPA;BCL2L12;TUBA1C;CDC45;PTTG1;GNG5;NUF2;PBK;EIF4EBP1;PCLAF;OIP5;DLGAP5;EIF5AL1;GINS2;PPP1R14B;CDKN2C;RRM2;ANXA2;ESCO2;CCNA2;RAD51;MTHFD2;FANCD2;CKS2;CDK1;CENPM;BIRC5;TAGLN2;MTFR2;APOBEC3B;SPC25
XA-12-UL84 BAID35 1UM	9/73	0.001140189544180417	0.7293219392972271	0	0	3.828545502832861	25.94437123604568	TUBA1C;GINS2;SPARC;RRM2;MTHFD2;PCLAF;CDK1;BIRC5;CENPM
CID370853 N-DESMETHYLTRIFLUOPERAZINE HE-34-NJ16 BAID28 10UM	6/34	0.0011681611414264181	0.7293219392972271	0	0	5.820169252468265	39.29967109153358	RRM2;MTHFD2;PCLAF;BIRC5;CENPM;MTFR2
CID5330286 PALBOCICLIB AE-04-SN76 BAID7 1UM	34/551	0.0015038037870305592	0.8047498551737821	0	0	1.81242171456812	11.780301673598316	ERCC6L;PCNA;LRR1;CDCA7;HMMR;SKA3;CENPA;TUBA1C;CDC45;PTTG1;NUF2;PBK;PCLAF;OIP5;BUB1;DLGAP5;GINS2;GAS2L3;CDKN2C;RRM2;ESCO2;CCNA2;RAD51;MTHFD2;FANCD2;CKS2;CDK1;DEPDC1;CENPM;BIRC5;PLP2;MTFR2;APOBEC3B;SPC25
CID71481097 SELINEXOR OB-17-DQ74 BAID6 0.1UM	16/198	0.0020721450362629584	0.8841741086092728	0	0	2.402553097832068	14.84578632919079	CDKN2C;RRM2;ESCO2;TUBA1C;TMEM37;CDC45;PTTG1;MTHFD2;FANCD2;PCLAF;PBK;EIF4EBP1;ID3;CENPM;BIRC5;DLGAP5
CID219077 OSANETANT SB-75-UH17 BAID32 10UM	17/217	0.002124283763343154	0.8841741086092728	0	0	2.3241045845272206	14.30328468849181	EIF5AL1;GINS2;CDKN2C;RRM2;CENPA;BCL2L12;TUBA1C;DEPDC1B;CDC45;PTTG1;PCLAF;CENPM;BIRC5;TAGLN2;PLP2;DLGAP5;SPC25
CID53378674 BB-86-UL91 BAID24 10UM	24/360	0.002692654235665163	0.9999954072851479	0	0	1.958755426917511	11.590402197054807	GINS2;PCNA;CDKN2C;RRM2;LRR1;ESCO2;CENPA;BCL2L12;CCNA2;TUBA1C;CDC45;PTTG1;MTHFD2;FANCD2;PCLAF;PBK;CDK1;CENPM;BIRC5;MTFR2;DLGAP5;SPC24;EZH2;SPC25
JD-02-GA59 BAID32 10UM	10/101	0.003297667752450125	0.9999954072851479	0	0	2.9918166939443536	17.09685557798599	CCNA2;TUBA1C;CDC45;RRM2;ANXA2;PCLAF;DEPDC1;BIRC5;CENPM;TAGLN2
CID9862831 SB-28-EJ14 BAID19 1UM	10/106	0.0046670933063139115	0.9999954072851479	0	0	2.835254137115839	15.217429362601257	TUBA1C;TMEM37;GINS2;CDC45;RRM2;ACTL6A;PCLAF;GPX8;BIRC5;APOBEC3B
CID11467730 BMS-509744 GA-09-TM90 BAID28 10UM	16/216	0.0048849482514659115	0.9999954072851479	0	0	2.1842632331902716	11.62376776663096	GINS2;RRM2;LRR1;ESCO2;CCNA2;TUBA1C;CDC45;RAD51;PTTG1;MTHFD2;FANCD2;PCLAF;EIF4EBP1;CENPM;BIRC5;APOBEC3B
CID151345176 AC-45-YY00 BAID36 10UM	9/92	0.0056138126342473345	0.9999954072851479	0	0	2.94921328372982	15.28437209330457	CCNA2;TUBA1C;RRM2;CDKN2C;PTTG1;BIRC5;CENPM;CENPA;DLGAP5
CID59737629 BC-14-CG34 BAID44 10UM	9/93	0.006023769111023267	0.9999954072851479	0	0	2.9139518413597734	14.896244541113662	ANXA1;RRM2;PTTG1;MTHFD2;PCLAF;DEPDC1;BIRC5;CENPM;DLGAP5
CID44632017 AA-30-BE85 BAID19 1UM	12/147	0.00658987532670819	0.9999954072851479	0	0	2.4213687371582107	12.160648555366382	TUBA1C;TMEM37;GINS2;CCDC80;RRM2;CDKN2C;MTHFD2;PCLAF;BIRC5;CENPM;APOBEC3B;SPC25
CID4858 OC-40-XI13 BAID28 10UM	6/48	0.006990606012216615	0.9999954072851479	0	0	3.8772919605077574	19.243729045143418	RRM2;RAD51;MTHFD2;PCLAF;ESCO2;SKA3
CID135923992 DD-38-BM78 BAID43 1UM	6/50	0.008526217682085498	0.9999954072851479	0	0	3.7006667521477112	17.632231702366578	TMEM37;SPARC;RRM2;MDK;PCLAF;CENPM
CB-25-VR83 BAID36 10UM	23/378	0.00957374009967222	0.9999954072851479	0	0	1.7723276072620695	8.239074883503866	GINS2;SPARC;RRM2;ANXA2;LRR1;ESCO2;CCNA2;TUBA1C;TMEM37;CSRP2;CDC45;PTTG1;MTHFD2;FANCD2;NUF2;PCLAF;PBK;CENPM;BIRC5;TAGLN2;OIP5;BUB1;DLGAP5
CID53358942 IDASANUTLIN GD-82-CS38 BAID19 1UM	32/579	0.010198121976400675	0.9999954072851479	0	0	1.604963584144582	7.35964348465813	ERCC6L;LRR1;CDCA7;CENPA;BCL2L12;TUBA1C;CSRP2;CDC45;PTTG1;MDK;PBK;PCLAF;OIP5;BUB1;DLGAP5;GINS2;CDKN2C;RRM2;ACTL6A;GPX8;ESCO2;CCNA2;TMEM37;NEIL3;RAD51;FANCD2;CKS2;CENPM;BIRC5;PLP2;APOBEC3B;SPC25
