Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
CID5330286 PALBOCICLIB AE-04-SN76 BAID7 1UM	73/551	4.85025383264355E-45	1.9968495028993495E-41	0	0	11.44979896705021	1168.3065508957725	TOP2A;ARHGAP11A;ERCC6L;LRR1;HJURP;NRM;BUB1B;MCM10;MKI67;FOXM1;KIF15;LMNB1;CDC20;NUF2;PCLAF;PBK;MYBL2;OIP5;TK1;GTSE1;CEP55;DLGAP5;TCF19;GAS2L3;CKAP2L;KIF23;ESCO2;PIMREG;CDC25C;WDR76;CCNA2;ASPM;MELK;ESPL1;FANCD2;KIFC1;DEPDC1;KIF2C;KIF20A;MTFR2;PRR11;DTL;CDCA2;PCNA;SLC43A3;CDCA7;CDCA8;SKA3;TYMS;CENPA;NCAPH;SKA1;AURKA;CCNB2;CDC45;BUB1;E2F8;GINS2;CDKN2C;RRM2;DDIAS;UBE2C;PLK1;NDC80;TPX2;RAD51;CENPI;KIF4A;CDK2;CDK1;CENPM;APOBEC3B;SPC25
CID71678945 NA-16-OJ70 BAID30 0.1UM	58/396	4.451480675719889E-38	9.163372970969392E-35	0	0	12.241686499705233	1052.8462077051943	TOP2A;ARHGAP11A;LRR1;HJURP;BUB1B;YBX1;MKI67;FOXM1;CDC20;NUF2;PCLAF;PBK;NUSAP1;MYBL2;OIP5;TK1;GTSE1;CEP55;DLGAP5;TCF19;CKAP2L;KIF23;PIMREG;CDC25C;WDR76;CCNA2;TMEM37;MELK;ESPL1;FANCD2;KIFC1;KIF2C;KIF20A;CDCA2;CDCA8;TYMS;CENPA;NCAPH;SKA1;AURKA;CCNB2;CDC45;SERPINH1;BUB1;GINS2;CDKN2C;RRM2;UBE2C;PLK1;TPX2;RAD51;KIF4A;CDK1;CENPM;NES;SPC24;APOBEC3B;SPC25
CID9907182 GB-94-XG34 BAID16 10UM	66/550	7.128110296990618E-38	9.78214336423679E-35	0	0	9.948323539578292	850.9217696512816	TOP2A;ARHGAP11A;LRR1;RPLP0;HJURP;BUB1B;MCM10;YBX1;MKI67;FOXM1;CDC20;NUF2;PCLAF;PBK;MYBL2;OIP5;TK1;GTSE1;CEP55;DLGAP5;TCF19;EIF5AL1;FOXD1;ANXA2;CKAP2L;KIF23;ESCO2;PIMREG;WDR76;CCNA2;ASPM;MELK;ESPL1;FANCD2;KIFC1;TAGLN2;KIF2C;KIF20A;MTFR2;PRR11;CDCA2;CDCA7;CDCA8;CENPA;NCAPH;SKA1;AURKA;CCNB2;CDC45;GNG5;SERPINH1;GINS2;PPP1R14B;CDKN2C;RRM2;UBE2C;PLK1;TPX2;RAD51;KIF4A;CDK1;CENPM;VIM;NES;APOBEC3B;SPC25
CID53378674 BB-86-UL91 BAID24 10UM	54/360	5.4524686033395593E-36	5.611953309987242E-33	0	0	12.426737967914438	1009.0137792418722	TOP2A;LRR1;HJURP;NRM;BUB1B;MKI67;FOXM1;LMNB1;CDC20;PCLAF;PBK;NUSAP1;MYBL2;TK1;GTSE1;DLGAP5;TCF19;CKAP2L;KIF23;ESCO2;PIMREG;CDC25C;WDR76;CCNA2;MELK;ESPL1;FANCD2;KIFC1;KIF2C;KIF20A;MTFR2;PRR11;DTL;CDCA2;PCNA;CDCA8;TYMS;CENPA;NCAPH;SKA1;AURKA;CCNB2;CDC45;GINS2;CDKN2C;RRM2;UBE2C;PLK1;TPX2;KIF4A;CDK1;CENPM;SPC24;SPC25
CID44819306 CA-90-RU33 BAID12 10UM	50/300	1.3022304032930064E-35	1.0722565140714614E-32	0	0	13.921863799283154	1118.2931970235431	TOP2A;HJURP;BUB1B;MKI67;FOXM1;CDC20;PCLAF;PBK;MYBL2;TK1;DLGAP5;CEP55;TCF19;CKAP2L;KIF23;ESCO2;PIMREG;CDC25C;WDR76;CCNA2;MELK;ESPL1;KIFC1;FANCD2;KIF2C;KIF20A;CDCA2;CDCA8;SKA3;TYMS;CENPA;SKA1;AURKA;CCNB2;CDC45;BUB1;GINS2;CDKN2C;RRM2;UBE2C;PLK1;NDC80;TPX2;RAD51;KIF4A;CDK1;CENPM;SPC24;APOBEC3B;SPC25
CID53358942 IDASANUTLIN GD-82-CS38 BAID19 1UM	65/579	1.6587437642275334E-35	1.1381746795541258E-32	0	0	9.176431140195731	734.8891444951291	TOP2A;ARHGAP11A;ERCC6L;LRR1;HJURP;NRM;BUB1B;MCM10;YBX1;MKI67;FOXM1;LMNB1;CDC20;PCLAF;PBK;MYBL2;OIP5;TK1;GTSE1;CEP55;DLGAP5;TCF19;CKAP2L;ACTL6A;GPX8;KIF23;ESCO2;PIMREG;CDC25C;WDR76;CCNA2;TMEM37;ASPM;NEIL3;MELK;ESPL1;FANCD2;KIFC1;KIF2C;KIF20A;PRR11;CDCA2;UHRF1;CDCA7;CDCA8;CENPA;NCAPH;SKA1;AURKA;CCNB2;CDC45;SERPINH1;BUB1;GINS2;CDKN2C;RRM2;UBE2C;PLK1;TPX2;RAD51;KIF4A;CENPM;NES;APOBEC3B;SPC25
CID101476432 RC-52-AC88 BAID28 10UM	75/834	1.7721695531265723E-34	1.0422888643174427E-31	0	0	7.3573807226665835	571.783909372056	TOP2A;ARHGAP11A;LRR1;CDCA7L;RPLP0;TNC;HJURP;NRM;BUB1B;MCM10;YBX1;MKI67;FOXM1;KIF15;LMNB1;CDC20;PCLAF;PBK;RCC1;MYBL2;OIP5;TK1;GTSE1;CEP55;DLGAP5;TCF19;EIF5AL1;ANXA2;CKAP2L;KIF23;ESCO2;PIMREG;CDC25C;WDR76;CCNA2;TMEM37;NEIL3;MELK;ESPL1;FANCD2;KIFC1;DEPDC1;TAGLN2;KIF2C;KIF20A;MTFR2;PRR11;DTL;CDCA2;CDCA8;CENPA;NCAPH;SKA1;AURKA;CCNB2;CDC45;SERPINH1;BUB1;GINS2;PPP1R14B;CDKN2C;RRM2;UBE2C;PLK1;NDC80;TPX2;RAD51;CENPI;KIF4A;CDK1;CENPM;VIM;NES;APOBEC3B;SPC25
CID5330286 PALBOCICLIB AE-04-SN76 BAID8 10UM	66/703	2.4726255382149656E-31	1.2724749176038768E-28	0	0	7.498576382878393	528.4611007299072	TOP2A;ARHGAP11A;LRR1;HJURP;NRM;BUB1B;MCM10;MKI67;FOXM1;KIF15;LMNB1;CDC20;NUF2;PCLAF;PBK;MYBL2;OIP5;TK1;GTSE1;CEP55;DLGAP5;TCF19;CKAP2L;F2R;KIF23;ESCO2;PIMREG;CDC25C;WDR76;CCNA2;MELK;ESPL1;FANCD2;KIFC1;KIF2C;KIF20A;PRR11;DTL;CDCA2;PCNA;CDCA8;TYMS;CENPA;NCAPH;SKA1;AURKA;CCNB2;CDC45;BUB1;GINS2;CDKN2C;RRM2;UBE2C;PLK1;NDC80;TPX2;WEE1;RAD51;CENPI;KIF4A;CDK2;CDK1;CENPM;NES;APOBEC3B;SPC25
TF-29-QU48 BAID52 10UM	63/674	8.951395149128062E-30	4.094765980995581E-27	0	0	7.388233267292618	494.1674744001613	TOP2A;LRR1;CDCA7L;HJURP;NRM;BUB1B;MKI67;FOXM1;LMNB1;CDC20;NUF2;PCLAF;PBK;MYBL2;TK1;GTSE1;PITX1;CEP55;DLGAP5;TCF19;EIF5AL1;CKAP2L;KIF23;PIMREG;CDC25C;WDR76;CCNA2;TMEM37;MELK;ESPL1;FANCD2;KIFC1;TAGLN2;KIF2C;KIF20A;MTFR2;PRR11;DTL;CDCA2;CDCA8;CENPA;NCAPH;SKA1;AURKA;CCNB2;CDC45;SERPINH1;GINS2;CDKN2C;RRM2;DDIAS;UBE2C;PLK1;TPX2;RAD51;KIF4A;CDK2;CDK1;CENPM;NES;SPC24;APOBEC3B;SPC25
CID71678945 NA-16-OJ70 BAID31 1UM	60/636	1.4749620196443438E-28	6.072418634875763E-26	0	0	7.3942843866171	473.8534747506679	TOP2A;ERCC6L;LRR1;HJURP;NRM;BUB1B;MKI67;FOXM1;LMNB1;CDC20;PCLAF;PBK;RCC1;MYBL2;OIP5;TK1;GTSE1;CEP55;DLGAP5;TCF19;CKAP2L;ACTL6A;KIF23;ESCO2;PIMREG;CDC25C;WDR76;CCNA2;TMEM37;MELK;ESPL1;FANCD2;KIFC1;KIF2C;KIF20A;MTFR2;CDCA2;CDCA8;CENPA;NCAPH;SKA1;AURKA;CCNB2;CDC45;SERPINH1;BUB1;E2F8;GINS2;CDKN2C;RRM2;UBE2C;PLK1;TPX2;RAD51;KIF4A;CDK1;CENPM;NES;APOBEC3B;SPC25
CID71678945 NA-16-OJ70 BAID32 10UM	45/328	2.5499391220672725E-28	9.543726695955418E-26	0	0	10.855272980640024	689.7040230863335	TOP2A;CDCA2;LRR1;HJURP;NRM;CDCA8;BUB1B;MCM10;MKI67;TYMS;FOXM1;CENPA;AURKA;CDC20;CCNB2;CDC45;PCLAF;SERPINH1;OIP5;MYBL2;TK1;GTSE1;DLGAP5;GINS2;CDKN2C;RRM2;UBE2C;PLK1;ESCO2;PIMREG;WDR76;NDC80;TPX2;TMEM37;MELK;ESPL1;KIFC1;FANCD2;KIF4A;CENPM;TAGLN2;KIF2C;KIF20A;PRR11;NES
