Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
CID44818584 AA-42-XZ05 BAID32 10UM	11/74	7.953698118178909E-5	0.2841856337625324	0	0	4.617604617604617	43.58690203689471	CDC20;TUBA1C;PTTG1;CKAP2L;KIFC1;KIF4A;CENPM;KIF2C;KIF20A;MKI67;PIMREG
CID151345176 AC-45-YY00 BAID36 10UM	11/92	5.620222569778499E-4	0.9999960332661526	0	0	3.5881032547699214	26.85325390672861	CDC20;TUBA1C;PTTG1;KIFC1;KIF4A;BUB1B;CENPM;KIF2C;KIF20A;MKI67;PIMREG
CID219077 OSANETANT SB-75-UH17 BAID32 10UM	18/217	0.0011739104085663986	0.9999960332661526	0	0	2.398305854725645	16.18236459529167	EIF5AL1;BUB1B;MKI67;NCAPH;CDC20;TUBA1C;DEPDC1B;MEX3A;KIF18B;CENPH;PTTG1;KIF4A;CENPM;TAGLN2;KIF2C;KIF20A;PLP2;NES
CID71481097 SELINEXOR OB-17-DQ74 BAID6 0.1UM	16/198	0.0027979724500050932	0.9999960332661526	0	0	2.3265610949383486	13.677527538145638	CA12;MKI67;NCAPH;KIF15;CDC20;TUBA1C;PTTG1;KIFC1;KIF4A;EIF4EBP1;ID3;CENPM;E2F2;KIF2C;KIF20A;CEP55
CID104758 IB-06-YD91 BAID22 0.1UM	10/97	0.0030462036200216637	0.9999960332661526	0	0	3.0318265901437176	17.56597631665359	CDC20;KIF18B;PTTG1;TNFRSF12A;KIF4A;CKS2;BUB1B;KIF2C;KIF20A;PIMREG
CID5330286 PALBOCICLIB AE-04-SN76 BAID6 0.1UM	6/44	0.005249525037198477	0.9999960332661526	0	0	4.152566779465764	21.799387964494148	CDC20;PTTG1;CENPM;KIF2C;KIF20A;PIMREG
CID58144 INDOLOPHENANTHRIDINE BD-46-RY02 BAID16 10UM	12/139	0.0053667770149164315	0.9999960332661526	0	0	2.4939668748303014	13.037281006066067	CDC20;ARHGAP11A;ASPM;CENPH;KIF4A;PDPN;BUB1B;KIF2C;KIF20A;YBX1;MKI67;LMNB1
CID53378674 BB-86-UL91 BAID23 1UM	10/107	0.006141103475881627	0.9999960332661526	0	0	2.717849090316085	13.841328220772855	CDC20;PTTG1;KIFC1;KIF4A;CENPM;KIF2C;KIF20A;MKI67;PIMREG;GTSE1
CID9907182 GB-94-XG34 BAID16 10UM	31/550	0.013012867214409057	0.9999960332661526	0	0	1.5858127691627504	6.885308245782467	ARHGAP11A;BUB1B;YBX1;MKI67;NCAPH;CDC20;TUBA1C;PTTG1;GNG5;NUF2;EIF4EBP1;GTSE1;CEP55;EIF5AL1;PPP1R14B;FOXD1;ANXA2;CKAP2L;PIMREG;ASPM;KIF18B;CENPH;KIFC1;KIF4A;CKS2;CENPM;TAGLN2;KIF2C;KIF20A;VIM;NES
EA-73-UC67 BAID36 10UM	13/177	0.014209075266599635	0.9999960332661526	0	0	2.0910844225845575	8.895210525324275	CKAP2L;BUB1B;MKI67;PIMREG;CDC20;TUBA1C;KIFC1;KIF4A;CENPM;KIF2C;KIF20A;TGFBI;NES
CID53358942 IDASANUTLIN GD-82-CS38 BAID18 0.1UM	15/218	0.015417415247821517	0.9999960332661526	0	0	1.9506570418787441	8.138643567035745	CKAP2L;BUB1B;MKI67;PIMREG;NCAPH;CDC20;CENPH;TMSB15A;KIFC1;KIF4A;CENPM;E2F2;KIF2C;KIF20A;NES
CID30751 FLUDARABINEPHOSPHATE CB-42-EI79 BAID40 10UM	7/73	0.01783865683115777	0.9999960332661526	0	0	2.7891033623910335	11.230010759459494	ARHGAP11A;CDC20;PTTG1;CKS2;E2F2;KIF2C;KIF20A
