Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
CID71478195 SR9238 AF-16-GB72 BAID8 10UM	4/45	0.07322958603806123	0.9999959610570887	0	0	2.679656240214328	7.005038792030625	CMTM3;COL4A2;LOX;LOXL2
CID10316032 SD-208 AA-86-YV75 BAID3 1UM	4/46	0.07807615800374221	0.9999959610570887	0	0	2.615719040826031	6.670268077344999	ANXA2;COL4A2;COL4A1;TGFBI
CID988563 GD-71-OU80 BAID12 10UM	7/106	0.08085204558151356	0.9999959610570887	0	0	1.944545743972678	4.890793878129899	TUBA1C;COL4A2;ANXA2;CMTM3;ANXA5;ID3;TGFBI
VA-48-TW80 BAID27 1UM	4/47	0.08307872057718396	0.9999959610570887	0	0	2.5547556646650964	6.356146969182695	SPARC;CMTM3;SLC43A3;SERPINH1
LB-67-JK40 BAID36 10UM	9/157	0.10390320308841089	0.9999959610570887	0	0	1.6729089002795898	3.7879601831129404	SPARC;COL4A2;SERPINH1;FN1;GPX8;COL8A1;ID3;TGFBI;EMP3
CID5381 TAZAROTENE IA-14-WP20 BAID11 1UM	4/51	0.10459304983769482	0.9999959610570887	0	0	2.336844022217501	5.275841746650793	SRPX;SERPINH1;VIM;PDIA4
CID59259130 FD-20-DQ38 BAID27 1UM	5/72	0.10997171047517443	0.9999959610570887	0	0	2.049893390191898	4.525205509139981	CMTM3;MTHFD2;ANXA5;SERPINH1;FN1
CB-59-ZX97 BAID28 10UM	6/94	0.11456924820605086	0.9999959610570887	0	0	1.8734880998829497	4.0590540742908	SRPX;SPARC;ANXA2;PDPN;FN1;CLIC1
CID46872626 A-971432 XC-61-SE50 BAID43 1UM	5/77	0.13534072034062658	0.9999959610570887	0	0	1.9070436507936508	3.814010687520648	SPARC;ANXA5;SERPINH1;TGFBI;PDIA4
AA-70-VU13 BAID51 1UM	4/58	0.14751779506458804	0.9999959610570887	0	0	2.0331801130659906	3.891113246874514	PLAU;MTHFD2;SLC43A3;VIM
