Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
CID104758 IB-06-YD91 BAID22 0.1UM	5/97	0.04807622294375696	0.9999960361257687	0	0	2.636410339606316	8.001419828090702	PTTG1;PLK1;CKS2;BIRC5;PIMREG
CID104758 IB-06-YD91 BAID23 1UM	5/100	0.053523172788466696	0.9999960361257687	0	0	2.552762503273108	7.473571102382096	PTTG1;PLK1;CKS2;BIRC5;PIMREG
CID5330286 PALBOCICLIB AE-04-SN76 BAID6 0.1UM	3/44	0.060029244014818926	0.9999960361257687	0	0	3.541173629558078	9.96105029088729	PTTG1;BIRC5;PIMREG
CID30751 FLUDARABINEPHOSPHATE CB-42-EI79 BAID40 10UM	4/73	0.06156767159496305	0.9999960361257687	0	0	2.8085014564677957	7.829030218448146	PTTG1;PLK1;CKS2;BIRC5
CID44818584 AA-42-XZ05 BAID32 10UM	4/74	0.06408937133261078	0.9999960361257687	0	0	2.7682382133995036	7.605670109424514	PTTG1;PLK1;BIRC5;PIMREG
CID53378674 BB-86-UL91 BAID23 1UM	5/107	0.0675691759761111	0.9999960361257687	0	0	2.3767193444541994	6.404315970813334	GINS2;PTTG1;PLK1;BIRC5;PIMREG
CID151345176 AC-45-YY00 BAID36 10UM	4/92	0.11817325767677664	0.9999960361257687	0	0	2.199977441912926	4.698279406065092	PTTG1;PLK1;BIRC5;PIMREG
CID219077 OSANETANT SB-75-UH17 BAID32 10UM	7/217	0.15520221344693114	0.9999960361257687	0	0	1.61525	3.009253407838897	EIF5AL1;GINS2;CENPH;PTTG1;PLK1;BIRC5;SPC25
CID4139 METHYLENEBLUECATION DB-80-CD47 BAID32 10UM	4/110	0.18626031391191694	0.9999960361257687	0	0	1.8247108947048083	3.066627461685437	EIF5AL1;GINS2;CKS2;BIRC5
CID121424047 MA-32-UX14 BAID16 10UM	4/121	0.23285612789080534	0.9999960361257687	0	0	1.6522237068142775	2.407842598088279	PTTG1;CENPH;TMSB15A;BIRC5
CID296003 2-(FURAN-2-YL)-4H-3,1-BENZOXAZIN-4-ONE BD-99-DU20 BAID8 10UM	2/49	0.263157412308478	0.9999960361257687	0	0	2.053690570002627	2.741682866577717	FAM156B;EDA2R
TF-29-QU48 BAID51 1UM	2/50	0.27073028211374894	0.9999960361257687	0	0	2.0108024691358026	2.6273792995859906	PLK1;BIRC5
CID44818584 AA-42-XZ05 BAID31 1UM	2/51	0.27830082801640926	0.9999960361257687	0	0	1.9696649029982363	2.519305084619464	BIRC5;PIMREG
GC-69-JF03 BAID34 0.1UM	2/51	0.27830082801640926	0.9999960361257687	0	0	1.9696649029982363	2.519305084619464	PTTG1;SPC25
CID53358942 IDASANUTLIN GD-82-CS38 BAID18 0.1UM	6/218	0.2846826361127466	0.9999960361257687	0	0	1.3678774761210182	1.7185742819111203	GINS2;CENPH;TMSB15A;PLK1;BIRC5;PIMREG
CID6519698 YB-54-ET23 BAID32 10UM	4/138	0.3092932367664994	0.9999960361257687	0	0	1.4413540239250398	1.6913791710504085	EIF5AL1;PLK1;CKS2;BIRC5
CID58144 INDOLOPHENANTHRIDINE BD-46-RY02 BAID16 10UM	4/139	0.3138873219254164	0.9999960361257687	0	0	1.4306038047973533	1.6576709643524818	GINS2;CENPH;PLK1;BIRC5
CID3672 IBUPROFEN AA-98-MW52 BAID12 10UM	2/56	0.3160167494290087	0.9999960361257687	0	0	1.7868312757201645	2.0583582676584062	FAM156B;CKS2
CID2765033 DD-48-MZ39 BAID52 10UM	2/57	0.3235138339892081	0.9999960361257687	0	0	1.754253647586981	1.9796987526248755	MAGED4B;MAGED4
HC-48-BS22 BAID35 1UM	2/58	0.3309898264472754	0.9999960361257687	0	0	1.7228395061728394	1.9048878906929405	FAM156B;HOXC13
CID16007391 AZD-1152HQPA BA-34-BQ43 BAID38 0.1UM	4/145	0.3415541944234334	0.9999960361257687	0	0	1.3693046829628848	1.4709740731610075	GINS2;PLK1;BIRC5;PIMREG
GC-72-GY67 BAID52 10UM	2/61	0.3532693165204544	0.9999960361257687	0	0	1.6349863988282067	1.7012435304173048	EIF5AL1;BIRC5
CID24762205 GE-29-ZM45 BAID11 1UM	3/105	0.36073595961443505	0.9999960361257687	0	0	1.4189720442632499	1.4467966700211132	PLK1;CKS2;BIRC5
CID285033 OMACETAXINEMEPESUCCINATE EA-18-FP00 BAID37 10UM	8/333	0.3673704984134094	0.9999960361257687	0	0	1.1886948139579718	1.190340452212743	GINS2;MAGED4B;PTTG1;TMSB15A;MAGED4;BIRC5;PIMREG;SPC25
CID5497124 GA-79-DW49 BAID44 10UM	2/63	0.3679783242130781	0.9999960361257687	0	0	1.5812183768467922	1.5807934151466125	MAGED4B;BIRC5
CID24937859 HE-43-BS90 BAID52 10UM	2/65	0.3825549478926552	0.9999960361257687	0	0	1.5308641975308641	1.4709813542596764	GINS2;BIRC5
CID25138339 TE-15-RO34 BAID8 10UM	2/65	0.3825549478926552	0.9999960361257687	0	0	1.5308641975308641	1.4709813542596764	ISL2;BIRC5
CID11211770 TD-48-XJ84 BAID51 1UM	2/66	0.38978943970866026	0.9999960361257687	0	0	1.5068672839506172	1.4196928776071998	EIF5AL1;BIRC5
CID44819306 CA-90-RU33 BAID12 10UM	7/300	0.4108259202832404	0.9999960361257687	0	0	1.1527303754266212	1.0254524646573155	GINS2;PTTG1;PLK1;CKS2;BIRC5;PIMREG;SPC25
CID18521907 WE-43-PZ45 BAID51 1UM	4/161	0.41528635940216313	0.9999960361257687	0	0	1.2287461870367151	1.0798061435836814	EIF5AL1;PTTG1;PLK1;BIRC5
