Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
CID5330286 PALBOCICLIB AE-04-SN76 BAID7 1UM	70/551	1.9880933098115724E-22	6.990770320876437E-19	0	0	4.643667486307081	232.04265262611693	ARHGAP11A;TOP2A;ERCC6L;HJURP;NRM;BUB1B;MCM10;FOXM1;MKI67;LMNB1;CDC20;TUBA1C;NUF2;PBK;PCLAF;OIP5;MYBL2;TK1;GTSE1;DLGAP5;CEP55;TCF19;GAS2L3;CKAP2L;KIF23;ESCO2;CDC25C;SGO1;CCNA2;ASPM;MELK;ESPL1;KIFC1;CKS2;DEPDC1;BIRC5;KIF2C;MTFR2;KIF20A;PRR11;DTL;ASF1B;CDCA2;TROAP;CDCA8;HMMR;SKA3;TYMS;CENPA;NCAPH;SKA1;AURKB;AURKA;CCNB2;CDC45;ORC1;BUB1;E2F8;RRM2;UBE2C;NDC80;TPX2;RAD51;KIF18B;KIF4A;CDK2;CDK1;CENPM;PLP2;APOBEC3B
CID44819306 CA-90-RU33 BAID12 10UM	51/300	3.31630470629812E-22	6.990770320876437E-19	0	0	6.409836065573771	317.0178062447988	TOP2A;HJURP;BUB1B;MKI67;FOXM1;CDC20;TUBA1C;PCLAF;PBK;MYBL2;TK1;DLGAP5;CEP55;TCF19;EDN2;CKAP2L;KIF23;ESCO2;CDC25C;CCNA2;MELK;ESPL1;KIFC1;CKS2;BIRC5;KIF2C;KIF20A;ASF1B;CDCA2;TROAP;CDCA8;SKA3;TYMS;CENPA;SKA1;AURKB;AURKA;CCNB2;CDC45;BUB1;RRM2;UBE2C;NDC80;TPX2;KIF18B;RAD51;KIF4A;CDK1;CENPM;SPC24;APOBEC3B
CID71678945 NA-16-OJ70 BAID30 0.1UM	58/396	9.044501113308821E-22	1.271053889790333E-18	0	0	5.407175169517305	262.0031322515772	ARHGAP11A;TOP2A;HJURP;BUB1B;FOXM1;MKI67;CDC20;TUBA1C;NUF2;PBK;PCLAF;NUSAP1;OIP5;MYBL2;TK1;GTSE1;DLGAP5;CEP55;TCF19;EDN2;CKAP2L;KIF23;CDC25C;CCNA2;TMEM37;MELK;ESPL1;KIFC1;BIRC5;KIF2C;KIF20A;ASF1B;CDCA2;TROAP;CDCA8;HMMR;TYMS;CENPA;FSTL1;NCAPH;SKA1;AURKB;AURKA;CCNB2;CDC45;ORC1;SERPINH1;BUB1;RRM2;UBE2C;TPX2;RAD51;KIF18B;KIF4A;CDK1;CENPM;SPC24;APOBEC3B
CID53358942 IDASANUTLIN GD-82-CS38 BAID19 1UM	69/579	1.5120038094039942E-20	1.59365201511181E-17	0	0	4.303129968203498	196.38739039116152	ARHGAP11A;TOP2A;ERCC6L;HJURP;NRM;BUB1B;MCM10;FOXM1;MKI67;LMNB1;CDC20;TUBA1C;MDK;PBK;PCLAF;OIP5;MYBL2;TK1;GTSE1;DLGAP5;CEP55;TCF19;GBP5;EDN2;CKAP2L;ACTL6A;GPX8;KIF23;PCOLCE;ESCO2;CDC25C;CCNA2;TMEM37;ASPM;NEIL3;MELK;ESPL1;KIFC1;CKS2;BIRC5;KIF2C;KIF20A;PRR11;ASF1B;CDCA2;TROAP;CDCA8;CENPA;FSTL1;NCAPH;SKA1;AURKB;AURKA;CCNB2;CDC45;ORC1;SERPINH1;BUB1;RRM2;UBE2C;COL1A1;TPX2;RAD51;KIF18B;KIF4A;MFAP2;CENPM;PLP2;APOBEC3B
CID71678945 NA-16-OJ70 BAID32 10UM	51/328	1.995987144010323E-20	1.6830163598295046E-17	0	0	5.753459193939753	260.98014894167005	TOP2A;HJURP;NRM;BUB1B;MCM10;MKI67;FOXM1;CDC20;TUBA1C;PCLAF;OIP5;MYBL2;TK1;GTSE1;DLGAP5;EDN2;PCOLCE;ESCO2;TMEM37;MELK;ESPL1;KIFC1;CKS2;BIRC5;TAGLN2;KIF2C;KIF20A;PRR11;ASF1B;CDCA2;TROAP;CDCA8;TYMS;CENPA;FSTL1;AURKB;AURKA;CCNB2;CDC45;ORC1;SERPINH1;RRM2;UBE2C;NDC80;COL1A1;TPX2;KIF18B;KIF4A;MFAP2;CENPM;TGFBI
CID44818584 AA-42-XZ05 BAID32 10UM	26/74	2.887881556541944E-20	2.0292181070634725E-17	0	0	16.455577427821524	740.355823876428	TOP2A;TROAP;HJURP;CDCA8;MKI67;FOXM1;TYMS;AURKB;AURKA;CDC20;TUBA1C;PCLAF;MYBL2;TK1;RRM2;CKAP2L;UBE2C;ESCO2;TPX2;KIFC1;KIF4A;BIRC5;CENPM;KIF2C;KIF20A;PRR11
CID53378674 BB-86-UL91 BAID24 10UM	52/360	2.3905781602556925E-19	1.4398110748054287E-16	0	0	5.275904719254473	226.21803470288583	TOP2A;HJURP;NRM;BUB1B;MKI67;FOXM1;LMNB1;CDC20;TUBA1C;PCLAF;PBK;NUSAP1;MYBL2;TK1;GTSE1;DLGAP5;TCF19;CKAP2L;KIF23;ESCO2;CDC25C;CCNA2;MELK;ESPL1;KIFC1;BIRC5;KIF2C;KIF20A;MTFR2;PRR11;DTL;ASF1B;CDCA2;TROAP;CDCA8;TYMS;CENPA;NCAPH;SKA1;AURKB;AURKA;CCNB2;CDC45;ORC1;RRM2;UBE2C;TPX2;KIF18B;KIF4A;CDK1;CENPM;SPC24
CID9907182 GB-94-XG34 BAID16 10UM	64/550	1.3898293920827508E-18	7.324400896276096E-16	0	0	4.158625776343997	170.99167436700722	ARHGAP11A;TOP2A;RPLP0;HJURP;BUB1B;MCM10;FOXM1;MKI67;LOXL1;CDC20;TUBA1C;NUF2;PBK;PCLAF;OIP5;MYBL2;TK1;GTSE1;DLGAP5;CEP55;TCF19;EIF5AL1;EDN2;ANXA2;CKAP2L;KIF23;ESCO2;CCNA2;ASPM;MELK;ESPL1;KIFC1;CKS2;BIRC5;TAGLN2;KIF2C;MTFR2;KIF20A;PRR11;ASF1B;CDCA2;TROAP;CDCA8;HMMR;CENPA;NCAPH;SKA1;AURKB;AURKA;CCNB2;CDC45;SERPINH1;EIF4EBP1;RRM2;UBE2C;TPX2;RAD51;KIF18B;KIF4A;MFAP2;CDK1;CENPM;VIM;APOBEC3B
CID151345176 AC-45-YY00 BAID36 10UM	26/92	1.415308910808354E-17	6.629935964408912E-15	0	0	11.956525888809354	463.87253749685414	TOP2A;HJURP;BUB1B;CDCA8;MKI67;CENPA;AURKB;AURKA;CDC20;TUBA1C;TK1;DLGAP5;RRM2;UBE2C;KIF23;CDC25C;CCNA2;TPX2;ESPL1;KIFC1;KIF4A;BIRC5;CENPM;KIF2C;KIF20A;PRR11
BE-04-AN21 BAID11 1UM	38/240	8.746566956683227E-16	3.6875526289376486E-13	0	0	5.7785388490694976	200.3575451790971	TOP2A;CDCA2;TROAP;HJURP;CDCA8;MKI67;FOXM1;CENPA;NCAPH;AURKB;LMNB1;AURKA;CDC20;TUBA1C;CCNB2;PCLAF;MYBL2;TK1;GTSE1;DLGAP5;TCF19;EDN2;RRM2;UBE2C;TPX2;MELK;KIF18B;ESPL1;KIFC1;KIF4A;CDK1;CENPM;BIRC5;KIF2C;KIF20A;PRR11;ASF1B;APOBEC3B
