Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
CID86294693 NVS-BET-1 CB-55-AK76 BAID23 1UM	18/664	2.5583253191370857E-6	0.006874220132521349	0	0	4.053757388122714	52.19681934923759	APOBEC3C;GINS2;CMTM3;F2R;EMP3;FOXM1;AQP1;CCDC80;SMO;FANCD2;HOXB3;ID3;HOXA7;HOXC9;HOXB7;NES;MDFI;APOBEC3B
CID9907182 GB-94-XG34 BAID16 10UM	14/550	6.9950055131348E-5	0.06925807541830646	0	0	3.7093393327480246	35.489953759603466	GINS2;FOXD1;CDKN2C;CDCA7;FOXM1;NCAPH;KIF18B;RAD51;CDC45;GNG5;MTHFD2;FANCD2;NES;APOBEC3B
CID11364421 BI-2536 AB-30-CR11 BAID3 1UM	11/355	7.807679943722374E-5	0.06925807541830646	0	0	4.487326417935419	42.44031480621156	APOBEC3C;GINS2;CCDC80;CDC45;F2R;HOXB3;ID3;HOXA7;HOXB7;AQP1;APOBEC3B
CID118288050 AA-99-PN83 BAID52 10UM	17/797	1.0310096824459465E-4	0.06925807541830646	0	0	3.1250240987083093	28.68710177033496	APOBEC3C;GINS2;CDKN2C;F2R;EMP3;FOXM1;AQP1;CCDC80;RAD51;FANCD2;ID3;HOXA7;HOXC9;NES;MDFI;HOXA4;APOBEC3B
CID121499143 XMU-MP-1 BA-88-HT15 BAID24 10UM	13/525	1.67918511688098E-4	0.09023940818118387	0	0	3.5839701186131387	31.15198204666564	APOBEC3C;CMTM3;F2R;EMP3;FOXM1;AQP1;CCDC80;ID3;HOXC9;HOXB7;S100A11;MDFI;APOBEC3B
CID71678945 NA-16-OJ70 BAID30 0.1UM	11/396	2.0334748638032842E-4	0.09106578265065707	0	0	4.001027749229188	34.01111362617862	GINS2;KIF18B;CDKN2C;RAD51;CDC45;MTHFD2;FANCD2;FOXM1;NES;NCAPH;APOBEC3B
CID219077 OSANETANT SB-75-UH17 BAID32 10UM	8/217	2.3751486906689213E-4	0.09117177902610558	0	0	5.294426848170362	44.183476233875645	GINS2;KIF18B;CDKN2C;CDC45;FOXM1;NES;NCAPH;AQP1
CID53358942 IDASANUTLIN GD-82-CS38 BAID19 1UM	13/579	4.3041775719859516E-4	0.11662416267564679	0	0	3.232983415439375	25.058060084914704	GINS2;CDKN2C;UHRF1;CDCA7;FOXM1;NCAPH;AQP1;KIF18B;RAD51;CDC45;FANCD2;NES;APOBEC3B
CID44819306 CA-90-RU33 BAID12 10UM	9/300	4.468095155960859E-4	0.11662416267564679	0	0	4.290195218249616	33.09189824350609	GINS2;KIF18B;CDKN2C;RAD51;CDC45;MTHFD2;FANCD2;FOXM1;APOBEC3B
BE-04-AN21 BAID11 1UM	8/240	4.662014107619652E-4	0.11662416267564679	0	0	4.763963088878096	36.543850183093305	GINS2;KIF18B;CDKN2C;FANCD2;FOXM1;NES;NCAPH;APOBEC3B
CID86294693 NVS-BET-1 CB-55-AK76 BAID24 10UM	14/663	4.7743423499520455E-4	0.11662416267564679	0	0	3.0455678419287593	23.289713526955392	APOBEC3C;GINS2;CMTM3;EMP3;FOXM1;AQP1;CCDC80;FANCD2;ID3;HOXC9;HOXB7;NES;S100A11;APOBEC3B
TB-06-VB30 BAID23 1UM	12/527	6.342186065350167E-4	0.14201211631329916	0	0	3.2646686365555087	24.038136672621253	APOBEC3C;GINS2;CCDC80;CDC45;F2R;ID3;EMP3;NES;CD99;AQP1;HOXA4;APOBEC3B
CID118693659 AZD-5153 HE-16-PO98 BAID16 10UM	11/460	7.169061461439118E-4	0.1481789857452839	0	0	3.4194452900930927	24.758718020318817	APOBEC3C;GINS2;CCDC80;CMTM3;FANCD2;ID3;EMP3;FOXM1;MDFI;AQP1;APOBEC3B
CID118694876 XB-35-TO54 BAID44 10UM	7/211	0.0010851741378097065	0.19638270761303722	0	0	4.714177978883861	32.179048697021535	APOBEC3C;CCDC80;ID3;EMP3;FOXM1;AQP1;APOBEC3B
CID71600087 MIVEBRESIB KB-78-BE93 BAID38 0.1UM	15/808	0.0011226680695217387	0.19638270761303722	0	0	2.670169539021998	18.135917598974192	APOBEC3C;CDKN2C;CMTM3;EMP3;FOXM1;AQP1;CCDC80;FANCD2;HOXB3;ID3;HOXA7;NES;MDFI;HOXA4;APOBEC3B
BD-11-DV28 BAID9 10UM	8/278	0.0012107089005052869	0.19638270761303722	0	0	4.085550339071466	27.44079995435994	CCDC80;KIF18B;CDKN2C;CMTM3;F2R;NES;S100A11;AQP1
CID11467730 BMS-509744 GA-09-TM90 BAID28 10UM	7/216	0.00124246595810258	0.19638270761303722	0	0	4.600227523672499	30.77854539495845	GINS2;KIF18B;RAD51;CDC45;MTHFD2;FANCD2;APOBEC3B
CID4858 OC-40-XI13 BAID27 1UM	7/226	0.0016103492442597336	0.2403893566292169	0	0	4.3879362646485935	28.220152935229034	CCDC80;CMTM3;MTHFD2;ID3;EMP3;AQP1;APOBEC3B
CID134149230 FB-98-HM88 BAID4 10UM	9/366	0.0018044299971348488	0.24936673412865673	0	0	3.485249418916503	22.018099897166813	GINS2;KIF18B;CDKN2C;RAD51;CDC45;MTHFD2;FANCD2;CDCA7L;NES
CID11035592 AE-39-DG66 BAID17 0.01UM	6/171	0.001856097760540802	0.24936673412865673	0	0	4.970959595959596	31.263751663993112	CCDC80;KIF18B;CDKN2C;MTHFD2;FOXM1;AQP1
CID11364421 BI-2536 AB-30-CR11 BAID2 0.1UM	11/522	0.001970477426630819	0.2521272783503339	0	0	2.994959805150009	18.65704046107508	GINS2;CCDC80;CDKN2C;CDC45;MTHFD2;F2R;ID3;HOXA7;CD99;AQP1;APOBEC3B
CID78357808 AA-32-DP01 BAID12 10UM	11/529	0.0021853154534308204	0.2669064828803916	0	0	2.9534179606122053	18.092623921221648	GINS2;CCDC80;KIF18B;FOXD1;GNG5;CMTM3;FANCD2;NES;MDFI;AQP1;APOBEC3B
CID129074791 CASP8-IN-1 NA-29-UI75 BAID16 10UM	8/308	0.002301861236760336	0.26891744100760967	0	0	3.671361502347418	22.29998652320163	GINS2;CCDC80;CDKN2C;CDC45;CMTM3;F2R;NES;AQP1
CID10217017 AD-11-RL84 BAID7 1UM	8/312	0.0024922506979105225	0.2790282343868989	0	0	3.622312824314307	21.71420446207238	CCDC80;CDKN2C;CMTM3;F2R;ID3;CD99;AQP1;APOBEC3B
CID46398810 AB-12-PP61 BAID12 10UM	7/250	0.002840133912964893	0.3052575929654667	0	0	3.949725171947394	23.16080953276181	GINS2;CCDC80;FOXD1;CDKN2C;ID3;FOXM1;NES
CID5330286 PALBOCICLIB AE-04-SN76 BAID7 1UM	11/551	0.0029877371101884364	0.30877113904139725	0	0	2.829869437783107	16.450707373403734	GINS2;KIF18B;CDKN2C;RAD51;CDC45;MTHFD2;FANCD2;CDCA7;FOXM1;NCAPH;APOBEC3B
CID10607 PODOFILOX DA-10-GX45 BAID23 1UM	13/724	0.003199198714211961	0.3183795164847237	0	0	2.55430307883417	14.674100564505155	GINS2;CDKN2C;UHRF1;CDCA7L;F2R;CDCA7;NCAPH;AQP1;CCDC80;CDC45;MTHFD2;NES;APOBEC3B
CID46943432 MOLIBRESIB EF-73-IP33 BAID16 10UM	7/260	0.003525575752319472	0.32318121680689577	0	0	3.791674728433622	21.41428505169387	APOBEC3C;CCDC80;HOXB3;ID3;EMP3;AQP1;APOBEC3B
CID54764565 URMC-099 GF-90-DG49 BAID32 10UM	7/261	0.0036004873117534784	0.32318121680689577	0	0	3.7765541545069103	21.24948468512908	GINS2;CCDC80;CMTM3;ID3;NES;AQP1;APOBEC3B
CID118693659 AZD-5153 HE-16-PO98 BAID15 1UM	10/484	0.003608275587721203	0.32318121680689577	0	0	2.919831223628692	16.422664581124526	GINS2;CCDC80;CDKN2C;CDC45;ID3;EMP3;FOXM1;HOXC9;AQP1;APOBEC3B
CID71481097 SELINEXOR OB-17-DQ74 BAID6 0.1UM	6/198	0.0038426847568647934	0.3330739981192161	0	0	4.266059027777778	23.726045637252536	CDKN2C;CDC45;MTHFD2;FANCD2;ID3;NCAPH
CID71291068 CPI-203 AE-32-DP61 BAID28 10UM	14/851	0.004869048161712521	0.3629197503301135	0	0	2.338375852132968	12.451516581343075	APOBEC3C;GINS2;CMTM3;F2R;EMP3;AQP1;CCDC80;FANCD2;HOXB3;ID3;HOXA7;NES;MDFI;APOBEC3B
TF-29-QU48 BAID52 10UM	12/674	0.004893393701088001	0.3629197503301135	0	0	2.5204255878103243	13.408334475156892	GINS2;KIF18B;CDKN2C;RAD51;CDC45;FANCD2;CDCA7L;FOXM1;NES;NCAPH;AQP1;APOBEC3B
CID9820526 VC-19-YG34 BAID27 1UM	10/506	0.004918552513225372	0.3629197503301135	0	0	2.787154377880184	14.813003635397665	GINS2;KIF18B;RAD51;CMTM3;MTHFD2;ID3;FOXM1;NES;NCAPH;APOBEC3B
CID447700 PD-166326 HF-91-IU60 BAID19 1UM	9/427	0.004996998233973103	0.3629197503301135	0	0	2.9673215921816145	15.723593499979113	GINS2;CCDC80;FOXD1;CDKN2C;CMTM3;MTHFD2;FANCD2;NES;AQP1
CID44632017 AA-30-BE85 BAID19 1UM	5/147	0.005055796364642001	0.3629197503301135	0	0	4.785818358426421	25.303674057333314	GINS2;CCDC80;CDKN2C;MTHFD2;APOBEC3B
CID2810167 1,1'-BINAPHTHALENE-2,2'-DICARBOXYLICACID DA-83-VJ09 BAID27 1UM	6/210	0.005108229077004022	0.3629197503301135	0	0	4.01266339869281	21.174433500581003	CCDC80;CMTM3;MTHFD2;EDA2R;AQP1;APOBEC3B
CID139600315 CD-97-ZV62 BAID28 10UM	10/510	0.0051926030048965455	0.3629197503301135	0	0	2.7642857142857142	14.541580742278638	GINS2;CCDC80;CDKN2C;CDC45;CMTM3;F2R;ID3;NES;AQP1;APOBEC3B
CID72201027 SGC-CBP30 ED-33-YZ72 BAID4 10UM	7/280	0.005267536383652559	0.3629197503301135	0	0	3.510310202617895	18.41576307560003	CCDC80;CMTM3;F2R;ID3;EMP3;AQP1;APOBEC3B
CID53378674 BB-86-UL91 BAID24 10UM	8/360	0.005879008114747495	0.38248252175625935	0	0	3.1206786171574903	16.02895135104185	GINS2;KIF18B;CDKN2C;CDC45;MTHFD2;FANCD2;FOXM1;NCAPH
CID4595 ONDANSETRON DA-15-PU65 BAID25 0.01UM	3/49	0.005919503884244259	0.38248252175625935	0	0	8.786157941437445	45.068620329131086	UHRF1;HOXA7;NES
CID53358942 IDASANUTLIN GD-82-CS38 BAID18 0.1UM	6/218	0.006106746678074862	0.38248252175625935	0	0	3.859669811320755	19.677990448755143	GINS2;CDKN2C;CDC45;NES;NCAPH;APOBEC3B
CID121271792 BB-10-PR06 BAID12 10UM	7/288	0.006120859112586212	0.38248252175625935	0	0	3.4089789214344375	17.372336626930295	CCDC80;FOXD1;F2R;ID3;NES;EDA2R;AQP1
CID24960071 EB-82-HZ30 BAID12 10UM	8/365	0.006371009967526854	0.38301232361655596	0	0	3.0761825857103404	15.553170759475817	APOBEC3C;CCDC80;F2R;ID3;EMP3;MDFI;AQP1;APOBEC3B
CID71291068 CPI-203 AE-32-DP61 BAID27 1UM	12/698	0.0064144229857629395	0.38301232361655596	0	0	2.4292052224616554	12.26555814956592	APOBEC3C;CCDC80;CMTM3;FANCD2;F2R;ID3;EMP3;NES;CD99;MDFI;AQP1;APOBEC3B
LB-67-JK40 BAID36 10UM	5/157	0.006650840504959119	0.3884958355831555	0	0	4.468693284936479	22.401613243036444	CCDC80;ID3;EMP3;NES;APOBEC3B
CID51039095 AZD-4547 BD-81-LB65 BAID39 1UM	3/52	0.006985651582205578	0.3959717958383307	0	0	8.24698042482299	40.93716145217896	FOXD1;CMTM3;MTHFD2
CID5311 VORINOSTAT FF-06-MO73 BAID43 1UM	7/296	0.00707355645710453	0.3959717958383307	0	0	3.3132576765794757	16.405237191291057	GINS2;CCDC80;CMTM3;MTHFD2;ID3;EMP3;MDFI
PB-63-WH18 BAID36 10UM	6/226	0.007240646026601693	0.3970533851730357	0	0	3.7178030303030303	18.32150006330988	CCDC80;MTHFD2;ID3;NES;AQP1;APOBEC3B
CID146680897 JB-74-LF71 BAID32 10UM	6/227	0.0073923919515886255	0.3972671434783728	0	0	3.70079185520362	18.1609103866366	GINS2;CCDC80;F2R;NES;AQP1;APOBEC3B
CID60148924 BB-11-JI42 BAID32 10UM	10/546	0.008235017848024283	0.4274322840129028	0	0	2.5738272921108742	12.352723104105516	GINS2;KIF18B;CDKN2C;CDC45;MTHFD2;FANCD2;FOXM1;NES;NCAPH;AQP1
CID132010322 DA-27-BW40 BAID26 0.1UM	5/166	0.008362104602038995	0.4274322840129028	0	0	4.21696294709788	20.174141079605995	CCDC80;CMTM3;ID3;EMP3;AQP1
