Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
CID53358942 IDASANUTLIN GD-82-CS38 BAID19 1UM	35/579	1.0319433477808706E-11	3.9090014013939376E-8	0	0	4.3982077205882355	111.2614266345552	ARHGAP11A;ERCC6L;UHRF1;LRR1;CDCA7;NRM;CDCA8;YBX1;FOXM1;SKA1;AQP1;CDC20;BCL2L12;TUBA1C;CSRP2;ORC1;MDK;SERPINH1;E2F2;GTSE1;CEP55;TCF19;CA12;RRM2;CKAP2L;GPX8;WDR76;RAD51;ESPL1;CENPM;KIF2C;PLP2;PRR11;NES;APOBEC3B
CID71600087 MIVEBRESIB KB-78-BE93 BAID39 1UM	41/823	6.85778955848551E-11	1.2988653423771554E-7	0	0	3.61707301136894	84.650543631013	STEAP3;SLC43A3;TGFB1I1;NRM;CDCA8;FOXM1;HOXC11;AQP1;SYDE1;PLAU;MDK;SERPINH1;EIF4EBP1;E2F2;HOXC6;TCF19;CA12;RRM2;CMTM3;GDF15;CKAP2L;F2R;FN1;GPX8;EMP3;WDR76;MMP14;CCDC80;COL4A2;LOX;DEPDC1;HOXB3;ID3;CENPM;KIF2C;PLP2;TGFBI;PRR11;NES;APOBEC3B;TMEM45A
CID86294693 NVS-BET-1 CB-55-AK76 BAID23 1UM	36/664	1.1030229588453106E-10	1.3927503227020123E-7	0	0	3.9155537291966303	89.77501859829866	STEAP3;TGFB1I1;NRM;CDCA8;HOXC13;FOXM1;HOXC11;AQP1;SYDE1;C6ORF15;MDK;SERPINH1;HOXA7;CLIC1;APOBEC3C;CA12;ANXA1;CMTM3;GDF15;F2R;GPX8;EMP3;MMP14;CCDC80;SMO;ESPL1;HOXB3;ID3;CENPM;PLP2;TGFBI;PRR11;NES;MDFI;APOBEC3B;TMEM45A
CID9907182 GB-94-XG34 BAID16 10UM	31/550	9.358929427023217E-10	8.862906167390987E-7	0	0	4.030950636380906	83.80152896856865	ARHGAP11A;STEAP3;LRR1;CDCA7;CDCA8;YBX1;FOXM1;SKA1;CDC20;BCL2L12;TUBA1C;GNG5;SERPINH1;EIF4EBP1;GTSE1;CEP55;TCF19;FOXD1;RRM2;ANXA2;CKAP2L;WDR76;RAD51;ESPL1;CENPM;TAGLN2;KIF2C;VIM;PRR11;NES;APOBEC3B
CID101476432 RC-52-AC88 BAID28 10UM	39/834	1.2842754064227638E-9	9.72967047905886E-7	0	0	3.357533497402242	68.73902222680614	ARHGAP11A;STEAP3;LRR1;CDCA7L;TNC;NRM;CDCA8;YBX1;FOXM1;SKA1;CDC20;BCL2L12;TUBA1C;ORC1;SERPINH1;EIF4EBP1;E2F2;RCC1;GTSE1;CEP55;TCF19;CA12;RRM2;ANXA2;CKAP2L;WDR76;RAD51;ESPL1;DEPDC1;ID3;CENPM;TAGLN2;KIF2C;VIM;TGFBI;PRR11;NES;EZH2;APOBEC3B
CID71678945 NA-16-OJ70 BAID30 0.1UM	25/396	4.509848455358278E-9	2.7681766738269744E-6	0	0	4.487870619946092	86.24341996238363	ARHGAP11A;LRR1;CDCA8;YBX1;FOXM1;SKA1;CDC20;BCL2L12;TUBA1C;CSRP2;ORC1;SERPINH1;GTSE1;CEP55;TCF19;RRM2;CKAP2L;WDR76;RAD51;ESPL1;CENPM;KIF2C;NES;EZH2;APOBEC3B
CID121499143 XMU-MP-1 BA-88-HT15 BAID24 10UM	29/525	5.28477611051906E-9	2.7681766738269744E-6	0	0	3.9228583916083917	74.76354395266131	STEAP3;SLC43A3;NRM;FOXM1;HOXC11;AQP1;SYDE1;C6ORF15;MDK;SERPINH1;CLIC1;APOBEC3C;ANXA1;ANXA2;CMTM3;GDF15;F2R;GPX8;EMP3;CCDC80;COL4A2;ID3;CENPM;TAGLN2;PLP2;TGFBI;MDFI;APOBEC3B;TMEM45A
CID71291068 CPI-203 AE-32-DP61 BAID27 1UM	34/698	5.8462020566567564E-9	2.7681766738269744E-6	0	0	3.466074261458646	65.70801133366099	STEAP3;TGFB1I1;NRM;HOXC11;AQP1;SYDE1;C6ORF15;PLAU;MDK;PDPN;SERPINH1;EIF4EBP1;CLIC1;APOBEC3C;ANXA1;CMTM3;GDF15;F2R;GPX8;EMP3;SPOCD1;CCDC80;COL4A2;LOX;ID3;CENPM;KIF2C;PLP2;TGFBI;PRR11;NES;MDFI;APOBEC3B;TMEM45A
CID11364421 BI-2536 AB-30-CR11 BAID3 1UM	23/355	1.1783152280232087E-8	4.95939787083546E-6	0	0	4.5915064367057274	83.8252739074391	APOBEC3C;TCF19;RRM2;TGFB1I1;F2R;NRM;GPX8;HOXC11;WDR76;AQP1;MMP14;CCDC80;ORC1;MDK;SERPINH1;E2F2;HOXB3;ID3;TGFBI;HOXA7;APOBEC3B;HOXC6;TMEM45A
CID5330286 PALBOCICLIB AE-04-SN76 BAID7 1UM	29/551	1.5436833431893395E-8	5.847472504001219E-6	0	0	3.7224164724164726	66.95327887924604	ARHGAP11A;ERCC6L;SLC43A3;LRR1;CDCA7;NRM;CDCA8;FOXM1;SKA1;CDC20;TUBA1C;ORC1;E2F2;GTSE1;CEP55;E2F8;TCF19;RRM2;CKAP2L;WDR76;RAD51;ESPL1;CDK2;DEPDC1;CENPM;KIF2C;PLP2;PRR11;APOBEC3B
