Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
CID5330286 PALBOCICLIB AE-04-SN76 BAID7 1UM	75/551	2.1974943948171614E-44	8.429588498518631E-41	0	0	10.670858449386822	1072.7032653832944	TOP2A;ARHGAP11A;ERCC6L;LRR1;HJURP;NRM;MCM10;MKI67;FOXM1;LMNB1;CDC20;TUBA1C;PTTG1;PBK;MYBL2;TK1;GTSE1;CEP55;DLGAP5;TCF19;GAS2L3;CKAP2L;KIF23;ESCO2;WDR76;SGO1;CCNA2;ASPM;MELK;ESPL1;FANCD2;KIFC1;DEPDC1;CKS2;BIRC5;KIF2C;KIF20A;MTFR2;PRR11;DTL;ASF1B;CDCA2;PCNA;SLC43A3;TROAP;CDCA7;CDCA8;HMMR;SKA3;CENPA;NCAPH;SKA1;AURKA;CCNB2;CDC45;ORC1;E2F2;BUB1;E2F8;CENPU;GINS2;CDKN2C;RRM2;PLK1;NDC80;TPX2;KIF18B;CENPH;CENPI;KIF4A;CDK2;CDK1;CENPM;PLP2;APOBEC3B
CID53358942 IDASANUTLIN GD-82-CS38 BAID19 1UM	68/579	5.3860182902141844E-36	1.0330383080630806E-32	0	0	8.778649031648559	712.9075649510421	TOP2A;ARHGAP11A;ERCC6L;LRR1;HJURP;NRM;MCM10;YBX1;MKI67;FOXM1;LMNB1;CDC20;TUBA1C;CSRP2;PTTG1;EME1;MDK;PBK;MYBL2;TK1;GTSE1;CEP55;DLGAP5;TCF19;CKAP2L;KIF23;ESCO2;WDR76;CCNA2;ASPM;NEIL3;MELK;ESPL1;FANCD2;KIFC1;CKS2;BIRC5;KIF2C;KIF20A;PRR11;ASF1B;CDCA2;TROAP;CDCA7;CDCA8;CENPA;NCAPH;SKA1;AURKA;BCL2L12;CCNB2;CDC45;ORC1;E2F2;BUB1;CA12;GINS2;CDKN2C;RRM2;PLK1;TPX2;KIF18B;CENPH;KIF4A;CENPM;PLP2;NES;APOBEC3B
CID53378674 BB-86-UL91 BAID24 10UM	55/360	4.3257372041268577E-35	5.531175971676876E-32	0	0	11.508250825082508	910.6006542115141	TOP2A;LRR1;HJURP;NRM;MKI67;FOXM1;LMNB1;CDC20;TUBA1C;PTTG1;PBK;MYBL2;TK1;GTSE1;DLGAP5;TCF19;CKAP2L;KIF23;ESCO2;WDR76;CCNA2;MELK;ESPL1;FANCD2;KIFC1;BIRC5;KIF2C;KIF20A;MTFR2;PRR11;DTL;ASF1B;CDCA2;PCNA;TROAP;CDCA8;CENPA;NCAPH;SKA1;AURKA;BCL2L12;CCNB2;CDC45;ORC1;GINS2;CDKN2C;RRM2;PLK1;TPX2;KIF18B;KIF4A;CDK1;CENPM;SPC24;EZH2
CID9907182 GB-94-XG34 BAID16 10UM	65/550	1.5131020299869031E-34	1.4510648467574402E-31	0	0	8.762569930685057	682.3740162245565	TOP2A;ARHGAP11A;LRR1;HJURP;MCM10;YBX1;MKI67;FOXM1;CDC20;TUBA1C;PTTG1;PBK;MYBL2;TK1;GTSE1;CEP55;DLGAP5;TCF19;CKAP2L;KIF23;ESCO2;WDR76;CCNA2;ASPM;MELK;ESPL1;FANCD2;KIFC1;CKS2;BIRC5;TAGLN2;KIF2C;KIF20A;MTFR2;PRR11;ASF1B;CDCA2;TROAP;CDCA7;CDCA8;HMMR;CENPA;NCAPH;SKA1;AURKA;BCL2L12;CCNB2;CDC45;GNG5;EIF4EBP1;CENPU;GINS2;PPP1R14B;CDKN2C;RRM2;PLK1;TPX2;KIF18B;CENPH;KIF4A;CDK1;CENPM;VIM;NES;APOBEC3B
CID71678945 NA-16-OJ70 BAID30 0.1UM	56/396	6.825200929998572E-34	5.236294153494905E-31	0	0	10.526996493961823	803.9179980798185	TOP2A;ARHGAP11A;LRR1;HJURP;YBX1;MKI67;FOXM1;CDC20;TUBA1C;CSRP2;PTTG1;PBK;MYBL2;TK1;GTSE1;CEP55;DLGAP5;TCF19;CKAP2L;KIF23;WDR76;CCNA2;MELK;ESPL1;FANCD2;KIFC1;BIRC5;KIF2C;KIF20A;ASF1B;CDCA2;TROAP;CDCA8;HMMR;CENPA;NCAPH;SKA1;AURKA;BCL2L12;CCNB2;CDC45;ORC1;BUB1;GINS2;CDKN2C;RRM2;PLK1;TPX2;KIF18B;KIF4A;CDK1;CENPM;NES;SPC24;EZH2;APOBEC3B
CID44819306 CA-90-RU33 BAID12 10UM	50/300	8.64149789370755E-34	5.524797653377027E-31	0	0	12.592207792207793	958.6613660128522	TOP2A;HJURP;MKI67;FOXM1;CDC20;TUBA1C;PTTG1;PBK;MYBL2;TK1;DLGAP5;CEP55;TCF19;CKAP2L;KIF23;ESCO2;WDR76;CCNA2;MELK;ESPL1;KIFC1;FANCD2;CKS2;BIRC5;KIF2C;KIF20A;ASF1B;CDCA2;TROAP;CDCA8;SKA3;CENPA;SKA1;AURKA;BCL2L12;CCNB2;CDC45;BUB1;GINS2;CDKN2C;RRM2;PLK1;NDC80;TPX2;KIF18B;KIF4A;CDK1;CENPM;SPC24;APOBEC3B
CID101476432 RC-52-AC88 BAID28 10UM	77/834	1.584795183288541E-33	8.684677604421205E-31	0	0	6.836054476134959	516.2920086699049	TOP2A;ARHGAP11A;LRR1;CDCA7L;TNC;HJURP;NRM;MCM10;YBX1;MKI67;FOXM1;LMNB1;CDC20;TUBA1C;PTTG1;EME1;PBK;RCC1;MYBL2;TK1;GTSE1;CEP55;DLGAP5;TCF19;CKAP2L;KIF23;ESCO2;WDR76;SGO1;CCNA2;NEIL3;MELK;ESPL1;FANCD2;KIFC1;DEPDC1;CKS2;BIRC5;TAGLN2;KIF2C;KIF20A;MTFR2;PRR11;DTL;CDCA2;TROAP;CDCA8;HMMR;CENPA;NCAPH;SKA1;AURKA;BCL2L12;CCNB2;CDC45;ORC1;EIF4EBP1;E2F2;BUB1;CA12;GINS2;PPP1R14B;CDKN2C;RRM2;PLK1;NDC80;TPX2;KIF18B;CENPH;CENPI;KIF4A;CDK1;CENPM;VIM;NES;EZH2;APOBEC3B
CID5330286 PALBOCICLIB AE-04-SN76 BAID8 10UM	68/703	9.731635287484055E-31	4.666319120348604E-28	0	0	7.018604398588107	485.01894396309143	TOP2A;ARHGAP11A;LRR1;HJURP;NRM;MCM10;MKI67;FOXM1;LMNB1;CDC20;TUBA1C;PTTG1;EME1;PBK;MYBL2;TK1;GTSE1;CEP55;DLGAP5;TCF19;CKAP2L;KIF23;ESCO2;WDR76;SGO1;CCNA2;MELK;ESPL1;FANCD2;KIFC1;BIRC5;KIF2C;KIF20A;PRR11;DTL;ASF1B;CDCA2;PCNA;TROAP;CDCA8;CENPA;NCAPH;SKA1;AURKA;BCL2L12;CCNB2;CDC45;ORC1;E2F2;BUB1;CA12;CENPU;GINS2;CDKN2C;RRM2;PLK1;NDC80;TPX2;WEE1;KIF18B;CENPH;CENPI;KIF4A;CDK2;CDK1;CENPM;NES;APOBEC3B
BE-04-AN21 BAID11 1UM	42/240	2.340813976597677E-29	9.977069349142987E-27	0	0	13.05216724204066	860.4571944004759	TOP2A;CDCA2;LRR1;TROAP;HJURP;CDCA8;MKI67;FOXM1;CENPA;NCAPH;LMNB1;AURKA;CDC20;BCL2L12;TUBA1C;CCNB2;PTTG1;MYBL2;TK1;GTSE1;DLGAP5;TCF19;GINS2;CDKN2C;RRM2;PLK1;TPX2;MELK;KIF18B;ESPL1;KIFC1;FANCD2;KIF4A;CDK1;CENPM;BIRC5;KIF2C;KIF20A;PRR11;NES;ASF1B;APOBEC3B
TF-29-QU48 BAID52 10UM	64/674	1.9051746013824134E-28	7.308249770902939E-26	0	0	6.791836734693877	433.50805748893424	TOP2A;LRR1;CDCA7L;HJURP;NRM;MKI67;FOXM1;LMNB1;CDC20;TUBA1C;PTTG1;EME1;MDK;PBK;MYBL2;TK1;GTSE1;PITX1;CEP55;DLGAP5;TCF19;CKAP2L;KIF23;WDR76;CCNA2;MELK;ESPL1;FANCD2;KIFC1;BIRC5;TAGLN2;KIF2C;KIF20A;MTFR2;PRR11;DTL;ASF1B;CDCA2;TROAP;CDCA8;CENPA;NCAPH;SKA1;AURKA;BCL2L12;CCNB2;CDC45;ORC1;E2F2;CA12;GINS2;CDKN2C;RRM2;PLK1;TPX2;KIF18B;CENPH;KIF4A;CDK2;CDK1;CENPM;NES;SPC24;APOBEC3B
