Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
CID71678945 NA-16-OJ70 BAID30 0.1UM	38/396	4.4526986850634294E-9	1.7614875998110928E-5	0	0	3.2339374265807006	62.1878259459187	ARHGAP11A;LRR1;HJURP;HMMR;YBX1;FOXM1;TYMS;CENPA;AURKB;BCL2L12;TUBA1C;CDC45;PTTG1;NUF2;SERPINH1;PBK;PCLAF;NUSAP1;GTSE1;BUB1;DLGAP5;CEP55;GINS2;CDKN2C;RRM2;CDC25C;WDR76;MELK;RAD51;KIFC1;CDK1;CENPM;BIRC5;NES;ASF1B;EZH2;APOBEC3B;SPC25
CID9907182 GB-94-XG34 BAID16 10UM	44/550	6.55324326843561E-8	1.0170560022169773E-4	0	0	2.6542174617715455	43.90266960968801	ARHGAP11A;STEAP3;LRR1;RPLP0;HJURP;HMMR;YBX1;FOXM1;CENPA;AURKB;BCL2L12;TUBA1C;CDC45;PTTG1;GNG5;NUF2;SERPINH1;PBK;EIF4EBP1;PCLAF;GTSE1;DLGAP5;CEP55;CENPU;GINS2;PPP1R14B;CDKN2C;FOXD1;RRM2;ANXA2;WDR76;MELK;RAD51;KIFC1;CKS2;CDK1;CENPM;BIRC5;TAGLN2;VIM;NES;ASF1B;APOBEC3B;SPC25
CID44819306 CA-90-RU33 BAID12 10UM	30/300	7.712760380816309E-8	1.0170560022169773E-4	0	0	3.3578094734988553	54.99354742221272	HJURP;SKA3;TYMS;FOXM1;CENPA;AURKB;BCL2L12;TUBA1C;CDC45;PTTG1;PCLAF;PBK;BUB1;DLGAP5;CEP55;GINS2;CDKN2C;RRM2;CDC25C;WDR76;MELK;RAD51;KIFC1;CKS2;CDK1;CENPM;BIRC5;ASF1B;APOBEC3B;SPC25
CID219077 OSANETANT SB-75-UH17 BAID32 10UM	24/217	2.4455564857122325E-7	2.4186553643693978E-4	0	0	3.7375977094703963	56.90052579631227	GINS2;CDKN2C;RRM2;HJURP;FOXM1;CENPA;WDR76;AURKB;BCL2L12;TUBA1C;DEPDC1B;MELK;CDC45;PTTG1;PCLAF;SERPINH1;CENPM;BIRC5;TAGLN2;PLP2;NES;DLGAP5;ASF1B;SPC25
CID5330286 PALBOCICLIB AE-04-SN76 BAID7 1UM	42/551	4.827856757881765E-7	3.819800266836053E-4	0	0	2.510100897892856	36.506136901156154	ARHGAP11A;LRR1;HJURP;NRM;HMMR;SKA3;FOXM1;TYMS;CENPA;AURKB;KIF15;TUBA1C;CDC45;PTTG1;NUF2;PBK;PCLAF;GTSE1;BUB1;DLGAP5;CEP55;E2F8;CENPU;GINS2;GAS2L3;CDKN2C;RRM2;CDC25C;WDR76;SGO1;MELK;RAD51;KIFC1;CDK2;CKS2;CDK1;CENPM;BIRC5;PLP2;ASF1B;APOBEC3B;SPC25
CID5330286 PALBOCICLIB AE-04-SN76 BAID6 0.1UM	10/44	1.3046613091614615E-6	8.602066898404571E-4	0	0	8.721875847113038	118.17764188950831	RRM2;PTTG1;LRR1;HJURP;PBK;PCLAF;BIRC5;CENPM;AURKB;DLGAP5
XA-12-UL84 BAID35 1UM	12/73	4.4660377223572695E-6	0.0025239493185207655	0	0	5.84344135997373	71.98540645916596	TUBA1C;GINS2;SPARC;MELK;RRM2;HJURP;PCLAF;SERPINH1;CDK1;BIRC5;CENPM;WDR76
CID53378674 BB-86-UL91 BAID24 10UM	29/360	1.0203546626570035E-5	0.005045653806838882	0	0	2.635052965696585	30.284071347501207	LRR1;HJURP;NRM;TYMS;FOXM1;CENPA;AURKB;BCL2L12;TUBA1C;CDC45;PTTG1;PCLAF;PBK;NUSAP1;GTSE1;DLGAP5;GINS2;CDKN2C;RRM2;CDC25C;WDR76;MELK;KIFC1;CDK1;CENPM;BIRC5;ASF1B;EZH2;SPC25
BE-04-AN21 BAID11 1UM	22/240	1.669703648323969E-5	0.006814045393196683	0	0	3.01978435341919	33.21847134473298	GINS2;CDKN2C;RRM2;LRR1;HJURP;FOXM1;CENPA;AURKB;BCL2L12;TUBA1C;MELK;PTTG1;KIFC1;PCLAF;CDK1;CENPM;BIRC5;GTSE1;NES;DLGAP5;ASF1B;APOBEC3B
CID12000240 EMRICASAN CF-03-QN99 BAID27 1UM	21/223	1.7224583905957236E-5	0.006814045393196683	0	0	3.10857827970297	34.09853261628132	CA12;STEAP3;SPARC;CDKN2C;RRM2;MMP2;HJURP;NRM;CDC25C;AURKB;MRC2;MELK;CDC45;KIFC1;MDK;PCLAF;SERPINH1;CENPM;BIRC5;NES;APOBEC3B
CID53358942 IDASANUTLIN GD-82-CS38 BAID19 1UM	39/579	2.267941076312519E-5	0.00815634081626575	0	0	2.1828063594140765	23.343047027070174	ARHGAP11A;UHRF1;LRR1;HJURP;NRM;YBX1;FOXM1;CENPA;AURKB;BCL2L12;TUBA1C;CDC45;PTTG1;MDK;SERPINH1;PBK;PCLAF;GTSE1;BUB1;DLGAP5;CEP55;CA12;GINS2;CDKN2C;RRM2;GPX8;CDC25C;WDR76;MELK;RAD51;KIFC1;CKS2;CENPM;BIRC5;PLP2;NES;ASF1B;APOBEC3B;SPC25
CID44818584 AA-42-XZ05 BAID32 10UM	11/74	2.9773787887037772E-5	0.00981542540676012	0	0	5.177924297924298	53.96371682823277	TUBA1C;RRM2;PTTG1;KIFC1;HJURP;PCLAF;BIRC5;CENPM;FOXM1;TYMS;AURKB
CID71481097 SELINEXOR OB-17-DQ74 BAID6 0.1UM	19/198	3.305730017760812E-5	0.010058540758094446	0	0	3.1678240136445117	32.68328974764033	CA12;CDKN2C;RRM2;HJURP;AURKB;KIF15;TUBA1C;MELK;CDC45;PTTG1;KIFC1;PCLAF;PBK;EIF4EBP1;ID3;CENPM;BIRC5;DLGAP5;CEP55
CID101476432 RC-52-AC88 BAID28 10UM	50/834	3.744293249637518E-5	0.010058540758094446	0	0	1.9367505594709242	19.740703064961483	ARHGAP11A;STEAP3;CDCA7L;LRR1;RPLP0;TNC;HJURP;NRM;YBX1;FOXM1;KIF15;TUBA1C;PTTG1;PBK;PCLAF;RCC1;GTSE1;CEP55;DLGAP5;ANXA2;CDC25C;WDR76;SGO1;MELK;KIFC1;CKS2;BIRC5;TAGLN2;HMMR;CENPA;AURKB;BCL2L12;CDC45;SERPINH1;EIF4EBP1;BUB1;CA12;GINS2;PPP1R14B;CDKN2C;RRM2;RAD51;CDK1;CENPM;ID3;VIM;NES;EZH2;APOBEC3B;SPC25
