Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
CID5330286 PALBOCICLIB AE-04-SN76 BAID7 1UM	68/551	1.6912195149020137E-47	5.902356107008027E-44	0	0	14.423902030747545	1553.3972670225974	TOP2A;ARHGAP11A;ERCC6L;HJURP;BUB1B;MCM10;MKI67;FOXM1;LMNB1;CDC20;NUF2;PCLAF;PBK;MYBL2;OIP5;GTSE1;CEP55;DLGAP5;GAS2L3;CKAP2L;KIF23;ESCO2;PIMREG;CDC25C;SGO1;CCNA2;ASPM;MELK;ESPL1;TMSB15A;KIFC1;DEPDC1;CKS2;BIRC5;KIF2C;KIF20A;MTFR2;PRR11;DTL;CDCA2;TROAP;CDCA7;CDCA8;HMMR;SKA3;TYMS;CENPA;NCAPH;SKA1;AURKB;AURKA;CCNB2;CDC45;ORC1;E2F2;BUB1;E2F8;CENPU;CDKN2C;RRM2;UBE2C;NDC80;TPX2;KIF18B;RAD51;KIF4A;CDK2;CDK1
CID71678945 NA-16-OJ70 BAID30 0.1UM	52/396	2.0792619869345498E-37	3.6283121672007895E-34	0	0	14.375284997720017	1214.1888311635435	TOP2A;ARHGAP11A;HJURP;BUB1B;MKI67;FOXM1;CDC20;NUF2;PCLAF;PBK;NUSAP1;MYBL2;OIP5;GTSE1;CEP55;DLGAP5;CKAP2L;KIF23;PIMREG;CDC25C;CCNA2;MELK;ESPL1;TMSB15A;KIFC1;BIRC5;KIF2C;KIF20A;CDCA2;TROAP;CDCA8;HMMR;TYMS;CENPA;NCAPH;SKA1;AURKB;AURKA;CCNB2;CDC45;ORC1;BUB1;CDKN2C;RRM2;UBE2C;TPX2;KIF18B;RAD51;KIF4A;CDK1;SPC24;EZH2
CID53378674 BB-86-UL91 BAID24 10UM	50/360	3.6372021420558487E-37	4.23127849192497E-34	0	0	15.216097713748825	1276.6980617500124	TOP2A;HJURP;BUB1B;MKI67;FOXM1;LMNB1;CDC20;PCLAF;PBK;NUSAP1;MYBL2;GTSE1;DLGAP5;CKAP2L;KIF23;ESCO2;PIMREG;CDC25C;CCNA2;MELK;ESPL1;TMSB15A;KIFC1;BIRC5;KIF2C;KIF20A;MTFR2;PRR11;DTL;CDCA2;TROAP;CDCA8;TYMS;CENPA;NCAPH;SKA1;AURKB;AURKA;CCNB2;CDC45;ORC1;CDKN2C;RRM2;UBE2C;TPX2;KIF18B;KIF4A;CDK1;SPC24;EZH2
CID44819306 CA-90-RU33 BAID12 10UM	46/300	3.635575899097863E-36	3.172039971962885E-33	0	0	16.808023997000376	1371.5733463139786	TOP2A;CDCA2;TROAP;HJURP;CDCA8;BUB1B;SKA3;MKI67;TYMS;FOXM1;CENPA;SKA1;AURKB;AURKA;CDC20;CCNB2;CDC45;PCLAF;PBK;MYBL2;BUB1;CEP55;DLGAP5;CDKN2C;RRM2;UBE2C;CKAP2L;KIF23;ESCO2;PIMREG;CDC25C;NDC80;CCNA2;TPX2;MELK;KIF18B;RAD51;ESPL1;KIFC1;KIF4A;CKS2;CDK1;BIRC5;KIF2C;KIF20A;SPC24
CID53358942 IDASANUTLIN GD-82-CS38 BAID19 1UM	56/579	3.971349618677607E-33	2.77200203383697E-30	0	0	10.29040152963671	767.727775979195	TOP2A;ARHGAP11A;ERCC6L;HJURP;BUB1B;MCM10;MKI67;FOXM1;LMNB1;CDC20;PCLAF;PBK;MYBL2;OIP5;GTSE1;CEP55;DLGAP5;CKAP2L;KIF23;ESCO2;PIMREG;CDC25C;CCNA2;ASPM;NEIL3;MELK;ESPL1;TMSB15A;KIFC1;CKS2;BIRC5;KIF2C;KIF20A;PRR11;CDCA2;UHRF1;TROAP;CDCA7;CDCA8;CENPA;NCAPH;SKA1;AURKB;AURKA;CCNB2;CDC45;ORC1;E2F2;BUB1;CDKN2C;RRM2;UBE2C;TPX2;KIF18B;RAD51;KIF4A
CID5330286 PALBOCICLIB AE-04-SN76 BAID8 10UM	59/703	1.5037068954961994E-31	8.746561775469559E-29	0	0	8.88246051013652	630.407804317922	TOP2A;ARHGAP11A;HJURP;BUB1B;MCM10;MKI67;FOXM1;LMNB1;CDC20;NUF2;PCLAF;PBK;MYBL2;OIP5;GTSE1;CEP55;DLGAP5;CKAP2L;F2R;KIF23;ESCO2;PIMREG;CDC25C;SGO1;CCNA2;MELK;ESPL1;TMSB15A;KIFC1;BIRC5;KIF2C;KIF20A;PRR11;DTL;CDCA2;TROAP;CDCA8;TYMS;CENPA;NCAPH;SKA1;AURKB;AURKA;CCNB2;CDC45;ORC1;E2F2;BUB1;CENPU;CDKN2C;RRM2;UBE2C;NDC80;TPX2;KIF18B;RAD51;KIF4A;CDK2;CDK1
CID9907182 GB-94-XG34 BAID16 10UM	52/550	3.089759990337975E-30	1.5404660523256474E-27	0	0	9.851090637058036	669.3762830418062	TOP2A;ARHGAP11A;HJURP;BUB1B;MCM10;MKI67;FOXM1;CDC20;NUF2;PCLAF;PBK;MYBL2;OIP5;GTSE1;CEP55;DLGAP5;CKAP2L;KIF23;ESCO2;PIMREG;CCNA2;ASPM;MELK;ESPL1;KIFC1;CKS2;BIRC5;KIF2C;KIF20A;MTFR2;PRR11;CDCA2;TROAP;CDCA7;CDCA8;HMMR;CENPA;NCAPH;SKA1;AURKB;AURKA;CCNB2;CDC45;CENPU;CDKN2C;RRM2;UBE2C;TPX2;KIF18B;RAD51;KIF4A;CDK1
CID101476432 RC-52-AC88 BAID28 10UM	61/834	2.5042582591289076E-29	1.092482665544986E-26	0	0	7.677254784887385	505.60077728359227	TOP2A;ARHGAP11A;CDCA7L;HJURP;BUB1B;MCM10;MKI67;FOXM1;LMNB1;CDC20;PCLAF;PBK;MYBL2;OIP5;GTSE1;CEP55;DLGAP5;CKAP2L;KIF23;ESCO2;PIMREG;CDC25C;SGO1;CCNA2;NEIL3;MELK;ESPL1;TMSB15A;KIFC1;DEPDC1;CKS2;BIRC5;KIF2C;KIF20A;MTFR2;PRR11;DTL;CDCA2;TROAP;CDCA8;HMMR;CENPA;NCAPH;SKA1;AURKB;AURKA;CCNB2;CDC45;ORC1;E2F2;BUB1;CDKN2C;RRM2;UBE2C;NDC80;TPX2;KIF18B;RAD51;KIF4A;CDK1;EZH2
CID44818584 AA-42-XZ05 BAID32 10UM	24/74	1.2448472038214797E-27	4.827240823707738E-25	0	0	40.746206896551726	2524.2594914544397	TOP2A;RRM2;CKAP2L;UBE2C;TROAP;HJURP;CDCA8;ESCO2;MKI67;FOXM1;PIMREG;TYMS;AURKB;AURKA;CDC20;TPX2;KIFC1;KIF4A;PCLAF;BIRC5;MYBL2;KIF2C;KIF20A;PRR11
CID71678945 NA-16-OJ70 BAID32 10UM	40/328	1.6525797915118456E-27	5.767503472376341E-25	0	0	12.510288065843621	771.4776880623191	TOP2A;CDCA2;TROAP;HJURP;CDCA8;BUB1B;MCM10;MKI67;TYMS;FOXM1;CENPA;AURKB;AURKA;CDC20;CCNB2;CDC45;ORC1;PCLAF;MYBL2;OIP5;GTSE1;DLGAP5;CDKN2C;RRM2;UBE2C;ESCO2;PIMREG;NDC80;TPX2;MELK;KIF18B;ESPL1;TMSB15A;KIFC1;KIF4A;CKS2;BIRC5;KIF2C;KIF20A;PRR11
