Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
CID5330286 PALBOCICLIB AE-04-SN76 BAID7 1UM	62/551	1.8752607928357673E-37	6.794069852443985E-34	0	0	10.784389308141956	912.002379748142	TOP2A;LRR1;HJURP;MCM10;KIF15;LMNB1;CDC20;PTTG1;NUF2;PBK;MYBL2;CEP55;DLGAP5;GAS2L3;CKAP2L;ESCO2;PIMREG;CDC25C;SGO1;CCNA2;ASPM;MELK;ESPL1;TMSB15A;FANCD2;KIFC1;DEPDC1;CKS2;BIRC5;KIF2C;KIF20A;MTFR2;PRR11;DTL;CDCA2;TROAP;CDCA7;CDCA8;HMMR;CENPA;NCAPH;AURKB;AURKA;ORC1;BUB1;CENPU;GINS2;CDKN2C;RRM2;DDIAS;UBE2C;CBX2;PLK1;NDC80;TPX2;KIF18B;CENPH;CENPI;CDK4;KIF4A;CDK1;SPC25
CID53378674 BB-86-UL91 BAID24 10UM	44/360	4.8310269062121735E-28	8.751405240603352E-25	0	0	11.068478937538908	696.1777009272998	TOP2A;CDCA2;LRR1;TROAP;HJURP;CDCA8;CENPA;NCAPH;AURKB;AURKA;LMNB1;CDC20;PTTG1;ORC1;PBK;MYBL2;DLGAP5;GINS2;CDKN2C;RRM2;UBE2C;CKAP2L;PLK1;ESCO2;PIMREG;CDC25C;CCNA2;TPX2;MELK;KIF18B;ESPL1;TMSB15A;FANCD2;KIFC1;KIF4A;CDK1;BIRC5;KIF2C;KIF20A;MTFR2;PRR11;DTL;EZH2;SPC25
CID71678945 NA-16-OJ70 BAID30 0.1UM	45/396	2.6275105236848772E-27	3.1731568757701035E-24	0	0	10.214730399915585	625.1799148262553	TOP2A;CDCA2;LRR1;TROAP;HJURP;CDCA8;HMMR;YBX1;CENPA;NCAPH;AURKB;AURKA;CDC20;PTTG1;ORC1;NUF2;PBK;MYBL2;BUB1;CEP55;DLGAP5;GINS2;CDKN2C;RRM2;UBE2C;CKAP2L;CBX2;PLK1;PIMREG;CDC25C;CCNA2;TPX2;MELK;KIF18B;ESPL1;TMSB15A;FANCD2;KIFC1;KIF4A;CDK1;BIRC5;KIF2C;KIF20A;EZH2;SPC25
CID53358942 IDASANUTLIN GD-82-CS38 BAID19 1UM	52/579	1.429435731897662E-26	1.2947114141663074E-23	0	0	8.021258804232463	477.3445711641711	TOP2A;LRR1;HJURP;MCM10;YBX1;LMNB1;CDC20;PTTG1;PBK;MYBL2;CEP55;DLGAP5;CKAP2L;ACTL6A;ESCO2;PIMREG;CDC25C;CCNA2;ASPM;NEIL3;MELK;ESPL1;TMSB15A;FANCD2;KIFC1;CKS2;BIRC5;KIF2C;KIF20A;PRR11;CDCA2;TROAP;CDCA7;CDCA8;CENPA;NCAPH;AURKB;AURKA;ORC1;BUB1;GINS2;CDKN2C;RRM2;UBE2C;CBX2;PLK1;TPX2;KIF18B;CENPH;CDK4;KIF4A;SPC25
CID101476432 RC-52-AC88 BAID28 10UM	61/834	2.4049399905850767E-26	1.7426195171779467E-23	0	0	6.583874258424469	388.380684823447	TOP2A;LRR1;HJURP;MCM10;YBX1;KIF15;LMNB1;CDC20;PTTG1;PBK;RCC1;MYBL2;CEP55;DLGAP5;CKAP2L;ESCO2;PIMREG;CDC25C;SGO1;CCNA2;ZNF90;NEIL3;MELK;ESPL1;TMSB15A;FANCD2;KIFC1;DEPDC1;CKS2;BIRC5;KIF2C;KIF20A;MTFR2;PRR11;DTL;CDCA2;TROAP;CDCA8;HMMR;CENPA;NCAPH;AURKB;AURKA;ORC1;BUB1;GINS2;CDKN2C;RRM2;UBE2C;CBX2;PLK1;NDC80;TPX2;KIF18B;CENPH;CENPI;CDK4;KIF4A;CDK1;EZH2;SPC25
CID44819306 CA-90-RU33 BAID12 10UM	39/300	6.346912773365009E-26	3.832477496316905E-23	0	0	11.672575358906892	677.2339966963889	TOP2A;CDCA2;TROAP;HJURP;CDCA8;CENPA;AURKB;AURKA;CDC20;PTTG1;PBK;MYBL2;BUB1;CEP55;DLGAP5;GINS2;CDKN2C;RRM2;UBE2C;CKAP2L;PLK1;ESCO2;PIMREG;CDC25C;NDC80;CCNA2;TPX2;MELK;KIF18B;ESPL1;FANCD2;KIFC1;KIF4A;CKS2;CDK1;BIRC5;KIF2C;KIF20A;SPC25
CID9907182 GB-94-XG34 BAID16 10UM	50/550	8.604729175858703E-26	4.4535619720194395E-23	0	0	8.072268907563025	465.8901964989295	TOP2A;LRR1;HJURP;MCM10;YBX1;CDC20;PTTG1;NUF2;PBK;MYBL2;CEP55;DLGAP5;CKAP2L;ESCO2;PIMREG;CCNA2;ASPM;MELK;ESPL1;FANCD2;KIFC1;CKS2;BIRC5;KIF2C;KIF20A;MTFR2;PRR11;CDCA2;TROAP;CDCA7;CDCA8;HMMR;CENPA;NCAPH;AURKB;AURKA;CENPU;GINS2;CDKN2C;RRM2;UBE2C;CBX2;PLK1;TPX2;KIF18B;CENPH;CDK4;KIF4A;CDK1;SPC25
CID5330286 PALBOCICLIB AE-04-SN76 BAID8 10UM	55/703	3.859011357612475E-25	1.7476497685787496E-22	0	0	6.94457690881153	390.3839484580198	TOP2A;LRR1;HJURP;MCM10;KIF15;LMNB1;CDC20;PTTG1;NUF2;PBK;MYBL2;CEP55;DLGAP5;CKAP2L;F2R;ESCO2;PIMREG;CDC25C;SGO1;CCNA2;MELK;ESPL1;TMSB15A;FANCD2;KIFC1;BIRC5;KIF2C;KIF20A;PRR11;DTL;CDCA2;TROAP;CDCA8;CENPA;NCAPH;AURKB;AURKA;ORC1;BUB1;CENPU;GINS2;POLQ;CDKN2C;RRM2;UBE2C;CBX2;PLK1;NDC80;TPX2;KIF18B;CENPH;CENPI;KIF4A;CDK1;SPC25
BE-04-AN21 BAID11 1UM	34/240	6.155135159146308E-24	2.4777838535096747E-21	0	0	12.674948398440486	677.4095182973041	TOP2A;CDCA2;LRR1;TROAP;HJURP;CDCA8;CENPA;NCAPH;AURKB;LMNB1;AURKA;CDC20;PTTG1;MYBL2;DLGAP5;GINS2;CDKN2C;RRM2;UBE2C;CBX2;PLK1;PIMREG;TPX2;MELK;KIF18B;ESPL1;KIFC1;FANCD2;KIF4A;CDK1;BIRC5;KIF2C;KIF20A;PRR11
CID151345176 AC-45-YY00 BAID36 10UM	24/92	8.096222699506438E-24	2.9332614840311823E-21	0	0	26.262032085561497	1396.369174819266	TOP2A;RRM2;CDKN2C;UBE2C;PLK1;HJURP;CDCA8;PIMREG;CDC25C;CENPA;AURKB;AURKA;CDC20;CCNA2;TPX2;PTTG1;ESPL1;KIFC1;KIF4A;BIRC5;KIF2C;KIF20A;PRR11;DLGAP5
