Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
CID11364421 BI-2536 AB-30-CR11 BAID3 1UM	11/355	0.0062557216768332575	0.9999829848756747	0	0	2.53203607024205	12.84820622456022	APOBEC3C;HOXA10;CCDC80;MAGED4B;ID3;S100A4;HOXA7;HOXC11;HOXC10;AQP1;HOXC6
TB-06-VB30 BAID23 1UM	13/527	0.018686851387001904	0.9999829848756747	0	0	2.0014891675073256	7.965797063729897	APOBEC3C;EMP3;HOXD11;HOXC11;HOXC10;AQP1;HOXA11;HOXA10;CCDC80;MAGED4B;ID3;S100A4;HOXA4
CID118695109 BROMODOMAININHIBITOR-9 BC-34-IH52 BAID44 10UM	5/133	0.028346711563800614	0.9999829848756747	0	0	3.052788844621514	10.87783229632428	CCDC80;ID3;HOXC13;EMP3;AQP1
CID44195094 GB-06-BA49 BAID27 1UM	7/254	0.04557557483811797	0.9999829848756747	0	0	2.219062484756841	6.853315620508809	STEAP3;CCDC80;FOXD1;TAGLN2;HOXC8;S100A11;AQP1
CID52912222 NB-12-ZK38 BAID6 0.1UM	5/154	0.048265221158581666	0.9999829848756747	0	0	2.6197224524719913	7.940494116900209	CCDC80;ID3;HOXC11;HOXA11;AQP1
CID46943432 MOLIBRESIB EF-73-IP33 BAID16 10UM	7/260	0.05050402496155514	0.9999829848756747	0	0	2.1657697985618363	6.46634374683417	APOBEC3C;CCDC80;MAGED4B;ID3;EMP3;HOXC11;AQP1
BF-54-GX35 BAID52 10UM	7/261	0.051356950559702595	0.9999829848756747	0	0	2.1571324668753755	6.404429212839241	STEAP3;CCDC80;MAGED4B;ID3;EMP3;HOXC11;AQP1
CID118694876 XB-35-TO54 BAID44 10UM	6/211	0.05463145245480781	0.9999829848756747	0	0	2.287492682926829	6.650074081870738	APOBEC3C;CCDC80;MAGED4B;ID3;EMP3;AQP1
CID132010322 DA-27-BW40 BAID26 0.1UM	5/166	0.06259700102182565	0.9999829848756747	0	0	2.422978891885873	6.714166362178904	CCDC80;ID3;EMP3;HOXC11;AQP1
CID86294693 NVS-BET-1 CB-55-AK76 BAID22 0.1UM	9/399	0.07200522562141112	0.9999829848756747	0	0	1.8082217377763936	4.757461380587563	APOBEC3C;STEAP3;CCDC80;MAGED4B;ID3;EMP3;HOXC11;AQP1;HOXC6
CID118693659 AZD-5153 HE-16-PO98 BAID14 0.1UM	6/235	0.08222921700182902	0.9999829848756747	0	0	2.045240174672489	5.109510226362689	HOXA10;CCDC80;ID3;EMP3;HOXC11;AQP1
PF-84-RH50 BAID36 10UM	6/237	0.08482510677730969	0.9999829848756747	0	0	2.0273246753246754	5.001741866370093	CCDC80;ID3;TAGLN2;S100A4;AQP1;HOXC6
CID86294693 NVS-BET-1 CB-55-AK76 BAID23 1UM	13/664	0.08594649006576592	0.9999829848756747	0	0	1.5690264423836706	3.850438564349789	APOBEC3C;STEAP3;EMP3;HOXC13;HOXC11;AQP1;HOXA11;HOXA10;CCDC80;MAGED4B;ID3;S100A4;HOXA7
CID636822 ASARONE BA-26-GI09 BAID43 1UM	3/83	0.09056017712642045	0.9999829848756747	0	0	2.914624505928854	7.000172326253783	CCDC80;EMP3;AQP1
CID86294693 NVS-BET-1 CB-55-AK76 BAID21 0.01UM	2/42	0.10070981915033003	0.9999829848756747	0	0	3.878740157480315	8.903694479683262	HOXA9;CCDC80
CID16071550 BE-33-IM71 BAID12 10UM	5/193	0.10262559636389162	0.9999829848756747	0	0	2.072136983978978	4.717567756094696	NMB;GNG5;ID3;TAGLN2;AQP1
CID10217017 AD-11-RL84 BAID7 1UM	7/312	0.10701541621601512	0.9999829848756747	0	0	1.79173085785766	4.004128547461778	STEAP3;CCDC80;MAGED4B;ID3;S100A4;HOXC11;AQP1
CID16119710 JE-04-LS32 BAID51 1UM	5/197	0.10943466775425037	0.9999829848756747	0	0	2.0285524568393094	4.488025340712815	STEAP3;CCDC80;FOXD1;GNG5;ID3
CID71291068 CPI-203 AE-32-DP61 BAID26 0.1UM	8/379	0.11490917724915783	0.9999829848756747	0	0	1.684462220676463	3.6445247388422346	NMB;CCDC80;ID3;EMP3;HOXA7;HOXC11;AQP1;HOXA11
