Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
CID151345176 AC-45-YY00 BAID36 10UM	29/92	3.7530500664907415E-23	1.5158569218556105E-19	0	0	17.128933979221888	884.4848502132945	TOP2A;HJURP;BUB1B;CDCA8;MKI67;CENPA;AURKB;AURKA;CDC20;TUBA1C;TK1;CTSC;DLGAP5;RRM2;CDKN2C;UBE2C;KIF23;PIMREG;CDC25C;CCNA2;TPX2;ESPL1;KIFC1;KIF4A;BIRC5;CENPM;KIF2C;KIF20A;PRR11
CID5330286 PALBOCICLIB AE-04-SN76 BAID7 1UM	63/551	4.977883937785542E-22	1.0052836612357903E-18	0	0	5.026618305449894	246.56501336900072	ARHGAP11A;TOP2A;ERCC6L;HJURP;NRM;BUB1B;MCM10;FOXM1;MKI67;LMNB1;CDC20;TUBA1C;NUF2;PBK;MYBL2;OIP5;TK1;GTSE1;CEP55;DLGAP5;TCF19;GAS2L3;CKAP2L;KIF23;ESCO2;CDC25C;PIMREG;CCNA2;ASPM;ESPL1;TMSB15A;KIFC1;BIRC5;KIF2C;MTFR2;KIF20A;PRR11;DTL;CDCA2;CDCA8;HMMR;SKA3;TYMS;CENPA;NCAPH;SKA1;AURKB;AURKA;E2F2;BUB1;E2F8;CENPU;CDKN2C;RRM2;UBE2C;NDC80;TPX2;RAD51;KIF18B;KIF4A;CDK1;CENPM;APOBEC3B
CID71678945 NA-16-OJ70 BAID30 0.1UM	52/396	5.174357408510049E-21	5.6634880892146514E-18	0	0	5.799430279256561	270.89470442178356	ARHGAP11A;TOP2A;HJURP;BUB1B;FOXM1;MKI67;CDC20;TUBA1C;NUF2;PBK;NUSAP1;OIP5;MYBL2;TK1;GTSE1;DLGAP5;CEP55;TCF19;CKAP2L;KIF23;CDC25C;PIMREG;CCNA2;ESPL1;TMSB15A;KIFC1;BIRC5;KIF2C;KIF20A;CDCA2;CDCA8;HMMR;TYMS;CENPA;NCAPH;SKA1;AURKB;AURKA;SERPINH1;BUB1;CDKN2C;RRM2;UBE2C;TPX2;RAD51;KIF18B;KIF4A;CDK1;CENPM;SPC24;EZH2;APOBEC3B
CID44818584 AA-42-XZ05 BAID32 10UM	25/74	5.608802267110326E-21	5.6634880892146514E-18	0	0	18.854227405247812	879.17167659035	TOP2A;HJURP;CDCA8;MKI67;FOXM1;TYMS;AURKB;AURKA;CDC20;TUBA1C;MYBL2;TK1;RRM2;CKAP2L;UBE2C;ESCO2;PIMREG;TPX2;KIFC1;KIF4A;BIRC5;CENPM;KIF2C;KIF20A;PRR11
CID44819306 CA-90-RU33 BAID12 10UM	45/300	1.2054144904572194E-20	9.737338253913419E-18	0	0	6.707629586488061	307.6446151795662	TOP2A;CDCA2;HJURP;CDCA8;BUB1B;MKI67;SKA3;TYMS;FOXM1;CENPA;SKA1;AURKB;AURKA;CDC20;TUBA1C;PBK;MYBL2;TK1;BUB1;DLGAP5;CEP55;TCF19;CDKN2C;RRM2;UBE2C;CKAP2L;KIF23;ESCO2;PIMREG;CDC25C;NDC80;CCNA2;TPX2;KIF18B;RAD51;ESPL1;KIFC1;KIF4A;CDK1;CENPM;BIRC5;KIF2C;KIF20A;SPC24;APOBEC3B
CID53378674 BB-86-UL91 BAID24 10UM	49/360	1.5752102530077017E-20	1.0603790353163511E-17	0	0	6.018901104543325	274.44571819708403	TOP2A;HJURP;NRM;BUB1B;MKI67;FOXM1;LMNB1;CDC20;TUBA1C;PBK;NUSAP1;MYBL2;TK1;GTSE1;DLGAP5;TCF19;CKAP2L;KIF23;ESCO2;PIMREG;CDC25C;CCNA2;ESPL1;TMSB15A;KIFC1;BIRC5;KIF2C;KIF20A;MTFR2;PRR11;DTL;CDCA2;CDCA8;TYMS;CENPA;NCAPH;SKA1;AURKB;AURKA;CDKN2C;RRM2;UBE2C;TPX2;KIF18B;KIF4A;CDK1;CENPM;SPC24;EZH2
CID9907182 GB-94-XG34 BAID16 10UM	57/550	5.471004173555223E-18	3.1567694081413636E-15	0	0	4.445807224057701	176.70780870026644	ARHGAP11A;TOP2A;STEAP3;RPLP0;HJURP;BUB1B;MCM10;FOXM1;MKI67;CDC20;TUBA1C;NUF2;PBK;OIP5;MYBL2;TK1;GTSE1;DLGAP5;CEP55;CTSC;TCF19;CKAP2L;KIF23;ESCO2;PIMREG;CCNA2;ASPM;ESPL1;KIFC1;BIRC5;TAGLN2;KIF2C;MTFR2;KIF20A;PRR11;CDCA2;CDCA8;HMMR;CENPA;NCAPH;SKA1;AURKB;AURKA;SERPINH1;EIF4EBP1;CENPU;CDKN2C;RRM2;UBE2C;TPX2;RAD51;KIF18B;KIF4A;CDK1;CENPM;VIM;APOBEC3B
CID53358942 IDASANUTLIN GD-82-CS38 BAID19 1UM	57/579	5.775720314227419E-17	2.916016793645568E-14	0	0	4.192394674873516	156.75482586726855	ARHGAP11A;TOP2A;ERCC6L;HJURP;NRM;BUB1B;MCM10;FOXM1;MKI67;AQP1;LMNB1;CDC20;TUBA1C;PBK;MYBL2;OIP5;TK1;GTSE1;CEP55;DLGAP5;TCF19;GBP5;CKAP2L;KIF23;ESCO2;CDC25C;PIMREG;CCNA2;ASPM;NEIL3;ESPL1;TMSB15A;KIFC1;BIRC5;KIF2C;KIF20A;PRR11;CDCA2;UHRF1;CDCA8;CENPA;NCAPH;SKA1;AURKB;AURKA;SERPINH1;E2F2;BUB1;CDKN2C;RRM2;UBE2C;TPX2;RAD51;KIF18B;KIF4A;CENPM;APOBEC3B
BE-04-AN21 BAID11 1UM	34/240	4.048686796720813E-15	1.8169606635505959E-12	0	0	6.155415067359073	203.99281786734403	TOP2A;CDCA2;HJURP;CDCA8;MKI67;FOXM1;CENPA;NCAPH;AURKB;LMNB1;AURKA;CDC20;TUBA1C;MYBL2;TK1;GTSE1;DLGAP5;TCF19;CDKN2C;RRM2;UBE2C;PIMREG;TPX2;KIF18B;ESPL1;KIFC1;KIF4A;CDK1;CENPM;BIRC5;KIF2C;KIF20A;PRR11;APOBEC3B
CID101476432 RC-52-AC88 BAID28 10UM	66/834	9.553079911646351E-15	3.858488976313961E-12	0	0	3.317116477272727	107.08286482885971	ARHGAP11A;TOP2A;STEAP3;CDCA7L;RPLP0;HJURP;NRM;BUB1B;MCM10;FOXM1;MKI67;LMNB1;CDC20;TUBA1C;PBK;MYBL2;OIP5;TK1;GTSE1;CEP55;DLGAP5;CTSC;TCF19;CKAP2L;KIF23;ESCO2;CDC25C;PIMREG;CCNA2;NEIL3;ESPL1;TMSB15A;KIFC1;BIRC5;TAGLN2;KIF2C;MTFR2;KIF20A;PRR11;DTL;CDCA2;CDCA8;HMMR;CENPA;NCAPH;SKA1;AURKB;AURKA;SERPINH1;EIF4EBP1;E2F2;BUB1;CDKN2C;RRM2;UBE2C;NDC80;TPX2;RAD51;KIF18B;KIF4A;CDK1;CENPM;ID3;VIM;EZH2;APOBEC3B
