Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
CID121499143 XMU-MP-1 BA-88-HT15 BAID24 10UM	23/525	0.004091377025327037	0.999995806726135	0	0	1.915240138347708	10.531663596416749	APOBEC3C;STEAP3;ANXA1;ANXA2;CMTM3;SLC43A3;GPX8;EMP3;ADAMTS12;SYDE1;CCDC80;COL4A2;ID3;COL8A1;S100A4;TAGLN2;PLP2;IGF2BP2;TGFBI;HOXB7;CLIC1;S100A11;TMEM45A
CID60182393 S0-EE-Y97N BAID27 1UM	8/111	0.005188360467624625	0.999995806726135	0	0	3.2090890311919025	16.88410056944873	COL4A2;COL4A1;ID3;TAGLN2;TGFBI;ADAMTS12;CD44;LOXL2
CID5381 TAZAROTENE IA-14-WP20 BAID11 1UM	5/51	0.0072671519652499385	0.999995806726135	0	0	4.475595183380825	22.03957981662147	SRPX;STEAP3;NNMT;VIM;PDIA4
CID51039095 AZD-4547 BD-81-LB65 BAID39 1UM	5/52	0.00788605247677898	0.999995806726135	0	0	4.380144842787099	21.21155042468349	FOXD1;CMTM3;SLC43A3;EIF4EBP1;ADAMTS12
CA-48-CT20 BAID36 10UM	10/182	0.012379494680990585	0.999995806726135	0	0	2.4038461538461537	10.557004398861103	CA12;TUBA1C;FOXD1;SRPX2;ANXA2;EIF4EBP1;ID3;TAGLN2;VIM;CLIC1
LB-67-JK40 BAID36 10UM	9/157	0.013351259492045114	0.999995806726135	0	0	2.5120440269694	10.84234514795102	CCDC80;COL4A2;FN1;GPX8;COL8A1;ID3;TGFBI;EMP3;NES
CID988563 GD-71-OU80 BAID12 10UM	7/106	0.013684986570278017	0.999995806726135	0	0	2.9158034699435973	12.513042056336545	TUBA1C;FOXD1;COL4A2;ANXA2;CMTM3;ID3;TGFBI
DE-20-VX20 BAID36 10UM	14/303	0.014712584111130645	0.999995806726135	0	0	2.0079793580718293	8.471769506200928	FOXD1;ANXA1;ANXA2;CMTM3;ADAMTS12;TUBA1C;CSRP2;COL4A2;TAGLN2;PLP2;TGFBI;VIM;CLIC1;NES
CID9852519 AVATROMBOPAG IA-23-DB04 BAID7 1UM	4/40	0.014930183298496161	0.999995806726135	0	0	4.567744960150024	19.204491660956602	FOXD1;CMTM3;COL4A2;COL4A1
CID52912189 AF-30-GH67 BAID27 1UM	20/493	0.015581768400713333	0.999995806726135	0	0	1.758634378721715	7.3188273402770525	APOBEC3C;CA12;NMB;CMTM3;SLC43A3;TGFB1I1;TNC;EMP3;SPOCD1;SYDE1;CCDC80;PLAU;PDPN;EIF4EBP1;ID3;COL8A1;PLP2;TGFBI;CLIC1;TMEM45A
CID4877 IC-91-IX22 BAID27 1UM	7/110	0.016491465744495813	0.999995806726135	0	0	2.801991218848556	11.501928105235484	TGIF1;FOXD1;COL4A2;CMTM3;COL4A1;TAGLN2;TGFBI
CID44195094 GB-06-BA49 BAID27 1UM	12/254	0.019612868064622316	0.999995806726135	0	0	2.0515730855176817	8.06590195310983	STEAP3;CCDC80;FOXD1;ANXA2;COL4A2;COL4A1;NACA2;TAGLN2;IGFBP7;TGFBI;VIM;S100A11
CID71478195 SR9238 AF-16-GB72 BAID8 10UM	4/45	0.02218646431205165	0.999995806726135	0	0	4.009673767623752	15.269931913920198	CMTM3;COL4A2;LOX;LOXL2
CID10316032 SD-208 AA-86-YV75 BAID3 1UM	4/46	0.02385444834348151	0.999995806726135	0	0	3.9140044203335345	14.621877303507691	ANXA2;COL4A2;COL4A1;TGFBI
CID139600315 CD-97-ZV62 BAID26 0.1UM	5/70	0.02597578182606843	0.999995806726135	0	0	3.1642543503008618	11.551397324150228	CCDC80;NNMT;EIF4EBP1;COL8A1;ID3
CID132471728 LA-44-KW22 BAID44 10UM	4/48	0.02741295313557532	0.999995806726135	0	0	3.7357115458381283	13.436381782295912	NNMT;CMTM3;ANXA2;IGFBP7
CID44193969 QE-98-XD90 BAID47 1UM	8/150	0.02792351588326008	0.999995806726135	0	0	2.3230446508840275	8.312518342042134	STEAP3;MMP14;FOXD1;COL4A2;CMTM3;COL4A1;GPX8;TGFBI
CID134823928 NVS-ZP7-4 GA-81-DL34 BAID35 1UM	5/75	0.03367235151499417	0.999995806726135	0	0	2.9374811235276352	9.961228224942571	FOXD1;ANXA2;COL4A2;ID3;TGFBI
