Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Cell Cycle	24/649	2.1235428289744233E-19	6.37062848692327E-17	0	0	17.65394285714286	759.0494730739823	H2BC9;CENPU;ATRX;HJURP;NCAPG;MCM10;KNL1;CDC25C;SKA1;NCAPH;BRIP1;CDC45;CENPH;ORC1;CENPI;EXO1;NUF2;CENPM;E2F2;KIF20A;TK1;GTSE1;SPC24;SPC25
Cell Cycle Checkpoints	17/261	7.773023317712397E-18	1.1659534976568596E-15	0	0	27.996821679491468	1102.9592168373501	H2BC9;CENPU;MCM10;KNL1;CDC25C;SKA1;BRIP1;CDC45;CENPH;ORC1;CENPI;EXO1;NUF2;CENPM;GTSE1;SPC24;SPC25
Cell Cycle, Mitotic	20/516	1.6053111400636046E-16	1.6053111400636046E-14	0	0	17.03892005610098	619.6721924959555	H2BC9;CENPU;NCAPG;MCM10;KNL1;CDC25C;SKA1;NCAPH;CDC45;CENPH;ORC1;CENPI;NUF2;CENPM;E2F2;KIF20A;TK1;GTSE1;SPC24;SPC25
Amplification of Signal From Unattached Kinetochores via a MAD2 Inhibitory Signal	9/94	2.2459435676650407E-11	1.3475661405990245E-9	0	0	36.871207430340554	904.0565758487984	CENPU;CENPH;CENPI;NUF2;CENPM;KNL1;SKA1;SPC24;SPC25
Amplification of Signal From the Kinetochores	9/94	2.2459435676650407E-11	1.3475661405990245E-9	0	0	36.871207430340554	904.0565758487984	CENPU;CENPH;CENPI;NUF2;CENPM;KNL1;SKA1;SPC24;SPC25
Mitotic Prometaphase	11/203	5.920355443174154E-11	2.960177721587077E-9	0	0	20.564583333333335	484.2967505159544	CENPU;CENPH;CENPI;NUF2;CENPM;NCAPG;KNL1;SKA1;NCAPH;SPC24;SPC25
Mitotic Spindle Checkpoint	9/111	1.021297980902487E-10	4.376991346724944E-9	0	0	30.69969040247678	706.2395188249229	CENPU;CENPH;CENPI;NUF2;CENPM;KNL1;SKA1;SPC24;SPC25
EML4 and NUDC in Mitotic Spindle Formation	9/116	1.5211547995310908E-10	5.704330498241591E-9	0	0	29.257747171667486	661.4117840653457	CENPU;CENPH;CENPI;NUF2;CENPM;KNL1;SKA1;SPC24;SPC25
RHO GTPase Effectors	12/291	1.7547654245788674E-10	5.849218081929559E-9	0	0	15.655117483074472	351.6689780421364	H2BC9;CENPU;CENPH;CENPI;NUF2;KIF14;CENPM;KNL1;CDC25C;SKA1;SPC24;SPC25
M Phase	13/372	2.1733498292525635E-10	6.5200494877576904E-9	0	0	13.374415304567194	297.57514002434175	H2BC9;CENPU;NCAPG;KNL1;SKA1;NCAPH;CENPH;CENPI;NUF2;CENPM;KIF20A;SPC24;SPC25
Resolution of Sister Chromatid Cohesion	9/126	3.202119451386883E-10	8.733053049236955E-9	0	0	26.743589743589745	584.6693755201118	CENPU;CENPH;CENPI;NUF2;CENPM;KNL1;SKA1;SPC24;SPC25
Nucleosome Assembly	7/53	4.2001812778653236E-10	9.692726025843054E-9	0	0	51.29550478997789	1107.5070475912328	H2BC9;CENPU;CENPH;CENPI;HJURP;CENPM;KNL1
Deposition of New CENPA-containing Nucleosomes at the Centromere	7/53	4.2001812778653236E-10	9.692726025843054E-9	0	0	51.29550478997789	1107.5070475912328	H2BC9;CENPU;CENPH;CENPI;HJURP;CENPM;KNL1
RHO GTPases Activate Formins	9/139	7.706038493870531E-10	1.6512939629722566E-8	0	0	24.05344129554656	504.7337244750793	CENPU;CENPH;CENPI;NUF2;CENPM;KNL1;SKA1;SPC24;SPC25
