Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Signal Transduction	21/2613	6.591839543816604E-8	2.6565113361580913E-5	0	0	5.626574074074074	93.0345487223901	HDAC10;SRF;ADRA1D;PPBP;NRG2;FPR2;DYNLL2;PRKCZ;KALRN;EPOR;RNF41;TGFBR2;LMNB1;MC3R;SOCS3;RBL1;PARD6A;ALDH1A1;KDR;ITGAV;MARK3
Signaling by TGF-beta Receptor Complex	5/94	2.4243179804644496E-6	4.885000730635865E-4	0	0	27.219786242806247	351.9507559921193	RBL1;PARD6A;ITGAV;PRKCZ;TGFBR2
TGF-beta Receptor Signaling in EMT (Epithelial to Mesenchymal Transition)	3/16	6.243776171906146E-6	8.387472657593923E-4	0	0	107.01788908765653	1282.494399598198	PARD6A;PRKCZ;TGFBR2
Signaling by TGFB Family Members	5/161	3.335044399163585E-5	0.003360057232157312	0	0	15.476860537836147	159.54228008013575	RBL1;PARD6A;ITGAV;PRKCZ;TGFBR2
Cell Cycle, Mitotic	7/516	1.634831852603821E-4	0.01308067343060062	0	0	6.856833408896278	59.78336197353754	NDC1;RBL1;HAUS4;DYNLL2;MCPH1;AURKA;LMNB1
Neddylation	5/234	1.9474948035633677E-4	0.01308067343060062	0	0	10.504313558419428	89.74671785101513	SOCS3;CISH;UBD;FBXO30;DCAF6
Post-translational Protein Modification	11/1457	3.6561727914937684E-4	0.020008821638186295	0	0	4.02268326417704	31.835207444683398	NDC1;SOCS3;CISH;USP10;UBD;AFP;DYNLL2;FBXO30;TGFBR2;AURKA;DCAF6
Downregulation of ERBB2 ERBB3 Signaling	2/13	3.971974518746659E-4	0.020008821638186295	0	0	82.4090909090909	645.3519397906415	NRG2;RNF41
Diseases of Signal Transduction by Growth Factor Receptors and Second Messengers	6/451	5.548678150258088E-4	0.02484574771726677	0	0	6.576067415730337	49.299334913977624	HIP1;HDAC10;KDR;NRG2;MARK3;TGFBR2
Cell Cycle	7/649	6.52875694523908E-4	0.026310890489313492	0	0	5.399153287003754	39.59805866209878	NDC1;RBL1;HAUS4;DYNLL2;MCPH1;AURKA;LMNB1
TP53 Regulates Transcription of Genes Involved in G2 Cell Cycle Arrest	2/18	7.734351437291583E-4	0.028335851174804614	0	0	56.64204545454545	405.82149239611823	RBL1;AURKA
VEGFR2 Mediated Cell Proliferation	2/19	8.631631629479798E-4	0.028987896222336322	0	0	53.30748663101604	376.07935098604037	KDR;PRKCZ
Signaling by Receptor Tyrosine Kinases	6/536	0.0013581853109410685	0.036355075404705534	0	0	5.497358490566038	36.29139369839567	SRF;KDR;ITGAV;NRG2;PRKCZ;RNF41
Growth Hormone Receptor Signaling	2/24	0.0013830203898899714	0.036355075404705534	0	0	41.18181818181818	271.11990217079807	SOCS3;CISH
VEGFA-VEGFR2 Pathway	3/99	0.0015303815756953004	0.036355075404705534	0	0	14.431686046511627	93.54962627504459	KDR;ITGAV;PRKCZ
M Phase	5/372	0.0015881056600199122	0.036355075404705534	0	0	6.508606366717618	41.94935685185955	NDC1;HAUS4;DYNLL2;MCPH1;LMNB1
Class I MHC Mediated Antigen Processing & Presentation	5/373	0.001606943584740889	0.036355075404705534	0	0	6.4905885471898195	41.75669060118258	SOCS3;ITGAV;TIRAP;FBXO30;RNF41
Interleukin-20 Family Signaling	2/26	0.0016237998940066987	0.036355075404705534	0	0	37.746212121212125	242.44340192768723	SOCS3;IL20RA
Signaling by VEGF	3/108	0.0019634351668341783	0.040695401168590085	0	0	13.188704318936876	82.20598143404139	KDR;ITGAV;PRKCZ
Downregulation of ERBB2 Signaling	2/29	0.0020196228867786644	0.040695401168590085	0	0	33.54713804713805	208.1547741541601	NRG2;RNF41
Mitotic Prophase	3/111	0.0021230410322542357	0.0407421683808789	0	0	12.820413436692506	78.90843662196517	NDC1;MCPH1;LMNB1
Immune System	12/2150	0.0027480745632067383	0.05033972949874161	0	0	2.941066417212348	17.343041535234818	NDC1;SOCS3;CISH;IL20RA;ITGAV;PPBP;FPR2;DYNLL2;TIRAP;FBXO30;RNF41;LMNB1
Gene Expression (Transcription)	10/1615	0.0031672550327971026	0.05549581644422749	0	0	3.1756663205261337	18.275610308371398	NDC1;SOCS3;SMARCC2;RBL1;NFIX;HDAC10;SRF;MAGOHB;GATA2;AURKA
Signaling by Rho GTPases	6/672	0.004198906562173489	0.07050663935649651	0	0	4.344144144144144	23.77520171937835	PARD6A;SRF;DYNLL2;PRKCZ;KALRN;LMNB1
Signaling by Rho GTPases, Miro GTPases and RHOBTB3	6/688	0.004706925873101387	0.07587564507439436	0	0	4.2387096774193544	22.714059445469466	PARD6A;SRF;DYNLL2;PRKCZ;KALRN;LMNB1
SUMOylation of DNA Replication Proteins	2/46	0.0050223302480320985	0.07784611884449753	0	0	20.568181818181817	108.88510091894463	NDC1;AURKA
TGF-beta Receptor Signaling Activates SMADs	2/47	0.00523790183287352	0.0781805347647418	0	0	20.110101010101012	105.61491774669291	ITGAV;TGFBR2
TP53 Regulates Transcription of Cell Cycle Genes	2/49	0.005681627397885792	0.08177485147671336	0	0	19.252417794970988	99.5449645426864	RBL1;AURKA
Signaling by ERBB2	2/50	0.0059097422436154325	0.0821250387647248	0	0	18.85037878787879	96.72417883948357	NRG2;RNF41
Metabolism of Proteins	11/2067	0.006146102332890891	0.08256264133850097	0	0	2.7359366314619233	13.93121741506808	NDC1;SOCS3;CISH;USP10;UBD;AFP;DYNLL2;FBXO30;TGFBR2;AURKA;DCAF6
Nuclear Envelope Breakdown	2/53	0.006618861584156887	0.08429883136677337	0	0	17.73885918003565	89.01061328510207	NDC1;LMNB1
Class A 1 (Rhodopsin-like Receptors)	4/333	0.007105629358223285	0.08429883136677337	0	0	5.68099580257635	28.103136012883276	MC3R;ADRA1D;PPBP;FPR2
Signaling by Non-Receptor Tyrosine Kinases	2/55	0.007112060214566488	0.08429883136677337	0	0	17.067753001715264	84.41648020216196	SOCS3;NRG2
Signaling by PTK6	2/55	0.007112060214566488	0.08429883136677337	0	0	17.067753001715264	84.41648020216196	SOCS3;NRG2
Disease	11/2131	0.007708784195087786	0.08876114373201079	0	0	2.6438544474393533	12.863395669394215	NDC1;ENTPD1;HIP1;HDAC10;KDR;NRG2;DYNLL2;MARK3;TIRAP;TGFBR2;LMNB1
Peptide Ligand-Binding Receptors	3/198	0.010614210649157109	0.10361972516995052	0	0	7.069409660107334	32.134436721037815	MC3R;PPBP;FPR2
Transcriptional Regulation by RUNX1	3/202	0.01120248336127204	0.10361972516995052	0	0	6.925908612831599	31.10854823465856	SOCS3;SMARCC2;GATA2
Regulation of NPAS4 Gene Transcription	1/5	0.011448249952996578	0.10361972516995052	0	0	110.83333333333333	495.41595635428416	SRF
Fructose Catabolism	1/5	0.011448249952996578	0.10361972516995052	0	0	110.83333333333333	495.41595635428416	ALDH1A1
GRB7 Events in ERBB2 Signaling	1/5	0.011448249952996578	0.10361972516995052	0	0	110.83333333333333	495.41595635428416	NRG2
Signaling by Membrane-Tethered Fusions of PDGFRA or PDGFRB	1/5	0.011448249952996578	0.10361972516995052	0	0	110.83333333333333	495.41595635428416	KDR
RNA Polymerase II Transcription	8/1360	0.01153404972177931	0.10361972516995052	0	0	2.8966054188726256	12.925961986870188	SOCS3;SMARCC2;RBL1;HDAC10;SRF;MAGOHB;GATA2;AURKA
AURKA Activation by TPX2	2/72	0.011942402007789574	0.10361972516995052	0	0	12.911688311688312	57.168566103425825	HAUS4;AURKA
Transport of Mature mRNA Derived From an Intron-Containing Transcript	2/74	0.012583281872936659	0.10361972516995052	0	0	12.551767676767676	54.91883084672332	NDC1;MAGOHB
Nuclear Envelope (NE) Reassembly	2/75	0.012909271198759906	0.10361972516995052	0	0	12.37920298879203	53.84717511186808	NDC1;LMNB1
Extra-nuclear Estrogen Signaling	2/75	0.012909271198759906	0.10361972516995052	0	0	12.37920298879203	53.84717511186808	SRF;PRKCZ
Adaptive Immune System	6/854	0.013001490933509986	0.10361972516995052	0	0	3.3795990566037735	14.67655522087927	SOCS3;ITGAV;DYNLL2;TIRAP;FBXO30;RNF41
Estrogen-stimulated Signaling Through PRKCZ	1/6	0.013722475176735492	0.10361972516995052	0	0	88.66222222222223	380.24746931631483	PRKCZ
SMAD2 3 Phosphorylation Motif Mutants in Cancer	1/6	0.013722475176735492	0.10361972516995052	0	0	88.66222222222223	380.24746931631483	TGFBR2
TGFBR1 KD Mutants in Cancer	1/6	0.013722475176735492	0.10361972516995052	0	0	88.66222222222223	380.24746931631483	TGFBR2
G Alpha (Q) Signalling Events	3/219	0.013911148991634814	0.10361972516995052	0	0	6.375322997416021	27.25491813551528	ADRA1D;FPR2;KALRN
Mitotic Anaphase	3/221	0.01425221269323918	0.10361972516995052	0	0	6.316193727330916	26.84914857211069	NDC1;DYNLL2;LMNB1
Mitotic Metaphase and Anaphase	3/222	0.014424525036513315	0.10361972516995052	0	0	6.287034087288945	26.649639739262113	NDC1;DYNLL2;LMNB1
G Alpha (12 13) Signalling Events	2/80	0.014593996737903651	0.10361972516995052	0	0	11.582750582750583	48.961966410902626	ADRA1D;KALRN
GPCR Downstream Signalling	5/633	0.014703035100260007	0.10361972516995052	0	0	3.7529128475998137	15.836171361051255	MC3R;ADRA1D;PPBP;FPR2;KALRN
Cellular Responses to Stimuli	6/887	0.015434049436334063	0.10361972516995052	0	0	3.24738933030647	13.545442854439814	NDC1;EGLN2;KDR;ITGAV;DYNLL2;LMNB1
Transport of Mature Transcript to Cytoplasm	2/83	0.015648017556944355	0.10361972516995052	0	0	11.152076318742985	46.36376524769878	NDC1;MAGOHB
Erythropoietin Activates Phospholipase C Gamma (PLCG)	1/7	0.015991582954907876	0.10361972516995052	0	0	73.88148148148149	305.55110809661255	EPOR
Erythropoietin Activates STAT5	1/7	0.015991582954907876	0.10361972516995052	0	0	73.88148148148149	305.55110809661255	EPOR
Fructose Metabolism	1/7	0.015991582954907876	0.10361972516995052	0	0	73.88148148148149	305.55110809661255	ALDH1A1
Loss of Function of SMAD2 3 in Cancer	1/7	0.015991582954907876	0.10361972516995052	0	0	73.88148148148149	305.55110809661255	TGFBR2
Loss of Function of TGFBR1 in Cancer	1/7	0.015991582954907876	0.10361972516995052	0	0	73.88148148148149	305.55110809661255	TGFBR2
Integrin Cell Surface Interactions	2/85	0.016368399560411893	0.10361972516995052	0	0	10.882256297918948	44.75221973547816	KDR;ITGAV
Regulation of PLK1 Activity at G2 M Transition	2/87	0.017102780574830327	0.10361972516995052	0	0	10.625133689839572	43.22850752752285	HAUS4;AURKA
Phosphate Bond Hydrolysis by NTPDase Proteins	1/8	0.018255584335152574	0.10361972516995052	0	0	63.32380952380952	253.50320962011816	ENTPD1
Cross-presentation of Particulate Exogenous Antigens (Phagosomes)	1/8	0.018255584335152574	0.10361972516995052	0	0	63.32380952380952	253.50320962011816	ITGAV
RUNX1 Regulates Transcription of Genes Involved in Differentiation of Keratinocytes	1/8	0.018255584335152574	0.10361972516995052	0	0	63.32380952380952	253.50320962011816	SOCS3
Signaling by TGF-beta Receptor Complex in Cancer	1/8	0.018255584335152574	0.10361972516995052	0	0	63.32380952380952	253.50320962011816	TGFBR2
TGFBR3 Regulates TGF-beta Signaling	1/8	0.018255584335152574	0.10361972516995052	0	0	63.32380952380952	253.50320962011816	TGFBR2
VEGF Binds to VEGFR Leading to Receptor Dimerization	1/8	0.018255584335152574	0.10361972516995052	0	0	63.32380952380952	253.50320962011816	KDR
VEGF Ligand-Receptor Interactions	1/8	0.018255584335152574	0.10361972516995052	0	0	63.32380952380952	253.50320962011816	KDR
Cellular Responses to Mechanical Stimuli	2/93	0.019388542800042062	0.1070353801153007	0	0	9.921578421578422	39.12150764117507	KDR;ITGAV
Response of Endothelial Cells to Shear Stress	2/93	0.019388542800042062	0.1070353801153007	0	0	9.921578421578422	39.12150764117507	KDR;ITGAV
Signaling by Interleukins	4/452	0.019895613955430463	0.10769549959202987	0	0	4.146683673469388	16.243621399625386	SOCS3;CISH;IL20RA;LMNB1
Adrenoceptors	1/9	0.020514490407793847	0.10769549959202987	0	0	55.40555555555556	215.34055050751047	ADRA1D
Formyl Peptide Receptors Bind Formyl Peptides and Many Other Ligands	1/9	0.020514490407793847	0.10769549959202987	0	0	55.40555555555556	215.34055050751047	FPR2
Antigen processing-Cross Presentation	2/96	0.02057705575331588	0.10769549959202987	0	0	9.60348162475822	37.29587593759746	ITGAV;TIRAP
Generic Transcription Pathway	7/1230	0.02136242362430573	0.11037252205891294	0	0	2.7489569574606367	10.572823297211102	SOCS3;SMARCC2;RBL1;HDAC10;SRF;GATA2;AURKA
GPCR Ligand Binding	4/467	0.022125263579155903	0.11054975715146252	0	0	4.009256402344955	15.279417174838033	MC3R;ADRA1D;PPBP;FPR2
