Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Constitutive Signaling by Aberrant PI3K in Cancer	8/83	1.7167875907428314E-11	7.777047786065025E-9	0	0	54.367179487179484	1347.6526207525965	NTRK2;BDNF;GAB1;CD28;RAC1;MET;EGFR;FGFR1
PIP3 Activates AKT Signaling	11/281	3.852674947360115E-11	8.722908549163141E-9	0	0	22.275	534.1471119253102	NTRK2;CBX4;BDNF;RHEB;GAB1;CD28;SNAI2;RAC1;MET;EGFR;FGFR1
Signal Transduction	25/2613	5.7767606285848616E-11	8.722908549163141E-9	0	0	7.624789237038078	179.75130253354283	ITGB3;NAB2;ARHGAP17;EGFR;CDC42;ADH4;CFL1;GRB10;RAC1;CCT7;NTRK2;CBX4;BDNF;FZD7;TMOD3;GAB1;BCR;TJP1;TEC;RHEB;CD28;SNAI2;ROR1;MET;FGFR1
Intracellular Signaling by Second Messengers	11/321	1.597420540803528E-10	1.3820517124774559E-8	0	0	19.36137992831541	436.74356806259345	NTRK2;CBX4;BDNF;RHEB;GAB1;CD28;SNAI2;RAC1;MET;EGFR;FGFR1
PI3K AKT Signaling in Cancer	8/110	1.7015566361176163E-10	1.3820517124774559E-8	0	0	39.92156862745098	898.008037775453	NTRK2;BDNF;GAB1;CD28;RAC1;MET;EGFR;FGFR1
PI5P, PP2A and IER3 Regulate PI3K AKT Signaling	8/111	1.830532069506564E-10	1.3820517124774559E-8	0	0	39.531989046552155	886.3563823770828	NTRK2;BDNF;GAB1;CD28;RAC1;MET;EGFR;FGFR1
Negative Regulation of the PI3K AKT Network	8/118	2.9961439962716733E-10	1.9389331861586683E-8	0	0	37.003263403263404	811.4269793155821	NTRK2;BDNF;GAB1;CD28;RAC1;MET;EGFR;FGFR1
Signaling by Receptor Tyrosine Kinases	12/536	2.7010246626670217E-9	1.529455215235201E-7	0	0	12.712540894220284	250.81378707764202	CDC42;NTRK2;TEC;BDNF;ITGB3;NAB2;GAB1;GRB10;RAC1;MET;EGFR;FGFR1
Diseases of Signal Transduction by Growth Factor Receptors and Second Messengers	10/451	7.553406327831325E-8	3.8018811850084337E-6	0	0	11.9580805295091	196.09676128732846	BCR;NTRK2;BDNF;ITGB3;GAB1;CD28;RAC1;MET;EGFR;FGFR1
NTRK2 Activates RAC1	3/5	1.2121496837176176E-7	5.491038067240808E-6	0	0	680.1477272727273	10831.82884354048	NTRK2;BDNF;RAC1
Signal Transduction by L1	4/21	1.5553745036792858E-7	6.405315001515604E-6	0	0	109.08891928864568	1710.1192757535475	ITGB3;RAC1;EGFR;FGFR1
Activated NTRK2 Signals Through CDK5	3/6	2.4203239690926553E-7	9.136722983324774E-6	0	0	453.40909090909093	6907.322164819668	NTRK2;BDNF;RAC1
Signaling by NTRK2 (TRKB)	4/25	3.2649502967395975E-7	1.1377096034023368E-5	0	0	88.29235880398672	1318.6332330115358	NTRK2;BDNF;GAB1;RAC1
Activated NTRK2 Signals Through FYN	3/7	4.228612130224911E-7	1.277040863327923E-5	0	0	340.03977272727275	4990.499129902808	NTRK2;BDNF;RAC1
Activated NTRK2 Signals Through PI3K	3/7	4.228612130224911E-7	1.277040863327923E-5	0	0	340.03977272727275	4990.499129902808	NTRK2;BDNF;GAB1
Nervous System Development	10/567	6.238009341663712E-7	1.7661363948585386E-5	0	0	9.411422194187006	134.4650784828797	CDC42;ITGB3;NAB2;CFL1;GAB1;GRB10;RAC1;MET;EGFR;FGFR1
MET Activates RAP1 and RAC1	3/11	1.980407412520879E-6	5.277203281599754E-5	0	0	169.98579545454547	2232.2888179441948	GAB1;RAC1;MET
CD28 Dependent Vav1 Pathway	3/12	2.636197373670566E-6	6.634430057070925E-5	0	0	151.0909090909091	1940.9399671718354	CDC42;CD28;RAC1
Axon Guidance	9/541	3.954732100741725E-6	9.428913903347376E-5	0	0	8.646072417886822	107.5623086004875	CDC42;ITGB3;CFL1;GAB1;GRB10;RAC1;MET;EGFR;FGFR1
Signaling by NTRKs	5/134	1.5328292760067405E-5	3.3553561740424717E-4	0	0	18.294573643410853	202.81017178182586	NTRK2;BDNF;NAB2;GAB1;RAC1
Disease	16/2131	1.5554631270395563E-5	3.3553561740424717E-4	0	0	4.353054221002059	48.1933255229898	NTRK2;BDNF;FZD7;ITGB3;GAB1;CP;EGFR;ACAT1;CDC42;BCR;TJP1;CD28;RAC1;MET;FGFR1;RAD9A
MET Activates PTPN11	2/5	5.380735278485345E-5	0.0011079423096153915	0	0	295.55555555555554	2905.340794131333	GAB1;MET
Developmental Biology	12/1385	6.237725061392362E-5	0.0012285606316568434	0	0	4.639683695765269	44.922855485032976	CDC42;ITGB3;NAB2;CFL1;GAB1;GRB10;SNAI2;FOXL2;RAC1;MET;EGFR;FGFR1
CD28 Co-Stimulation	3/35	7.551026976315775E-5	0.0014252563417796024	0	0	42.4453125	402.8587279325499	CDC42;CD28;RAC1
MET Activates PI3K AKT Signaling	2/6	8.059030066108036E-5	0.0014602962479787762	0	0	221.65555555555557	2089.354581696806	GAB1;MET
MAPK Family Signaling Cascades	6/314	8.91728751252667E-5	0.0015536658627594545	0	0	9.334019638897688	87.03911386856127	CDC42;ITGB3;RAC1;MET;EGFR;FGFR1
Signaling by FGFR1 in Disease	3/38	9.684720441964777E-5	0.0016248808741518683	0	0	38.8012987012987	358.61619318868344	BCR;GAB1;FGFR1
Generic Transcription Pathway	11/1230	1.0175050433783965E-4	0.0016461778023229056	0	0	4.695880047397685	43.16916318218304	TJP1;BLK;CBX4;THRA;BDNF;RHEB;MYBL2;MET;EGFR;RAD9A;TEAD3
MET Promotes Cell Motility	3/41	1.2177614951229661E-4	0.0019022274389334608	0	0	35.73265550239235	322.0700742707203	GAB1;RAC1;MET
EPHB-mediated Forward Signaling	3/42	1.3092779218115423E-4	0.001977009661935429	0	0	34.81468531468531	311.27338719276383	CDC42;CFL1;RAC1
Signaling by SCF-KIT	3/43	1.4051583727508416E-4	0.002053344331793972	0	0	33.94261363636364	301.0774440913921	TEC;GRB10;RAC1
Sema4D Mediated Inhibition of Cell Attachment and Migration	2/8	1.4998531968970716E-4	0.0020588893884677982	0	0	147.75555555555556	1300.9836975672104	RAC1;MET
Inactivation of CDC42 and RAC1	2/8	1.4998531968970716E-4	0.0020588893884677982	0	0	147.75555555555556	1300.9836975672104	CDC42;RAC1
