Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Diseases of Signal Transduction by Growth Factor Receptors and Second Messengers	13/451	1.5644233453913582E-12	6.961683886991544E-10	0	0	22.286529680365298	605.8259649066019	NTRK2;PDGFRA;HIP1;BDNF;CLTC;LRP5;TSC2;FOXO4;EGFR;NCOR2;RAP1B;TLN1;FGFR1
PI3K AKT Signaling in Cancer	7/110	1.6693108435580462E-9	3.7142166269166526E-7	0	0	42.17415048543689	852.375638700225	NTRK2;PDGFRA;BDNF;TSC2;FOXO4;EGFR;FGFR1
Disease	19/2131	2.5923969365246212E-9	3.8453887891781884E-7	0	0	8.028669507575758	158.7322791927883	NTRK2;PDGFRA;HIP1;BDNF;CLTC;LRP5;TSC2;FOXO4;CP;EGFR;ACAT1;NCOR2;RAP1B;GJA1;ARPC2;SP1;CD14;TLN1;FGFR1
Signal Transduction	19/2613	7.58891629854833E-8	8.442669382135018E-6	0	0	6.360312259059368	104.27090792937152	NTRK2;PDGFRA;BDNF;CLTC;LRP5;TSC2;PPBP;FOXO4;KALRN;EGFR;NCOR2;RAP1B;GJA1;ARPC2;SP1;GNA12;ITGAV;TLN1;FGFR1
Constitutive Signaling by Aberrant PI3K in Cancer	5/83	5.614586451244538E-7	4.996981941607638E-5	0	0	37.486802413273004	539.5373400849878	NTRK2;PDGFRA;BDNF;EGFR;FGFR1
PIP3 Activates AKT Signaling	7/281	1.0499329497861824E-6	7.787002710914186E-5	0	0	15.717267335766424	216.37622846105435	NTRK2;PDGFRA;BDNF;TSC2;FOXO4;EGFR;FGFR1
PI5P, PP2A and IER3 Regulate PI3K AKT Signaling	5/111	2.3819658850487493E-6	1.4146010164026325E-4	0	0	27.54578246392897	356.65134356674594	NTRK2;PDGFRA;BDNF;EGFR;FGFR1
Intracellular Signaling by Second Messengers	7/321	2.543102950836193E-6	1.4146010164026325E-4	0	0	13.68720143312102	176.32024781429328	NTRK2;PDGFRA;BDNF;TSC2;FOXO4;EGFR;FGFR1
Negative Regulation of the PI3K AKT Network	5/118	3.219618608116859E-6	1.5919225340133358E-4	0	0	25.830296720458094	326.65632920266717	NTRK2;PDGFRA;BDNF;EGFR;FGFR1
Signaling by Receptor Tyrosine Kinases	8/536	7.470928167431224E-6	3.299663636975482E-4	0	0	9.498044965786901	112.11958929737912	RAP1B;NTRK2;PDGFRA;BDNF;CLTC;ITGAV;EGFR;FGFR1
Clathrin-mediated Endocytosis	5/145	8.823168518627712E-6	3.299663636975482E-4	0	0	20.820378151260503	242.3102573711882	HIP1;ARPC2;CLTC;LRP2;EGFR
Signal Transduction by L1	3/21	8.89796935813613E-6	3.299663636975482E-4	0	0	92.32870370370371	1073.7539685165611	ITGAV;EGFR;FGFR1
Nervous System Development	8/567	1.1249605772611759E-5	3.8508265913940253E-4	0	0	8.957008482889954	102.06670128398612	ARPC2;CLTC;ITGAV;UTRN;TLN1;KALRN;EGFR;FGFR1
Membrane Trafficking	8/633	2.4877594914362377E-5	7.907521240636613E-4	0	0	7.983896774193548	84.64162465734344	GJA1;SNAPIN;HIP1;ARPC2;CLTC;TSC2;LRP2;EGFR
MAPK Family Signaling Cascades	6/314	3.010562998985596E-5	8.931336896990602E-4	0	0	11.601534828807557	120.78123977906395	RAP1B;PDGFRA;TLN1;KALRN;EGFR;FGFR1
NTRK2 Activates RAC1	2/5	3.691309211142404E-5	0.0010266453743489811	0	0	359.60360360360363	3670.4539413007556	NTRK2;BDNF
Activated NTRK2 Signals Through CDK5	2/6	5.53015772757396E-5	0.001447600111041419	0	0	269.68918918918916	2643.6846765007986	NTRK2;BDNF
Axon Guidance	7/541	7.393199556346203E-5	0.0017205255605973278	0	0	7.95815777153558	75.70090038525115	ARPC2;CLTC;ITGAV;TLN1;KALRN;EGFR;FGFR1
Activated NTRK2 Signals Through FYN	2/7	7.732699148752035E-5	0.0017205255605973278	0	0	215.74054054054054	2042.516552754333	NTRK2;BDNF
