Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
RNA Polymerase I Transcription Initiation	6/48	2.588411627092111E-9	9.78419595040818E-7	0	0	61.81987577639752	1222.316272054549	CDK7;RBBP4;TAF1B;TAF1A;UBTF;GTF2H5
RNA Polymerase I Transcription Termination	5/33	2.190321948565337E-8	3.7296773037475786E-6	0	0	75.6838905775076	1334.8089417660726	CDK7;TAF1B;TAF1A;UBTF;GTF2H5
NoRC Negatively Regulates rRNA Expression	6/76	4.363527705751E-8	3.7296773037475786E-6	0	0	37.03975155279503	627.7274820181144	CDK7;TAF1B;SIN3A;TAF1A;UBTF;GTF2H5
RNA Polymerase I Promoter Clearance	6/79	5.515258594601104E-8	3.7296773037475786E-6	0	0	35.512209648600354	593.5213200449203	CDK7;RBBP4;TAF1B;TAF1A;UBTF;GTF2H5
Gene Expression (Transcription)	18/1615	5.781819891153372E-8	3.7296773037475786E-6	0	0	6.083428487237099	101.38618952352174	HDAC5;THRA;PCGF5;MAGOHB;GTF2H5;MED17;CDK7;RBBP4;TAF1B;TAL1;SIN3A;TAF1A;NAMPT;UBTF;CDK12;YAF2;TEAD3;RAD9A
RNA Polymerase I Transcription	6/81	6.414076509207812E-8	3.7296773037475786E-6	0	0	34.56173913043478	572.4179420868403	CDK7;RBBP4;TAF1B;TAF1A;UBTF;GTF2H5
Negative Epigenetic Regulation of rRNA Expression	6/82	6.906809821754775E-8	3.7296773037475786E-6	0	0	34.10526315789474	562.3334753502451	CDK7;TAF1B;SIN3A;TAF1A;UBTF;GTF2H5
RNA Polymerase I Promoter Escape	5/59	4.3909742319472126E-7	2.074735324595058E-5	0	0	39.19227738376674	573.7178976271822	CDK7;TAF1B;TAF1A;UBTF;GTF2H5
Epigenetic Regulation of Gene Expression	8/291	7.879561482386437E-7	3.3094158226023035E-5	0	0	12.634115001606167	177.5576210236109	CDK7;RBBP4;TAF1B;SIN3A;TAF1A;UBTF;GTF2H5;MED17
RNA Polymerase II Transcription	15/1360	1.1616694721657625E-6	4.391110604786582E-5	0	0	5.607254094242942	76.62678529951974	HDAC5;THRA;PCGF5;MAGOHB;GTF2H5;MED17;CDK7;RBBP4;TAL1;SIN3A;NAMPT;CDK12;YAF2;TEAD3;RAD9A
Generic Transcription Pathway	14/1230	2.0015129786122973E-6	6.877926417413168E-5	0	0	5.675380886426593	74.47011855503975	HDAC5;THRA;PCGF5;GTF2H5;MED17;CDK7;RBBP4;TAL1;SIN3A;NAMPT;CDK12;YAF2;TEAD3;RAD9A
Transcriptional Regulation by RUNX1	5/202	1.7678441798502998E-4	0.0055687091665284445	0	0	10.665838643482017	92.15902721541903	CDK7;PCGF5;TAL1;SIN3A;YAF2
Signal Transduction	17/2613	2.1007880059135587E-4	0.006108445124887117	0	0	3.2465771516618975	27.49210575926638	HDAC5;TPM3;FZD7;ITGB3;AVPR2;NRG2;RNF41;KIF18A;DLG1;HTR6;RBBP4;HRH2;SIN3A;RHOJ;KDR;MYF6;SNAI2
Downregulation of ERBB2 ERBB3 Signaling	2/13	5.077559934978225E-4	0.013291732609106221	0	0	72.49818181818182	549.935650796121	NRG2;RNF41
Regulation of PTEN Gene Transcription	3/61	5.363705120800181E-4	0.013291732609106221	0	0	20.995777621393383	158.1125956133446	HDAC5;RBBP4;SNAI2
TP53 Regulates Transcription of DNA Repair Genes	3/62	5.626130204912686E-4	0.013291732609106221	0	0	20.63887928052577	154.43905197450593	CDK7;CDK12;GTF2H5
Polo-like Kinase Mediated Events	2/16	7.772736651313045E-4	0.016322746967757394	0	0	56.95428571428572	407.77662815003015	RBBP4;LIN9
Transcription of E2F Targets Under Neg Control by P107 (RBL1) and P130 (RBL2) in Complex With HDAC1	2/16	7.772736651313045E-4	0.016322746967757394	0	0	56.95428571428572	407.77662815003015	RBBP4;LIN9
Disease	14/2131	8.25068522868006E-4	0.016414521139163488	0	0	3.103125077691868	22.032324952357865	GALNT12;HDAC5;TPM3;FZD7;ITGB3;AVPR2;NRG2;GTF2H5;MED17;CDK7;RBBP4;SIN3A;KDR;RAD9A
Cyclin E Associated Events During G1 S Transition	3/73	9.068018371887012E-4	0.01660046034742708	0	0	17.38600583090379	121.79916970808007	CDK7;RBBP4;LIN9
Positive Epigenetic Regulation of rRNA Expression	3/75	9.809042608163734E-4	0.01660046034742708	0	0	16.901360544217688	117.07632781125457	RBBP4;TAF1B;TAF1A
Cyclin A Cdk2-associated Events at S Phase Entry	3/75	9.809042608163734E-4	0.01660046034742708	0	0	16.901360544217688	117.07632781125457	CDK7;RBBP4;LIN9
Antigen Processing Ubiquitination & Proteasome Degradation	5/296	0.0010100809206106424	0.01660046034742708	0	0	7.186151933903634	49.568098640450536	TRAF7;RNF114;BTBD6;FBXO30;RNF41
Transcription of E2F Targets Under Negative Control by DREAM Complex	2/19	0.0011021023027737798	0.01666378681793955	0	0	46.896470588235296	319.39008896603445	RBBP4;LIN9
Regulation of MITF-M-dependent Genes Involved in Apoptosis	2/19	0.0011021023027737798	0.01666378681793955	0	0	46.896470588235296	319.39008896603445	SIN3A;BIRC7
G2 M Transition	4/184	0.0013299566433491712	0.01868311805722452	0	0	9.151851851851852	60.60913585745129	CDK7;RBBP4;TUBGCP3;LIN9
Cell Cycle	7/649	0.001379997425235687	0.01868311805722452	0	0	4.677812391831083	30.806545787877607	CDK7;KIF18A;RBBP4;TUBGCP3;LIN9;SIRT2;RAD9A
Mitotic G2-G2 M Phases	4/186	0.00138393467090552	0.01868311805722452	0	0	9.050366300366301	59.57697415640536	CDK7;RBBP4;TUBGCP3;LIN9
mRNA Splicing - Major Pathway	4/204	0.0019405877643574848	0.02481830431306146	0	0	8.228333333333333	51.384002910676365	SF3A2;LSM6;PRPF3;MAGOHB
Cell Cycle, Mitotic	6/516	0.0021332117700835393	0.02481830431306146	0	0	4.971355498721228	30.57446550024701	CDK7;KIF18A;RBBP4;TUBGCP3;LIN9;SIRT2
G0 and Early G1	2/27	0.0022323342503811896	0.02481830431306146	0	0	31.8768	194.59853977843653	RBBP4;LIN9
Syndecan Interactions	2/27	0.0022323342503811896	0.02481830431306146	0	0	31.8768	194.59853977843653	ITGB3;CASK
RNA Pol II CTD Phosphorylation and Interaction With CE	2/27	0.0022323342503811896	0.02481830431306146	0	0	31.8768	194.59853977843653	CDK7;GTF2H5
RNA Pol II CTD Phosphorylation and Interaction With CE During HIV Infection	2/27	0.0022323342503811896	0.02481830431306146	0	0	31.8768	194.59853977843653	CDK7;GTF2H5
mRNA Splicing	4/215	0.002348154771467684	0.024943825126077134	0	0	7.795023696682464	47.19205144592154	SF3A2;LSM6;PRPF3;MAGOHB
