Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Antigen Processing Ubiquitination & Proteasome Degradation	7/296	3.551134696796166E-7	1.0648954421605041E-4	0	0	19.066159169550172	283.14825932562417	SOCS3;FBXW5;SOCS1;UBE2C;UBE2Q2;DZIP3;RNF41
Interleukin-6 Signaling	3/11	6.085116812345738E-7	1.0648954421605041E-4	0	0	258.1034482758621	3694.0410073647863	SOCS3;IL6;IL6ST
Class I MHC Mediated Antigen Processing & Presentation	7/373	1.670381663966058E-6	1.5468716900440702E-4	0	0	14.996065573770492	199.4845387039421	SOCS3;FBXW5;SOCS1;UBE2C;UBE2Q2;DZIP3;RNF41
Generic Transcription Pathway	11/1230	1.767853360050366E-6	1.5468716900440702E-4	0	0	8.056525645533029	106.71468056728797	NCOR2;SOCS3;IL6;CDK7;UBE2C;TSC2;CDK12;YAF2;GTF2H5;RAD9A;MED17
Gene Expression (Transcription)	12/1615	3.6141630077047714E-6	2.52991410539334E-4	0	0	6.873986275733	86.13551792905935	NCOR2;SOCS3;IL6;CDK7;UBE2C;POLR1B;TSC2;CDK12;YAF2;GTF2H5;RAD9A;MED17
RNA Polymerase II Transcription	11/1360	4.699701678118547E-6	2.7414926455691523E-4	0	0	7.229658653676444	88.69353567791407	NCOR2;SOCS3;IL6;CDK7;UBE2C;TSC2;CDK12;YAF2;GTF2H5;RAD9A;MED17
Growth Hormone Receptor Signaling	3/24	7.359826469067412E-6	3.219924080216993E-4	0	0	98.26108374384236	1161.3943444764197	SOCS3;SOCS1;CISH
Interleukin-6 Family Signaling	3/24	7.359826469067412E-6	3.219924080216993E-4	0	0	98.26108374384236	1161.3943444764197	SOCS3;IL6;IL6ST
RNA Polymerase I Transcription Termination	3/33	1.964653070209146E-5	7.640317495257789E-4	0	0	68.75172413793103	745.1043585854517	CDK7;POLR1B;GTF2H5
Adaptive Immune System	8/854	4.51061169352636E-5	0.001578714092734226	0	0	7.534278959810875	75.39170733696608	SOCS3;FBXW5;SOCS1;UBE2C;UBE2Q2;PPP2R5A;DZIP3;RNF41
RNA Polymerase I Transcription Initiation	3/48	6.127471351883027E-5	0.0019093014414557263	0	0	45.8	444.2665633184512	CDK7;POLR1B;GTF2H5
Immune System	12/2150	6.632789487689914E-5	0.0019093014414557263	0	0	5.003741814780168	48.14049968611064	ATF1;SOCS3;IL6;FBXW5;SOCS1;CISH;UBE2C;UBE2Q2;PPP2R5A;IL6ST;DZIP3;RNF41
Signaling by Interleukins	6/452	7.091691068264126E-5	0.0019093014414557263	0	0	10.101069334253191	96.50563296805215	ATF1;SOCS3;IL6;SOCS1;CISH;IL6ST
MAPK1 (ERK2) Activation	2/9	8.865774235784291E-5	0.0021451428358919417	0	0	190.10476190476192	1773.8156714265488	IL6;IL6ST
Epigenetic Regulation of Gene Expression	5/291	9.19346929667975E-5	0.0021451428358919417	0	0	12.744107744107744	118.4492440012635	NCOR2;CDK7;POLR1B;GTF2H5;MED17
MAPK3 (ERK1) Activation	2/10	1.1071162632999961E-4	0.0023429904266297798	0	0	166.33333333333334	1515.0607558005827	IL6;IL6ST
RNA Polymerase I Promoter Escape	3/59	1.138023921505893E-4	0.0023429904266297798	0	0	36.783251231527096	334.03043382886136	CDK7;POLR1B;GTF2H5
TP53 Regulates Transcription of DNA Repair Genes	3/62	1.3196375883050329E-4	0.002565961977259786	0	0	34.907656341320866	311.8295086044858	CDK7;CDK12;GTF2H5
Cytokine Signaling in Immune System	7/776	1.8548141321284866E-4	0.0034167628749735284	0	0	6.990533159947985	60.06654680260632	ATF1;SOCS3;IL6;SOCS1;CISH;PPP2R5A;IL6ST
Regulation of IFNG Signaling	2/14	2.2299126039333032E-4	0.0039023470568832807	0	0	110.86666666666666	932.2088385312345	SOCS3;SOCS1
NoRC Negatively Regulates rRNA Expression	3/76	2.4159525821412903E-4	0.004026587636902151	0	0	28.193197921587153	234.79990807993084	CDK7;POLR1B;GTF2H5
Transcriptional Regulation by TP53	5/362	2.545068152192215E-4	0.0040489720603057965	0	0	10.172735760971054	84.1914221934247	CDK7;TSC2;CDK12;GTF2H5;RAD9A
RNA Polymerase I Promoter Clearance	3/79	2.7088209245449665E-4	0.004122118798220601	0	0	27.076225045372052	222.39942603304118	CDK7;POLR1B;GTF2H5
RNA Polymerase I Transcription	3/81	2.9162678385211534E-4	0.004233221020501138	0	0	26.379310344827587	214.72852823061746	CDK7;POLR1B;GTF2H5
Negative Epigenetic Regulation of rRNA Expression	3/82	3.023729300357956E-4	0.004233221020501138	0	0	26.044085552160627	211.05734798028	CDK7;POLR1B;GTF2H5
Post-translational Protein Modification	9/1457	3.40337411879427E-4	0.004581465159915364	0	0	5.004804227720394	39.9662297342075	NCOR2;SOCS3;IL6;FBXW5;CISH;UBE2C;UBE2Q2;FEM1C;FOXL2
Signal Transduction	12/2613	4.3209159848937645E-4	0.005601187387825251	0	0	4.006228373702422	31.035742254435196	NCOR2;ATF1;SOCS3;IL6;SOCS1;ACTN1;TSC2;PPP2R5A;IL6ST;MARK3;EPOR;RNF41
Cell Cycle	6/649	5.02827846059243E-4	0.0061274838991124715	0	0	6.935638234238545	52.677994386770386	CDK7;ESPL1;UBE2C;PPP2R5A;REC8;RAD9A
Neddylation	4/234	5.077058087836048E-4	0.0061274838991124715	0	0	12.259627329192547	92.99673198429336	SOCS3;FBXW5;CISH;FEM1C
RAF-independent MAPK1 3 Activation	2/23	6.144191384293792E-4	0.007168223281676091	0	0	63.32380952380952	468.2690107160292	IL6;IL6ST
Inactivation of CSF3 (G-CSF) Signaling	2/25	7.271072968375054E-4	0.007711744057367481	0	0	57.81159420289855	417.7718146342518	SOCS3;SOCS1
Interleukin-7 Signaling	2/25	7.271072968375054E-4	0.007711744057367481	0	0	57.81159420289855	417.7718146342518	SOCS1;CISH
Regulation of IFNA IFNB Signaling	2/25	7.271072968375054E-4	0.007711744057367481	0	0	57.81159420289855	417.7718146342518	SOCS3;SOCS1
Interleukin-4 and Interleukin-13 Signaling	3/112	7.532807768702958E-4	0.007754360938370693	0	0	18.847516608668144	135.53385879283707	SOCS3;IL6;SOCS1
RNA Pol II CTD Phosphorylation and Interaction With CE	2/27	8.490191830924593E-4	0.008254353168954464	0	0	53.181333333333335	376.06801093159754	CDK7;GTF2H5
RNA Pol II CTD Phosphorylation and Interaction With CE During HIV Infection	2/27	8.490191830924593E-4	0.008254353168954464	0	0	53.181333333333335	376.06801093159754	CDK7;GTF2H5
MAPK1 MAPK3 Signaling	4/271	8.793950753305757E-4	0.008318602063937879	0	0	10.540930979133226	74.16890284176314	IL6;PPP2R5A;IL6ST;MARK3
mRNA Capping	2/29	9.800983780770412E-4	0.00902722190334117	0	0	49.237037037037034	341.1071815115415	CDK7;GTF2H5
Signaling by CSF3 (G-CSF)	2/30	0.0010490581524956052	0.009179258834336545	0	0	47.476190476190474	325.6801394016241	SOCS3;SOCS1
Synthesis of Active Ubiquitin Roles of E1 and E2 Enzymes	2/30	0.0010490581524956052	0.009179258834336545	0	0	47.476190476190474	325.6801394016241	UBE2Q2;UBE2C
Formation of the Early Elongation Complex	2/33	0.0012695342481069307	0.010579452067557758	0	0	42.8752688172043	285.93967734337224	CDK7;GTF2H5
