Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Diseases of Signal Transduction by Growth Factor Receptors and Second Messengers	14/451	5.822729136455906E-12	3.2723737746882194E-9	0	0	16.44911477779116	425.5262960266004	NTRK2;HIP1;HDAC10;BDNF;PPP2R5A;PTPN11;FOXO4;NCOR2;RAP1B;BCR;PSMB7;KDR;RAC1;MARK3
Signal Transduction	27/2613	2.0784579620374084E-11	5.840466873325117E-9	0	0	7.2509512761020884	178.35026917947368	HDAC10;ARPC1B;ARHGAP17;FOXO4;RAP1B;CDC42;PSMB7;SOCS1;KDR;MFN2;RAC1;CCT7;MARK3;NTRK2;BDNF;TMOD3;FZD7;PPP2R5A;PTPN11;EPOR;DNM2;NCOR2;BCR;DIAPH2;RHOJ;SNAI2;SPRY2
NTRK2 Activates RAC1	3/5	1.6514690324614622E-7	3.093751987477806E-5	0	0	610.5918367346939	9535.26494342797	NTRK2;BDNF;RAC1
Activated NTRK2 Signals Through CDK5	3/6	3.296902008290912E-7	4.6321473216487316E-5	0	0	407.0408163265306	6075.12993863799	NTRK2;BDNF;RAC1
Signaling by NTRK2 (TRKB)	4/25	4.934828901647729E-7	4.86050611438775E-5	0	0	79.07539682539682	1148.315330209548	NTRK2;BDNF;PTPN11;RAC1
Activated NTRK2 Signals Through FYN	3/7	5.75902252581832E-7	4.86050611438775E-5	0	0	305.265306122449	4385.846746816879	NTRK2;BDNF;RAC1
PIP3 Activates AKT Signaling	8/281	6.054011174504315E-7	4.86050611438775E-5	0	0	13.103563103563104	187.60862147710733	NTRK2;PSMB7;BDNF;PPP2R5A;SNAI2;PTPN11;FOXO4;RAC1
Signaling by Receptor Tyrosine Kinases	10/536	1.0109420300391868E-6	7.101867761025288E-5	0	0	8.791417707767518	121.36225068612976	RAP1B;CDC42;NTRK2;SOCS1;BDNF;KDR;SPRY2;PTPN11;RAC1;DNM2
Signaling by Rho GTPases, Miro GTPases and RHOBTB3	11/688	1.230477645821783E-6	7.683649299464911E-5	0	0	7.637028497315993	103.92550961409957	CDC42;BCR;DIAPH2;ARPC1B;TMOD3;RHOJ;PPP2R5A;MFN2;ARHGAP17;RAC1;CCT7
Intracellular Signaling by Second Messengers	8/321	1.6432933812352168E-6	9.235308802541919E-5	0	0	11.405750798722044	151.9110069286478	NTRK2;PSMB7;BDNF;PPP2R5A;SNAI2;PTPN11;FOXO4;RAC1
GPVI-mediated Activation Cascade	4/35	2.0037767258158337E-6	1.0237477453713623E-4	0	0	53.54032258064516	702.4745600275329	CDC42;PTPN11;LCP2;RAC1
Activated NTRK2 Signals Through FRS2 and FRS3	3/11	2.695127231767784E-6	1.2622179202112456E-4	0	0	152.60204081632654	1956.9785125991323	NTRK2;BDNF;PTPN11
Disease	18/2131	3.5281386632080575E-6	1.5252414836330219E-4	0	0	4.468555997884246	56.101559251527135	NTRK2;HIP1;HDAC10;BDNF;ARPC1B;FZD7;PPP2R5A;MYO5A;PTPN11;FOXO4;NCOR2;RAP1B;CDC42;BCR;PSMB7;KDR;RAC1;MARK3
Signaling by Rho GTPases	10/672	7.575449716809025E-6	3.041001957747623E-4	0	0	6.936412027046468	81.78444466188644	CDC42;BCR;DIAPH2;ARPC1B;TMOD3;RHOJ;PPP2R5A;ARHGAP17;RAC1;CCT7
PI3K AKT Signaling in Cancer	5/110	9.71461607590569E-6	3.356449724310003E-4	0	0	20.10435663627153	232.04205156028857	NTRK2;BDNF;PTPN11;FOXO4;RAC1
Adaptive Immune System	11/854	9.78367005641537E-6	3.356449724310003E-4	0	0	6.080346034777074	70.13555040866538	RAP1B;CDC42;PSMB7;WSB1;SOCS1;PPP2R5A;PTPN11;LCP2;RAC1;FBXO30;DNM2
PI5P, PP2A and IER3 Regulate PI3K AKT Signaling	5/111	1.0152961799514244E-5	3.356449724310003E-4	0	0	19.913689281413088	228.96252320166587	NTRK2;BDNF;PPP2R5A;PTPN11;RAC1
Negative Regulation of the PI3K AKT Network	5/118	1.3671680707555796E-5	4.2686025320257543E-4	0	0	18.673507813971003	209.1467228102219	NTRK2;BDNF;PPP2R5A;PTPN11;RAC1
MAPK Family Signaling Cascades	7/314	1.605374858918091E-5	4.748529845852458E-4	0	0	9.952008686210641	109.86587840643816	RAP1B;CDC42;PSMB7;PPP2R5A;PTPN11;RAC1;MARK3
RHO GTPase Cycle	8/450	1.949478159680462E-5	5.478033628702098E-4	0	0	8.02385849444673	87.02166395956209	CDC42;BCR;DIAPH2;TMOD3;RHOJ;ARHGAP17;RAC1;CCT7
Signaling by NTRKs	5/134	2.5283738741905273E-5	6.766410082357507E-4	0	0	16.344219033481775	173.00926434004154	NTRK2;BDNF;PTPN11;RAC1;DNM2
Developmental Biology	13/1385	3.956205566704342E-5	0.0010106306947672001	0	0	4.513119533527697	45.752381510837914	ARPC1B;MYO5A;PTPN11;FOXL2;FOXO4;MAGOHB;DNM2;NCOR2;CDC42;PSMB7;CLDN7;SNAI2;RAC1
Costimulation by the CD28 Family	4/78	5.0267937334485025E-5	0.0012282861209556776	0	0	22.38063063063063	221.52668493760424	CDC42;PPP2R5A;PTPN11;RAC1
Platelet Activation, Signaling and Aggregation	6/262	5.863448423929759E-5	0.001373024172603552	0	0	10.033288043478262	97.76624060149895	RAP1B;CDC42;ANXA5;PTPN11;LCP2;RAC1
Constitutive Signaling by Aberrant PI3K in Cancer	4/83	6.414126484569151E-5	0.0014418956337311454	0	0	20.95886075949367	202.3456999050725	NTRK2;BDNF;PTPN11;RAC1
RHO GTPases Activate WASPs and WAVEs	3/36	1.1139657298191172E-4	0.0024078797698397843	0	0	36.94805194805195	336.31646510752483	CDC42;ARPC1B;RAC1
Activated NTRK2 Signals Through PI3K	2/7	1.3807555394687994E-4	0.0028740170858572783	0	0	159.544	1417.980729295425	NTRK2;BDNF
EPHB-mediated Forward Signaling	3/42	1.7714881750050841E-4	0.0035556298369744904	0	0	31.25431711145997	269.9910560118697	CDC42;ARPC1B;RAC1
Inactivation of CDC42 and RAC1	2/8	1.8379456792760984E-4	0.003560949224590893	0	0	132.94666666666666	1143.5662661624315	CDC42;RAC1
