Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Regulation of NPAS4 Gene Transcription	2/5	3.318355775015145E-5	0.009294398876553525	0	0	380.1904761904762	3921.0777680384267	KCNIP3;SRF
Generic Transcription Pathway	10/1230	5.6329690160930456E-5	0.009294398876553525	0	0	5.690042501517912	55.67301915042134	CDKN1A;RHEB;KCNIP3;SRF;TSC2;YAF2;GTF2H5;EZH2;AURKA;TEAD3
RNA Polymerase II Transcription	10/1360	1.3064923676485345E-4	0.01437141604413388	0	0	5.106447187928669	45.66692864560269	CDKN1A;RHEB;KCNIP3;SRF;TSC2;YAF2;GTF2H5;EZH2;AURKA;TEAD3
WNT5A-dependent Internalization of FZD2, FZD5 and ROR2	2/13	2.564318706642084E-4	0.016435221944351337	0	0	103.64675324675325	857.0184712710449	CLTC;ROR1
AKT Phosphorylates Targets in the Cytosol	2/14	2.988222171700243E-4	0.016435221944351337	0	0	95.0047619047619	771.0265125260339	CDKN1A;TSC2
Regulation of NPAS4 Gene Expression	2/14	2.988222171700243E-4	0.016435221944351337	0	0	95.0047619047619	771.0265125260339	KCNIP3;SRF
Metabolism of RNA	7/761	4.26354667380902E-4	0.01738384682507253	0	0	5.9444297082228115	46.130195287424776	LTV1;SF3A2;LSM6;NOB1;PRPF3;RPL23A;GTF2H5
Transcriptional Regulation by TP53	5/362	5.115818256007442E-4	0.01738384682507253	0	0	8.581057422969188	65.02727901042947	CDKN1A;RHEB;TSC2;GTF2H5;AURKA
Signal Transduction	13/2613	5.252889021868621E-4	0.01738384682507253	0	0	3.6172916666666666	27.316202860277528	CDKN1A;SRF;CLTC;TSC2;ADRA1D;PRKCZ;TEC;ARPC2;RHEB;ALDH1A1;GRB10;ROR1;EZH2
Gene Expression (Transcription)	10/1615	5.2678323712341E-4	0.01738384682507253	0	0	4.23629860389985	31.97863796529601	CDKN1A;RHEB;KCNIP3;SRF;TSC2;YAF2;GTF2H5;EZH2;AURKA;TEAD3
Constitutive Signaling by AKT1 E17K in Cancer	2/26	0.0010524125093276033	0.0315723752798281	0	0	47.47380952380952	325.5122513580588	CDKN1A;TSC2
Energy Dependent Regulation of mTOR by LKB1-AMPK	2/29	0.0013101238542974803	0.036028405993180704	0	0	42.19259259259259	280.05897030475484	RHEB;TSC2
PIP3 Activates AKT Signaling	4/281	0.001748904357799724	0.04194639255219552	0	0	8.61437479488021	54.69064781368553	CDKN1A;RHEB;TSC2;EZH2
Transcriptional Regulation by E2F6	2/34	0.0017997945538918974	0.04194639255219552	0	0	35.59107142857143	224.9385168502885	YAF2;EZH2
Transcriptional Regulation by NPAS4	2/35	0.001906654206917978	0.04194639255219552	0	0	34.510822510822514	216.12075769950565	SRF;KCNIP3
Clathrin-mediated Endocytosis	3/145	0.0024211623960267207	0.048051879474889723	0	0	12.316280033140016	74.1872054620635	COPS6;ARPC2;CLTC
MTOR Signalling	2/41	0.0026093917382251416	0.048051879474889723	0	0	29.192673992673992	173.656653784098	RHEB;TSC2
