Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Signal Transduction	19/2613	1.2271302484269564E-6	3.2711032346856224E-4	0	0	4.890857600379574	66.56864233750795	RING1;TPM3;FZD7;ITGB3;TSC2;ADAM10;PPP2R5A;PPBP;DYNLL2;EPOR;EGFR;SOCS1;RBBP4;ALDH1A1;GNA12;CFL1;MFN2;ARHGEF7;FGFR1
Cell Cycle	10/649	1.380529286882953E-6	3.2711032346856224E-4	0	0	8.636709143751398	116.53549296036525	CDK7;ESPL1;RBBP4;UBE2C;PPP2R5A;TUBGCP3;TUBGCP4;DYNLL2;REC8;AURKA
Cell Cycle, Mitotic	9/516	1.830841362697177E-6	3.2711032346856224E-4	0	0	9.58974358974359	126.68756066573724	CDK7;ESPL1;RBBP4;UBE2C;PPP2R5A;TUBGCP3;TUBGCP4;DYNLL2;AURKA
Disease	16/2131	8.231312645133405E-6	0.0011029958944478763	0	0	4.6537865818863615	54.48450918668646	UBE2C;TPM3;FZD7;ITGB3;TSC2;ADAM10;PPP2R5A;DYNLL2;GTF2H5;EGFR;ACAT1;ADAMTS4;CDK7;RBBP4;CD14;FGFR1
Signal Transduction by L1	3/21	1.37599629896714E-5	0.001475068032492774	0	0	79.11507936507937	885.594215143574	ITGB3;EGFR;FGFR1
RNA Polymerase II Transcription	12/1360	3.26490351696818E-5	0.002870351621601174	0	0	5.019422713784731	51.849106981276535	CDK7;RING1;RBBP4;UBE2C;PCGF5;TSC2;CDK12;MAGOHB;GATA2;GTF2H5;EGFR;AURKA
PIP3 Activates AKT Signaling	6/281	3.748593535673175E-5	0.002870351621601174	0	0	11.009790209790209	112.206769638639	RING1;RBBP4;TSC2;PPP2R5A;EGFR;FGFR1
G2 M Transition	5/184	5.658355864739777E-5	0.0032361338063954695	0	0	13.810055865921788	135.0594752334509	CDK7;RBBP4;TUBGCP3;TUBGCP4;AURKA
Mitotic G2-G2 M Phases	5/186	5.956301175093095E-5	0.0032361338063954695	0	0	13.6560773480663	132.85281779541538	CDK7;RBBP4;TUBGCP3;TUBGCP4;AURKA
Diseases of Signal Transduction by Growth Factor Receptors and Second Messengers	7/451	6.121787582677248E-5	0.0032361338063954695	0	0	8.094890943575153	78.52911439085722	TPM3;ITGB3;TSC2;ADAM10;PPP2R5A;EGFR;FGFR1
