Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Generic Transcription Pathway	10/1230	1.8753860842524734E-5	0.00230072609724875	0	0	6.68104062722737	72.71718721532204	BLK;SOCS3;BDNF;SP1;KCNIP3;NAMPT;PIP4K2B;FOXO4;YAF2;TEAD1
Transcriptional Regulation by NPAS4	3/35	2.5837459999609953E-5	0.00230072609724875	0	0	62.296875	658.084575266967	BDNF;KCNIP3;NAMPT
NTRK2 Activates RAC1	2/5	2.6318160402538746E-5	0.00230072609724875	0	0	429.3333333333333	4527.427911847286	NTRK2;BDNF
Activated NTRK2 Signals Through CDK5	2/6	3.9436610600764144E-5	0.00230072609724875	0	0	321.98387096774195	3265.179180804085	NTRK2;BDNF
RNA Polymerase II Transcription	10/1360	4.456950772334978E-5	0.00230072609724875	0	0	5.995813204508857	60.06881845079985	BLK;SOCS3;BDNF;SP1;KCNIP3;NAMPT;PIP4K2B;FOXO4;YAF2;TEAD1
Activated NTRK2 Signals Through FYN	2/7	5.515439274226455E-5	0.00230072609724875	0	0	257.5741935483871	2525.6113428934823	NTRK2;BDNF
Activated NTRK2 Signals Through PI3K	2/7	5.515439274226455E-5	0.00230072609724875	0	0	257.5741935483871	2525.6113428934823	NTRK2;BDNF
Activated NTRK2 Signals Through RAS	2/9	9.435561918879866E-5	0.0034439801003911513	0	0	183.963133640553	1705.0512168868192	NTRK2;BDNF
Tetrahydrobiopterin (BH4) Synthesis, Recycling, Salvage and Regulation	2/10	1.1782293987729035E-4	0.0038187586316063226	0	0	160.95967741935485	1456.0939674817116	DHFR;GCHFR
Signal Transduction	13/2613	1.40122738877705E-4	0.0038187586316063226	0	0	4.34175	38.52431220482269	NTRK2;BDNF;FPR2;FOXO4;CDC42;BCR;ADH4;SOCS3;DIAPH2;SP1;PIP4K2B;ITGAV;CCT7
Activated NTRK2 Signals Through FRS2 and FRS3	2/11	1.4385734571119708E-4	0.0038187586316063226	0	0	143.06810035842295	1265.67890445098	NTRK2;BDNF
Gene Expression (Transcription)	10/1615	1.8852501874857443E-4	0.004587442122881978	0	0	4.974129757551131	42.65952873350815	BLK;SOCS3;BDNF;SP1;KCNIP3;NAMPT;PIP4K2B;FOXO4;YAF2;TEAD1
Metabolism of Vitamins and Cofactors	4/198	3.045221416801878E-4	0.006840035797739603	0	0	14.05830074653395	113.82678216666292	DHFR;GCHFR;NAMPT;LRP2
NPAS4 Regulates Expression of Target Genes	2/22	5.973830443360625E-4	0.012459703496152162	0	0	64.34516129032258	477.63104594339933	BDNF;NAMPT
Signaling by NTRK2 (TRKB)	2/25	7.734253398115839E-4	0.013043339028792816	0	0	55.94389901823282	400.82021358721676	NTRK2;BDNF
Metabolism of Cofactors	2/25	7.734253398115839E-4	0.013043339028792816	0	0	55.94389901823282	400.82021358721676	DHFR;GCHFR
PI3K AKT Signaling in Cancer	3/110	7.831882165373886E-4	0.013043339028792816	0	0	18.560747663551403	132.74901961785608	NTRK2;BDNF;FOXO4
PI5P, PP2A and IER3 Regulate PI3K AKT Signaling	3/111	8.040414469803792E-4	0.013043339028792816	0	0	18.387962962962963	131.03004496263762	NTRK2;BDNF;PIP4K2B
Negative Regulation of the PI3K AKT Network	3/118	9.599621573472497E-4	0.0147531026287051	0	0	17.262608695652172	119.95125095958012	NTRK2;BDNF;PIP4K2B
PIP3 Activates AKT Signaling	4/281	0.0011322869150772652	0.0165042445885046	0	0	9.804556205651688	66.50936264647947	NTRK2;BDNF;PIP4K2B;FOXO4
Metabolism of Water-Soluble Vitamins and Cofactors	3/127	0.0011869490971184815	0.0165042445885046	0	0	16.00241935483871	107.79820243368889	DHFR;NAMPT;LRP2
Intracellular Signaling by Second Messengers	4/321	0.0018458989774645265	0.02450011370089281	0	0	8.549983683237246	53.82034212364349	NTRK2;BDNF;PIP4K2B;FOXO4
Transcriptional Regulation by RUNX1	3/202	0.004430788016162793	0.056251743509545024	0	0	9.933668341708543	53.832315237945195	BLK;SOCS3;YAF2
