Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Signal Transduction	74/2613	9.003473549106814E-27	7.760994199330073E-24	0	0	6.552022219607883	392.939102162901	ATF1;ITGB1;GPSM2;CCNK;ERCC6L;TFRC;ITGB5;ARPC1B;ITGA2B;PLAT;RGS4;RPTOR;HTR6;GJA1;PSMD2;SUFU;GRB10;TIMP2;RNF111;PDGFRB;PDGFRA;NCOA2;CCT2;PARP1;FNBP1;ITGA3;ACTN1;AVPR2;DNM2;NCOR2;HGS;RHOJ;ROR1;PGR;KIF2C;PPARG;TLN1;SOS2;VCL;CX3CR1;GNAZ;HDAC2;RGS19;LRP5;LPAR1;MST1R;THBS2;KALRN;RNF2;C3;RAP1B;GRK5;HRH2;GNG7;GNA11;CCL4;SPOP;SPEN;RCC2;NTRK3;HTR1D;PTK2;TJP1;DLG1;FER;TEC;PSMC6;ARPC2;RHEB;CD28;ACKR2;ACKR1;LAMTOR4;EZH2
Disease	44/2131	2.8445137720292136E-10	1.225985435744591E-7	0	0	3.499760421657882	76.9263396990078	GALNT12;ITGB1;CX3CR1;GNAZ;CCNK;HDAC2;ELL;ARPC1B;ITGA2B;LRP5;KEAP1;MED19;ARID4B;THBS2;C3;MED12;RAP1B;GJA1;GNG7;PSMD2;PDGFRB;NDC1;PDGFRA;PARP1;NTRK3;AVPR2;MYO5A;VPS37A;SOD2;TIRAP;PTK2;MED7;NCOR2;TJP1;PSMC6;ARPC2;HGS;CD28;NUP35;NEIL1;TLN1;RPS21;VCL;EZH2
Immune System	42/2150	4.417798365485451E-9	1.2693807303494863E-6	0	0	3.242875546193618	62.38522164382153	ATF1;ITGB1;C1QA;ITGB5;ARPC1B;KEAP1;C3;RAP1B;CLEC7A;PSMD2;CCL4;GRB10;TIMP2;CCT8;RNF111;SOCS5;NDC1;CCT2;WSB1;IL4R;FBXW11;PLAUR;MYO5A;LIFR;BTBD6;SOD2;TIRAP;PTK2;DNM2;TEC;PSMC6;ARPC2;CD28;NUP35;FBXL3;KIF2C;LCP2;SOS2;DZIP3;VCL;LGMN;C1QC
Gene Expression (Transcription)	34/1615	3.2452003305061274E-8	6.938345330220944E-6	0	0	3.357779615844132	57.89988509719222	CCNK;HDAC2;PCNA;NFIX;ELL;ITGA2B;ARID4B;RNF2;MED12;RPTOR;TAF1D;TAF1B;PSMD2;TAF1A;RNF111;TEAD3;NDC1;NCOA2;PARP1;EAF1;LIFR;SOD2;MED7;NCOR2;TJP1;PSMC6;RHEB;TAL1;POLR1E;NUP35;PGR;PPARG;LAMTOR4;EZH2
Infectious Disease	30/1311	4.024562256508668E-8	6.938345330220944E-6	0	0	3.5937832659144133	61.195892349588256	ITGB1;CX3CR1;GNAZ;CCNK;HDAC2;ELL;ARPC1B;KEAP1;MED19;ARID4B;C3;MED12;GJA1;GNG7;PSMD2;NDC1;PARP1;MYO5A;VPS37A;PTK2;MED7;NCOR2;TJP1;PSMC6;ARPC2;HGS;CD28;NUP35;RPS21;EZH2
SUMO E3 Ligases SUMOylate Target Proteins	11/170	6.952613441884675E-8	9.988587978174316E-6	0	0	9.730008984725966	160.365757242414	NDC1;NCOR2;NCOA2;HDAC2;PCNA;PARP1;NUP35;PGR;FOXL2;PPARG;RNF2
SUMOylation	11/176	9.909901113112269E-8	1.2203335370718252E-5	0	0	9.373333333333333	151.16511868041738	NDC1;NCOR2;NCOA2;HDAC2;PCNA;PARP1;NUP35;PGR;FOXL2;PPARG;RNF2
Signaling by Receptor Tyrosine Kinases	18/536	1.282906783333649E-7	1.2441156151500418E-5	0	0	5.0506285017563215	80.14825815092685	PDGFRB;ATF1;ITGB1;PDGFRA;HDAC2;ITGA3;NTRK3;PLAT;MST1R;THBS2;PTK2;DNM2;RAP1B;FER;TEC;HGS;GRB10;PGR
Nucleotide Excision Repair	9/108	1.298960619066169E-7	1.2441156151500418E-5	0	0	12.64404609475032	200.49071177592512	POLD3;PCNA;ELL;PARP1;POLD1;POLE2;PRPF19;RAD23B;RNF111
Cellular Responses to Stimuli	23/887	2.2344405686413255E-7	1.7582905501131384E-5	0	0	3.948341652199074	60.46531768642646	NDC1;ITGB1;NCOA2;KEAP1;SOD2;RNF2;PTK2;ERN1;NCOR2;RPTOR;PSMC6;RHEB;GNG7;PSMD2;GNA11;GRB10;NUP35;PGR;TLN1;LAMTOR4;RPS21;VCL;EZH2
