ID,Name,Gene Name,GenBank Protein ID,GenBank Gene ID,UniProt ID,Uniprot Title,PDB ID,GeneCard ID,GenAtlas ID,HGNC ID,Species,Drug IDs
1,"Peptidoglycan D,D-transpeptidase FtsI",ftsI,1574687,L42023,P45059,FTSI_HAEIN,,,,,Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd),DB00303
4,Coagulation factor XIII A chain,F13A1,182309,M22001,P00488,F13A_HUMAN,1EVU; 1EX0; 1F13; 1FIE; 1GGT; 1GGU; 1GGY; 1QRK; 4KTY; 5MHL; 5MHM; 5MHN; 5MHO; 8CMT; 8CMU,F13A1,F13A1,HGNC:3531,Humans,DB11300; DB11311; DB11571; DB13151
5,"Nitric oxide synthase, inducible",NOS2,292242,L09210,P35228,NOS2_HUMAN,1NSI; 2LL6; 2NSI; 3E7G; 3EJ8; 3HR4; 4CX7; 4NOS; 5TP6; 5XN3; 6JWM; 6JWN; 6KEY,NOS2,NOS2A,HGNC:7873,Humans,DB01686; DB01835; DB01997; DB02044; DB02207; DB02234; DB02462; DB03100; DB03144; DB03953; DB04400; DB04534; DB05383; DB07002; DB07405; DB08214; DB08814; DB11327
8,"NAD(P) transhydrogenase, mitochondrial",NNT,1110520,U40490,Q13423,NNTM_HUMAN,1DJL; 1PT9; 1U31,NNT,NNT,HGNC:7863,Humans,DB09092
11,"Isocitrate dehydrogenase [NAD] subunit alpha, mitochondrial",IDH3A,706839,U07681,P50213,IDH3A_HUMAN,5GRE; 5GRF; 5GRH; 5GRI; 5GRL; 5YVT; 6KDE; 6KDF; 6KDY; 6KE3; 6L57; 6L59; 7CE3; 8GRB; 8GRD; 8GRG; 8GRH; 8GRU; 8GS5,IDH3A,IDH3A,HGNC:5384,Humans,DB09092
12,Voltage-dependent T-type calcium channel subunit alpha-1I,CACNA1I,5565888,AF129133,Q9P0X4,CAC1I_HUMAN,7WLI; 7WLJ; 7WLK; 7WLL,CACNA1I,CACNA1I,HGNC:1396,Humans,DB00228; DB00381; DB00568; DB00617; DB00909; DB01388; DB04841; DB09231; DB09235; DB09238; DB11148
13,Adenosine receptor A1,ADORA1,256155,S45235,P30542,AA1R_HUMAN,5N2S; 5UEN; 6D9H; 7LD3; 7LD4,ADORA1,ADORA1,HGNC:262,Humans,DB00193; DB00201; DB00277; DB00640; DB00651; DB01223; DB01303; DB01412; DB04932; DB04954; DB12569; DB13203; DB14018
14,Tyrosine-protein kinase ABL1,ABL1,28237,X16416,P00519,ABL1_HUMAN,1AB2; 1AWO; 1BBZ; 1JU5; 1OPL; 1ZZP; 2ABL; 2E2B; 2F4J; 2FO0; 2G1T; 2G2F; 2G2H; 2G2I; 2GQG; 2HIW; 2HYY; 2HZ0; 2HZ4; 2HZI; 2O88; 2V7A; 3CS9; 3EG0; 3EG1; 3EG2; 3EG3; 3EGU; 3K2M; 3PYY; 3QRI; 3QRJ; 3QRK; 3T04; 3UE4; 3UYO; 4J9B; 4J9C; 4J9D; 4J9E; 4J9F; 4J9G; 4J9H; 4J9I; 4JJB; 4JJC; 4JJD; 4TWP; 4WA9; 4XEY; 4YC8; 4ZOG; 5DC0; 5DC4; 5DC9; 5HU9; 5MO4; 5NP2; 5OAZ; 6AMV; 6AMW; 6BL8; 6NPE; 6NPU; 6NPV; 6XR6; 6XR7; 6XRG; 7CC2; 7DT2; 7N9G; 7PVQ; 7PVR; 7PVS; 7PVV; 7PW2; 7W7X; 7W7Y; 8H7F; 8H7H; 8I7S; 8I7T; 8I7Z; 8SSN,ABL1,ABL1,HGNC:76,Humans,DB00171; DB00619; DB01254; DB04868; DB08231; DB08339; DB08896; DB08901; DB12267; DB12323; DB12597
15,High affinity immunoglobulin epsilon receptor subunit alpha,FCER1A,31318,X06948,P12319,FCERA_HUMAN,1F2Q; 1F6A; 1J86; 1J87; 1J88; 1J89; 1RPQ; 2Y7Q; 7SHT; 8C1B; 8C1C; 8K7R; 8YVU; 8YWA; 8Z0T; 9EQ3; 9EQ4,FCER1A,FCER1A,HGNC:3609,Humans,DB00895
16,Coagulation factor VIII,F8,182818,M14113,P00451,FA8_HUMAN,1CFG; 1D7P; 1FAC; 1IQD; 2R7E; 3CDZ; 3HNB; 3HNY; 3HOB; 3J2Q; 3J2S; 4BDV; 4KI5; 4PT6; 4XZU; 5K8D; 6MF0; 6MF2; 7K66; 7KBT; 7KWO; 8G6I; 8TY1; 9D5D,F8,F8,HGNC:3546,Humans,DB00055; DB00100; DB11300; DB11312; DB11571; DB11572; DB12872; DB13133; DB13151; DB13152; DB13933; DB14700
17,Prostaglandin G/H synthase 1,PTGS1,387018,M31822,P23219,PGH1_HUMAN,6Y3C,PTGS1,PTGS1,HGNC:9604,Humans,DB00154; DB00159; DB00244; DB00316; DB00328; DB00350; DB00461; DB00465; DB00554; DB00573; DB00586; DB00605; DB00788; DB00795; DB00812; DB00814; DB00870; DB00936; DB00939; DB00945; DB00963; DB00991; DB01009; DB01014; DB01050; DB01250; DB01283; DB01397; DB01399; DB01401; DB01435; DB01600; DB01837; DB01892; DB02047; DB02198; DB02266; DB02379; DB02773; DB03667; DB03752; DB03783; DB04557; DB04817; DB06725; DB06736; DB06802; DB07983; DB08814; DB08984; DB09212; DB09215; DB09216; DB09288; DB11071; DB11079; DB11201; DB11323; DB12445; DB13001; DB13346; DB13514; DB13524; DB13783; DB15877; DB15911
